datetime,wnd
2020-07-08T12:00:00Z,1.07
2020-07-08T12:30:00Z,0.88
2020-07-08T13:00:00Z,1.45
2020-07-08T13:30:00Z,1.28
2020-07-08T14:00:00Z,1.27
2020-07-08T14:30:00Z,1.15
2020-07-08T15:00:00Z,1.65
2020-07-08T15:30:00Z,0.68
2020-07-08T16:00:00Z,0.75
2020-07-08T16:30:00Z,1.03
2020-07-08T17:00:00Z,1.56
2020-07-08T17:30:00Z,1.02
2020-07-08T18:00:00Z,0.7
2020-07-08T18:30:00Z,1.09
2020-07-08T19:00:00Z,0.77
2020-07-08T19:30:00Z,0.42
2020-07-08T20:00:00Z,0.38
2020-07-08T20:30:00Z,0.39
2020-07-08T21:00:00Z,0.38
2020-07-08T21:30:00Z,0.42
2020-07-08T22:00:00Z,0.35
2020-07-08T22:30:00Z,0.38
2020-07-08T23:00:00Z,0.42
2020-07-08T23:30:00Z,0.38
2020-07-09T00:00:00Z,0.31
2020-07-09T00:30:00Z,0.21
2020-07-09T01:00:00Z,0.25
2020-07-09T01:30:00Z,0.32
2020-07-09T02:00:00Z,0.35
2020-07-09T02:30:00Z,0.35
2020-07-09T03:00:00Z,0.24
2020-07-09T03:30:00Z,0.16
2020-07-09T04:00:00Z,0.34
2020-07-09T04:30:00Z,0.3
2020-07-09T05:00:00Z,0.19
2020-07-09T05:30:00Z,0.29
2020-07-09T06:00:00Z,0.24
2020-07-09T06:30:00Z,0.27
2020-07-09T07:00:00Z,0.24
2020-07-09T07:30:00Z,0.24
2020-07-09T08:00:00Z,0.2
2020-07-09T08:30:00Z,0.49
2020-07-09T09:00:00Z,0.82
2020-07-09T09:30:00Z,0.86
2020-07-09T10:00:00Z,0.72
2020-07-09T10:30:00Z,1.1
2020-07-09T11:00:00Z,0.74
2020-07-09T11:30:00Z,0.97
2020-07-09T12:00:00Z,0.79
2020-07-09T12:30:00Z,1.15
2020-07-09T13:00:00Z,1.22
2020-07-09T13:30:00Z,1.14
2020-07-09T14:00:00Z,1.46
2020-07-09T14:30:00Z,1.27
2020-07-09T15:00:00Z,1.54
2020-07-09T15:30:00Z,1.91
2020-07-09T16:00:00Z,1.53
2020-07-09T16:30:00Z,1.42
2020-07-09T17:00:00Z,1.65
2020-07-09T17:30:00Z,1.1
2020-07-09T18:00:00Z,0.96
2020-07-09T18:30:00Z,0.68
2020-07-09T19:00:00Z,0.72
2020-07-09T19:30:00Z,0.41
2020-07-09T20:00:00Z,0.34
2020-07-09T20:30:00Z,0.27
2020-07-09T21:00:00Z,0.35
2020-07-09T21:30:00Z,0.3
2020-07-09T22:00:00Z,0.32
2020-07-09T22:30:00Z,0.38
2020-07-09T23:00:00Z,0.36
2020-07-09T23:30:00Z,0.37
NA,0.58
2020-07-10T00:30:00Z,0.24
2020-07-10T01:00:00Z,0.48
2020-07-10T01:30:00Z,0.52
2020-07-10T02:00:00Z,0.4
2020-07-10T02:30:00Z,0.32
2020-07-10T03:00:00Z,0.33
2020-07-10T03:30:00Z,0.22
2020-07-10T04:00:00Z,0.42
2020-07-10T04:30:00Z,0.3
2020-07-10T05:00:00Z,0.31
2020-07-10T05:30:00Z,0.4
2020-07-10T06:00:00Z,0.22
2020-07-10T06:30:00Z,0.36
2020-07-10T07:00:00Z,0.31
2020-07-10T07:30:00Z,0.27
2020-07-10T08:00:00Z,0.32
2020-07-10T08:30:00Z,0.23
2020-07-10T09:00:00Z,0.42
2020-07-10T09:30:00Z,0.67
2020-07-10T10:00:00Z,0.52
2020-07-10T10:30:00Z,0.27
2020-07-10T11:00:00Z,0.68
2020-07-10T11:30:00Z,0.6
2020-07-10T12:00:00Z,0.86
2020-07-10T12:30:00Z,0.8
2020-07-10T13:00:00Z,1.17
2020-07-10T13:30:00Z,1.62
2020-07-10T14:00:00Z,1.12
2020-07-10T14:30:00Z,1
2020-07-10T15:00:00Z,1.49
2020-07-10T15:30:00Z,1.75
2020-07-10T16:00:00Z,1.16
2020-07-10T16:30:00Z,1.57
2020-07-10T17:00:00Z,1.83
2020-07-10T17:30:00Z,1.27
2020-07-10T18:00:00Z,1.23
2020-07-10T18:30:00Z,0.87
2020-07-10T19:00:00Z,0.63
2020-07-10T19:30:00Z,0.66
2020-07-10T20:00:00Z,0.36
2020-07-10T20:30:00Z,0.29
2020-07-10T21:00:00Z,0.34
2020-07-10T21:30:00Z,0.35
2020-07-10T22:00:00Z,0.38
2020-07-10T22:30:00Z,0.36
2020-07-10T23:00:00Z,0.38
2020-07-10T23:30:00Z,0.31
2020-07-11T00:00:00Z,0.31
2020-07-11T00:30:00Z,0.28
2020-07-11T01:00:00Z,0.29
2020-07-11T01:30:00Z,0.27
2020-07-11T02:00:00Z,0.26
2020-07-11T02:30:00Z,0.26
2020-07-11T03:00:00Z,0.18
2020-07-11T03:30:00Z,0.24
2020-07-11T04:00:00Z,0.32
2020-07-11T04:30:00Z,0.33
2020-07-11T05:00:00Z,0.32
2020-07-11T05:30:00Z,0.27
2020-07-11T06:00:00Z,0.24
2020-07-11T06:30:00Z,0.37
2020-07-11T07:00:00Z,0.31
2020-07-11T07:30:00Z,0.32
2020-07-11T08:00:00Z,0.34
2020-07-11T08:30:00Z,0.34
2020-07-11T09:00:00Z,0.67
2020-07-11T09:30:00Z,0.7
2020-07-11T10:00:00Z,0.91
2020-07-11T10:30:00Z,1.17
2020-07-11T11:00:00Z,0.97
2020-07-11T11:30:00Z,0.75
2020-07-11T12:00:00Z,0.76
2020-07-11T12:30:00Z,1.18
2020-07-11T13:00:00Z,1.28
2020-07-11T13:30:00Z,1.12
2020-07-11T14:00:00Z,1.03
2020-07-11T14:30:00Z,0.9
2020-07-11T15:00:00Z,0.95
2020-07-11T15:30:00Z,1.11
2020-07-11T16:00:00Z,0.82
2020-07-11T16:30:00Z,0.94
2020-07-11T17:00:00Z,0.78
2020-07-11T17:30:00Z,0.79
2020-07-11T18:00:00Z,1.06
2020-07-11T18:30:00Z,0.66
2020-07-11T19:00:00Z,0.59
2020-07-11T19:30:00Z,0.47
2020-07-11T20:00:00Z,0.37
2020-07-11T20:30:00Z,0.26
2020-07-11T21:00:00Z,0.23
2020-07-11T21:30:00Z,0.27
2020-07-11T22:00:00Z,0.34
2020-07-11T22:30:00Z,0.34
2020-07-11T23:00:00Z,0.27
2020-07-11T23:30:00Z,0.3
2020-07-12T00:00:00Z,0.28
2020-07-12T00:30:00Z,0.31
2020-07-12T01:00:00Z,0.31
2020-07-12T01:30:00Z,0.34
2020-07-12T02:00:00Z,0.31
2020-07-12T02:30:00Z,0.24
2020-07-12T03:00:00Z,0.33
2020-07-12T03:30:00Z,0.38
2020-07-12T04:00:00Z,0.5
2020-07-12T04:30:00Z,0.57
2020-07-12T05:00:00Z,0.44
2020-07-12T05:30:00Z,0.37
2020-07-12T06:00:00Z,0.41
2020-07-12T06:30:00Z,0.37
2020-07-12T07:00:00Z,0.4
2020-07-12T07:30:00Z,0.47
2020-07-12T08:00:00Z,0.29
2020-07-12T08:30:00Z,0.39
2020-07-12T09:00:00Z,0.41
2020-07-12T09:30:00Z,0.29
2020-07-12T10:00:00Z,0.35
2020-07-12T10:30:00Z,1
2020-07-12T11:00:00Z,1.21
2020-07-12T11:30:00Z,1.63
2020-07-12T12:00:00Z,1.5
2020-07-12T12:30:00Z,2.02
2020-07-12T13:00:00Z,1.89
2020-07-12T13:30:00Z,1.89
2020-07-12T14:00:00Z,1.24
2020-07-12T14:30:00Z,1.76
2020-07-12T15:00:00Z,2.44
2020-07-12T15:30:00Z,1.9
2020-07-12T16:00:00Z,2.15
2020-07-12T16:30:00Z,1.96
2020-07-12T17:00:00Z,1.7
2020-07-12T17:30:00Z,1.24
2020-07-12T18:00:00Z,1.3
2020-07-12T18:30:00Z,1.21
2020-07-12T19:00:00Z,1.32
2020-07-12T19:30:00Z,0.46
2020-07-12T20:00:00Z,0.33
2020-07-12T20:30:00Z,0.34
2020-07-12T21:00:00Z,0.39
2020-07-12T21:30:00Z,0.36
2020-07-12T22:00:00Z,0.35
2020-07-12T22:30:00Z,0.41
2020-07-12T23:00:00Z,0.38
2020-07-12T23:30:00Z,0.41
2020-07-13T00:00:00Z,0.37
2020-07-13T00:30:00Z,0.3
2020-07-13T01:00:00Z,0.44
2020-07-13T01:30:00Z,0.45
2020-07-13T02:00:00Z,0.33
2020-07-13T02:30:00Z,0.38
2020-07-13T03:00:00Z,0.33
2020-07-13T03:30:00Z,0.29
2020-07-13T04:00:00Z,0.41
2020-07-13T04:30:00Z,0.32
2020-07-13T05:00:00Z,0.47
2020-07-13T05:30:00Z,0.36
2020-07-13T06:00:00Z,0.31
2020-07-13T06:30:00Z,0.38
2020-07-13T07:00:00Z,0.32
2020-07-13T07:30:00Z,0.38
2020-07-13T08:00:00Z,0.39
2020-07-13T08:30:00Z,0.5
2020-07-13T09:00:00Z,0.58
2020-07-13T09:30:00Z,0.76
2020-07-13T10:00:00Z,1.01
2020-07-13T10:30:00Z,1.68
2020-07-13T11:00:00Z,1.14
2020-07-13T11:30:00Z,1.84
2020-07-13T12:00:00Z,1.84
2020-07-13T12:30:00Z,1.96
2020-07-13T13:00:00Z,1.73
2020-07-13T13:30:00Z,2.13
2020-07-13T14:00:00Z,1.7
2020-07-13T14:30:00Z,2.02
2020-07-13T15:00:00Z,1.93
2020-07-13T15:30:00Z,2.13
2020-07-13T16:00:00Z,2.07
2020-07-13T16:30:00Z,1.66
2020-07-13T17:00:00Z,1.62
2020-07-13T17:30:00Z,1.49
2020-07-13T18:00:00Z,1.54
2020-07-13T18:30:00Z,1.15
2020-07-13T19:00:00Z,1.44
2020-07-13T19:30:00Z,0.72
2020-07-13T20:00:00Z,0.3
2020-07-13T20:30:00Z,0.4
2020-07-13T21:00:00Z,0.3
2020-07-13T21:30:00Z,0.35
2020-07-13T22:00:00Z,0.41
2020-07-13T22:30:00Z,0.49
2020-07-13T23:00:00Z,0.46
2020-07-13T23:30:00Z,0.34
2020-07-14T00:00:00Z,0.44
2020-07-14T00:30:00Z,0.41
2020-07-14T01:00:00Z,0.32
2020-07-14T01:30:00Z,0.4
2020-07-14T02:00:00Z,0.45
2020-07-14T02:30:00Z,0.41
2020-07-14T03:00:00Z,0.39
2020-07-14T03:30:00Z,0.37
2020-07-14T04:00:00Z,0.31
2020-07-14T04:30:00Z,0.31
2020-07-14T05:00:00Z,0.36
2020-07-14T05:30:00Z,0.26
2020-07-14T06:00:00Z,0.3
2020-07-14T06:30:00Z,0.25
2020-07-14T07:00:00Z,0.23
2020-07-14T07:30:00Z,0.29
2020-07-14T08:00:00Z,0.3
2020-07-14T08:30:00Z,0.45
2020-07-14T09:00:00Z,0.9
2020-07-14T09:30:00Z,1
2020-07-14T10:00:00Z,0.97
2020-07-14T10:30:00Z,1.18
2020-07-14T11:00:00Z,0.89
2020-07-14T11:30:00Z,1.22
2020-07-14T12:00:00Z,1.47
2020-07-14T12:30:00Z,1.58
2020-07-14T13:00:00Z,1.63
2020-07-14T13:30:00Z,2.2
2020-07-14T14:00:00Z,2.31
2020-07-14T14:30:00Z,2.16
2020-07-14T15:00:00Z,2.04
2020-07-14T15:30:00Z,1.75
2020-07-14T16:00:00Z,1.96
2020-07-14T16:30:00Z,1.95
2020-07-14T17:00:00Z,1.94
2020-07-14T17:30:00Z,1.71
2020-07-14T18:00:00Z,1.6
2020-07-14T18:30:00Z,1.64
2020-07-14T19:00:00Z,0.95
2020-07-14T19:30:00Z,0.98
2020-07-14T20:00:00Z,0.58
2020-07-14T20:30:00Z,0.25
2020-07-14T21:00:00Z,0.39
2020-07-14T21:30:00Z,0.4
2020-07-14T22:00:00Z,0.36
2020-07-14T22:30:00Z,0.4
2020-07-14T23:00:00Z,0.45
2020-07-14T23:30:00Z,0.4
2020-07-15T00:00:00Z,0.33
2020-07-15T00:30:00Z,0.38
2020-07-15T01:00:00Z,0.34
2020-07-15T01:30:00Z,0.33
2020-07-15T02:00:00Z,0.33
2020-07-15T02:30:00Z,0.36
2020-07-15T03:00:00Z,0.32
2020-07-15T03:30:00Z,0.31
2020-07-15T04:00:00Z,0.29
2020-07-15T04:30:00Z,0.38
2020-07-15T05:00:00Z,0.23
2020-07-15T05:30:00Z,0.26
2020-07-15T06:00:00Z,0.25
2020-07-15T06:30:00Z,0.36
2020-07-15T07:00:00Z,0.3
2020-07-15T07:30:00Z,0.29
2020-07-15T08:00:00Z,0.32
2020-07-15T08:30:00Z,0.29
2020-07-15T09:00:00Z,0.74
2020-07-15T09:30:00Z,0.44
2020-07-15T10:00:00Z,0.83
2020-07-15T10:30:00Z,0.79
2020-07-15T11:00:00Z,0.8
2020-07-15T11:30:00Z,1.27
2020-07-15T12:00:00Z,1.84
2020-07-15T12:30:00Z,1.49
2020-07-15T13:00:00Z,1.7
2020-07-15T13:30:00Z,2
2020-07-15T14:00:00Z,2.19
2020-07-15T14:30:00Z,1.88
2020-07-15T15:00:00Z,1.75
2020-07-15T15:30:00Z,2.11
2020-07-15T16:00:00Z,1.66
2020-07-15T16:30:00Z,1.1
2020-07-15T17:00:00Z,1.22
2020-07-15T17:30:00Z,1.64
2020-07-15T18:00:00Z,1.16
2020-07-15T18:30:00Z,0.87
2020-07-15T19:00:00Z,0.4
2020-07-15T19:30:00Z,0.28
2020-07-15T20:00:00Z,0.28
2020-07-15T20:30:00Z,0.28
2020-07-15T21:00:00Z,0.29
2020-07-15T21:30:00Z,0.27
2020-07-15T22:00:00Z,0.33
2020-07-15T22:30:00Z,0.36
2020-07-15T23:00:00Z,0.38
2020-07-15T23:30:00Z,0.37
2020-07-16T00:00:00Z,0.33
2020-07-16T00:30:00Z,0.34
2020-07-16T01:00:00Z,0.23
2020-07-16T01:30:00Z,0.3
2020-07-16T02:00:00Z,0.28
2020-07-16T02:30:00Z,0.33
2020-07-16T03:00:00Z,0.24
2020-07-16T03:30:00Z,0.26
2020-07-16T04:00:00Z,0.29
2020-07-16T04:30:00Z,0.29
2020-07-16T05:00:00Z,0.34
2020-07-16T05:30:00Z,0.26
2020-07-16T06:00:00Z,0.33
2020-07-16T06:30:00Z,0.32
2020-07-16T07:00:00Z,0.31
2020-07-16T07:30:00Z,0.37
2020-07-16T08:00:00Z,0.3
2020-07-16T08:30:00Z,0.4
2020-07-16T09:00:00Z,0.88
2020-07-16T09:30:00Z,0.85
2020-07-16T10:00:00Z,1.11
2020-07-16T10:30:00Z,0.96
2020-07-16T11:00:00Z,0.91
2020-07-16T11:30:00Z,0.96
2020-07-16T12:00:00Z,0.94
2020-07-16T12:30:00Z,0.99
2020-07-16T13:00:00Z,1.06
2020-07-16T13:30:00Z,1.09
2020-07-16T14:00:00Z,0.9
2020-07-16T14:30:00Z,0.92
2020-07-16T15:00:00Z,1.24
2020-07-16T15:30:00Z,1.2
2020-07-16T16:00:00Z,1.41
2020-07-16T16:30:00Z,1.5
2020-07-16T17:00:00Z,1.51
2020-07-16T17:30:00Z,1.16
2020-07-16T18:00:00Z,0.32
2020-07-16T18:30:00Z,0.68
2020-07-16T19:00:00Z,0.59
2020-07-16T19:30:00Z,0.88
2020-07-16T20:00:00Z,0.56
2020-07-16T20:30:00Z,0.23
2020-07-16T21:00:00Z,0.22
2020-07-16T21:30:00Z,0.3
2020-07-16T22:00:00Z,0.3
2020-07-16T22:30:00Z,0.37
2020-07-16T23:00:00Z,0.31
2020-07-16T23:30:00Z,0.31
2020-07-17T00:00:00Z,0.3
2020-07-17T00:30:00Z,0.37
2020-07-17T01:00:00Z,0.4
2020-07-17T01:30:00Z,0.38
2020-07-17T02:00:00Z,0.4
2020-07-17T02:30:00Z,0.38
2020-07-17T03:00:00Z,0.3
2020-07-17T03:30:00Z,0.37
2020-07-17T04:00:00Z,0.36
2020-07-17T04:30:00Z,0.35
2020-07-17T05:00:00Z,0.39
2020-07-17T05:30:00Z,0.34
2020-07-17T06:00:00Z,0.36
2020-07-17T06:30:00Z,0.43
2020-07-17T07:00:00Z,0.24
2020-07-17T07:30:00Z,0.28
2020-07-17T08:00:00Z,0.28
2020-07-17T08:30:00Z,0.53
2020-07-17T09:00:00Z,0.61
2020-07-17T09:30:00Z,0.55
2020-07-17T10:00:00Z,0.91
2020-07-17T10:30:00Z,1.54
2020-07-17T11:00:00Z,0.7
2020-07-17T11:30:00Z,0.41
2020-07-17T12:00:00Z,0.8
2020-07-17T12:30:00Z,0.67
2020-07-17T13:00:00Z,0.33
