datetime,wnd
2020-07-21T15:00:00Z,1.33
2020-07-21T15:30:00Z,1.94
2020-07-21T16:00:00Z,1.91
2020-07-21T16:30:00Z,1.36
2020-07-21T17:00:00Z,1.89
2020-07-21T17:30:00Z,1.52
2020-07-21T18:00:00Z,1.48
2020-07-21T18:30:00Z,1.33
2020-07-21T19:00:00Z,1.2
2020-07-21T19:30:00Z,1.38
2020-07-21T20:00:00Z,0.6
2020-07-21T20:30:00Z,0.33
2020-07-21T21:00:00Z,0.65
2020-07-21T21:30:00Z,0.78
2020-07-21T22:00:00Z,0.78
2020-07-21T22:30:00Z,0.85
2020-07-21T23:00:00Z,0.82
2020-07-21T23:30:00Z,0.9
2020-07-22T00:00:00Z,0.94
2020-07-22T00:30:00Z,0.92
2020-07-22T01:00:00Z,0.86
2020-07-22T01:30:00Z,0.77
2020-07-22T02:00:00Z,0.75
2020-07-22T02:30:00Z,0.91
2020-07-22T03:00:00Z,0.8
2020-07-22T03:30:00Z,0.82
2020-07-22T04:00:00Z,0.79
2020-07-22T04:30:00Z,0.86
2020-07-22T05:00:00Z,0.92
2020-07-22T05:30:00Z,1.02
2020-07-22T06:00:00Z,0.84
2020-07-22T06:30:00Z,0.88
2020-07-22T07:00:00Z,0.8
2020-07-22T07:30:00Z,0.9
2020-07-22T08:00:00Z,0.9
2020-07-22T08:30:00Z,0.82
2020-07-22T09:00:00Z,0.7
2020-07-22T09:30:00Z,0.59
2020-07-22T10:00:00Z,0.35
2020-07-22T10:30:00Z,0.74
2020-07-22T11:00:00Z,0.65
2020-07-22T11:30:00Z,0.58
2020-07-22T12:00:00Z,0.96
2020-07-22T12:30:00Z,0.87
2020-07-22T13:00:00Z,1.12
2020-07-22T13:30:00Z,1.87
2020-07-22T14:00:00Z,2.37
2020-07-22T14:30:00Z,2.37
2020-07-22T15:00:00Z,1.79
2020-07-22T15:30:00Z,1.11
2020-07-22T16:00:00Z,0.75
2020-07-22T16:30:00Z,0.59
2020-07-22T17:00:00Z,1.95
2020-07-22T17:30:00Z,1.61
2020-07-22T18:00:00Z,0.7
2020-07-22T18:30:00Z,0.52
2020-07-22T19:00:00Z,0.54
2020-07-22T19:30:00Z,0.49
2020-07-22T20:00:00Z,0.49
2020-07-22T20:30:00Z,0.61
2020-07-22T21:00:00Z,0.72
2020-07-22T21:30:00Z,0.78
2020-07-22T22:00:00Z,0.78
2020-07-22T22:30:00Z,0.74
2020-07-22T23:00:00Z,0.71
2020-07-22T23:30:00Z,0.89
2020-07-23T00:00:00Z,0.89
2020-07-23T00:30:00Z,1.07
2020-07-23T01:00:00Z,0.84
2020-07-23T01:30:00Z,0.76
2020-07-23T02:00:00Z,1.52
2020-07-23T02:30:00Z,0.81
2020-07-23T03:00:00Z,0.53
2020-07-23T03:30:00Z,0.58
2020-07-23T04:00:00Z,1.19
2020-07-23T04:30:00Z,1.28
2020-07-23T05:00:00Z,0.53
2020-07-23T05:30:00Z,0.73
2020-07-23T06:00:00Z,0.8
2020-07-23T06:30:00Z,0.63
2020-07-23T07:00:00Z,0.6
2020-07-23T07:30:00Z,0.66
2020-07-23T08:00:00Z,0.63
2020-07-23T08:30:00Z,0.6
2020-07-23T09:00:00Z,0.47
2020-07-23T09:30:00Z,0.93
2020-07-23T10:00:00Z,1
2020-07-23T10:30:00Z,1.74
2020-07-23T11:00:00Z,1.93
2020-07-23T11:30:00Z,2.02
2020-07-23T12:00:00Z,1.69
2020-07-23T12:30:00Z,1.73
2020-07-23T13:00:00Z,1.84
2020-07-23T13:30:00Z,1.44
2020-07-23T14:00:00Z,1.37
2020-07-23T14:30:00Z,1.51
2020-07-23T15:00:00Z,1.47
2020-07-23T15:30:00Z,1.85
2020-07-23T16:00:00Z,3.03
2020-07-23T16:30:00Z,0.41
2020-07-23T17:00:00Z,0.28
2020-07-23T17:30:00Z,0.34
2020-07-23T18:00:00Z,1.21
2020-07-23T18:30:00Z,1.21
2020-07-23T19:00:00Z,0.38
2020-07-23T19:30:00Z,0.47
2020-07-23T20:00:00Z,0.46
2020-07-23T20:30:00Z,0.57
2020-07-23T21:00:00Z,0.67
2020-07-23T21:30:00Z,0.63
2020-07-23T22:00:00Z,0.62
2020-07-23T22:30:00Z,0.65
2020-07-23T23:00:00Z,0.67
2020-07-23T23:30:00Z,0.64
2020-07-24T00:00:00Z,0.67
2020-07-24T00:30:00Z,0.69
2020-07-24T01:00:00Z,0.68
2020-07-24T01:30:00Z,0.65
2020-07-24T02:00:00Z,0.56
2020-07-24T02:30:00Z,0.64
2020-07-24T03:00:00Z,0.73
2020-07-24T03:30:00Z,0.84
2020-07-24T04:00:00Z,1.01
2020-07-24T04:30:00Z,1.04
2020-07-24T05:00:00Z,1.01
2020-07-24T05:30:00Z,0.89
2020-07-24T06:00:00Z,1.01
2020-07-24T06:30:00Z,0.87
2020-07-24T07:00:00Z,0.83
2020-07-24T07:30:00Z,0.89
2020-07-24T08:00:00Z,0.81
2020-07-24T08:30:00Z,0.81
2020-07-24T09:00:00Z,0.77
2020-07-24T09:30:00Z,1.41
2020-07-24T10:00:00Z,1.69
2020-07-24T10:30:00Z,1.81
2020-07-24T11:00:00Z,1.69
2020-07-24T11:30:00Z,1.51
2020-07-24T12:00:00Z,1.84
2020-07-24T12:30:00Z,1.65
2020-07-24T13:00:00Z,2.65
2020-07-24T13:30:00Z,2.42
2020-07-24T14:00:00Z,2.62
2020-07-24T14:30:00Z,2.08
2020-07-24T15:00:00Z,2.34
2020-07-24T15:30:00Z,2.66
2020-07-24T16:00:00Z,2.63
2020-07-24T16:30:00Z,2.43
2020-07-24T17:00:00Z,2.01
2020-07-24T17:30:00Z,2.01
2020-07-24T18:00:00Z,1.5
2020-07-24T18:30:00Z,1.64
2020-07-24T19:00:00Z,1.61
2020-07-24T19:30:00Z,1.06
2020-07-24T20:00:00Z,0.95
2020-07-24T20:30:00Z,1.51
2020-07-24T21:00:00Z,2.5
2020-07-24T21:30:00Z,2.12
2020-07-24T22:00:00Z,1.76
2020-07-24T22:30:00Z,1.46
2020-07-24T23:00:00Z,1.33
2020-07-24T23:30:00Z,0.85
2020-07-25T00:00:00Z,0.9
2020-07-25T00:30:00Z,0.95
2020-07-25T01:00:00Z,0.97
2020-07-25T01:30:00Z,0.88
2020-07-25T02:00:00Z,0.98
2020-07-25T02:30:00Z,1.28
2020-07-25T03:00:00Z,1.17
2020-07-25T03:30:00Z,1.22
2020-07-25T04:00:00Z,1.06
2020-07-25T04:30:00Z,0.99
2020-07-25T05:00:00Z,0.99
2020-07-25T05:30:00Z,0.91
2020-07-25T06:00:00Z,0.96
2020-07-25T06:30:00Z,0.93
2020-07-25T07:00:00Z,0.98
2020-07-25T07:30:00Z,0.92
2020-07-25T08:00:00Z,0.8
2020-07-25T08:30:00Z,0.94
2020-07-25T09:00:00Z,0.9
2020-07-25T09:30:00Z,1.14
2020-07-25T10:00:00Z,1.9
2020-07-25T10:30:00Z,2.09
2020-07-25T11:00:00Z,2.21
2020-07-25T11:30:00Z,1.51
2020-07-25T12:00:00Z,2.06
2020-07-25T12:30:00Z,1.83
2020-07-25T13:00:00Z,1.89
2020-07-25T13:30:00Z,1.76
2020-07-25T14:00:00Z,2.08
2020-07-25T14:30:00Z,2.12
2020-07-25T15:00:00Z,1.95
2020-07-25T15:30:00Z,1.69
2020-07-25T16:00:00Z,1.98
2020-07-25T16:30:00Z,1.76
2020-07-25T17:00:00Z,1.91
2020-07-25T17:30:00Z,1.82
2020-07-25T18:00:00Z,1.78
2020-07-25T18:30:00Z,1.75
2020-07-25T19:00:00Z,1.66
2020-07-25T19:30:00Z,1.68
2020-07-25T20:00:00Z,1.46
2020-07-25T20:30:00Z,0.52
2020-07-25T21:00:00Z,0.69
2020-07-25T21:30:00Z,0.84
2020-07-25T22:00:00Z,0.83
2020-07-25T22:30:00Z,0.91
2020-07-25T23:00:00Z,0.97
2020-07-25T23:30:00Z,0.87
2020-07-26T00:00:00Z,0.84
2020-07-26T00:30:00Z,0.98
2020-07-26T01:00:00Z,1.01
2020-07-26T01:30:00Z,1.02
2020-07-26T02:00:00Z,1.07
2020-07-26T02:30:00Z,1.11
2020-07-26T03:00:00Z,1.04
2020-07-26T03:30:00Z,1.08
2020-07-26T04:00:00Z,1.07
2020-07-26T04:30:00Z,1.02
2020-07-26T05:00:00Z,1.14
2020-07-26T05:30:00Z,1.03
2020-07-26T06:00:00Z,1.16
2020-07-26T06:30:00Z,1.17
2020-07-26T07:00:00Z,1.13
2020-07-26T07:30:00Z,1.14
2020-07-26T08:00:00Z,1.17
2020-07-26T08:30:00Z,1.07
2020-07-26T09:00:00Z,0.7
2020-07-26T09:30:00Z,0.44
2020-07-26T10:00:00Z,1.13
2020-07-26T10:30:00Z,1.79
2020-07-26T11:00:00Z,2.39
2020-07-26T11:30:00Z,2.64
2020-07-26T12:00:00Z,2.57
2020-07-26T12:30:00Z,2.37
2020-07-26T13:00:00Z,2.43
2020-07-26T13:30:00Z,2.53
2020-07-26T14:00:00Z,2.54
2020-07-26T14:30:00Z,2.58
2020-07-26T15:00:00Z,2.41
2020-07-26T15:30:00Z,2.18
2020-07-26T16:00:00Z,2.22
2020-07-26T16:30:00Z,2.14
2020-07-26T17:00:00Z,2.14
2020-07-26T17:30:00Z,2.27
2020-07-26T18:00:00Z,2.39
2020-07-26T18:30:00Z,2.09
2020-07-26T19:00:00Z,2.1
2020-07-26T19:30:00Z,1.74
2020-07-26T20:00:00Z,1.29
2020-07-26T20:30:00Z,0.46
2020-07-26T21:00:00Z,0.55
2020-07-26T21:30:00Z,0.73
2020-07-26T22:00:00Z,0.8
2020-07-26T22:30:00Z,0.89
2020-07-26T23:00:00Z,0.88
2020-07-26T23:30:00Z,1
2020-07-27T00:00:00Z,1.1
2020-07-27T00:30:00Z,1.18
2020-07-27T01:00:00Z,1.18
2020-07-27T01:30:00Z,1.25
2020-07-27T02:00:00Z,1.27
2020-07-27T02:30:00Z,1.18
2020-07-27T03:00:00Z,1.2
2020-07-27T03:30:00Z,1.29
2020-07-27T04:00:00Z,1.25
2020-07-27T04:30:00Z,1.3
2020-07-27T05:00:00Z,1.23
2020-07-27T05:30:00Z,1.26
2020-07-27T06:00:00Z,1.29
2020-07-27T06:30:00Z,1.29
2020-07-27T07:00:00Z,1.29
2020-07-27T07:30:00Z,1.31
2020-07-27T08:00:00Z,1.16
2020-07-27T08:30:00Z,1.17
2020-07-27T09:00:00Z,0.9
2020-07-27T09:30:00Z,0.6
2020-07-27T10:00:00Z,0.25
2020-07-27T10:30:00Z,0.23
2020-07-27T11:00:00Z,0.25
2020-07-27T11:30:00Z,1.05
2020-07-27T12:00:00Z,2.23
2020-07-27T12:30:00Z,2.07
2020-07-27T13:00:00Z,1.75
2020-07-27T13:30:00Z,2.13
2020-07-27T14:00:00Z,2.56
2020-07-27T14:30:00Z,2.16
2020-07-27T15:00:00Z,1.3
2020-07-27T15:30:00Z,1.26
2020-07-27T16:00:00Z,1.4
2020-07-27T16:30:00Z,1.49
2020-07-27T17:00:00Z,1.47
2020-07-27T17:30:00Z,1.09
2020-07-27T18:00:00Z,1.13
2020-07-27T18:30:00Z,1.31
2020-07-27T19:00:00Z,1.19
2020-07-27T19:30:00Z,0.94
2020-07-27T20:00:00Z,0.73
2020-07-27T20:30:00Z,0.33
2020-07-27T21:00:00Z,0.53
2020-07-27T21:30:00Z,0.72
2020-07-27T22:00:00Z,0.8
2020-07-27T22:30:00Z,0.87
2020-07-27T23:00:00Z,0.87
2020-07-27T23:30:00Z,0.96
2020-07-28T00:00:00Z,0.95
2020-07-28T00:30:00Z,1
2020-07-28T01:00:00Z,0.97
2020-07-28T01:30:00Z,0.87
2020-07-28T02:00:00Z,0.84
2020-07-28T02:30:00Z,0.81
2020-07-28T03:00:00Z,0.88
2020-07-28T03:30:00Z,0.85
2020-07-28T04:00:00Z,0.92
2020-07-28T04:30:00Z,0.98
2020-07-28T05:00:00Z,0.82
2020-07-28T05:30:00Z,0.85
2020-07-28T06:00:00Z,0.83
2020-07-28T06:30:00Z,0.78
2020-07-28T07:00:00Z,0.78
2020-07-28T07:30:00Z,0.7
2020-07-28T08:00:00Z,0.64
2020-07-28T08:30:00Z,0.58
2020-07-28T09:00:00Z,0.6
2020-07-28T09:30:00Z,0.66
2020-07-28T10:00:00Z,0.59
2020-07-28T10:30:00Z,1.46
2020-07-28T11:00:00Z,1.62
2020-07-28T11:30:00Z,1.52
2020-07-28T12:00:00Z,1.52
2020-07-28T12:30:00Z,1.28
2020-07-28T13:00:00Z,1.27
2020-07-28T13:30:00Z,1.34
2020-07-28T14:00:00Z,1.68
2020-07-28T14:30:00Z,2.08
2020-07-28T15:00:00Z,2.2
2020-07-28T15:30:00Z,1.51
2020-07-28T16:00:00Z,2.05
2020-07-28T16:30:00Z,1.7
2020-07-28T17:00:00Z,1.74
2020-07-28T17:30:00Z,1.58
2020-07-28T18:00:00Z,1.57
2020-07-28T18:30:00Z,1.53
2020-07-28T19:00:00Z,1.89
2020-07-28T19:30:00Z,1.37
2020-07-28T20:00:00Z,0.42
2020-07-28T20:30:00Z,0.61
2020-07-28T21:00:00Z,0.91
2020-07-28T21:30:00Z,0.78
2020-07-28T22:00:00Z,0.78
2020-07-28T22:30:00Z,0.81
2020-07-28T23:00:00Z,0.83
2020-07-28T23:30:00Z,0.8
2020-07-29T00:00:00Z,0.67
2020-07-29T00:30:00Z,0.76
2020-07-29T01:00:00Z,0.65
2020-07-29T01:30:00Z,0.73
2020-07-29T02:00:00Z,0.84
2020-07-29T02:30:00Z,0.82
2020-07-29T03:00:00Z,0.83
2020-07-29T03:30:00Z,0.92
2020-07-29T04:00:00Z,0.86
2020-07-29T04:30:00Z,0.86
2020-07-29T05:00:00Z,0.87
2020-07-29T05:30:00Z,0.87
2020-07-29T06:00:00Z,0.81
2020-07-29T06:30:00Z,0.84
2020-07-29T07:00:00Z,0.86
2020-07-29T07:30:00Z,0.76
2020-07-29T08:00:00Z,0.83
2020-07-29T08:30:00Z,0.81
2020-07-29T09:00:00Z,0.63
2020-07-29T09:30:00Z,0.5
2020-07-29T10:00:00Z,1.46
2020-07-29T10:30:00Z,1.8
2020-07-29T11:00:00Z,1.59
2020-07-29T11:30:00Z,1.92
2020-07-29T12:00:00Z,1.53
2020-07-29T12:30:00Z,1.47
2020-07-29T13:00:00Z,1.49
