7450-671179
OS REV: 1.04 Sensor Cal: 1560966684
Time (sec),  BV (Volts),  T (deg C),  DO (mg/l),  Q ()
1627947540,+3.04,+20.116, +7.799,+0.978
1627948140,+3.04,+20.125, +7.805,+0.978
1627948740,+3.04,+20.116, +7.797,+0.978
1627949340,+3.04,+20.100, +7.788,+0.978
1627949940,+3.03,+20.074, +7.794,+0.978
1627950540,+3.03,+20.083, +7.787,+0.978
1627951140,+3.04,+20.083, +7.790,+0.978
1627951740,+3.03,+20.100, +7.809,+0.978
1627952340,+3.03,+20.100, +7.811,+0.978
1627952940,+3.04,+20.091, +7.798,+0.978
1627953540,+3.04,+20.074, +7.802,+0.978
1627954140,+3.04,+20.100, +7.793,+0.978
1627954740,+3.04,+20.125, +7.782,+0.978
1627955340,+3.04,+20.108, +7.816,+0.978
1627955940,+3.04,+20.133, +7.783,+0.977
1627956540,+3.04,+20.150, +7.792,+0.977
1627957140,+3.04,+20.150, +7.807,+0.978
1627957740,+3.04,+20.158, +7.781,+0.978
1627958340,+3.04,+20.175, +7.775,+0.978
1627958940,+3.04,+20.183, +7.773,+0.978
1627959540,+3.04,+20.167, +7.778,+0.978
1627960140,+3.04,+20.175, +7.762,+0.977
1627960740,+3.04,+20.116, +7.806,+0.978
1627961340,+3.03,+20.074, +7.795,+0.978
1627961940,+3.03,+20.058, +7.803,+0.978
1627962540,+3.03,+20.066, +7.780,+0.977
1627963140,+3.03,+20.058, +7.782,+0.978
1627963740,+3.03,+20.100, +7.771,+0.978
1627964340,+3.03,+20.091, +7.772,+0.978
1627964940,+3.03,+20.074, +7.778,+0.978
1627965540,+3.03,+20.100, +7.763,+0.977
1627966140,+3.04,+20.091, +7.761,+0.978
1627966740,+3.03,+20.100, +7.766,+0.978
1627967340,+3.03,+20.083, +7.770,+0.978
1627967940,+3.03,+20.074, +7.762,+0.977
1627968540,+3.03,+20.091, +7.747,+0.978
1627969140,+3.03,+20.091, +7.756,+0.978
1627969740,+3.03,+20.091, +7.771,+0.979
1627970340,+3.03,+20.083, +7.761,+0.978
1627970940,+3.03,+20.066, +7.763,+0.978
1627971540,+3.03,+20.074, +7.762,+0.978
1627972140,+3.03,+20.074, +7.752,+0.977
1627972740,+3.03,+20.066, +7.761,+0.978
1627973340,+3.03,+20.066, +7.750,+0.977
1627973940,+3.03,+20.058, +7.758,+0.978
1627974540,+3.03,+20.049, +7.738,+0.977
1627975140,+3.03,+20.033, +7.754,+0.978
1627975740,+3.03,+20.033, +7.747,+0.978
1627976340,+3.03,+20.041, +7.752,+0.978
1627976940,+3.03,+20.049, +7.744,+0.978
1627977540,+3.03,+20.049, +7.731,+0.977
1627978140,+3.03,+20.033, +7.745,+0.978
1627978740,+3.03,+20.007, +7.750,+0.978
1627979340,+3.03,+20.007, +7.741,+0.977
1627979940,+3.03,+20.033, +7.742,+0.978
1627980540,+3.03,+20.024, +7.742,+0.978
1627981140,+3.03,+20.024, +7.726,+0.977
1627981740,+3.03,+20.007, +7.745,+0.978
1627982340,+3.03,+20.024, +7.724,+0.978
1627982940,+3.03,+20.007, +7.726,+0.978
1627983540,+3.03,+19.999, +7.729,+0.978
1627984140,+3.03,+20.007, +7.716,+0.977
1627984740,+3.03,+19.999, +7.713,+0.977
1627985340,+3.03,+19.991, +7.724,+0.978
1627985940,+3.03,+19.974, +7.722,+0.978
1627986540,+3.03,+19.974, +7.711,+0.977
1627987140,+3.03,+19.982, +7.721,+0.978
1627987740,+3.03,+19.966, +7.722,+0.977
1627988340,+3.03,+19.966, +7.720,+0.978
1627988940,+3.03,+19.949, +7.712,+0.977
1627989540,+3.03,+19.940, +7.722,+0.978
1627990140,+3.03,+19.940, +7.714,+0.978
1627990740,+3.03,+19.932, +7.713,+0.978
1627991340,+3.03,+19.915, +7.718,+0.978
1627991940,+3.03,+19.907, +7.718,+0.978
1627992540,+3.03,+19.907, +7.721,+0.977
1627993140,+3.03,+19.882, +7.732,+0.978
1627993740,+3.03,+19.890, +7.726,+0.978
1627994340,+3.03,+19.882, +7.734,+0.978
1627994940,+3.03,+19.865, +7.731,+0.977
1627995540,+3.03,+19.873, +7.736,+0.978
1627996140,+3.03,+19.865, +7.731,+0.978
1627996740,+3.03,+19.848, +7.744,+0.978
1627997340,+3.03,+19.840, +7.736,+0.978
1627997940,+3.03,+19.848, +7.731,+0.977
1627998540,+3.03,+19.840, +7.743,+0.978
1627999140,+3.03,+19.823, +7.753,+0.978
1627999740,+3.03,+19.840, +7.751,+0.978
1628000340,+3.03,+19.823, +7.755,+0.977
1628000940,+3.03,+19.823, +7.762,+0.978
1628001540,+3.03,+19.806, +7.758,+0.977
1628002140,+3.03,+19.823, +7.749,+0.977
1628002740,+3.03,+19.815, +7.695,+0.978
1628003340,+3.03,+19.815, +7.756,+0.978
1628003940,+3.03,+19.823, +7.765,+0.978
1628004540,+3.03,+19.831, +7.755,+0.977
1628005140,+3.03,+19.831, +7.762,+0.978
1628005740,+3.03,+19.848, +7.764,+0.978
1628006340,+3.03,+19.873, +7.758,+0.977
1628006940,+3.03,+19.857, +7.777,+0.978
1628007540,+3.03,+19.873, +7.769,+0.978
1628008140,+3.03,+19.882, +7.775,+0.978
1628008740,+3.03,+19.890, +7.770,+0.978
1628009340,+3.03,+19.882, +7.775,+0.978
1628009940,+3.03,+19.882, +7.778,+0.978
1628010540,+3.03,+19.898, +7.765,+0.977
1628011140,+3.03,+19.915, +7.767,+0.978
1628011740,+3.03,+19.915, +7.772,+0.978
1628012340,+3.03,+19.898, +7.736,+0.978
1628012940,+3.03,+19.915, +7.746,+0.978
1628013540,+3.03,+19.907, +7.784,+0.978
1628014140,+3.03,+19.924, +7.786,+0.978
1628014740,+3.03,+19.940, +7.777,+0.978
1628015340,+3.03,+19.932, +7.793,+0.978
1628015940,+3.03,+19.940, +7.777,+0.978
1628016540,+3.03,+19.966, +7.778,+0.978
1628017140,+3.03,+19.957, +7.797,+0.978
1628017740,+3.03,+19.957, +7.796,+0.978
1628018340,+3.03,+19.957, +7.792,+0.978
1628018940,+3.03,+19.966, +7.805,+0.978
1628019540,+3.03,+19.974, +7.791,+0.978
1628020140,+3.03,+19.982, +7.801,+0.978
1628020740,+3.03,+20.007, +7.807,+0.978
1628021340,+3.03,+20.033, +7.805,+0.978
1628021940,+3.03,+20.041, +7.803,+0.978
1628022540,+3.03,+20.066, +7.809,+0.978
1628023140,+3.03,+20.091, +7.831,+0.978
1628023740,+3.03,+20.108, +7.821,+0.978
1628024340,+3.03,+20.074, +7.829,+0.978
1628024940,+3.03,+20.116, +7.831,+0.978
1628025540,+3.03,+20.133, +7.833,+0.977
1628026140,+3.03,+20.116, +7.833,+0.977
1628026740,+3.03,+20.133, +7.834,+0.978
1628027340,+3.03,+20.150, +7.840,+0.978
1628027940,+3.03,+20.192, +7.825,+0.978
1628028540,+3.03,+20.208, +7.812,+0.978
1628029140,+3.03,+20.242, +7.810,+0.978
1628029740,+3.03,+20.292, +7.805,+0.977
1628030340,+3.03,+20.334, +7.815,+0.978
1628030940,+3.03,+20.359, +7.808,+0.978
1628031540,+3.03,+20.359, +7.821,+0.977
1628032140,+3.03,+20.359, +7.830,+0.978
1628032740,+3.03,+20.401, +7.837,+0.979
1628033340,+3.03,+20.418, +7.843,+0.978
1628033940,+3.03,+20.460, +7.826,+0.978
