7450-277916
OS REV: 1.05 Sensor Cal: 1592497888
Time (sec),  BV (Volts),  T (deg C),  DO (mg/l),  Q ()
1658348400,+3.51,+14.926, +8.110,+0.975
1658349000,+3.51,+14.952, +8.089,+0.974
1658349600,+3.51,+14.978, +8.099,+0.975
1658350200,+3.51,+15.073, +8.089,+0.975
1658350800,+3.51,+15.055, +8.111,+0.975
1658351400,+3.51,+15.124, +8.086,+0.975
1658352000,+3.51,+15.090, +8.086,+0.974
1658352600,+3.51,+15.090, +8.095,+0.975
1658353200,+3.51,+15.098, +8.089,+0.975
1658353800,+3.51,+15.055, +8.100,+0.974
1658354400,+3.51,+15.021, +8.103,+0.975
1658355000,+3.51,+15.038, +8.110,+0.975
1658355600,+3.50,+15.167, +8.094,+0.975
1658356200,+3.50,+15.176, +8.087,+0.974
1658356800,+3.50,+15.184, +8.090,+0.974
1658357400,+3.50,+15.193, +8.090,+0.974
1658358000,+3.50,+15.236, +8.103,+0.975
1658358600,+3.50,+15.262, +8.099,+0.975
1658359200,+3.50,+15.322, +8.072,+0.974
1658359800,+3.50,+15.176, +8.130,+0.975
1658360400,+3.50,+15.184, +8.124,+0.974
1658361000,+3.50,+15.116, +8.130,+0.974
1658361600,+3.50,+15.236, +8.105,+0.974
1658362200,+3.50,+15.305, +8.097,+0.974
1658362800,+3.50,+15.262, +8.105,+0.975
1658363400,+3.50,+15.262, +8.111,+0.975
1658364000,+3.50,+15.313, +8.103,+0.975
1658364600,+3.50,+15.253, +8.101,+0.975
1658365200,+3.50,+15.219, +8.108,+0.975
1658365800,+3.50,+15.159, +8.105,+0.974
1658366400,+3.50,+15.150, +8.102,+0.975
1658367000,+3.50,+15.150, +8.132,+0.975
1658367600,+3.50,+15.141, +8.081,+0.974
1658368200,+3.50,+15.133, +8.094,+0.975
1658368800,+3.50,+15.081, +8.105,+0.975
1658369400,+3.50,+15.098, +8.090,+0.974
1658370000,+3.50,+15.098, +8.100,+0.975
1658370600,+3.50,+15.098, +8.099,+0.974
1658371200,+3.50,+15.047, +8.126,+0.974
1658371800,+3.50,+14.961, +8.156,+0.975
1658372400,+3.50,+14.987, +8.131,+0.975
1658373000,+3.50,+14.943, +8.131,+0.974
1658373600,+3.50,+14.883, +8.147,+0.975
1658374200,+3.50,+14.788, +8.174,+0.975
1658374800,+3.50,+14.806, +8.160,+0.974
1658375400,+3.50,+14.909, +8.137,+0.974
1658376000,+3.50,+14.857, +8.142,+0.974
1658376600,+3.50,+14.857, +8.156,+0.975
1658377200,+3.50,+14.866, +8.141,+0.975
1658377800,+3.50,+14.814, +8.146,+0.974
1658378400,+3.50,+14.788, +8.165,+0.975
1658379000,+3.50,+14.797, +8.142,+0.974
1658379600,+3.50,+14.762, +8.144,+0.974
1658380200,+3.50,+14.745, +8.139,+0.974
1658380800,+3.50,+14.745, +8.157,+0.975
1658381400,+3.50,+14.745, +8.137,+0.974
1658382000,+3.50,+14.728, +8.141,+0.975
1658382600,+3.50,+14.719, +8.136,+0.974
1658383200,+3.50,+14.719, +8.130,+0.974
1658383800,+3.50,+14.685, +8.142,+0.975
1658384400,+3.50,+14.667, +8.143,+0.975
1658385000,+3.50,+14.667, +8.135,+0.974
1658385600,+3.50,+14.633, +8.146,+0.975
1658386200,+3.50,+14.607, +8.151,+0.974
1658386800,+3.50,+14.607, +8.135,+0.974
1658387400,+3.49,+14.581, +8.144,+0.974
1658388000,+3.50,+14.572, +8.150,+0.974
1658388600,+3.50,+14.572, +8.136,+0.974
1658389200,+3.49,+14.547, +8.144,+0.975
1658389800,+3.50,+14.555, +8.128,+0.974
1658390400,+3.50,+14.521, +8.137,+0.975
1658391000,+3.50,+14.529, +8.137,+0.975
1658391600,+3.49,+14.503, +8.124,+0.975
