7450-585180
OS REV: 1.04 Sensor Cal: 1557947487
Time (sec),  BV (Volts),  T (deg C),  DO (mg/l),  Q ()
1626297360,+3.16,+22.023, +8.118,+0.910
1626297960,+3.16,+22.073, +8.082,+0.910
1626298560,+3.16,+22.123, +8.075,+0.910
1626299160,+3.17,+22.324, +8.045,+0.910
1626299760,+3.17,+22.415, +8.055,+0.910
1626300360,+3.17,+22.482, +8.066,+0.911
1626300960,+3.17,+22.549, +8.047,+0.910
1626301560,+3.17,+22.549, +8.078,+0.910
1626302160,+3.17,+22.558, +8.065,+0.911
1626302760,+3.17,+22.533, +8.053,+0.910
1626303360,+3.17,+22.507, +8.070,+0.911
1626303960,+3.16,+22.599, +8.071,+0.911
1626304560,+3.16,+22.650, +8.060,+0.911
1626305160,+3.16,+22.733, +8.036,+0.910
1626305760,+3.16,+22.758, +8.041,+0.910
1626306360,+3.16,+22.775, +8.038,+0.911
1626306960,+3.16,+22.708, +8.044,+0.911
1626307560,+3.16,+22.633, +8.089,+0.912
1626308160,+3.16,+22.750, +8.045,+0.911
1626308760,+3.16,+22.834, +8.016,+0.910
1626309360,+3.16,+22.859, +8.041,+0.911
1626309960,+3.16,+22.926, +8.022,+0.911
1626310560,+3.16,+22.967, +8.013,+0.911
1626311160,+3.16,+22.934, +8.038,+0.912
1626311760,+3.16,+22.909, +8.017,+0.911
1626312360,+3.16,+22.951, +8.020,+0.911
1626312960,+3.16,+22.767, +8.278,+0.911
1626313560,+3.16,+22.750, +8.232,+0.910
1626314160,+3.16,+22.591, +8.335,+0.912
1626314760,+3.17,+22.499, +8.093,+0.911
1626315360,+3.17,+22.399, +8.068,+0.911
1626315960,+3.16,+22.457, +8.109,+0.911
1626316560,+3.17,+22.449, +8.147,+0.911
1626317160,+3.17,+22.349, +8.083,+0.911
1626317760,+3.17,+22.290, +8.085,+0.911
1626318360,+3.17,+22.390, +8.143,+0.910
1626318960,+3.16,+22.691, +8.192,+0.911
1626319560,+3.16,+22.616, +8.168,+0.911
1626320160,+3.16,+22.725, +8.136,+0.911
1626320760,+3.16,+22.817, +8.213,+0.911
1626321360,+3.16,+22.767, +8.164,+0.911
1626321960,+3.16,+22.758, +8.188,+0.911
1626322560,+3.16,+22.825, +8.186,+0.911
1626323160,+3.16,+22.725, +8.175,+0.911
1626323760,+3.16,+22.725, +8.150,+0.911
1626324360,+3.16,+22.817, +8.075,+0.911
1626324960,+3.16,+22.850, +8.000,+0.912
1626325560,+3.16,+22.808, +7.973,+0.911
1626326160,+3.16,+22.775, +7.957,+0.911
1626326760,+3.16,+22.750, +7.959,+0.911
1626327360,+3.16,+22.775, +8.035,+0.912
1626327960,+3.16,+22.775, +8.065,+0.911
1626328560,+3.16,+22.742, +8.063,+0.911
1626329160,+3.16,+22.716, +8.079,+0.911
1626329760,+3.16,+22.675, +8.068,+0.911
1626330360,+3.16,+22.641, +8.113,+0.912
1626330960,+3.16,+22.616, +8.092,+0.911
1626331560,+3.16,+22.574, +8.104,+0.911
