7450-671179
OS REV: 1.04 Sensor Cal: 1560966684
Time (sec),  BV (Volts),  T (deg C),  DO (mg/l),  Q ()
1592858460,+3.15,+15.140, +9.548,+0.975
1592859060,+3.15,+15.226, +9.534,+0.975
1592859660,+3.15,+15.175, +9.569,+0.975
1592860260,+3.15,+15.226, +9.557,+0.975
1592860860,+3.15,+15.269, +9.549,+0.975
1592861460,+3.15,+15.304, +9.549,+0.975
1592862060,+3.15,+15.347, +9.543,+0.975
1592862660,+3.15,+15.467, +9.514,+0.975
1592863260,+3.15,+15.510, +9.518,+0.975
1592863860,+3.15,+15.518, +9.523,+0.975
1592864460,+3.15,+15.552, +9.513,+0.975
1592865060,+3.15,+15.647, +9.521,+0.975
1592865660,+3.15,+15.638, +9.514,+0.975
1592866260,+3.15,+15.655, +9.503,+0.975
1592866860,+3.15,+15.664, +9.502,+0.974
1592867460,+3.15,+15.749, +9.486,+0.975
1592868060,+3.15,+15.758, +9.477,+0.974
1592868660,+3.15,+15.766, +9.500,+0.975
1592869260,+3.16,+15.801, +9.479,+0.975
1592869860,+3.16,+15.784, +9.491,+0.975
1592870460,+3.16,+15.792, +9.483,+0.975
1592871060,+3.15,+15.809, +9.499,+0.975
1592871660,+3.15,+15.801, +9.509,+0.976
1592872260,+3.16,+15.869, +9.479,+0.975
1592872860,+3.16,+15.878, +9.479,+0.975
1592873460,+3.16,+15.886, +9.479,+0.975
1592874060,+3.15,+15.920, +9.477,+0.975
1592874660,+3.16,+15.963, +9.475,+0.975
1592875260,+3.15,+16.040, +9.467,+0.976
1592875860,+3.15,+16.074, +9.446,+0.975
1592876460,+3.15,+16.117, +9.451,+0.976
1592877060,+3.15,+16.108, +9.444,+0.975
1592877660,+3.15,+16.117, +9.447,+0.975
1592878260,+3.15,+16.142, +9.459,+0.975
1592878860,+3.15,+16.168, +9.433,+0.975
1592879460,+3.15,+16.185, +9.428,+0.975
1592880060,+3.15,+16.168, +9.444,+0.975
1592880660,+3.15,+16.151, +9.434,+0.975
1592881260,+3.15,+16.176, +9.421,+0.975
1592881860,+3.15,+16.185, +9.413,+0.975
1592882460,+3.15,+16.185, +9.413,+0.975
1592883060,+3.15,+16.176, +9.413,+0.975
1592883660,+3.15,+16.151, +9.411,+0.975
1592884260,+3.15,+16.159, +9.410,+0.975
1592884860,+3.15,+16.108, +9.416,+0.975
1592885460,+3.15,+16.134, +9.420,+0.976
1592886060,+3.15,+16.066, +9.418,+0.975
1592886660,+3.15,+16.014, +9.427,+0.975
1592887260,+3.15,+16.100, +9.419,+0.975
1592887860,+3.15,+16.108, +9.408,+0.976
1592888460,+3.15,+16.023, +9.437,+0.975
1592889060,+3.15,+16.006, +9.419,+0.975
1592889660,+3.15,+15.963, +9.442,+0.975
1592890260,+3.15,+15.937, +9.442,+0.975
1592890860,+3.15,+15.989, +9.429,+0.975
1592891460,+3.15,+16.040, +9.427,+0.976
1592892060,+3.15,+16.014, +9.424,+0.975
1592892660,+3.15,+15.972, +9.442,+0.975
1592893260,+3.15,+15.946, +9.434,+0.975
1592893860,+3.15,+15.946, +9.434,+0.976
1592894460,+3.15,+15.937, +9.447,+0.975
1592895060,+3.15,+16.006, +9.420,+0.975
1592895660,+3.15,+16.040, +9.422,+0.975
1592896260,+3.16,+15.784, +9.438,+0.975
1592896860,+3.16,+15.869, +9.442,+0.975
1592897460,+3.15,+15.920, +9.451,+0.976
1592898060,+3.15,+15.946, +9.429,+0.975
1592898660,+3.15,+15.989, +9.404,+0.976
1592899260,+3.15,+15.920, +9.382,+0.975
1592899860,+3.15,+15.903, +9.424,+0.975
1592900460,+3.15,+15.895, +9.378,+0.976
1592901060,+3.15,+15.929, +9.366,+0.975
1592901660,+3.15,+15.869, +9.390,+0.975
1592902260,+3.15,+15.886, +9.382,+0.975
1592902860,+3.15,+15.903, +9.344,+0.975
1592903460,+3.15,+15.886, +9.350,+0.975
1592904060,+3.15,+15.895, +9.325,+0.975
1592904660,+3.15,+15.852, +9.308,+0.975
1592905260,+3.15,+15.861, +9.281,+0.975
1592905860,+3.15,+15.843, +9.257,+0.975
