7450-671179
OS REV: 1.04 Sensor Cal: 1560966684
Time (sec),  BV (Volts),  T (deg C),  DO (mg/l),  Q ()
1593380460,+3.14,+16.772, +9.169,+0.980
1593381060,+3.15,+16.832, +9.116,+0.979
1593381660,+3.14,+16.789, +9.148,+0.980
1593382260,+3.14,+16.764, +9.135,+0.979
1593382860,+3.14,+16.772, +9.107,+0.979
1593383460,+3.14,+16.789, +9.097,+0.980
1593384060,+3.14,+16.789, +9.070,+0.979
1593384660,+3.15,+16.832, +9.060,+0.980
1593385260,+3.15,+16.832, +9.062,+0.980
1593385860,+3.15,+16.832, +9.059,+0.980
1593386460,+3.15,+16.815, +9.067,+0.980
1593387060,+3.15,+16.823, +9.052,+0.979
1593387660,+3.15,+16.815, +9.052,+0.979
1593388260,+3.15,+16.823, +9.046,+0.980
1593388860,+3.15,+16.832, +9.024,+0.979
1593389460,+3.15,+16.823, +9.026,+0.979
1593390060,+3.15,+16.823, +9.027,+0.979
1593390660,+3.15,+16.798, +9.024,+0.979
1593391260,+3.15,+16.840, +9.007,+0.979
1593391860,+3.15,+16.849, +9.010,+0.979
1593392460,+3.15,+16.866, +9.001,+0.979
1593393060,+3.15,+16.883, +9.012,+0.980
1593393660,+3.15,+16.857, +8.987,+0.979
1593394260,+3.15,+16.866, +8.979,+0.979
1593394860,+3.15,+16.874, +8.974,+0.979
1593395460,+3.15,+16.899, +8.921,+0.979
1593396060,+3.15,+16.883, +8.899,+0.979
1593396660,+3.15,+16.857, +8.912,+0.979
1593397260,+3.15,+16.823, +8.948,+0.979
1593397860,+3.14,+16.806, +8.945,+0.979
1593398460,+3.14,+16.772, +8.962,+0.979
1593399060,+3.14,+16.730, +8.966,+0.979
1593399660,+3.14,+16.730, +8.972,+0.980
1593400260,+3.14,+16.721, +8.973,+0.979
1593400860,+3.14,+16.687, +8.966,+0.979
1593401460,+3.14,+16.679, +8.937,+0.979
1593402060,+3.14,+16.653, +8.929,+0.979
1593402660,+3.14,+16.645, +8.909,+0.979
1593403260,+3.14,+16.619, +8.941,+0.979
1593403860,+3.14,+16.602, +8.941,+0.979
1593404460,+3.14,+16.585, +8.941,+0.979
1593405060,+3.14,+16.560, +8.938,+0.979
1593405660,+3.14,+16.543, +8.948,+0.979
1593406260,+3.14,+16.492, +8.963,+0.980
