7450-671179
OS REV: 1.04 Sensor Cal: 1560966684
Time (sec),  BV (Volts),  T (deg C),  DO (mg/l),  Q ()
1597252140,+3.12,+20.753, +8.125,+0.978
1597252740,+3.12,+20.761, +8.121,+0.977
1597253340,+3.12,+20.736, +8.106,+0.977
1597253940,+3.12,+20.736, +8.100,+0.977
1597254540,+3.12,+20.769, +8.071,+0.977
1597255140,+3.12,+20.753, +8.082,+0.977
1597255740,+3.12,+20.761, +8.087,+0.977
1597256340,+3.12,+20.761, +8.099,+0.977
1597256940,+3.12,+20.753, +8.098,+0.977
1597257540,+3.12,+20.744, +8.093,+0.977
1597258140,+3.12,+20.753, +8.101,+0.976
1597258740,+3.12,+20.711, +8.098,+0.977
1597259340,+3.12,+20.702, +8.110,+0.977
1597259940,+3.12,+20.711, +8.110,+0.977
1597260540,+3.12,+20.686, +8.108,+0.976
1597261140,+3.12,+20.660, +8.113,+0.976
1597261740,+3.12,+20.644, +8.127,+0.977
1597262340,+3.12,+20.644, +8.125,+0.977
1597262940,+3.12,+20.644, +8.119,+0.977
1597263540,+3.12,+20.627, +8.116,+0.977
1597264140,+3.12,+20.619, +8.135,+0.977
1597264740,+3.12,+20.619, +8.163,+0.977
1597265340,+3.12,+20.610, +8.169,+0.977
1597265940,+3.12,+20.644, +8.165,+0.977
1597266540,+3.12,+20.619, +8.182,+0.977
1597267140,+3.12,+20.619, +8.182,+0.977
1597267740,+3.12,+20.594, +8.190,+0.977
1597268340,+3.12,+20.627, +8.206,+0.977
1597268940,+3.12,+20.602, +8.220,+0.977
1597269540,+3.12,+20.585, +8.206,+0.977
1597270140,+3.12,+20.577, +8.215,+0.977
1597270740,+3.12,+20.577, +8.193,+0.977
1597271340,+3.12,+20.577, +8.173,+0.977
1597271940,+3.12,+20.552, +8.179,+0.976
1597272540,+3.12,+20.568, +8.163,+0.976
1597273140,+3.12,+20.543, +8.181,+0.977
1597273740,+3.12,+20.560, +8.131,+0.977
1597274340,+3.12,+20.535, +8.080,+0.976
1597274940,+3.12,+20.560, +8.029,+0.976
1597275540,+3.12,+20.552, +8.116,+0.976
1597276140,+3.12,+20.535, +8.164,+0.977
1597276740,+3.12,+20.518, +8.175,+0.976
1597277340,+3.12,+20.501, +8.164,+0.977
1597277940,+3.12,+20.501, +8.142,+0.976
1597278540,+3.12,+20.518, +8.106,+0.977
1597279140,+3.12,+20.518, +8.078,+0.977
1597279740,+3.12,+20.510, +8.095,+0.977
1597280340,+3.12,+20.485, +8.133,+0.976
1597280940,+3.12,+20.501, +8.138,+0.977
1597281540,+3.12,+20.501, +8.143,+0.977
1597282140,+3.12,+20.493, +8.146,+0.977
1597282740,+3.12,+20.501, +8.119,+0.976
1597283340,+3.12,+20.493, +8.143,+0.977
1597283940,+3.12,+20.493, +8.165,+0.977
