MiniDOT Logger Concatenated Data File
Sensor:             7450-671179
Concatenation Date: 2020Sep30 15:04:17 MDT

DO concentration compensated for salinity: 0.0 (ppt)
Saturation computed at elevation: 1234.0 (meter)

            Unix Timestamp,               UTC_Date_&_Time,        Mountain Standard Time,       Battery,   Temperature,  Dissolved Oxygen,  Dissolved Oxygen Saturation,             Q
                  (Second),                        (none),                        (none),        (Volt),       (deg C),            (mg/l),                          (%),        (none)
                1592510460,           2020-06-18 20:01:00,           2020-06-18 14:01:00,      3.160000,     14.338000,          9.440000,                   107.314291,      0.967000
                1592511060,           2020-06-18 20:11:00,           2020-06-18 14:11:00,      3.170000,     13.799000,          9.612000,                   107.975327,      0.969000
                1592511660,           2020-06-18 20:21:00,           2020-06-18 14:21:00,      3.170000,     13.738000,          9.666000,                   108.434870,      0.970000
                1592512260,           2020-06-18 20:31:00,           2020-06-18 14:31:00,      3.170000,     13.695000,          9.668000,                   108.353648,      0.970000
                1592512860,           2020-06-18 20:41:00,           2020-06-18 14:41:00,      3.170000,     13.590000,          9.659000,                   107.999999,      0.971000
                1592513460,           2020-06-18 20:51:00,           2020-06-18 14:51:00,      3.160000,     13.450000,          9.715000,                   108.287380,      0.971000
                1592514060,           2020-06-18 21:01:00,           2020-06-18 15:01:00,      3.160000,     13.389000,          9.737000,                   108.384740,      0.971000
                1592514660,           2020-06-18 21:11:00,           2020-06-18 15:11:00,      3.160000,     13.433000,          9.705000,                   108.134839,      0.971000
                1592515260,           2020-06-18 21:21:00,           2020-06-18 15:21:00,      3.160000,     13.424000,          9.731000,                   108.402732,      0.971000
                1592515860,           2020-06-18 21:31:00,           2020-06-18 15:31:00,      3.160000,     13.354000,          9.761000,                   108.566865,      0.971000
                1592516460,           2020-06-18 21:41:00,           2020-06-18 15:41:00,      3.160000,     13.485000,          9.722000,                   108.450134,      0.971000
                1592517060,           2020-06-18 21:51:00,           2020-06-18 15:51:00,      3.160000,     13.572000,          9.704000,                   108.459635,      0.971000
                1592517660,           2020-06-18 22:01:00,           2020-06-18 16:01:00,      3.170000,     13.572000,          9.718000,                   108.616110,      0.971000
                1592518260,           2020-06-18 22:11:00,           2020-06-18 16:11:00,      3.160000,     13.511000,          9.745000,                   108.769803,      0.971000
                1592518860,           2020-06-18 22:21:00,           2020-06-18 16:21:00,      3.160000,     13.546000,          9.748000,                   108.888272,      0.971000
                1592519460,           2020-06-18 22:31:00,           2020-06-18 16:31:00,      3.160000,     13.529000,          9.760000,                   108.980985,      0.971000
                1592520060,           2020-06-18 22:41:00,           2020-06-18 16:41:00,      3.160000,     13.546000,          9.759000,                   109.011146,      0.971000
                1592520660,           2020-06-18 22:51:00,           2020-06-18 16:51:00,      3.160000,     13.511000,          9.784000,                   109.205106,      0.971000
                1592521260,           2020-06-18 23:01:00,           2020-06-18 17:01:00,      3.160000,     13.476000,          9.791000,                   109.197894,      0.971000
                1592521860,           2020-06-18 23:11:00,           2020-06-18 17:11:00,      3.160000,     13.511000,          9.784000,                   109.205106,      0.971000
                1592522460,           2020-06-18 23:21:00,           2020-06-18 17:21:00,      3.160000,     13.572000,          9.759000,                   109.074359,      0.970000
