7450-268227
OS REV: 1.05 Sensor Cal: 1592496917
Time (sec),  BV (Volts),  T (deg C),  DO (mg/l),  Q ()
1596482940,+3.52,+17.475, +8.063,+0.996
1596483540,+3.52,+17.492, +8.066,+0.995
1596484140,+3.52,+17.560, +8.030,+0.995
1596484740,+3.52,+17.661, +8.022,+0.995
1596485340,+3.52,+17.728, +8.020,+0.995
1596485940,+3.52,+17.652, +8.071,+0.995
1596486540,+3.52,+17.678, +8.082,+0.996
1596487140,+3.52,+17.636, +8.134,+0.995
1596487740,+3.52,+17.737, +8.066,+0.995
1596488340,+3.52,+17.754, +8.063,+0.995
1596488940,+3.52,+17.796, +8.066,+0.995
1596489540,+3.52,+17.796, +8.088,+0.995
1596490140,+3.52,+17.872, +8.072,+0.996
1596490740,+3.52,+17.855, +8.084,+0.995
1596491340,+3.52,+17.889, +8.055,+0.995
1596491940,+3.52,+17.838, +8.117,+0.995
1596492540,+3.52,+17.872, +8.127,+0.995
1596493140,+3.52,+17.880, +8.113,+0.995
1596493740,+3.52,+17.956, +8.063,+0.995
1596494340,+3.52,+17.931, +8.078,+0.995
1596494940,+3.52,+17.931, +8.089,+0.995
1596495540,+3.52,+17.948, +8.096,+0.995
1596496140,+3.52,+17.931, +8.112,+0.995
1596496740,+3.52,+17.931, +8.129,+0.995
1596497340,+3.52,+17.973, +8.110,+0.995
1596497940,+3.52,+18.032, +8.095,+0.995
1596498540,+3.52,+18.167, +8.053,+0.995
1596499140,+3.52,+18.150, +8.059,+0.995
1596499740,+3.52,+18.167, +8.012,+0.995
1596500340,+3.52,+18.116, +8.013,+0.995
1596500940,+3.52,+18.091, +7.997,+0.994
1596501540,+3.52,+18.049, +8.016,+0.995
1596502140,+3.52,+18.007, +8.021,+0.995
1596502740,+3.52,+17.982, +8.005,+0.995
1596503340,+3.52,+17.872, +8.030,+0.995
1596503940,+3.52,+17.788, +8.074,+0.995
1596504540,+3.52,+17.754, +8.068,+0.995
1596505140,+3.52,+17.737, +8.062,+0.995
1596505740,+3.52,+17.712, +8.075,+0.995
1596506340,+3.52,+17.712, +8.065,+0.996
1596506940,+3.52,+17.686, +8.050,+0.995
1596507540,+3.52,+17.695, +8.050,+0.995
1596508140,+3.52,+17.703, +8.049,+0.996
1596508740,+3.52,+17.661, +8.046,+0.995
1596509340,+3.52,+17.644, +8.057,+0.996
1596509940,+3.52,+17.627, +8.050,+0.995
1596510540,+3.52,+17.619, +8.054,+0.996
1596511140,+3.52,+17.602, +8.056,+0.996
1596511740,+3.52,+17.619, +8.042,+0.995
