7450-289223
OS REV: 1.05 Sensor Cal: 1592497301
Time (sec),  BV (Volts),  T (deg C),  DO (mg/l),  Q ()
1658965320,+3.49,+18.180, +8.329,+1.008
1658965920,+3.49,+18.256, +8.732,+1.008
1658966520,+3.49,+18.230, +8.621,+1.008
1658967120,+3.49,+18.239, +8.805,+1.009
1658967720,+3.49,+18.289, +8.628,+1.008
1658968320,+3.49,+18.281, +8.465,+1.008
1658968920,+3.49,+18.281, +8.346,+1.008
1658969520,+3.49,+18.272, +8.270,+1.009
1658970120,+3.49,+18.272, +8.241,+1.008
1658970720,+3.49,+18.281, +8.215,+1.008
1658971320,+3.49,+18.272, +8.233,+1.009
1658971920,+3.49,+18.205, +8.294,+1.008
1658972520,+3.49,+18.197, +8.350,+1.009
1658973120,+3.49,+18.163, +8.368,+1.008
1658973720,+3.49,+18.197, +8.338,+1.008
1658974320,+3.49,+18.171, +8.435,+1.008
1658974920,+3.49,+18.205, +8.520,+1.009
1658975520,+3.49,+18.230, +8.541,+1.008
1658976120,+3.49,+18.222, +8.385,+1.008
1658976720,+3.49,+18.239, +8.350,+1.008
1658977320,+3.49,+18.239, +8.500,+1.008
1658977920,+3.49,+18.214, +8.590,+1.008
1658978520,+3.49,+18.222, +8.585,+1.008
1658979120,+3.49,+18.197, +8.525,+1.009
1658979720,+3.49,+18.214, +8.560,+1.008
1658980320,+3.49,+18.230, +8.555,+1.008
1658980920,+3.49,+18.230, +8.442,+1.008
1658981520,+3.49,+18.272, +8.304,+1.008
1658982120,+3.49,+18.239, +8.313,+1.008
1658982720,+3.49,+18.239, +8.319,+1.008
1658983320,+3.49,+18.222, +8.331,+1.008
1658983920,+3.49,+18.188, +8.340,+1.008
1658984520,+3.49,+18.230, +8.335,+1.008
1658985120,+3.49,+18.197, +8.336,+1.009
1658985720,+3.49,+18.163, +8.413,+1.008
1658986320,+3.49,+18.197, +8.369,+1.008
1658986920,+3.49,+18.121, +8.328,+1.008
1658987520,+3.49,+18.096, +8.416,+1.008
1658988120,+3.49,+18.138, +8.486,+1.008
1658988720,+3.49,+18.180, +8.359,+1.008
1658989320,+3.49,+18.197, +8.263,+1.009
1658989920,+3.49,+18.222, +8.463,+1.008
1658990520,+3.49,+18.264, +8.410,+1.009
1658991120,+3.49,+18.247, +8.206,+1.009
1658991720,+3.49,+18.205, +8.193,+1.008
1658992320,+3.49,+18.188, +8.177,+1.008
