7450-293738
OS REV: 1.05 Sensor Cal: 1592496161
Time (sec),  BV (Volts),  T (deg C),  DO (mg/l),  Q ()
1659400560,+3.06,+20.125, +8.906,+1.023
1659401160,+3.06,+20.184, +8.849,+1.023
1659401760,+3.06,+20.159, +8.756,+1.023
1659402360,+3.06,+20.201, +8.725,+1.023
1659402960,+3.06,+20.217, +8.655,+1.023
1659403560,+3.06,+20.234, +8.684,+1.022
1659404160,+3.06,+20.259, +8.707,+1.024
1659404760,+3.06,+20.242, +8.684,+1.023
1659405360,+3.06,+20.184, +8.456,+1.022
1659405960,+3.06,+20.150, +8.210,+1.022
1659406560,+3.06,+20.142, +8.227,+1.023
1659407160,+3.06,+20.125, +8.224,+1.023
1659407760,+3.06,+20.109, +8.159,+1.022
1659408360,+3.06,+20.092, +8.162,+1.022
1659408960,+3.06,+20.058, +8.157,+1.023
1659409560,+3.06,+20.050, +8.157,+1.023
1659410160,+3.05,+19.983, +8.175,+1.023
1659410760,+3.05,+19.899, +8.290,+1.022
1659411360,+3.05,+19.740, +8.596,+1.023
1659411960,+3.05,+19.632, +8.897,+1.024
1659412560,+3.05,+19.682, +8.799,+1.023
1659413160,+3.05,+19.699, +8.396,+1.023
1659413760,+3.05,+19.699, +8.488,+1.022
1659414360,+3.05,+19.682, +8.398,+1.023
1659414960,+3.05,+19.665, +8.343,+1.023
1659415560,+3.05,+19.623, +8.443,+1.023
1659416160,+3.05,+19.623, +8.429,+1.023
1659416760,+3.05,+19.607, +8.343,+1.023
1659417360,+3.05,+19.607, +8.237,+1.023
1659417960,+3.05,+19.590, +8.193,+1.023
1659418560,+3.05,+19.548, +8.214,+1.023
1659419160,+3.05,+19.531, +8.252,+1.023
1659419760,+3.06,+19.506, +8.229,+1.023
1659420360,+3.06,+19.481, +8.205,+1.023
1659420960,+3.06,+19.498, +8.219,+1.023
1659421560,+3.06,+19.464, +8.241,+1.023
1659422160,+3.06,+19.464, +8.202,+1.022
1659422760,+3.06,+19.481, +8.222,+1.023
1659423360,+3.06,+19.439, +8.223,+1.023
1659423960,+3.06,+19.439, +8.211,+1.023
1659424560,+3.06,+19.439, +8.161,+1.023
1659425160,+3.06,+19.431, +8.142,+1.023
1659425760,+3.06,+19.397, +8.107,+1.023
1659426360,+3.06,+19.372, +8.126,+1.023
1659426960,+3.06,+19.355, +8.120,+1.023
1659427560,+3.06,+19.355, +8.089,+1.022
1659428160,+3.06,+19.297, +8.097,+1.023
1659428760,+3.06,+19.355, +8.072,+1.023
1659429360,+3.06,+19.330, +8.058,+1.023
1659429960,+3.06,+19.322, +8.061,+1.022
1659430560,+3.06,+19.305, +8.080,+1.023
1659431160,+3.06,+19.297, +8.052,+1.023
1659431760,+3.06,+19.280, +8.012,+1.023
1659432360,+3.06,+19.238, +8.024,+1.024
1659432960,+3.06,+19.255, +8.068,+1.023
1659433560,+3.06,+19.230, +8.058,+1.023
1659434160,+3.06,+19.196, +8.043,+1.023
1659434760,+3.06,+19.205, +8.043,+1.023
1659435360,+3.06,+19.213, +8.053,+1.023
1659435960,+3.06,+19.205, +8.045,+1.023
1659436560,+3.06,+19.179, +8.045,+1.023
1659437160,+3.06,+19.154, +8.052,+1.023
1659437760,+3.06,+19.171, +8.017,+1.023
1659438360,+3.06,+19.146, +8.010,+1.023
1659438960,+3.06,+19.129, +7.987,+1.023
1659439560,+3.06,+19.096, +7.968,+1.023
1659440160,+3.06,+19.104, +7.958,+1.023
1659440760,+3.06,+19.062, +7.952,+1.023
1659441360,+3.06,+19.062, +7.926,+1.023
1659441960,+3.06,+19.045, +7.930,+1.023
1659442560,+3.06,+19.028, +7.933,+1.023
1659443160,+3.06,+18.987, +7.921,+1.023
1659443760,+3.06,+18.987, +7.901,+1.023
1659444360,+3.06,+18.978, +7.905,+1.023
1659444960,+3.06,+18.961, +7.892,+1.023
1659445560,+3.06,+18.928, +7.887,+1.023
1659446160,+3.05,+18.911, +7.873,+1.023
1659446760,+3.06,+18.919, +7.877,+1.023
1659447360,+3.05,+18.886, +7.821,+1.023
1659447960,+3.05,+18.844, +7.837,+1.023
1659448560,+3.05,+18.836, +7.861,+1.023
1659449160,+3.05,+18.810, +7.845,+1.023
1659449760,+3.05,+18.777, +7.846,+1.023
1659450360,+3.05,+18.794, +7.860,+1.023
1659450960,+3.05,+18.768, +7.868,+1.023
1659451560,+3.05,+18.785, +7.864,+1.023
1659452160,+3.05,+18.743, +7.900,+1.023
1659452760,+3.05,+18.752, +7.898,+1.023
1659453360,+3.05,+18.743, +7.905,+1.023
1659453960,+3.05,+18.735, +7.894,+1.023
1659454560,+3.05,+18.710, +7.891,+1.023
1659455160,+3.05,+18.693, +7.901,+1.024
1659455760,+3.05,+18.693, +7.925,+1.023
1659456360,+3.05,+18.676, +7.935,+1.024
1659456960,+3.05,+18.668, +7.919,+1.024
1659457560,+3.05,+18.659, +7.929,+1.023
1659458160,+3.05,+18.651, +7.952,+1.024
1659458760,+3.05,+18.668, +7.916,+1.023
1659459360,+3.05,+18.659, +7.959,+1.024
1659459960,+3.06,+18.668, +7.954,+1.023
1659460560,+3.06,+18.642, +7.952,+1.023
1659461160,+3.05,+18.634, +7.946,+1.023
1659461760,+3.05,+18.659, +7.954,+1.023
1659462360,+3.05,+18.718, +7.956,+1.023
1659462960,+3.05,+18.710, +7.945,+1.023
1659463560,+3.05,+18.768, +7.978,+1.024
1659464160,+3.05,+18.819, +7.983,+1.023
1659464760,+3.06,+18.953, +8.011,+1.024
1659465360,+3.06,+19.054, +8.040,+1.023
1659465960,+3.06,+19.163, +8.234,+1.022
1659466560,+3.06,+19.163, +8.307,+1.023
1659467160,+3.06,+19.146, +8.394,+1.023
1659467760,+3.06,+19.196, +8.427,+1.023
1659468360,+3.06,+19.163, +8.453,+1.023
1659468960,+3.06,+19.221, +8.470,+1.023
1659469560,+3.06,+19.221, +8.452,+1.023
1659470160,+3.06,+19.246, +8.551,+1.023
1659470760,+3.06,+19.272, +8.562,+1.023
1659471360,+3.06,+19.238, +8.582,+1.023
1659471960,+3.06,+19.255, +8.514,+1.023
1659472560,+3.06,+19.347, +8.572,+1.023
1659473160,+3.06,+19.305, +8.554,+1.023
1659473760,+3.06,+19.305, +8.516,+1.022
1659474360,+3.06,+19.330, +8.489,+1.023
1659474960,+3.06,+19.313, +8.501,+1.023
1659475560,+3.06,+19.355, +8.488,+1.022
1659476160,+3.06,+19.406, +8.532,+1.023
1659476760,+3.06,+19.498, +8.621,+1.024
1659477360,+3.06,+19.506, +8.671,+1.023
1659477960,+3.05,+19.531, +8.710,+1.022
1659478560,+3.06,+19.439, +8.593,+1.023
1659479160,+3.06,+19.439, +8.584,+1.023
1659479760,+3.06,+19.422, +8.537,+1.023
1659480360,+3.06,+19.414, +8.487,+1.023
1659480960,+3.05,+19.514, +8.567,+1.023
1659481560,+3.05,+19.657, +8.677,+1.023
1659482160,+3.05,+19.540, +8.616,+1.023
1659482760,+3.05,+19.573, +8.590,+1.022
1659483360,+3.05,+19.556, +8.565,+1.022
1659483960,+3.06,+19.498, +8.598,+1.022
1659484560,+3.05,+19.556, +8.640,+1.023
1659485160,+3.05,+19.565, +8.618,+1.022
1659485760,+3.05,+19.581, +8.645,+1.023
1659486360,+3.05,+19.623, +8.672,+1.023
1659486960,+3.05,+19.648, +8.741,+1.023
