7450-293738
OS REV: 1.05 Sensor Cal: 1592496161
Time (sec),  BV (Volts),  T (deg C),  DO (mg/l),  Q ()
1597455000,+3.51,+16.583, +8.618,+0.985
1597455600,+3.51,+16.575, +8.601,+0.984
1597456200,+3.51,+16.558, +8.595,+0.984
1597456800,+3.51,+16.515, +8.600,+0.984
1597457400,+3.51,+16.481, +8.611,+0.985
1597458000,+3.51,+16.405, +8.621,+0.985
1597458600,+3.51,+16.413, +8.617,+0.985
1597459200,+3.51,+16.405, +8.600,+0.984
1597459800,+3.51,+16.371, +8.612,+0.985
1597460400,+3.51,+16.388, +8.606,+0.985
1597461000,+3.51,+16.422, +8.613,+0.985
1597461600,+3.51,+16.354, +8.609,+0.984
1597462200,+3.51,+16.379, +8.634,+0.985
1597462800,+3.51,+16.490, +8.599,+0.985
1597463400,+3.51,+16.456, +8.596,+0.984
1597464000,+3.51,+16.490, +8.618,+0.985
1597464600,+3.51,+16.481, +8.609,+0.985
1597465200,+3.51,+16.515, +8.613,+0.985
1597465800,+3.51,+16.524, +8.577,+0.985
1597466400,+3.51,+16.507, +8.598,+0.985
1597467000,+3.51,+16.524, +8.593,+0.985
1597467600,+3.51,+16.524, +8.582,+0.985
1597468200,+3.51,+16.473, +8.595,+0.985
1597468800,+3.51,+16.456, +8.611,+0.986
1597469400,+3.51,+16.413, +8.594,+0.985
1597470000,+3.51,+16.388, +8.598,+0.985
1597470600,+3.51,+16.345, +8.608,+0.985
1597471200,+3.51,+16.328, +8.606,+0.985
1597471800,+3.51,+16.328, +8.593,+0.984
1597472400,+3.51,+16.311, +8.598,+0.984
1597473000,+3.52,+16.260, +8.622,+0.985
1597473600,+3.52,+16.252, +8.614,+0.985
1597474200,+3.52,+16.269, +8.614,+0.985
1597474800,+3.51,+16.277, +8.599,+0.985
1597475400,+3.52,+16.243, +8.616,+0.985
1597476000,+3.52,+16.260, +8.610,+0.985
1597476600,+3.51,+16.243, +8.609,+0.985
1597477200,+3.52,+16.243, +8.613,+0.985
1597477800,+3.51,+16.286, +8.607,+0.985
1597478400,+3.52,+16.252, +8.613,+0.985
