7450-027328
OS REV: 1.05 Sensor Cal: 1592497139
Time (sec),  BV (Volts),  T (deg C),  DO (mg/l),  Q ()
1657559220,+3.08,+12.424, +8.862,+0.965
1657559820,+3.08,+12.415, +8.866,+0.965
1657560420,+3.08,+12.415, +8.880,+0.965
1657561020,+3.08,+12.433, +8.880,+0.965
1657561620,+3.08,+12.468, +8.874,+0.965
1657562220,+3.08,+12.477, +8.872,+0.965
1657562820,+3.08,+12.468, +8.886,+0.964
1657563420,+3.08,+12.477, +8.898,+0.965
1657564020,+3.08,+12.451, +8.861,+0.965
1657564620,+3.08,+12.451, +8.868,+0.965
1657565220,+3.08,+12.486, +8.856,+0.965
1657565820,+3.08,+12.592, +8.874,+0.965
1657566420,+3.08,+12.636, +8.892,+0.965
1657567020,+3.08,+12.645, +8.897,+0.965
1657567620,+3.08,+12.628, +8.950,+0.965
1657568220,+3.08,+12.628, +8.836,+0.965
1657568820,+3.08,+12.557, +8.888,+0.965
1657569420,+3.08,+12.557, +8.906,+0.965
1657570020,+3.08,+12.619, +8.888,+0.965
1657570620,+3.08,+12.672, +8.877,+0.965
1657571220,+3.08,+12.716, +8.849,+0.965
1657571820,+3.08,+12.804, +8.845,+0.964
1657572420,+3.08,+12.751, +8.890,+0.965
1657573020,+3.08,+12.786, +8.867,+0.965
1657573620,+3.08,+12.839, +8.874,+0.965
1657574220,+3.08,+12.813, +8.853,+0.964
1657574820,+3.08,+12.839, +8.852,+0.965
1657575420,+3.08,+12.874, +8.853,+0.965
1657576020,+3.08,+12.857, +8.853,+0.964
1657576620,+3.08,+12.874, +8.837,+0.965
1657577220,+3.08,+12.927, +8.844,+0.965
1657577820,+3.08,+12.901, +8.870,+0.965
1657578420,+3.08,+12.910, +8.890,+0.965
1657579020,+3.08,+12.874, +8.893,+0.964
1657579620,+3.08,+12.910, +8.898,+0.965
1657580220,+3.08,+12.830, +8.932,+0.965
1657580820,+3.08,+12.672, +8.919,+0.964
1657581420,+3.08,+12.760, +8.950,+0.964
1657582020,+3.08,+12.883, +8.936,+0.965
1657582620,+3.08,+12.945, +8.920,+0.965
1657583220,+3.08,+12.901, +8.917,+0.964
1657583820,+3.08,+12.769, +8.953,+0.965
1657584420,+3.08,+12.830, +8.949,+0.965
1657585020,+3.08,+12.804, +8.930,+0.965
1657585620,+3.08,+12.769, +8.967,+0.964
1657586220,+3.08,+12.795, +8.945,+0.965
1657586820,+3.08,+12.927, +8.943,+0.965
1657587420,+3.08,+12.848, +8.941,+0.965
1657588020,+3.08,+12.848, +8.954,+0.964
1657588620,+3.08,+12.795, +8.976,+0.965
1657589220,+3.08,+12.786, +8.945,+0.964
1657589820,+3.08,+12.795, +8.944,+0.965
1657590420,+3.08,+12.786, +8.948,+0.965
1657591020,+3.08,+12.751, +8.935,+0.965
1657591620,+3.08,+12.769, +8.924,+0.965
1657592220,+3.08,+12.830, +8.923,+0.964
1657592820,+3.08,+12.866, +8.925,+0.964
1657593420,+3.08,+12.892, +8.925,+0.964
1657594020,+3.08,+12.910, +8.923,+0.964
1657594620,+3.08,+12.910, +8.942,+0.965
1657595220,+3.08,+12.962, +8.886,+0.964
1657595820,+3.08,+12.980, +8.890,+0.965
1657596420,+3.08,+12.989, +8.886,+0.964
1657597020,+3.08,+13.006, +8.884,+0.965
1657597620,+3.08,+13.024, +8.908,+0.965
1657598220,+3.08,+13.094, +8.839,+0.965
1657598820,+3.08,+12.945, +8.885,+0.965
1657599420,+3.08,+12.945, +8.891,+0.964
1657600020,+3.08,+13.033, +8.881,+0.964
1657600620,+3.08,+13.015, +8.860,+0.964
1657601220,+3.08,+13.050, +8.864,+0.964
1657601820,+3.08,+13.094, +8.841,+0.965
1657602420,+3.08,+13.112, +8.838,+0.965
1657603020,+3.08,+13.129, +8.835,+0.965
1657603620,+3.08,+13.086, +8.826,+0.965
1657604220,+3.08,+13.094, +8.834,+0.965
1657604820,+3.08,+13.103, +8.833,+0.964
1657605420,+3.08,+13.033, +8.853,+0.964
1657606020,+3.08,+13.050, +8.866,+0.965
1657606620,+3.08,+13.033, +8.870,+0.965
1657607220,+3.08,+13.050, +8.843,+0.964
1657607820,+3.08,+13.077, +8.840,+0.964
1657608420,+3.08,+13.068, +8.839,+0.964
1657609020,+3.08,+13.006, +8.870,+0.965
1657609620,+3.08,+12.927, +8.882,+0.965
1657610220,+3.08,+12.918, +8.861,+0.964
1657610820,+3.08,+12.910, +8.871,+0.965
1657611420,+3.08,+12.883, +8.854,+0.964
1657612020,+3.08,+12.839, +8.879,+0.965
1657612620,+3.08,+12.874, +8.864,+0.964
1657613220,+3.08,+12.927, +8.878,+0.965
1657613820,+3.08,+12.927, +8.884,+0.964
1657614420,+3.08,+12.945, +8.884,+0.965
1657615020,+3.08,+12.927, +8.887,+0.965
1657615620,+3.08,+12.857, +8.897,+0.965
1657616220,+3.08,+12.874, +8.889,+0.964
1657616820,+3.08,+12.883, +8.886,+0.965
1657617420,+3.08,+12.892, +8.872,+0.965
1657618020,+3.08,+12.901, +8.845,+0.964
1657618620,+3.08,+12.883, +8.861,+0.964
1657619220,+3.08,+12.883, +8.853,+0.964
1657619820,+3.08,+12.839, +8.874,+0.964
1657620420,+3.08,+12.830, +8.863,+0.964
1657621020,+3.08,+12.804, +8.858,+0.964
1657621620,+3.08,+12.813, +8.848,+0.964
1657622220,+3.08,+12.848, +8.854,+0.965
1657622820,+3.08,+12.901, +8.858,+0.964
1657623420,+3.08,+12.918, +8.847,+0.964
1657624020,+3.08,+12.901, +8.844,+0.964
1657624620,+3.08,+12.883, +8.864,+0.965
1657625220,+3.08,+12.901, +8.836,+0.964
1657625820,+3.08,+12.927, +8.826,+0.964
1657626420,+3.08,+12.910, +8.828,+0.964
1657627020,+3.08,+12.874, +8.828,+0.965
1657627620,+3.08,+12.901, +8.813,+0.965
1657628220,+3.08,+12.962, +8.815,+0.965
1657628820,+3.08,+12.980, +8.804,+0.965
1657629420,+3.08,+12.980, +8.794,+0.965
1657630020,+3.08,+12.998, +8.820,+0.965
1657630620,+3.08,+12.954, +8.795,+0.964
1657631220,+3.08,+12.892, +8.819,+0.964
