7450-268227
OS REV: 1.05 Sensor Cal: 1592496917
Time (sec),  BV (Volts),  T (deg C),  DO (mg/l),  Q ()
1657650720,+3.46,+13.931, +8.626,+0.996
1657651320,+3.46,+15.698, +8.606,+0.996
1657651920,+3.46,+15.724, +8.545,+0.996
1657652520,+3.46,+15.869, +8.482,+0.996
1657653120,+3.46,+15.887, +8.415,+0.996
1657653720,+3.46,+16.151, +8.509,+0.995
1657654320,+3.46,+16.279, +8.524,+0.995
1657654920,+3.46,+16.313, +8.525,+0.995
1657655520,+3.46,+16.381, +8.487,+0.995
1657656120,+3.46,+16.492, +8.477,+0.995
1657656720,+3.46,+16.458, +8.537,+0.995
1657657320,+3.46,+16.398, +8.483,+0.995
1657657920,+3.46,+16.407, +8.547,+0.995
1657658520,+3.46,+16.407, +8.485,+0.995
1657659120,+3.46,+16.287, +8.460,+0.995
1657659720,+3.46,+16.704, +8.354,+0.994
1657660320,+3.46,+16.730, +8.427,+0.995
1657660920,+3.46,+16.577, +8.403,+0.995
1657661520,+3.46,+16.228, +8.468,+0.995
1657662120,+3.46,+16.160, +8.541,+0.995
1657662720,+3.46,+17.280, +8.422,+0.995
1657663320,+3.46,+17.264, +8.399,+0.995
1657663920,+3.46,+17.137, +8.402,+0.995
1657664520,+3.46,+16.577, +8.305,+0.995
1657665120,+3.46,+17.264, +8.308,+0.996
1657665720,+3.46,+17.543, +8.249,+0.994
1657666320,+3.46,+17.357, +8.293,+0.994
1657666920,+3.46,+17.137, +8.273,+0.995
1657667520,+3.46,+17.956, +8.188,+0.995
1657668120,+3.46,+16.848, +8.363,+0.994
1657668720,+3.46,+16.755, +8.391,+0.995
1657669320,+3.46,+16.747, +8.404,+0.994
1657669920,+3.46,+17.593, +8.324,+0.995
1657670520,+3.46,+17.686, +8.201,+0.995
1657671120,+3.46,+17.221, +8.257,+0.994
1657671720,+3.46,+16.772, +8.111,+0.994
1657672320,+3.46,+16.415, +8.080,+0.995
1657672920,+3.46,+16.194, +8.201,+0.994
1657673520,+3.47,+15.878, +8.385,+0.995
1657674120,+3.47,+15.852, +8.335,+0.995
1657674720,+3.46,+15.664, +8.345,+0.995
1657675320,+3.46,+15.502, +8.323,+0.995
1657675920,+3.46,+15.459, +8.464,+0.995
1657676520,+3.46,+15.536, +8.546,+0.996
1657677120,+3.47,+16.066, +7.975,+0.995
1657677720,+3.46,+15.673, +8.076,+0.995
1657678320,+3.46,+15.347, +8.235,+0.995
1657678920,+3.47,+15.236, +8.148,+0.995
1657679520,+3.47,+15.133, +8.077,+0.995
1657680120,+3.47,+15.158, +8.110,+0.996
1657680720,+3.47,+15.115, +8.334,+0.996
1657681320,+3.47,+15.227, +8.400,+0.996
1657681920,+3.46,+15.253, +8.352,+0.995
1657682520,+3.47,+15.227, +8.412,+0.996
1657683120,+3.47,+15.219, +8.478,+0.995
1657683720,+3.47,+15.184, +8.293,+0.995
1657684320,+3.47,+14.986, +8.297,+0.995
1657684920,+3.47,+14.892, +8.372,+0.995
1657685520,+3.47,+14.849, +8.469,+0.996
1657686120,+3.47,+14.831, +8.550,+0.996
1657686720,+3.47,+14.866, +8.550,+0.996
1657687320,+3.47,+14.883, +8.478,+0.996
1657687920,+3.47,+14.883, +8.404,+0.996
1657688520,+3.47,+14.849, +8.315,+0.996
1657689120,+3.47,+14.866, +8.411,+0.996
1657689720,+3.47,+14.909, +8.442,+0.995
1657690320,+3.47,+14.978, +8.304,+0.995
1657690920,+3.47,+15.072, +8.035,+0.996
1657691520,+3.46,+15.373, +8.211,+0.995
1657692120,+3.47,+14.926, +8.147,+0.995
1657692720,+3.47,+14.849, +8.088,+0.995
1657693320,+3.47,+14.866, +8.379,+0.995
1657693920,+3.47,+14.788, +8.340,+0.996
1657694520,+3.47,+14.624, +8.282,+0.995
1657695120,+3.47,+14.935, +8.354,+0.996
1657695720,+3.47,+14.986, +8.232,+0.996
1657696320,+3.47,+15.021, +8.277,+0.996
1657696920,+3.47,+15.055, +8.195,+0.995
1657697520,+3.47,+15.184, +8.165,+0.995
1657698120,+3.47,+15.176, +8.142,+0.995
1657698720,+3.47,+15.150, +8.139,+0.996
1657699320,+3.47,+15.115, +8.096,+0.995
1657699920,+3.47,+15.021, +8.088,+0.995
1657700520,+3.47,+15.004, +8.120,+0.995
1657701120,+3.47,+15.004, +8.164,+0.995
1657701720,+3.47,+15.047, +8.221,+0.996
1657702320,+3.47,+15.055, +8.269,+0.995
1657702920,+3.47,+15.072, +8.238,+0.995
1657703520,+3.47,+15.012, +8.164,+0.995
1657704120,+3.47,+15.029, +8.169,+0.995
1657704720,+3.47,+15.004, +8.224,+0.996
1657705320,+3.47,+14.969, +8.214,+0.995
1657705920,+3.47,+14.978, +8.199,+0.996
1657706520,+3.47,+14.943, +8.103,+0.995
1657707120,+3.47,+14.952, +8.083,+0.995
1657707720,+3.47,+14.900, +8.067,+0.996
1657708320,+3.47,+14.892, +8.069,+0.995
1657708920,+3.47,+14.892, +8.005,+0.995
1657709520,+3.47,+14.875, +8.026,+0.996
1657710120,+3.47,+14.737, +8.084,+0.995
