7450-671179
OS REV: 1.04 Sensor Cal: 1560966684
Time (sec),  BV (Volts),  T (deg C),  DO (mg/l),  Q ()
1660970100,+2.96,+19.605, +7.790,+0.962
1660970700,+2.96,+19.580, +7.771,+0.962
1660971300,+2.96,+19.572, +7.754,+0.963
1660971900,+2.96,+19.496, +7.758,+0.962
1660972500,+2.96,+19.471, +7.772,+0.963
1660973100,+2.96,+19.446, +7.741,+0.962
1660973700,+2.96,+19.496, +7.744,+0.962
1660974300,+2.96,+19.555, +7.761,+0.962
1660974900,+2.96,+19.630, +7.741,+0.962
1660975500,+2.96,+19.630, +7.735,+0.962
1660976100,+2.96,+19.605, +7.742,+0.962
1660976700,+2.96,+19.588, +7.730,+0.962
1660977300,+2.96,+19.572, +7.732,+0.962
1660977900,+2.96,+19.563, +7.747,+0.962
1660978500,+2.96,+19.572, +7.739,+0.962
1660979100,+2.96,+19.546, +7.735,+0.963
1660979700,+2.96,+19.538, +7.724,+0.962
1660980300,+2.96,+19.530, +7.718,+0.962
1660980900,+2.96,+19.513, +7.711,+0.962
1660981500,+2.96,+19.488, +7.714,+0.962
1660982100,+2.96,+19.471, +7.716,+0.962
1660982700,+2.96,+19.463, +7.702,+0.962
1660983300,+2.96,+19.454, +7.700,+0.962
1660983900,+2.96,+19.471, +7.703,+0.962
1660984500,+2.96,+19.429, +7.704,+0.962
1660985100,+2.96,+19.437, +7.700,+0.962
1660985700,+2.96,+19.395, +7.692,+0.962
1660986300,+2.96,+19.412, +7.566,+0.961
1660986900,+2.96,+19.404, +7.666,+0.962
1660987500,+2.96,+19.395, +7.675,+0.962
1660988100,+2.96,+19.387, +7.671,+0.962
1660988700,+2.96,+19.395, +7.671,+0.962
1660989300,+2.96,+19.370, +7.671,+0.962
1660989900,+2.96,+19.370, +7.664,+0.962
1660990500,+2.96,+19.337, +7.681,+0.963
1660991100,+2.96,+19.337, +7.669,+0.962
1660991700,+2.96,+19.320, +7.495,+0.961
1660992300,+2.96,+19.320, +7.673,+0.962
1660992900,+2.96,+19.311, +7.665,+0.962
1660993500,+2.96,+19.295, +7.677,+0.962
1660994100,+2.96,+19.278, +7.337,+0.961
1660994700,+2.96,+19.295, +7.661,+0.962
1660995300,+2.96,+19.270, +7.680,+0.962
1660995900,+2.96,+19.261, +7.664,+0.962
1660996500,+2.96,+19.244, +7.670,+0.962
1660997100,+2.96,+19.253, +7.587,+0.962
1660997700,+2.96,+19.261, +7.644,+0.961
