7450-585180
OS REV: 1.04 Sensor Cal: 1557947487
Time (sec),  BV (Volts),  T (deg C),  DO (mg/l),  Q ()
1661757120,+3.03,+16.918, +6.964,+0.907
1661757720,+3.03,+16.892, +6.955,+0.907
1661758320,+3.03,+16.884, +6.945,+0.907
1661758920,+3.03,+16.884, +6.931,+0.907
1661759520,+3.03,+16.867, +6.930,+0.907
1661760120,+3.03,+16.841, +6.898,+0.906
1661760720,+3.03,+16.858, +6.900,+0.907
1661761320,+3.03,+16.833, +6.916,+0.906
1661761920,+3.03,+16.799, +6.873,+0.907
1661762520,+3.03,+16.790, +6.839,+0.906
1661763120,+3.03,+16.756, +6.800,+0.907
1661763720,+3.03,+16.697, +6.811,+0.907
1661764320,+3.03,+16.663, +6.794,+0.907
1661764920,+3.03,+16.646, +6.809,+0.907
1661765520,+3.03,+16.654, +6.847,+0.907
1661766120,+3.03,+16.705, +6.874,+0.907
1661766720,+3.03,+16.705, +6.903,+0.907
1661767320,+3.03,+16.646, +6.878,+0.906
1661767920,+3.03,+16.663, +6.897,+0.907
1661768520,+3.03,+16.663, +6.873,+0.907
1661769120,+3.03,+16.663, +6.902,+0.907
1661769720,+3.03,+16.688, +6.868,+0.907
1661770320,+3.03,+16.663, +6.881,+0.906
1661770920,+3.03,+16.663, +6.852,+0.906
1661771520,+3.03,+16.697, +6.834,+0.907
1661772120,+3.03,+16.705, +6.818,+0.907
1661772720,+3.03,+16.629, +6.817,+0.906
1661773320,+3.03,+16.595, +6.798,+0.907
1661773920,+3.03,+16.552, +6.787,+0.907
1661774520,+3.03,+16.569, +6.764,+0.906
1661775120,+3.03,+16.535, +6.782,+0.906
1661775720,+3.03,+16.535, +6.827,+0.907
1661776320,+3.03,+16.535, +6.812,+0.906
1661776920,+3.03,+16.561, +6.973,+0.906
1661777520,+3.03,+16.535, +6.926,+0.907
1661778120,+3.03,+16.552, +6.883,+0.907
1661778720,+3.03,+16.527, +6.864,+0.906
1661779320,+3.03,+16.544, +6.884,+0.907
1661779920,+3.03,+16.527, +6.918,+0.906
1661780520,+3.03,+16.527, +6.959,+0.907
1661781120,+3.03,+16.561, +7.077,+0.907
1661781720,+3.03,+16.663, +7.414,+0.906
1661782320,+3.03,+16.688, +7.766,+0.906
1661782920,+3.03,+16.748, +7.940,+0.907
1661783520,+3.03,+16.773, +8.054,+0.907
1661784120,+3.03,+16.816, +8.096,+0.907
1661784720,+3.03,+16.875, +8.015,+0.907
1661785320,+3.03,+16.909, +8.031,+0.907
1661785920,+3.03,+16.943, +7.916,+0.906
1661786520,+3.03,+16.935, +7.831,+0.906
1661787120,+3.03,+16.986, +7.941,+0.907
1661787720,+3.03,+17.002, +7.812,+0.906
1661788320,+3.03,+17.079, +7.886,+0.906
1661788920,+3.03,+17.096, +7.941,+0.907
1661789520,+3.03,+17.087, +7.878,+0.906
1661790120,+3.03,+17.096, +7.868,+0.906
1661790720,+3.03,+17.104, +7.838,+0.906
1661791320,+3.03,+17.172, +8.071,+0.906
1661791920,+3.03,+17.197, +8.155,+0.907
1661792520,+3.03,+17.265, +8.087,+0.906
1661793120,+3.03,+17.282, +8.053,+0.906
1661793720,+3.03,+17.274, +8.027,+0.906
1661794320,+3.03,+17.307, +8.012,+0.906
1661794920,+3.03,+17.307, +8.032,+0.906
1661795520,+3.03,+17.307, +8.019,+0.906
1661796120,+3.03,+17.291, +8.020,+0.907
1661796720,+3.03,+17.316, +8.040,+0.906
1661797320,+3.03,+17.274, +7.906,+0.906
1661797920,+3.03,+17.274, +7.902,+0.906
1661798520,+3.03,+17.257, +7.888,+0.906
1661799120,+3.03,+17.291, +8.029,+0.906
1661799720,+3.03,+17.341, +8.066,+0.906
1661800320,+3.03,+17.307, +8.049,+0.906
1661800920,+3.03,+17.324, +8.068,+0.907
1661801520,+3.03,+17.307, +8.077,+0.907
1661802120,+3.03,+17.333, +8.077,+0.907
1661802720,+3.03,+17.417, +8.156,+0.906
1661803320,+3.03,+17.485, +8.170,+0.906
1661803920,+3.03,+17.443, +8.232,+0.906
1661804520,+3.03,+17.451, +8.230,+0.906
1661805120,+3.03,+17.417, +8.180,+0.907
1661805720,+3.03,+17.392, +8.126,+0.906
1661806320,+3.03,+17.409, +7.996,+0.906
1661806920,+3.03,+17.384, +8.032,+0.907
1661807520,+3.03,+17.426, +8.086,+0.906
1661808120,+3.03,+17.527, +8.202,+0.907
1661808720,+3.02,+17.848, +8.402,+0.907
1661809320,+3.03,+18.362, +8.168,+0.906
1661809920,+3.03,+18.480, +8.362,+0.907
1661810520,+3.02,+17.848, +8.493,+0.906
1661811120,+3.03,+17.612, +8.441,+0.906
1661811720,+3.03,+17.544, +8.421,+0.906
1661812320,+3.03,+17.603, +8.397,+0.907
1661812920,+3.03,+18.354, +8.188,+0.907
1661813520,+3.03,+18.354, +7.954,+0.906
1661814120,+3.02,+17.772, +8.063,+0.907
1661814720,+3.03,+17.527, +8.001,+0.907
1661815320,+3.03,+17.426, +7.901,+0.907
1661815920,+3.03,+17.434, +7.836,+0.907
1661816520,+3.03,+17.392, +7.802,+0.907
1661817120,+3.03,+17.434, +7.784,+0.907
