7450-027328
OS REV: 1.05 Sensor Cal: 1592497139
Time (sec),  BV (Volts),  T (deg C),  DO (mg/l),  Q ()
1631442060,+3.14,+16.309, +8.044,+0.973
1631442660,+3.14,+16.309, +8.039,+0.973
1631443260,+3.14,+16.318, +8.032,+0.973
1631443860,+3.14,+16.309, +8.026,+0.973
1631444460,+3.14,+16.301, +8.022,+0.973
1631445060,+3.14,+16.267, +8.027,+0.973
1631445660,+3.14,+16.292, +8.028,+0.973
1631446260,+3.14,+16.275, +8.010,+0.973
1631446860,+3.14,+16.267, +8.029,+0.974
1631447460,+3.14,+16.284, +8.012,+0.973
1631448060,+3.14,+16.284, +8.007,+0.974
1631448660,+3.14,+16.241, +8.012,+0.973
1631449260,+3.14,+16.267, +8.014,+0.974
1631449860,+3.14,+16.267, +7.998,+0.973
1631450460,+3.14,+16.250, +7.989,+0.973
1631451060,+3.14,+16.224, +7.985,+0.973
1631451660,+3.14,+16.250, +7.972,+0.973
1631452260,+3.14,+16.232, +7.967,+0.973
1631452860,+3.14,+16.241, +7.963,+0.973
1631453460,+3.14,+16.224, +7.956,+0.973
1631454060,+3.14,+16.224, +7.961,+0.974
1631454660,+3.14,+16.207, +7.940,+0.973
1631455260,+3.14,+16.198, +7.925,+0.973
1631455860,+3.14,+16.207, +7.907,+0.973
1631456460,+3.14,+16.198, +7.906,+0.973
1631457060,+3.14,+16.207, +7.893,+0.973
1631457660,+3.14,+16.190, +7.893,+0.973
1631458260,+3.14,+16.207, +7.867,+0.973
1631458860,+3.14,+16.181, +7.838,+0.973
1631459460,+3.14,+16.190, +7.859,+0.973
1631460060,+3.14,+16.190, +7.907,+0.973
1631460660,+3.14,+16.198, +7.888,+0.973
1631461260,+3.14,+16.215, +7.902,+0.973
1631461860,+3.14,+16.207, +7.924,+0.973
1631462460,+3.14,+16.207, +7.945,+0.973
1631463060,+3.14,+16.250, +7.942,+0.973
1631463660,+3.14,+16.224, +7.941,+0.973
1631464260,+3.14,+16.232, +7.974,+0.973
1631464860,+3.14,+16.250, +7.981,+0.973
1631465460,+3.14,+16.275, +7.977,+0.973
1631466060,+3.14,+16.258, +7.991,+0.973
1631466660,+3.14,+16.284, +8.013,+0.973
1631467260,+3.14,+16.267, +8.022,+0.973
1631467860,+3.14,+16.267, +8.020,+0.974
1631468460,+3.14,+16.309, +8.002,+0.973
