7450-027328
OS REV: 1.05 Sensor Cal: 1592497139
Time (sec),  BV (Volts),  T (deg C),  DO (mg/l),  Q ()
1597628100,+3.52,+16.998, +8.815,+0.984
1597628700,+3.52,+17.023, +8.808,+0.984
1597629300,+3.52,+17.032, +9.024,+0.983
1597629900,+3.52,+16.990, +8.731,+0.984
1597630500,+3.52,+17.006, +8.671,+0.984
1597631100,+3.52,+16.981, +8.593,+0.983
1597631700,+3.52,+16.981, +8.648,+0.984
1597632300,+3.52,+16.956, +8.568,+0.984
1597632900,+3.52,+16.947, +8.512,+0.984
1597633500,+3.52,+16.947, +8.541,+0.984
1597634100,+3.52,+16.905, +8.581,+0.984
1597634700,+3.52,+16.956, +8.594,+0.984
1597635300,+3.52,+16.973, +8.585,+0.984
1597635900,+3.52,+16.939, +8.577,+0.983
1597636500,+3.52,+16.964, +8.599,+0.984
1597637100,+3.52,+16.998, +8.618,+0.984
1597637700,+3.52,+16.947, +8.728,+0.983
1597638300,+3.52,+16.956, +8.706,+0.984
1597638900,+3.52,+16.913, +8.649,+0.984
1597639500,+3.52,+16.981, +8.705,+0.984
1597640100,+3.52,+16.964, +8.637,+0.985
1597640700,+3.52,+16.973, +8.593,+0.983
1597641300,+3.52,+16.981, +8.665,+0.984
1597641900,+3.52,+16.913, +8.691,+0.984
1597642500,+3.52,+16.939, +8.629,+0.984
1597643100,+3.52,+16.973, +8.648,+0.984
1597643700,+3.52,+16.973, +8.697,+0.984
1597644300,+3.52,+16.990, +8.686,+0.984
1597644900,+3.52,+16.956, +8.693,+0.984
1597645500,+3.52,+17.006, +8.723,+0.984
1597646100,+3.53,+16.947, +8.680,+0.984
1597646700,+3.52,+16.947, +8.704,+0.985
1597647300,+3.52,+16.930, +8.689,+0.984
1597647900,+3.52,+16.888, +8.688,+0.984
1597648500,+3.53,+16.879, +8.680,+0.983
1597649100,+3.53,+16.854, +8.689,+0.984
1597649700,+3.52,+16.837, +8.660,+0.984
1597650300,+3.52,+16.820, +8.666,+0.984
1597650900,+3.52,+16.811, +8.688,+0.984
1597651500,+3.52,+16.786, +8.672,+0.984
1597652100,+3.52,+16.769, +8.651,+0.984
1597652700,+3.52,+16.735, +8.681,+0.984
1597653300,+3.52,+16.735, +8.682,+0.983
1597653900,+3.52,+16.718, +8.652,+0.984
1597654500,+3.52,+16.709, +8.671,+0.984
1597655100,+3.52,+16.684, +8.677,+0.984
1597655700,+3.52,+16.650, +8.679,+0.984
1597656300,+3.52,+16.633, +8.682,+0.984
1597656900,+3.52,+16.633, +8.671,+0.985
1597657500,+3.52,+16.624, +8.671,+0.984
1597658100,+3.52,+16.599, +8.674,+0.984
1597658700,+3.52,+16.599, +8.689,+0.984
1597659300,+3.52,+16.582, +8.655,+0.984
1597659900,+3.52,+16.556, +8.703,+0.984
1597660500,+3.52,+16.548, +8.695,+0.984
1597661100,+3.52,+16.522, +8.718,+0.984
