7450-027328
OS REV: 1.05 Sensor Cal: 1592497139
Time (sec),  BV (Volts),  T (deg C),  DO (mg/l),  Q ()
1599936780,+3.51,+13.436, +8.568,+0.986
1599937380,+3.51,+13.515, +8.560,+0.986
1599937980,+3.51,+13.541, +8.559,+0.987
1599938580,+3.51,+13.567, +8.558,+0.986
1599939180,+3.51,+13.594, +8.570,+0.986
1599939780,+3.51,+13.611, +8.565,+0.987
1599940380,+3.51,+13.629, +8.581,+0.987
1599940980,+3.51,+13.663, +8.571,+0.986
1599941580,+3.51,+13.724, +8.573,+0.986
1599942180,+3.51,+13.707, +8.583,+0.986
1599942780,+3.51,+13.759, +8.563,+0.986
1599943380,+3.51,+13.768, +8.578,+0.986
1599943980,+3.51,+13.794, +8.581,+0.986
1599944580,+3.51,+13.803, +8.589,+0.986
1599945180,+3.51,+13.838, +8.621,+0.987
1599945780,+3.51,+13.881, +8.617,+0.987
1599946380,+3.51,+13.942, +8.622,+0.986
1599946980,+3.51,+13.995, +8.607,+0.986
1599947580,+3.51,+14.038, +8.568,+0.986
1599948180,+3.51,+14.090, +8.565,+0.986
1599948780,+3.51,+14.029, +8.610,+0.986
1599949380,+3.51,+14.081, +8.611,+0.986
1599949980,+3.51,+14.064, +8.607,+0.986
1599950580,+3.51,+14.090, +8.608,+0.986
1599951180,+3.51,+14.151, +8.606,+0.986
1599951780,+3.51,+14.186, +8.595,+0.986
1599952380,+3.51,+14.255, +8.597,+0.986
1599952980,+3.51,+14.168, +8.597,+0.986
1599953580,+3.51,+14.108, +8.677,+0.986
1599954180,+3.51,+14.220, +8.717,+0.986
1599954780,+3.51,+14.333, +8.682,+0.986
1599955380,+3.51,+14.376, +8.659,+0.986
1599955980,+3.51,+14.342, +8.638,+0.985
1599956580,+3.51,+14.290, +8.623,+0.987
1599957180,+3.51,+14.368, +8.643,+0.987
1599957780,+3.51,+14.420, +8.668,+0.986
1599958380,+3.51,+14.394, +8.693,+0.986
1599958980,+3.51,+14.333, +8.715,+0.987
1599959580,+3.51,+14.324, +8.687,+0.986
1599960180,+3.51,+14.307, +8.663,+0.986
1599960780,+3.51,+14.376, +8.695,+0.986
1599961380,+3.51,+14.264, +8.701,+0.986
1599961980,+3.51,+14.220, +8.827,+0.986
1599962580,+3.51,+14.160, +8.875,+0.986
1599963180,+3.51,+14.272, +8.753,+0.986
1599963780,+3.51,+14.342, +8.743,+0.986
1599964380,+3.51,+14.333, +8.753,+0.986
1599964980,+3.51,+14.290, +8.731,+0.986
1599965580,+3.51,+14.246, +8.755,+0.986
1599966180,+3.51,+14.203, +8.701,+0.986
1599966780,+3.51,+14.246, +8.748,+0.985
1599967380,+3.51,+14.220, +8.804,+0.986
1599967980,+3.51,+14.238, +8.779,+0.985
1599968580,+3.51,+14.220, +8.771,+0.986
1599969180,+3.51,+14.168, +8.789,+0.985
1599969780,+3.51,+14.160, +8.766,+0.986
1599970380,+3.51,+14.108, +8.764,+0.986
1599970980,+3.51,+14.081, +8.780,+0.986
1599971580,+3.51,+14.090, +8.774,+0.986
1599972180,+3.51,+14.064, +8.783,+0.986
1599972780,+3.51,+14.021, +8.787,+0.986
1599973380,+3.51,+14.012, +8.759,+0.986
1599973980,+3.51,+14.003, +8.780,+0.987
1599974580,+3.51,+13.986, +8.787,+0.986
1599975180,+3.51,+13.968, +8.771,+0.986
1599975780,+3.51,+13.960, +8.757,+0.986
1599976380,+3.51,+13.934, +8.773,+0.986
1599976980,+3.51,+13.925, +8.777,+0.986
1599977580,+3.51,+13.899, +8.765,+0.986
1599978180,+3.51,+13.899, +8.758,+0.986
1599978780,+3.51,+13.873, +8.762,+0.986
1599979380,+3.51,+13.873, +8.765,+0.986
1599979980,+3.51,+13.873, +8.750,+0.987
1599980580,+3.51,+13.855, +8.758,+0.986
1599981180,+3.51,+13.829, +8.764,+0.986
1599981780,+3.51,+13.812, +8.779,+0.986
1599982380,+3.51,+13.820, +8.761,+0.987
1599982980,+3.52,+13.803, +8.754,+0.986
1599983580,+3.51,+13.786, +8.767,+0.986
1599984180,+3.51,+13.786, +8.790,+0.986
1599984780,+3.51,+13.768, +8.773,+0.986
1599985380,+3.52,+13.759, +8.788,+0.986
1599985980,+3.52,+13.742, +8.797,+0.987
1599986580,+3.51,+13.724, +8.763,+0.986
1599987180,+3.52,+13.733, +8.767,+0.986
1599987780,+3.52,+13.698, +8.779,+0.986
1599988380,+3.52,+13.690, +8.767,+0.986
1599988980,+3.52,+13.681, +8.759,+0.986
1599989580,+3.52,+13.663, +8.777,+0.987
1599990180,+3.52,+13.655, +8.772,+0.987
1599990780,+3.52,+13.646, +8.748,+0.987
1599991380,+3.52,+13.611, +8.730,+0.986
1599991980,+3.52,+13.602, +8.751,+0.986
1599992580,+3.52,+13.602, +8.778,+0.987
1599993180,+3.52,+13.594, +8.769,+0.986
1599993780,+3.52,+13.585, +8.741,+0.986
1599994380,+3.52,+13.585, +8.750,+0.987
1599994980,+3.52,+13.559, +8.762,+0.987
1599995580,+3.52,+13.541, +8.761,+0.986
1599996180,+3.52,+13.532, +8.740,+0.986
1599996780,+3.52,+13.532, +8.739,+0.987
1599997380,+3.51,+13.515, +8.710,+0.986
1599997980,+3.51,+13.506, +8.721,+0.987
1599998580,+3.51,+13.489, +8.720,+0.986
1599999180,+3.51,+13.480, +8.699,+0.986
1599999780,+3.51,+13.462, +8.707,+0.987
1600000380,+3.51,+13.454, +8.700,+0.986
1600000980,+3.51,+13.462, +8.709,+0.987
1600001580,+3.51,+13.436, +8.686,+0.986
1600002180,+3.51,+13.410, +8.663,+0.987
1600002780,+3.51,+13.410, +8.680,+0.987
1600003380,+3.51,+13.384, +8.665,+0.987
1600003980,+3.51,+13.392, +8.627,+0.987
1600004580,+3.51,+13.366, +8.623,+0.987
1600005180,+3.51,+13.375, +8.596,+0.986
1600005780,+3.51,+13.392, +8.620,+0.987
1600006380,+3.51,+13.357, +8.617,+0.987
1600006980,+3.51,+13.357, +8.612,+0.987
1600007580,+3.51,+13.322, +8.622,+0.986
1600008180,+3.51,+13.322, +8.619,+0.986
1600008780,+3.51,+13.331, +8.622,+0.987
1600009380,+3.51,+13.331, +8.592,+0.986
1600009980,+3.51,+13.305, +8.591,+0.986
1600010580,+3.51,+13.314, +8.605,+0.987
1600011180,+3.51,+13.305, +8.622,+0.986
1600011780,+3.51,+13.305, +8.650,+0.987
1600012380,+3.51,+13.287, +8.664,+0.986
1600012980,+3.51,+13.287, +8.652,+0.987
1600013580,+3.51,+13.305, +8.616,+0.987
1600014180,+3.51,+13.305, +8.619,+0.987
1600014780,+3.51,+13.305, +8.618,+0.986
1600015380,+3.51,+13.322, +8.628,+0.987
1600015980,+3.51,+13.322, +8.613,+0.987
1600016580,+3.51,+13.305, +8.596,+0.987
1600017180,+3.51,+13.314, +8.596,+0.987
1600017780,+3.51,+13.279, +8.603,+0.987
1600018380,+3.51,+13.305, +8.569,+0.986
1600018980,+3.51,+13.322, +8.562,+0.987
1600019580,+3.51,+13.331, +8.573,+0.987
1600020180,+3.51,+13.322, +8.604,+0.986
1600020780,+3.51,+13.349, +8.591,+0.987
1600021380,+3.51,+13.349, +8.588,+0.987
1600021980,+3.51,+13.357, +8.593,+0.987
1600022580,+3.51,+13.392, +8.590,+0.987
1600023180,+3.51,+13.384, +8.601,+0.987
