7450-277916
OS REV: 1.05 Sensor Cal: 1592497888
Time (sec),  BV (Volts),  T (deg C),  DO (mg/l),  Q ()
1597165140,+3.51,+15.116, +8.462,+0.977
1597165740,+3.51,+15.141, +8.459,+0.977
1597166340,+3.51,+15.141, +8.462,+0.977
1597166940,+3.51,+15.159, +8.454,+0.977
1597167540,+3.51,+15.159, +8.472,+0.977
1597168140,+3.51,+15.184, +8.480,+0.978
1597168740,+3.51,+15.202, +8.470,+0.977
1597169340,+3.51,+15.236, +8.476,+0.977
1597169940,+3.51,+15.236, +8.484,+0.977
1597170540,+3.51,+15.253, +8.484,+0.977
1597171140,+3.51,+15.305, +8.489,+0.977
1597171740,+3.51,+15.313, +8.491,+0.977
1597172340,+3.51,+15.322, +8.492,+0.977
1597172940,+3.51,+15.330, +8.500,+0.977
1597173540,+3.51,+15.348, +8.512,+0.977
1597174140,+3.51,+15.356, +8.507,+0.977
1597174740,+3.51,+15.373, +8.511,+0.977
1597175340,+3.51,+15.382, +8.508,+0.977
1597175940,+3.51,+15.356, +8.505,+0.977
1597176540,+3.51,+15.339, +8.492,+0.976
1597177140,+3.51,+15.348, +8.492,+0.977
1597177740,+3.51,+15.373, +8.486,+0.976
1597178340,+3.51,+15.433, +8.499,+0.977
1597178940,+3.51,+15.425, +8.502,+0.977
1597179540,+3.51,+15.459, +8.510,+0.977
1597180140,+3.51,+15.485, +8.506,+0.977
1597180740,+3.51,+15.476, +8.508,+0.977
1597181340,+3.51,+15.459, +8.504,+0.977
1597181940,+3.51,+15.485, +8.500,+0.977
1597182540,+3.51,+15.476, +8.485,+0.977
1597183140,+3.51,+15.528, +8.482,+0.977
1597183740,+3.51,+15.528, +8.461,+0.977
1597184340,+3.51,+15.553, +8.459,+0.977
1597184940,+3.51,+15.571, +8.456,+0.977
1597185540,+3.51,+15.545, +8.456,+0.977
1597186140,+3.51,+15.562, +8.451,+0.977
1597186740,+3.51,+15.571, +8.450,+0.977
1597187340,+3.51,+15.553, +8.440,+0.976
1597187940,+3.51,+15.571, +8.441,+0.977
1597188540,+3.51,+15.536, +8.457,+0.977
1597189140,+3.51,+15.536, +8.451,+0.977
1597189740,+3.51,+15.511, +8.455,+0.976
1597190340,+3.51,+15.519, +8.450,+0.977
1597190940,+3.51,+15.519, +8.461,+0.977
1597191540,+3.51,+15.519, +8.458,+0.977
1597192140,+3.51,+15.485, +8.451,+0.976
1597192740,+3.51,+15.502, +8.457,+0.977
1597193340,+3.51,+15.468, +8.472,+0.977
1597193940,+3.51,+15.468, +8.491,+0.977
1597194540,+3.51,+15.468, +8.498,+0.977
1597195140,+3.51,+15.468, +8.510,+0.977
1597195740,+3.51,+15.468, +8.510,+0.977
1597196340,+3.51,+15.476, +8.497,+0.977
1597196940,+3.51,+15.451, +8.493,+0.977
1597197540,+3.51,+15.476, +8.486,+0.977
1597198140,+3.51,+15.459, +8.477,+0.977
1597198740,+3.51,+15.442, +8.462,+0.977
1597199340,+3.51,+15.442, +8.458,+0.977
1597199940,+3.51,+15.451, +8.450,+0.977
1597200540,+3.51,+15.442, +8.436,+0.977
1597201140,+3.51,+15.511, +8.418,+0.977
1597201740,+3.51,+15.528, +8.414,+0.977
1597202340,+3.51,+15.519, +8.410,+0.977
1597202940,+3.51,+15.511, +8.392,+0.976
1597203540,+3.51,+15.528, +8.398,+0.978
1597204140,+3.51,+15.485, +8.399,+0.977
