datetime,doobs_1
2020-07-24T14:00:00Z,8.1
2020-07-24T14:10:00Z,8.073
2020-07-24T14:20:00Z,8.566
2020-07-24T14:30:00Z,8.454
2020-07-24T14:40:00Z,8.475
2020-07-24T14:50:00Z,8.454
2020-07-24T15:00:00Z,8.467
2020-07-24T15:10:00Z,8.493
2020-07-24T15:20:00Z,8.519
2020-07-24T15:30:00Z,8.562
2020-07-24T15:40:00Z,8.592
2020-07-24T15:50:00Z,8.597
2020-07-24T16:00:00Z,8.592
2020-07-24T16:10:00Z,8.611
2020-07-24T16:20:00Z,8.599
2020-07-24T16:30:00Z,8.608
2020-07-24T16:40:00Z,8.582
2020-07-24T16:50:00Z,8.588
2020-07-24T17:00:00Z,8.58
2020-07-24T17:10:00Z,8.584
2020-07-24T17:20:00Z,8.558
2020-07-24T17:30:00Z,8.58
2020-07-24T17:40:00Z,8.56
2020-07-24T17:50:00Z,8.571
2020-07-24T18:00:00Z,8.579
2020-07-24T18:10:00Z,8.566
2020-07-24T18:20:00Z,8.553
2020-07-24T18:30:00Z,8.579
2020-07-24T18:40:00Z,8.561
2020-07-24T18:50:00Z,8.576
2020-07-24T19:00:00Z,8.582
2020-07-24T19:10:00Z,8.58
2020-07-24T19:20:00Z,8.58
2020-07-24T19:30:00Z,8.582
2020-07-24T19:40:00Z,8.568
2020-07-24T19:50:00Z,8.553
2020-07-24T20:00:00Z,8.55
2020-07-24T20:10:00Z,8.553
2020-07-24T20:20:00Z,8.583
2020-07-24T20:30:00Z,8.583
2020-07-24T20:40:00Z,8.615
2020-07-24T20:50:00Z,8.609
2020-07-24T21:00:00Z,8.611
2020-07-24T21:10:00Z,8.614
2020-07-24T21:20:00Z,8.604
2020-07-24T21:30:00Z,8.595
2020-07-24T21:40:00Z,8.585
2020-07-24T21:50:00Z,8.577
2020-07-24T22:00:00Z,8.559
2020-07-24T22:10:00Z,8.562
2020-07-24T22:20:00Z,8.564
2020-07-24T22:30:00Z,8.562
2020-07-24T22:40:00Z,8.567
2020-07-24T22:50:00Z,8.553
2020-07-24T23:00:00Z,8.539
2020-07-24T23:10:00Z,8.528
2020-07-24T23:20:00Z,8.532
2020-07-24T23:30:00Z,8.521
2020-07-24T23:40:00Z,8.505
2020-07-24T23:50:00Z,8.499
2020-07-25T00:00:00Z,8.512
2020-07-25T00:10:00Z,8.483
2020-07-25T00:20:00Z,8.492
2020-07-25T00:30:00Z,8.483
2020-07-25T00:40:00Z,8.5
2020-07-25T00:50:00Z,8.497
2020-07-25T01:00:00Z,8.493
2020-07-25T01:10:00Z,8.489
2020-07-25T01:20:00Z,8.486
2020-07-25T01:30:00Z,8.492
2020-07-25T01:40:00Z,8.474
2020-07-25T01:50:00Z,8.478
2020-07-25T02:00:00Z,8.46
2020-07-25T02:10:00Z,8.467
2020-07-25T02:20:00Z,8.458
2020-07-25T02:30:00Z,8.464
2020-07-25T02:40:00Z,8.472
2020-07-25T02:50:00Z,8.448
2020-07-25T03:00:00Z,8.458
2020-07-25T03:10:00Z,8.46
2020-07-25T03:20:00Z,8.456
2020-07-25T03:30:00Z,8.449
2020-07-25T03:40:00Z,8.444
2020-07-25T03:50:00Z,8.472
2020-07-25T04:00:00Z,8.459
2020-07-25T04:10:00Z,8.434
2020-07-25T04:20:00Z,8.459
2020-07-25T04:30:00Z,8.446
2020-07-25T04:40:00Z,8.454
2020-07-25T04:50:00Z,8.462
2020-07-25T05:00:00Z,8.458
2020-07-25T05:10:00Z,8.467
2020-07-25T05:20:00Z,8.47
2020-07-25T05:30:00Z,8.468
2020-07-25T05:40:00Z,8.475
2020-07-25T05:50:00Z,8.474
2020-07-25T06:00:00Z,8.487
2020-07-25T06:10:00Z,8.491
2020-07-25T06:20:00Z,8.475
2020-07-25T06:30:00Z,8.477
2020-07-25T06:40:00Z,8.467
2020-07-25T06:50:00Z,8.481
2020-07-25T07:00:00Z,8.461
2020-07-25T07:10:00Z,8.468
2020-07-25T07:20:00Z,8.479
2020-07-25T07:30:00Z,8.455
2020-07-25T07:40:00Z,8.469
2020-07-25T07:50:00Z,8.481
2020-07-25T08:00:00Z,8.484
2020-07-25T08:10:00Z,8.494
2020-07-25T08:20:00Z,8.482
2020-07-25T08:30:00Z,8.489
2020-07-25T08:40:00Z,8.504
2020-07-25T08:50:00Z,8.506
2020-07-25T09:00:00Z,8.505
2020-07-25T09:10:00Z,8.484
2020-07-25T09:20:00Z,8.509
2020-07-25T09:30:00Z,8.533
2020-07-25T09:40:00Z,8.549
2020-07-25T09:50:00Z,8.532
2020-07-25T10:00:00Z,8.571
2020-07-25T10:10:00Z,8.522
2020-07-25T10:20:00Z,8.583
2020-07-25T10:30:00Z,8.582
2020-07-25T10:40:00Z,8.61
2020-07-25T10:50:00Z,8.609
2020-07-25T11:00:00Z,8.622
2020-07-25T11:10:00Z,8.635
2020-07-25T11:20:00Z,8.628
2020-07-25T11:30:00Z,8.595
2020-07-25T11:40:00Z,8.612
2020-07-25T11:50:00Z,8.608
2020-07-25T12:00:00Z,8.59
2020-07-25T12:10:00Z,8.597
2020-07-25T12:20:00Z,8.576
2020-07-25T12:30:00Z,8.584
2020-07-25T12:40:00Z,8.59
2020-07-25T12:50:00Z,8.579
2020-07-25T13:00:00Z,8.595
2020-07-25T13:10:00Z,8.596
2020-07-25T13:20:00Z,8.6
2020-07-25T13:30:00Z,8.589
2020-07-25T13:40:00Z,8.588
2020-07-25T13:50:00Z,8.582
2020-07-25T14:00:00Z,8.551
2020-07-25T14:10:00Z,8.571
2020-07-25T14:20:00Z,8.565
2020-07-25T14:30:00Z,8.564
2020-07-25T14:40:00Z,8.587
2020-07-25T14:50:00Z,8.573
2020-07-25T15:00:00Z,8.573
2020-07-25T15:10:00Z,8.572
2020-07-25T15:20:00Z,8.573
2020-07-25T15:30:00Z,8.574
2020-07-25T15:40:00Z,8.582
2020-07-25T15:50:00Z,8.581
2020-07-25T16:00:00Z,8.598
2020-07-25T16:10:00Z,8.59
2020-07-25T16:20:00Z,8.578
2020-07-25T16:30:00Z,8.564
2020-07-25T16:40:00Z,8.559
2020-07-25T16:50:00Z,8.56
2020-07-25T17:00:00Z,8.549
2020-07-25T17:10:00Z,8.559
2020-07-25T17:20:00Z,8.552
2020-07-25T17:30:00Z,8.55
