7450-293738
OS REV: 1.05 Sensor Cal: 1592496161
Time (sec),  BV (Volts),  T (deg C),  DO (mg/l),  Q ()
1630217340,+3.15,+17.244, +8.842,+1.015
1630217940,+3.15,+17.278, +8.875,+1.016
1630218540,+3.15,+17.236, +9.089,+1.015
1630219140,+3.15,+17.236, +9.096,+1.015
1630219740,+3.15,+17.295, +9.002,+1.015
1630220340,+3.15,+17.464, +8.629,+1.014
1630220940,+3.15,+17.320, +9.195,+1.015
1630221540,+3.15,+17.362, +8.677,+1.014
1630222140,+3.15,+17.261, +9.035,+1.014
1630222740,+3.15,+17.346, +8.807,+1.015
1630223340,+3.15,+17.413, +8.575,+1.015
1630223940,+3.15,+17.295, +8.771,+1.015
1630224540,+3.15,+17.286, +8.946,+1.015
1630225140,+3.15,+17.278, +8.636,+1.015
1630225740,+3.15,+17.253, +8.624,+1.014
1630226340,+3.15,+17.185, +8.669,+1.015
1630226940,+3.15,+17.160, +8.674,+1.015
1630227540,+3.15,+17.100, +8.721,+1.016
1630228140,+3.15,+17.075, +8.722,+1.015
1630228740,+3.15,+16.999, +8.750,+1.015
1630229340,+3.15,+16.973, +8.745,+1.016
1630229940,+3.15,+16.914, +8.733,+1.016
1630230540,+3.15,+16.855, +8.747,+1.015
1630231140,+3.15,+16.838, +8.739,+1.015
1630231740,+3.15,+16.804, +8.717,+1.015
1630232340,+3.15,+16.770, +8.772,+1.015
1630232940,+3.14,+16.745, +8.752,+1.016
1630233540,+3.14,+16.702, +8.757,+1.016
1630234140,+3.14,+16.702, +8.701,+1.016
1630234740,+3.14,+16.660, +8.732,+1.016
1630235340,+3.14,+16.626, +8.707,+1.016
1630235940,+3.15,+16.617, +8.726,+1.016
1630236540,+3.14,+16.617, +8.721,+1.016
1630237140,+3.14,+16.558, +8.741,+1.015
1630237740,+3.15,+16.524, +8.703,+1.016
1630238340,+3.15,+16.549, +8.725,+1.016
1630238940,+3.15,+16.507, +8.717,+1.016
1630239540,+3.15,+16.481, +8.713,+1.015
1630240140,+3.15,+16.464, +8.634,+1.016
1630240740,+3.15,+16.430, +8.644,+1.015
1630241340,+3.15,+16.439, +8.602,+1.015
1630241940,+3.15,+16.405, +8.611,+1.016
1630242540,+3.15,+16.388, +8.626,+1.016
1630243140,+3.15,+16.354, +8.630,+1.016
1630243740,+3.15,+16.354, +8.635,+1.016
1630244340,+3.15,+16.345, +8.585,+1.016
1630244940,+3.15,+16.286, +8.597,+1.016
1630245540,+3.15,+16.277, +8.600,+1.016
1630246140,+3.15,+16.286, +8.607,+1.016
1630246740,+3.15,+16.277, +8.585,+1.015
1630247340,+3.15,+16.252, +8.609,+1.016
1630247940,+3.15,+16.277, +8.613,+1.017
1630248540,+3.15,+16.269, +8.601,+1.016
1630249140,+3.15,+16.260, +8.587,+1.016
1630249740,+3.15,+16.269, +8.592,+1.016
1630250340,+3.15,+16.277, +8.597,+1.016
1630250940,+3.15,+16.277, +8.592,+1.017
1630251540,+3.15,+16.269, +8.559,+1.016
1630252140,+3.15,+16.311, +8.556,+1.016
1630252740,+3.15,+16.320, +8.538,+1.016
1630253340,+3.15,+16.328, +8.594,+1.016
1630253940,+3.15,+16.354, +8.557,+1.015
1630254540,+3.15,+16.354, +8.563,+1.016
1630255140,+3.15,+16.388, +8.588,+1.016
1630255740,+3.15,+16.422, +8.550,+1.016
1630256340,+3.15,+16.422, +8.562,+1.016
1630256940,+3.15,+16.464, +8.541,+1.016
1630257540,+3.15,+16.473, +8.588,+1.015
1630258140,+3.15,+16.507, +8.585,+1.016
1630258740,+3.14,+16.541, +8.617,+1.016
