7450-585180
OS REV: 1.04 Sensor Cal: 1557947487
Time (sec),  BV (Volts),  T (deg C),  DO (mg/l),  Q ()
1597271220,+3.50,+16.527, +7.322,+0.910
1597271820,+3.50,+16.535, +7.327,+0.910
1597272420,+3.50,+16.527, +7.330,+0.910
1597273020,+3.50,+16.527, +7.330,+0.910
1597273620,+3.50,+16.535, +7.319,+0.910
1597274220,+3.50,+16.527, +7.319,+0.909
1597274820,+3.50,+16.518, +7.317,+0.910
1597275420,+3.50,+16.518, +7.323,+0.910
1597276020,+3.50,+16.518, +7.320,+0.910
1597276620,+3.50,+16.501, +7.317,+0.910
1597277220,+3.50,+16.467, +7.326,+0.910
1597277820,+3.50,+16.467, +7.322,+0.910
1597278420,+3.50,+16.484, +7.314,+0.910
1597279020,+3.50,+16.467, +7.327,+0.910
1597279620,+3.50,+16.476, +7.314,+0.909
1597280220,+3.50,+16.450, +7.323,+0.910
1597280820,+3.50,+16.450, +7.325,+0.910
1597281420,+3.50,+16.476, +7.312,+0.910
1597282020,+3.50,+16.425, +7.325,+0.910
1597282620,+3.50,+16.433, +7.322,+0.910
1597283220,+3.50,+16.416, +7.329,+0.910
1597283820,+3.50,+16.416, +7.319,+0.910
1597284420,+3.50,+16.391, +7.329,+0.910
1597285020,+3.50,+16.425, +7.316,+0.910
1597285620,+3.50,+16.382, +7.317,+0.910
1597286220,+3.50,+16.365, +7.325,+0.910
1597286820,+3.50,+16.382, +7.317,+0.910
1597287420,+3.50,+16.357, +7.325,+0.910
1597288020,+3.50,+16.323, +7.330,+0.910
1597288620,+3.50,+16.331, +7.329,+0.910
1597289220,+3.50,+16.297, +7.332,+0.910
1597289820,+3.50,+16.306, +7.327,+0.910
1597290420,+3.50,+16.306, +7.319,+0.909
1597291020,+3.50,+16.272, +7.326,+0.910
1597291620,+3.50,+16.263, +7.324,+0.910
1597292220,+3.50,+16.289, +7.315,+0.909
1597292820,+3.50,+16.263, +7.324,+0.910
1597293420,+3.50,+16.246, +7.317,+0.910
1597294020,+3.50,+16.237, +7.322,+0.910
1597294620,+3.50,+16.212, +7.322,+0.910
1597295220,+3.50,+16.195, +7.307,+0.909
1597295820,+3.50,+16.195, +7.319,+0.910
1597296420,+3.50,+16.178, +7.327,+0.910
1597297020,+3.50,+16.178, +7.328,+0.910
1597297620,+3.50,+16.161, +7.335,+0.910
1597298220,+3.50,+16.152, +7.338,+0.910
1597298820,+3.50,+16.152, +7.349,+0.910
1597299420,+3.50,+16.152, +7.339,+0.910
1597300020,+3.50,+16.144, +7.337,+0.910
1597300620,+3.50,+16.118, +7.335,+0.910
1597301220,+3.50,+16.110, +7.323,+0.910
1597301820,+3.50,+16.101, +7.348,+0.910
1597302420,+3.50,+16.092, +7.333,+0.910
1597303020,+3.50,+16.084, +7.329,+0.909
1597303620,+3.50,+16.058, +7.339,+0.910
1597304220,+3.50,+16.041, +7.347,+0.910
1597304820,+3.50,+16.050, +7.328,+0.909
1597305420,+3.50,+16.007, +7.335,+0.910
1597306020,+3.50,+15.990, +7.346,+0.910
1597306620,+3.50,+15.964, +7.350,+0.910
1597307220,+3.50,+15.964, +7.348,+0.910
1597307820,+3.50,+15.964, +7.347,+0.910
1597308420,+3.50,+15.947, +7.345,+0.910
1597309020,+3.50,+15.939, +7.358,+0.910
1597309620,+3.50,+15.939, +7.360,+0.910
1597310220,+3.50,+15.905, +7.358,+0.909
1597310820,+3.50,+15.879, +7.358,+0.910
1597311420,+3.50,+15.862, +7.355,+0.910
1597312020,+3.50,+15.836, +7.359,+0.910
1597312620,+3.50,+15.862, +7.353,+0.910
1597313220,+3.50,+15.836, +7.354,+0.909
1597313820,+3.50,+15.811, +7.358,+0.910
1597314420,+3.50,+15.794, +7.365,+0.910
1597315020,+3.50,+15.794, +7.355,+0.910
1597315620,+3.50,+15.776, +7.372,+0.910
1597316220,+3.50,+15.768, +7.358,+0.909
1597316820,+3.50,+15.776, +7.374,+0.910
1597317420,+3.50,+15.751, +7.371,+0.910
1597318020,+3.50,+15.734, +7.369,+0.909
1597318620,+3.50,+15.742, +7.381,+0.910
1597319220,+3.50,+15.734, +7.383,+0.910
1597319820,+3.50,+15.717, +7.384,+0.910
1597320420,+3.50,+15.699, +7.399,+0.910
1597321020,+3.50,+15.682, +7.388,+0.910
1597321620,+3.50,+15.648, +7.380,+0.910
1597322220,+3.50,+15.665, +7.382,+0.910
1597322820,+3.50,+15.640, +7.382,+0.909
1597323420,+3.50,+15.640, +7.390,+0.910
1597324020,+3.50,+15.640, +7.397,+0.910
1597324620,+3.50,+15.622, +7.406,+0.910
1597325220,+3.50,+15.614, +7.407,+0.910
1597325820,+3.50,+15.605, +7.402,+0.910
1597326420,+3.50,+15.605, +7.404,+0.910
1597327020,+3.50,+15.588, +7.411,+0.910
1597327620,+3.50,+15.580, +7.411,+0.910
1597328220,+3.50,+15.580, +7.418,+0.910
1597328820,+3.50,+15.588, +7.407,+0.910
1597329420,+3.50,+15.580, +7.404,+0.909
1597330020,+3.50,+15.588, +7.406,+0.909
1597330620,+3.50,+15.597, +7.405,+0.910
1597331220,+3.50,+15.597, +7.399,+0.910
1597331820,+3.50,+15.622, +7.391,+0.910
1597332420,+3.50,+15.640, +7.396,+0.910
1597333020,+3.50,+15.622, +7.409,+0.910
1597333620,+3.50,+15.657, +7.412,+0.910
1597334220,+3.50,+15.665, +7.410,+0.910
1597334820,+3.50,+15.665, +7.415,+0.910
1597335420,+3.50,+15.691, +7.415,+0.909
1597336020,+3.50,+15.708, +7.418,+0.910
1597336620,+3.50,+15.717, +7.423,+0.910
1597337220,+3.50,+15.742, +7.413,+0.909
1597337820,+3.50,+15.759, +7.416,+0.909
1597338420,+3.50,+15.776, +7.417,+0.909
1597339020,+3.50,+15.759, +7.420,+0.909
1597339620,+3.50,+15.768, +7.425,+0.909
1597340220,+3.50,+15.742, +7.406,+0.909
1597340820,+3.50,+15.725, +7.403,+0.910
1597341420,+3.50,+15.734, +7.405,+0.909
1597342020,+3.50,+15.768, +7.428,+0.910
1597342620,+3.50,+15.776, +7.423,+0.910
1597343220,+3.50,+15.785, +7.421,+0.910
1597343820,+3.50,+15.794, +7.397,+0.909
1597344420,+3.50,+15.828, +7.394,+0.909
1597345020,+3.50,+15.828, +7.398,+0.910
1597345620,+3.50,+15.845, +7.407,+0.910
1597346220,+3.50,+15.853, +7.398,+0.909
1597346820,+3.50,+15.845, +7.413,+0.910
1597347420,+3.50,+15.853, +7.405,+0.910
1597348020,+3.50,+15.870, +7.407,+0.910
1597348620,+3.50,+15.870, +7.403,+0.909
1597349220,+3.50,+15.922, +7.394,+0.910
1597349820,+3.50,+15.913, +7.397,+0.909
1597350420,+3.50,+15.930, +7.399,+0.910
1597351020,+3.50,+15.947, +7.406,+0.910
1597351620,+3.50,+15.947, +7.398,+0.909
1597352220,+3.50,+15.947, +7.410,+0.910
1597352820,+3.50,+15.939, +7.406,+0.910
