7450-585180
OS REV: 1.04 Sensor Cal: 1557947487
Time (sec),  BV (Volts),  T (deg C),  DO (mg/l),  Q ()
1596836220,+3.51,+18.169, +7.094,+0.910
1596836820,+3.51,+18.169, +7.104,+0.910
1596837420,+3.51,+18.177, +7.101,+0.910
1596838020,+3.51,+18.177, +7.106,+0.910
1596838620,+3.51,+18.152, +7.105,+0.910
1596839220,+3.51,+18.186, +7.110,+0.910
1596839820,+3.51,+18.194, +7.109,+0.910
1596840420,+3.51,+18.186, +7.121,+0.910
1596841020,+3.51,+18.211, +7.117,+0.910
1596841620,+3.51,+18.194, +7.132,+0.910
1596842220,+3.51,+18.219, +7.126,+0.910
1596842820,+3.51,+18.228, +7.125,+0.911
1596843420,+3.51,+18.219, +7.117,+0.910
1596844020,+3.51,+18.211, +7.113,+0.910
1596844620,+3.51,+18.202, +7.113,+0.910
1596845220,+3.51,+18.186, +7.105,+0.910
1596845820,+3.51,+18.177, +7.096,+0.910
1596846420,+3.51,+18.177, +7.096,+0.910
1596847020,+3.51,+18.135, +7.100,+0.910
1596847620,+3.51,+18.127, +7.098,+0.910
1596848220,+3.51,+18.127, +7.099,+0.911
1596848820,+3.51,+18.127, +7.106,+0.911
1596849420,+3.51,+18.143, +7.099,+0.910
1596850020,+3.51,+18.143, +7.095,+0.910
1596850620,+3.51,+18.143, +7.099,+0.910
1596851220,+3.51,+18.143, +7.108,+0.911
1596851820,+3.51,+18.127, +7.102,+0.910
1596852420,+3.51,+18.101, +7.113,+0.911
1596853020,+3.51,+18.110, +7.111,+0.910
1596853620,+3.51,+18.093, +7.103,+0.910
1596854220,+3.51,+18.059, +7.103,+0.910
1596854820,+3.51,+18.068, +7.111,+0.911
1596855420,+3.51,+18.059, +7.104,+0.910
1596856020,+3.51,+18.042, +7.104,+0.910
1596856620,+3.51,+18.034, +7.113,+0.910
1596857220,+3.51,+18.009, +7.109,+0.910
1596857820,+3.51,+18.009, +7.102,+0.911
1596858420,+3.51,+17.975, +7.110,+0.910
1596859020,+3.51,+17.983, +7.109,+0.910
1596859620,+3.51,+17.933, +7.119,+0.910
1596860220,+3.51,+17.950, +7.107,+0.910
1596860820,+3.51,+17.933, +7.112,+0.910
1596861420,+3.51,+17.916, +7.111,+0.910
1596862020,+3.51,+17.882, +7.117,+0.910
1596862620,+3.51,+17.882, +7.119,+0.911
1596863220,+3.51,+17.865, +7.126,+0.911
1596863820,+3.50,+17.865, +7.129,+0.911
1596864420,+3.50,+17.848, +7.125,+0.911
1596865020,+3.50,+17.823, +7.124,+0.910
1596865620,+3.50,+17.781, +7.133,+0.911
1596866220,+3.50,+17.772, +7.120,+0.910
1596866820,+3.50,+17.764, +7.133,+0.910
1596867420,+3.50,+17.730, +7.130,+0.910
1596868020,+3.50,+17.722, +7.137,+0.910
1596868620,+3.50,+17.722, +7.140,+0.910
1596869220,+3.50,+17.705, +7.138,+0.910
1596869820,+3.50,+17.688, +7.138,+0.910
1596870420,+3.50,+17.696, +7.136,+0.910
1596871020,+3.50,+17.671, +7.141,+0.910
1596871620,+3.50,+17.671, +7.132,+0.910
1596872220,+3.50,+17.663, +7.140,+0.910
1596872820,+3.50,+17.646, +7.139,+0.910
1596873420,+3.50,+17.612, +7.132,+0.910
1596874020,+3.50,+17.578, +7.138,+0.910
1596874620,+3.51,+17.561, +7.144,+0.910
1596875220,+3.51,+17.570, +7.147,+0.911
1596875820,+3.51,+17.544, +7.147,+0.910
1596876420,+3.51,+17.544, +7.151,+0.910
1596877020,+3.51,+17.519, +7.156,+0.910
1596877620,+3.51,+17.510, +7.166,+0.910
1596878220,+3.51,+17.485, +7.151,+0.910
1596878820,+3.51,+17.443, +7.157,+0.910
1596879420,+3.51,+17.451, +7.160,+0.910
1596880020,+3.51,+17.443, +7.165,+0.911
1596880620,+3.51,+17.443, +7.160,+0.910
1596881220,+3.51,+17.417, +7.166,+0.910
1596881820,+3.51,+17.409, +7.156,+0.910
1596882420,+3.51,+17.401, +7.175,+0.910
1596883020,+3.51,+17.350, +7.183,+0.910
1596883620,+3.51,+17.358, +7.186,+0.910
1596884220,+3.51,+17.333, +7.192,+0.910
1596884820,+3.51,+17.324, +7.212,+0.911
1596885420,+3.51,+17.333, +7.202,+0.910
1596886020,+3.51,+17.299, +7.233,+0.910
1596886620,+3.51,+17.274, +7.231,+0.910
1596887220,+3.51,+17.274, +7.230,+0.910
1596887820,+3.51,+17.257, +7.235,+0.910
1596888420,+3.51,+17.231, +7.234,+0.910
1596889020,+3.51,+17.223, +7.253,+0.911
1596889620,+3.51,+17.223, +7.259,+0.911
1596890220,+3.51,+17.214, +7.259,+0.910
1596890820,+3.51,+17.206, +7.241,+0.910
1596891420,+3.51,+17.214, +7.238,+0.910
1596892020,+3.51,+17.206, +7.251,+0.910
1596892620,+3.51,+17.180, +7.254,+0.910
1596893220,+3.51,+17.164, +7.259,+0.910
1596893820,+3.51,+17.155, +7.238,+0.910
1596894420,+3.51,+17.147, +7.226,+0.910
1596895020,+3.51,+17.138, +7.228,+0.910
1596895620,+3.51,+17.138, +7.224,+0.910
1596896220,+3.51,+17.121, +7.228,+0.910
1596896820,+3.51,+17.121, +7.228,+0.910
1596897420,+3.51,+17.113, +7.228,+0.910
1596898020,+3.51,+17.113, +7.202,+0.910
1596898620,+3.51,+17.121, +7.188,+0.910
1596899220,+3.51,+17.113, +7.206,+0.910
1596899820,+3.51,+17.113, +7.199,+0.910
1596900420,+3.51,+17.096, +7.201,+0.910
1596901020,+3.51,+17.113, +7.205,+0.910
1596901620,+3.51,+17.121, +7.206,+0.910
1596902220,+3.51,+17.121, +7.204,+0.910
1596902820,+3.51,+17.138, +7.193,+0.910
1596903420,+3.51,+17.138, +7.204,+0.910
1596904020,+3.51,+17.121, +7.209,+0.910
1596904620,+3.51,+17.130, +7.207,+0.910
1596905220,+3.51,+17.138, +7.205,+0.910
1596905820,+3.51,+17.155, +7.199,+0.910
1596906420,+3.51,+17.164, +7.206,+0.910
1596907020,+3.51,+17.172, +7.207,+0.910
1596907620,+3.51,+17.180, +7.214,+0.910
1596908220,+3.51,+17.197, +7.210,+0.910
1596908820,+3.51,+17.214, +7.213,+0.910
1596909420,+3.51,+17.231, +7.215,+0.910
1596910020,+3.51,+17.265, +7.208,+0.910
1596910620,+3.51,+17.248, +7.221,+0.910
1596911220,+3.51,+17.265, +7.216,+0.910
1596911820,+3.51,+17.257, +7.216,+0.910
1596912420,+3.51,+17.265, +7.211,+0.910
1596913020,+3.51,+17.248, +7.231,+0.910
1596913620,+3.51,+17.341, +7.226,+0.910
1596914220,+3.51,+17.375, +7.229,+0.910
1596914820,+3.50,+17.417, +7.227,+0.910
1596915420,+3.50,+17.434, +7.221,+0.910
1596916020,+3.50,+17.417, +7.220,+0.910
1596916620,+3.50,+17.485, +7.224,+0.911
1596917220,+3.50,+17.477, +7.224,+0.910
1596917820,+3.50,+17.502, +7.221,+0.910
1596918420,+3.50,+17.510, +7.222,+0.910
1596919020,+3.50,+17.536, +7.230,+0.910
1596919620,+3.50,+17.570, +7.225,+0.910
1596920220,+3.50,+17.587, +7.218,+0.910
1596920820,+3.50,+17.587, +7.215,+0.910
1596921420,+3.50,+17.612, +7.208,+0.910
1596922020,+3.50,+17.595, +7.224,+0.910
1596922620,+3.50,+17.595, +7.224,+0.911
