time,latitude,longitude,vgrd10m,ugrd10m
2020-06-07T00:00:00Z,47,246.5,1.7091405,1.9362377
2020-06-07T00:00:00Z,47.5,246.5,-1.2608594,1.7362378
2020-06-07T00:00:00Z,48,246.5,0.5991406,1.3762378
2020-06-07T03:00:00Z,47,246.5,0.28872803,1.5341858
2020-06-07T03:00:00Z,47.5,246.5,-0.20127197,2.0841858
2020-06-07T03:00:00Z,48,246.5,0.15872802,1.6541858
2020-06-07T06:00:00Z,47,246.5,0.75830567,1.6040137
2020-06-07T06:00:00Z,47.5,246.5,0.48830566,1.7440137
2020-06-07T06:00:00Z,48,246.5,0.8083056,1.5740136
2020-06-07T09:00:00Z,47,246.5,0.98968506,1.7492541
2020-06-07T09:00:00Z,47.5,246.5,0.69968504,2.1092541
2020-06-07T09:00:00Z,48,246.5,1.029685,2.3092542
2020-06-07T12:00:00Z,47,246.5,0.61946046,1.5046215
2020-06-07T12:00:00Z,47.5,246.5,0.7994604,1.3946215
2020-06-07T12:00:00Z,48,246.5,0.8494604,1.2846216
2020-06-07T15:00:00Z,47,246.5,0.5201367,1.859823
2020-06-07T15:00:00Z,47.5,246.5,0.120136715,2.2698228
2020-06-07T15:00:00Z,48,246.5,1.3201367,2.919823
2020-06-07T18:00:00Z,47,246.5,-0.42608154,4.2242603
2020-06-07T18:00:00Z,47.5,246.5,-0.26608154,3.0242603
2020-06-07T18:00:00Z,48,246.5,1.0239184,5.17426
2020-06-07T21:00:00Z,47,246.5,-0.96401364,4.111667
2020-06-07T21:00:00Z,47.5,246.5,-0.11401367,3.8616674
2020-06-07T21:00:00Z,48,246.5,-0.03401367,5.361667
2020-06-08T00:00:00Z,47,246.5,-1.7967334,4.3972926
2020-06-08T00:00:00Z,47.5,246.5,-1.3567333,3.4872923
2020-06-08T00:00:00Z,48,246.5,1.0632666,2.8572924
2020-06-08T03:00:00Z,47,246.5,-0.9524951,2.5360887
2020-06-08T03:00:00Z,47.5,246.5,-0.4724951,1.6060889
2020-06-08T03:00:00Z,48,246.5,0.45750487,1.5560888
2020-06-08T06:00:00Z,47,246.5,-0.68315184,1.6031176
2020-06-08T06:00:00Z,47.5,246.5,0.41684812,1.3531177
2020-06-08T06:00:00Z,48,246.5,0.5568481,1.0831176
2020-06-08T09:00:00Z,47,246.5,0.61905515,1.4165137
2020-06-08T09:00:00Z,47.5,246.5,-0.14094482,1.4765136
2020-06-08T09:00:00Z,48,246.5,0.22905517,1.3065137
2020-06-08T12:00:00Z,47,246.5,0.61776245,2.0574121
2020-06-08T12:00:00Z,47.5,246.5,-0.35223755,1.4674121
2020-06-08T12:00:00Z,48,246.5,-0.072237544,0.8174121
2020-06-08T15:00:00Z,47,246.5,1.008247,1.8583325
2020-06-08T15:00:00Z,47.5,246.5,0.13824707,1.7283325
2020-06-08T15:00:00Z,48,246.5,0.31824705,0.8683325
2020-06-08T18:00:00Z,47,246.5,0.2539465,5.7925534
2020-06-08T18:00:00Z,47.5,246.5,0.34394652,1.9925537
2020-06-08T18:00:00Z,48,246.5,0.9639465,1.0725536
2020-06-08T21:00:00Z,47,246.5,-0.24232666,7.7651343
2020-06-08T21:00:00Z,47.5,246.5,-0.05232666,3.2151341
2020-06-08T21:00:00Z,48,246.5,1.2876734,2.1151342
2020-06-09T00:00:00Z,47,246.5,0.13467163,5.873308
2020-06-09T00:00:00Z,47.5,246.5,-0.08532837,2.693308
2020-06-09T00:00:00Z,48,246.5,1.2946717,3.703308
2020-06-09T03:00:00Z,47,246.5,0.9287402,3.042661
2020-06-09T03:00:00Z,47.5,246.5,0.17874023,1.9826611
2020-06-09T03:00:00Z,48,246.5,1.1187402,2.252661
2020-06-09T06:00:00Z,47,246.5,0.7309595,1.7693335
