datetime,wtr_0,wtr_2,wtr_4,wtr_8,wtr_1,irr_0,irr_2,irr_4,irr_8
2020-06-24T23:00:00Z,12.304,7.582,5.244,3.998,9.472,22044.6,22044.6,NA,279.9
2020-06-24T23:30:00Z,12.207,7.983,5.244,3.998,8.999,12400.1,22044.6,NA,161.5
2020-06-25T00:00:00Z,10.846,7.179,5.141,3.893,9.407,3272.2,3961.1,NA,161.5
2020-06-25T00:30:00Z,11.236,7.28,5.244,3.893,9.444,753.5,1377.8,NA,53.8
2020-06-25T01:00:00Z,11.916,7.179,5.244,3.998,9.582,1237.9,2152.8,NA,107.6
2020-06-25T01:30:00Z,11.041,7.079,5.244,3.893,8.402,107.6,236.8,NA,0
2020-06-25T02:00:00Z,10.161,6.775,5.347,3.893,8.757,505.9,226,NA,0
2020-06-25T02:30:00Z,10.161,7.882,5.757,4.207,8.823,2066.7,1636.1,NA,64.6
2020-06-25T03:00:00Z,10.259,6.674,5.141,3.893,8.655,1313.2,667.4,NA,10.8
2020-06-25T03:30:00Z,10.161,6.573,5.552,3.788,8.99,10.8,32.3,NA,0
2020-06-25T04:00:00Z,10.553,6.573,5.552,4.102,7.997,0,0,NA,0
2020-06-25T04:30:00Z,10.455,6.471,5.244,4.102,7.751,0,0,NA,0
2020-06-25T05:00:00Z,10.259,6.573,5.45,3.893,7.217,0,0,NA,0
2020-06-25T05:30:00Z,10.161,6.573,5.141,4.102,7.57,0,0,NA,0
2020-06-25T06:00:00Z,10.063,6.674,5.037,3.893,6.987,0,0,NA,0
2020-06-25T06:30:00Z,9.866,6.674,5.552,3.893,6.775,0,0,NA,0
2020-06-25T07:00:00Z,9.768,6.674,5.141,3.998,6.862,0,0,NA,0
2020-06-25T07:30:00Z,9.669,6.573,5.244,3.893,6.948,0,0,NA,0
2020-06-25T08:00:00Z,9.669,6.37,5.244,3.893,6.871,0,0,NA,0
2020-06-25T08:30:00Z,9.472,6.573,5.347,3.893,6.891,0,0,NA,0
2020-06-25T09:00:00Z,9.373,6.471,5.45,3.893,7.016,0,0,NA,0
2020-06-25T09:30:00Z,9.176,6.674,5.347,3.893,7.284,0,0,NA,0
2020-06-25T10:00:00Z,9.077,6.471,5.347,3.893,7.179,0,0,NA,0
2020-06-25T10:30:00Z,8.978,6.268,5.347,3.893,7.14,0,0,NA,0
2020-06-25T11:00:00Z,8.779,6.268,5.347,3.998,7.073,0,0,NA,0
2020-06-25T11:30:00Z,8.879,6.471,5.347,3.998,7.035,10.8,10.8,NA,0
2020-06-25T12:00:00Z,8.68,6.471,5.45,3.998,6.987,290.6,258.3,NA,0
2020-06-25T12:30:00Z,8.581,6.471,5.45,3.998,7.016,538.2,527.4,NA,10.8
2020-06-25T13:00:00Z,8.481,6.471,5.45,3.998,6.881,775,807.3,NA,10.8
2020-06-25T13:30:00Z,8.382,6.37,5.45,3.998,6.804,1011.8,925.7,NA,21.5
2020-06-25T14:00:00Z,9.472,6.674,5.552,3.998,6.852,46844.8,8266.7,NA,75.3
2020-06-25T14:30:00Z,9.768,6.674,5.45,3.998,6.813,22044.6,3444.5,NA,161.5
2020-06-25T15:00:00Z,11.431,6.674,5.45,3.998,6.891,3100,2669.5,NA,419.8
2020-06-25T15:30:00Z,9.176,6.674,5.45,3.998,7.14,1377.8,3100,NA,150.7
2020-06-25T16:00:00Z,9.077,6.877,5.552,3.893,7.265,1808.3,4133.4,NA,236.8
