datetime,lake,doobs_mgL,do_sat,temp_1m
2020-07-27T17:00:00Z,MCD,8.83,8.236030387899072,18.306
2020-07-27T17:30:00Z,MCD,8.842,8.233145542347318,18.323
2020-07-27T18:00:00Z,MCD,8.828,8.221793177253142,18.39
2020-07-27T18:30:00Z,MCD,8.849,8.2574678436917,18.18
2020-07-27T19:00:00Z,MCD,8.898,8.300639096667886,17.928
2020-07-27T19:30:00Z,MCD,8.897,8.294963096166319,17.961
2020-07-27T20:00:00Z,MCD,8.906,8.289122249886395,17.995
2020-07-27T20:30:00Z,MCD,8.907,8.274722969316704,18.079
2020-07-27T21:00:00Z,MCD,8.864,8.216042821534243,18.424
2020-07-27T21:30:00Z,MCD,8.854,8.2516734518711,18.214
2020-07-27T22:00:00Z,MCD,8.875,8.238747164492274,18.29
2020-07-27T22:30:00Z,MCD,8.846,8.233145542347318,18.323
2020-07-27T23:00:00Z,MCD,8.832,8.233145542347318,18.323
2020-07-27T23:30:00Z,MCD,8.827,8.231618992060186,18.332
2020-07-28T00:00:00Z,MCD,8.839,8.23738857879376,18.298
2020-07-28T00:30:00Z,MCD,8.781,8.211819138405502,18.449
2020-07-28T01:00:00Z,MCD,8.773,8.206081065811171,18.483
2020-07-28T01:30:00Z,MCD,8.779,8.206081065811171,18.483
2020-07-28T02:00:00Z,MCD,8.81,8.228906356244808,18.348
2020-07-28T02:30:00Z,MCD,8.816,8.240276045527876,18.281
2020-07-28T03:00:00Z,MCD,8.799,8.247417440412978,18.239
2020-07-28T03:30:00Z,MCD,8.772,8.248778943023671,18.231
2020-07-28T04:00:00Z,MCD,8.751,8.254569751549568,18.197
2020-07-28T04:30:00Z,MCD,8.735,8.25593333623403,18.189
2020-07-28T05:00:00Z,MCD,8.734,8.263098674992033,18.147
2020-07-28T05:30:00Z,MCD,8.725,8.27181419408459,18.096
2020-07-28T06:00:00Z,MCD,8.724,8.279003857289235,18.054
2020-07-28T06:30:00Z,MCD,8.72,8.286204545542569,18.012
2020-07-28T07:00:00Z,MCD,8.725,8.296338467700753,17.953
2020-07-28T07:30:00Z,MCD,8.734,8.305115922724069,17.902
2020-07-28T08:00:00Z,MCD,8.717,8.312356719307367,17.86
2020-07-28T08:30:00Z,MCD,8.736,8.316672004796382,17.835
2020-07-28T09:00:00Z,MCD,8.776,8.313737180964804,17.852
2020-07-28T09:30:00Z,MCD,8.756,8.300639096667886,17.928
2020-07-28T10:00:00Z,MCD,8.759,8.296338467700753,17.953
