datetime,lake,depth,temp
2020-06-24T17:00:00Z,UPH,0,12.304
2020-06-24T17:00:00Z,UPH,2,7.582
2020-06-24T17:00:00Z,UPH,4,5.244
2020-06-24T17:00:00Z,UPH,8,3.998
2020-06-24T17:00:00Z,UPH,1,9.472
2020-06-24T17:30:00Z,UPH,0,12.207
2020-06-24T17:30:00Z,UPH,2,7.983
2020-06-24T17:30:00Z,UPH,4,5.244
2020-06-24T17:30:00Z,UPH,8,3.998
2020-06-24T17:30:00Z,UPH,1,8.999
2020-06-24T18:00:00Z,UPH,0,10.846
2020-06-24T18:00:00Z,UPH,2,7.179
2020-06-24T18:00:00Z,UPH,4,5.141
2020-06-24T18:00:00Z,UPH,8,3.893
2020-06-24T18:00:00Z,UPH,1,9.407
2020-06-24T18:30:00Z,UPH,0,11.236
2020-06-24T18:30:00Z,UPH,2,7.28
2020-06-24T18:30:00Z,UPH,4,5.244
2020-06-24T18:30:00Z,UPH,8,3.893
2020-06-24T18:30:00Z,UPH,1,9.444
2020-06-24T19:00:00Z,UPH,0,11.916
2020-06-24T19:00:00Z,UPH,2,7.179
2020-06-24T19:00:00Z,UPH,4,5.244
2020-06-24T19:00:00Z,UPH,8,3.998
2020-06-24T19:00:00Z,UPH,1,9.582
2020-06-24T19:30:00Z,UPH,0,11.041
2020-06-24T19:30:00Z,UPH,2,7.079
2020-06-24T19:30:00Z,UPH,4,5.244
2020-06-24T19:30:00Z,UPH,8,3.893
2020-06-24T19:30:00Z,UPH,1,8.402
2020-06-24T20:00:00Z,UPH,0,10.161
2020-06-24T20:00:00Z,UPH,2,6.775
2020-06-24T20:00:00Z,UPH,4,5.347
2020-06-24T20:00:00Z,UPH,8,3.893
2020-06-24T20:00:00Z,UPH,1,8.757
2020-06-24T20:30:00Z,UPH,0,10.161
2020-06-24T20:30:00Z,UPH,2,7.882
2020-06-24T20:30:00Z,UPH,4,5.757
2020-06-24T20:30:00Z,UPH,8,4.207
2020-06-24T20:30:00Z,UPH,1,8.823
2020-06-24T21:00:00Z,UPH,0,10.259
2020-06-24T21:00:00Z,UPH,2,6.674
2020-06-24T21:00:00Z,UPH,4,5.141
2020-06-24T21:00:00Z,UPH,8,3.893
2020-06-24T21:00:00Z,UPH,1,8.655
2020-06-24T21:30:00Z,UPH,0,10.161
2020-06-24T21:30:00Z,UPH,2,6.573
2020-06-24T21:30:00Z,UPH,4,5.552
2020-06-24T21:30:00Z,UPH,8,3.788
2020-06-24T21:30:00Z,UPH,1,8.99
2020-06-24T22:00:00Z,UPH,0,10.553
2020-06-24T22:00:00Z,UPH,2,6.573
2020-06-24T22:00:00Z,UPH,4,5.552
2020-06-24T22:00:00Z,UPH,8,4.102
2020-06-24T22:00:00Z,UPH,1,7.997
2020-06-24T22:30:00Z,UPH,0,10.455
2020-06-24T22:30:00Z,UPH,2,6.471
2020-06-24T22:30:00Z,UPH,4,5.244
2020-06-24T22:30:00Z,UPH,8,4.102
2020-06-24T22:30:00Z,UPH,1,7.751
2020-06-24T23:00:00Z,UPH,0,10.259
2020-06-24T23:00:00Z,UPH,2,6.573
2020-06-24T23:00:00Z,UPH,4,5.45
2020-06-24T23:00:00Z,UPH,8,3.893
2020-06-24T23:00:00Z,UPH,1,7.217
2020-06-24T23:30:00Z,UPH,0,10.161
2020-06-24T23:30:00Z,UPH,2,6.573
2020-06-24T23:30:00Z,UPH,4,5.141
2020-06-24T23:30:00Z,UPH,8,4.102
2020-06-24T23:30:00Z,UPH,1,7.57
2020-06-25T00:00:00Z,UPH,0,10.063
2020-06-25T00:00:00Z,UPH,2,6.674
2020-06-25T00:00:00Z,UPH,4,5.037
2020-06-25T00:00:00Z,UPH,8,3.893
2020-06-25T00:00:00Z,UPH,1,6.987
2020-06-25T00:30:00Z,UPH,0,9.866
2020-06-25T00:30:00Z,UPH,2,6.674
2020-06-25T00:30:00Z,UPH,4,5.552
2020-06-25T00:30:00Z,UPH,8,3.893
2020-06-25T00:30:00Z,UPH,1,6.775
2020-06-25T01:00:00Z,UPH,0,9.768
2020-06-25T01:00:00Z,UPH,2,6.674
2020-06-25T01:00:00Z,UPH,4,5.141
2020-06-25T01:00:00Z,UPH,8,3.998
2020-06-25T01:00:00Z,UPH,1,6.862
2020-06-25T01:30:00Z,UPH,0,9.669
2020-06-25T01:30:00Z,UPH,2,6.573
2020-06-25T01:30:00Z,UPH,4,5.244
2020-06-25T01:30:00Z,UPH,8,3.893
2020-06-25T01:30:00Z,UPH,1,6.948
2020-06-25T02:00:00Z,UPH,0,9.669
2020-06-25T02:00:00Z,UPH,2,6.37
2020-06-25T02:00:00Z,UPH,4,5.244
2020-06-25T02:00:00Z,UPH,8,3.893
2020-06-25T02:00:00Z,UPH,1,6.871
2020-06-25T02:30:00Z,UPH,0,9.472
2020-06-25T02:30:00Z,UPH,2,6.573
2020-06-25T02:30:00Z,UPH,4,5.347
2020-06-25T02:30:00Z,UPH,8,3.893
2020-06-25T02:30:00Z,UPH,1,6.891
2020-06-25T03:00:00Z,UPH,0,9.373
2020-06-25T03:00:00Z,UPH,2,6.471
2020-06-25T03:00:00Z,UPH,4,5.45
2020-06-25T03:00:00Z,UPH,8,3.893
2020-06-25T03:00:00Z,UPH,1,7.016
2020-06-25T03:30:00Z,UPH,0,9.176
2020-06-25T03:30:00Z,UPH,2,6.674
2020-06-25T03:30:00Z,UPH,4,5.347
2020-06-25T03:30:00Z,UPH,8,3.893
2020-06-25T03:30:00Z,UPH,1,7.284
2020-06-25T04:00:00Z,UPH,0,9.077
2020-06-25T04:00:00Z,UPH,2,6.471
2020-06-25T04:00:00Z,UPH,4,5.347
2020-06-25T04:00:00Z,UPH,8,3.893
2020-06-25T04:00:00Z,UPH,1,7.179
2020-06-25T04:30:00Z,UPH,0,8.978
2020-06-25T04:30:00Z,UPH,2,6.268
2020-06-25T04:30:00Z,UPH,4,5.347
2020-06-25T04:30:00Z,UPH,8,3.893
