datetime,wtr_0,wtr_10,wtr_2,wtr_4,wtr_6,wtr_8,wtr_1,irr_0,irr_10,irr_2,irr_4,irr_6,irr_8
2020-06-18T23:00:00Z,14.038,9.472,15.76,12.594,10.651,10.161,13.476,6544.5,559.7,4650,688.9,NA,1076.4
2020-06-18T23:30:00Z,13.365,9.373,15.187,11.916,10.553,10.063,13.494,2927.8,118.4,3100,204.5,NA,279.9
2020-06-19T00:00:00Z,13.942,9.275,15.664,12.207,10.651,10.161,13.529,4305.6,269.1,3100,409,NA,839.6
2020-06-19T00:30:00Z,13.75,9.472,15.473,12.013,10.651,10.063,13.45,13777.9,344.4,28933.5,1130.2,NA,376.7
2020-06-19T01:00:00Z,13.365,9.373,14.421,12.207,10.553,10.063,13.441,3272.2,150.7,215.3,236.8,NA,269.1
2020-06-19T01:30:00Z,13.365,9.472,14.23,12.013,10.357,10.161,13.529,1334.7,53.8,1194.8,107.6,NA,118.4
2020-06-19T02:00:00Z,13.461,9.571,14.134,12.304,10.455,10.161,13.642,1280.9,43.1,1270.1,86.1,NA,118.4
2020-06-19T02:30:00Z,13.365,9.571,14.134,12.207,10.553,10.161,13.537,624.3,10.8,366,32.3,NA,43.1
2020-06-19T03:00:00Z,13.365,9.472,14.23,12.304,10.651,10.063,13.686,150.7,0,172.2,0,NA,0
2020-06-19T03:30:00Z,13.461,9.472,14.325,11.819,10.651,9.965,13.947,21.5,0,21.5,0,NA,0
2020-06-19T04:00:00Z,13.461,9.571,14.709,11.625,10.553,9.965,13.982,0,0,0,0,NA,0
2020-06-19T04:30:00Z,13.461,9.571,14.9,11.236,10.651,10.063,13.851,0,0,0,0,NA,0
2020-06-19T05:00:00Z,13.461,9.373,14.613,11.722,10.553,9.866,13.782,0,0,0,0,NA,0
2020-06-19T05:30:00Z,13.365,9.472,14.613,11.139,10.357,9.866,13.537,0,0,0,0,NA,0
2020-06-19T06:00:00Z,13.558,9.472,14.517,11.139,10.357,9.965,13.947,0,0,0,0,NA,0
2020-06-19T06:30:00Z,13.558,9.472,14.421,11.041,10.357,9.965,13.729,0,0,0,0,NA,0
2020-06-19T07:00:00Z,13.461,9.373,14.421,11.041,10.651,10.063,13.843,0,0,0,0,NA,0
2020-06-19T07:30:00Z,13.461,9.373,14.421,11.528,10.651,9.965,13.695,0,0,0,0,NA,0
2020-06-19T08:00:00Z,13.461,9.373,14.421,11.334,10.553,10.063,13.799,0,0,0,0,NA,0
2020-06-19T08:30:00Z,13.269,9.373,14.517,11.139,10.651,10.063,13.851,0,0,0,0,NA,0
2020-06-19T09:00:00Z,13.269,9.373,14.421,11.236,10.553,9.965,13.956,0,0,0,0,NA,0
2020-06-19T09:30:00Z,13.173,9.373,14.325,11.431,10.357,9.866,13.973,0,0,0,0,NA,0
2020-06-19T10:00:00Z,13.269,9.472,14.23,11.236,10.259,9.866,13.756,0,0,0,0,NA,0
2020-06-19T10:30:00Z,13.173,9.472,14.134,11.334,10.651,9.866,13.799,0,0,0,0,NA,0
2020-06-19T11:00:00Z,13.173,9.275,14.134,12.013,10.553,9.866,13.834,0,0,0,0,NA,0
2020-06-19T11:30:00Z,13.365,9.373,14.038,11.916,10.748,9.965,13.86,10.8,0,0,0,NA,0
2020-06-19T12:00:00Z,13.365,9.472,13.942,11.916,10.651,9.866,13.729,150.7,0,161.5,0,NA,10.8
2020-06-19T12:30:00Z,13.076,9.472,13.846,11.625,10.651,9.965,13.607,312.2,0,355.2,21.5,NA,21.5
2020-06-19T13:00:00Z,13.269,9.571,13.75,11.722,10.553,9.866,13.537,376.7,10.8,678.1,21.5,NA,32.3
2020-06-19T13:30:00Z,13.076,9.571,13.75,11.625,10.651,9.866,13.494,1345.5,43.1,1463.9,86.1,NA,139.9
2020-06-19T14:00:00Z,13.365,9.373,13.75,11.625,10.651,9.866,13.476,462.9,10.8,731.9,32.3,NA,43.1
2020-06-19T14:30:00Z,13.461,9.472,13.75,11.722,10.651,9.965,13.537,1894.5,53.8,1377.8,129.2,NA,183
2020-06-19T15:00:00Z,13.558,9.571,13.942,11.722,10.651,9.965,13.537,2411.1,96.9,3272.2,172.2,NA,247.6
2020-06-19T15:30:00Z,13.461,9.472,13.942,11.722,10.455,9.866,13.529,1894.5,75.3,2411.1,139.9,NA,204.5
2020-06-19T16:00:00Z,13.558,9.571,14.134,11.722,10.553,10.161,13.564,5338.9,172.2,4133.4,344.4,NA,527.4
2020-06-19T16:30:00Z,13.846,9.571,14.23,12.013,10.553,10.063,13.607,5511.1,183,2411.1,333.7,NA,549
2020-06-19T17:00:00Z,13.846,9.571,14.421,11.916,10.651,10.161,13.668,4305.6,430.6,549,516.7,NA,1377.8
2020-06-19T17:30:00Z,14.038,9.472,14.613,11.916,10.748,10.161,13.695,5166.7,979.5,871.9,807.3,NA,2927.8
2020-06-19T18:00:00Z,14.517,9.571,14.9,12.304,10.748,10.259,13.808,4994.5,775,1044.1,764.2,NA,2755.6
2020-06-19T18:30:00Z,14.709,9.669,14.996,12.11,10.748,10.259,13.904,7233.4,688.9,1097.9,1173.3,NA,2066.7
2020-06-19T19:00:00Z,14.325,9.669,15.855,12.11,10.651,10.259,13.764,11022.3,678.1,2066.7,1722.2,NA,1894.5
2020-06-19T19:30:00Z,13.654,9.571,15.378,11.819,10.553,10.161,13.555,3961.1,129.2,258.3,322.9,NA,430.6
2020-06-19T20:00:00Z,14.421,9.571,16.713,12.207,10.944,10.161,13.634,21355.7,667.4,1108.7,1065.6,NA,1377.8
2020-06-19T20:30:00Z,13.75,9.571,16.618,11.819,10.651,10.161,13.686,4994.5,161.5,247.6,269.1,NA,333.7
2020-06-19T21:00:00Z,13.846,9.571,16.046,11.722,10.651,10.259,13.895,7577.8,301.4,570.5,452.1,NA,753.5
2020-06-19T21:30:00Z,13.365,9.571,16.046,11.528,10.651,10.259,13.895,2497.2,64.6,161.5,96.9,NA,150.7
2020-06-19T22:00:00Z,13.461,9.669,15.282,11.528,10.651,10.259,13.441,4822.3,226,290.6,279.9,NA,387.5
2020-06-19T22:30:00Z,13.558,9.669,15.664,11.625,10.553,10.357,13.389,4822.3,226,344.4,290.6,NA,430.6
2020-06-19T23:00:00Z,13.942,9.768,16.237,11.916,10.748,10.357,13.485,8266.7,441.3,721.2,785.8,NA,699.7
2020-06-19T23:30:00Z,14.038,9.669,16.808,12.11,10.748,10.455,13.59,4477.8,355.2,1237.9,409,NA,742.7
2020-06-20T00:00:00Z,14.038,9.669,16.618,12.401,10.651,10.455,13.634,3100,258.3,1270.1,301.4,NA,721.2
2020-06-20T00:30:00Z,13.75,9.571,16.808,12.304,10.748,10.357,14.06,4305.6,193.8,236.8,215.3,NA,387.5
2020-06-20T01:00:00Z,13.558,9.571,16.427,12.207,10.651,10.259,13.851,1022.6,129.2,785.8,193.8,NA,247.6
2020-06-20T01:30:00Z,13.558,9.571,16.523,12.207,10.651,10.259,14.182,1216.3,96.9,1291.7,150.7,NA,161.5
2020-06-20T02:00:00Z,13.461,9.472,15.664,12.11,10.748,10.063,14.112,1377.8,64.6,1270.1,505.9,NA,322.9
2020-06-20T02:30:00Z,13.269,9.571,14.996,12.11,10.846,10.259,14.416,387.5,0,96.9,21.5,NA,21.5
2020-06-20T03:00:00Z,13.461,9.571,14.9,12.013,10.846,10.259,14.468,290.6,0,43.1,10.8,NA,21.5
2020-06-20T03:30:00Z,13.558,9.571,14.804,11.722,10.651,10.161,14.338,43.1,0,43.1,0,NA,0
2020-06-20T04:00:00Z,13.846,9.472,14.613,11.625,10.846,10.357,14.303,0,0,0,0,NA,0
2020-06-20T04:30:00Z,13.942,9.571,14.517,11.528,10.651,10.357,14.182,0,0,0,0,NA,0
2020-06-20T05:00:00Z,14.038,9.472,14.517,11.528,10.553,10.161,14.294,0,0,0,0,NA,0
