datetime,lake,depth_m,DO_mgL
2020-07-27T22:30:00Z,MCD,1,8.431
2020-07-27T22:40:00Z,MCD,1,8.743
2020-07-27T22:50:00Z,MCD,1,8.807
2020-07-27T23:00:00Z,MCD,1,8.83
2020-07-27T23:10:00Z,MCD,1,8.821
2020-07-27T23:20:00Z,MCD,1,8.836
2020-07-27T23:30:00Z,MCD,1,8.842
2020-07-27T23:40:00Z,MCD,1,8.862
2020-07-27T23:50:00Z,MCD,1,8.829
2020-07-28T00:00:00Z,MCD,1,8.828
2020-07-28T00:10:00Z,MCD,1,8.85
2020-07-28T00:20:00Z,MCD,1,8.847
2020-07-28T00:30:00Z,MCD,1,8.849
2020-07-28T00:40:00Z,MCD,1,8.894
2020-07-28T00:50:00Z,MCD,1,8.897
2020-07-28T01:00:00Z,MCD,1,8.898
2020-07-28T01:10:00Z,MCD,1,8.913
2020-07-28T01:20:00Z,MCD,1,8.907
2020-07-28T01:30:00Z,MCD,1,8.897
2020-07-28T01:40:00Z,MCD,1,8.909
2020-07-28T01:50:00Z,MCD,1,8.913
2020-07-28T02:00:00Z,MCD,1,8.906
2020-07-28T02:10:00Z,MCD,1,8.879
2020-07-28T02:20:00Z,MCD,1,8.907
2020-07-28T02:30:00Z,MCD,1,8.907
2020-07-28T02:40:00Z,MCD,1,8.907
2020-07-28T02:50:00Z,MCD,1,8.821
2020-07-28T03:00:00Z,MCD,1,8.864
2020-07-28T03:10:00Z,MCD,1,8.833
2020-07-28T03:20:00Z,MCD,1,8.881
2020-07-28T03:30:00Z,MCD,1,8.854
2020-07-28T03:40:00Z,MCD,1,8.898
2020-07-28T03:50:00Z,MCD,1,8.864
2020-07-28T04:00:00Z,MCD,1,8.875
2020-07-28T04:10:00Z,MCD,1,8.824
2020-07-28T04:20:00Z,MCD,1,8.839
2020-07-28T04:30:00Z,MCD,1,8.846
2020-07-28T04:40:00Z,MCD,1,8.841
2020-07-28T04:50:00Z,MCD,1,8.847
2020-07-28T05:00:00Z,MCD,1,8.832
2020-07-28T05:10:00Z,MCD,1,8.82
2020-07-28T05:20:00Z,MCD,1,8.817
2020-07-28T05:30:00Z,MCD,1,8.827
2020-07-28T05:40:00Z,MCD,1,8.825
2020-07-28T05:50:00Z,MCD,1,8.835
2020-07-28T06:00:00Z,MCD,1,8.839
2020-07-28T06:10:00Z,MCD,1,8.81
2020-07-28T06:20:00Z,MCD,1,8.794
2020-07-28T06:30:00Z,MCD,1,8.781
2020-07-28T06:40:00Z,MCD,1,8.772
2020-07-28T06:50:00Z,MCD,1,8.776
2020-07-28T07:00:00Z,MCD,1,8.773
2020-07-28T07:10:00Z,MCD,1,8.799
2020-07-28T07:20:00Z,MCD,1,8.777
2020-07-28T07:30:00Z,MCD,1,8.779
2020-07-28T07:40:00Z,MCD,1,8.783
2020-07-28T07:50:00Z,MCD,1,8.803
