datetime,lake,funct,mgO2_day
2020-07-28,MCD,GPP,0.40937830616041226
2020-07-28,MCD,R,-0.30680440509293305
2020-07-28,MCD,NEP,-0.01256500784126841
2020-07-28,MCD,GPP2,0.40937830616041226
2020-07-28,MCD,R2,-0.30680440509293305
2020-07-28,MCD,NEP2,0.10257390106747921
2020-07-29,MCD,GPP,0.3037773389015996
2020-07-29,MCD,R,-0.1955752952351735
2020-07-29,MCD,NEP,0.03510509332353834
2020-07-29,MCD,GPP2,0.3037773389015996
2020-07-29,MCD,R2,-0.1955752952351735
2020-07-29,MCD,NEP2,0.10820204366642608
2020-07-30,MCD,GPP,0.9788619216402679
2020-07-30,MCD,R,-0.7664069175093295
2020-07-30,MCD,NEP,-0.07547169895558513
2020-07-30,MCD,GPP2,0.9788619216402679
2020-07-30,MCD,R2,-0.7664069175093295
2020-07-30,MCD,NEP2,0.21245500413093832
2020-07-31,MCD,GPP,0.586275797369024
2020-07-31,MCD,R,-0.4307244076465773
2020-07-31,MCD,NEP,-0.006012013236943051
2020-07-31,MCD,GPP2,0.586275797369024
2020-07-31,MCD,R2,-0.4307244076465773
2020-07-31,MCD,NEP2,0.1555513897224467
2020-08-01,MCD,GPP,0.42362466193898074
2020-08-01,MCD,R,-0.1872868088754082
2020-08-01,MCD,NEP,0.1672668752579189
2020-08-01,MCD,GPP2,0.42362466193898074
2020-08-01,MCD,R2,-0.1872868088754082
2020-08-01,MCD,NEP2,0.23633785306357255
2020-08-02,MCD,GPP,0.6750129889302341
2020-08-02,MCD,R,-0.5365016556300467
2020-08-02,MCD,NEP,-0.06311508677479401
2020-08-02,MCD,GPP2,0.6750129889302341
2020-08-02,MCD,R2,-0.5365016556300467
2020-08-02,MCD,NEP2,0.1385113333001874
2020-08-03,MCD,GPP,1.8586460545835275
2020-08-03,MCD,R,-1.166210347429045
2020-08-03,MCD,NEP,0.25689079069284654
2020-08-03,MCD,GPP2,1.8586460545835275
2020-08-03,MCD,R2,-1.166210347429045
2020-08-03,MCD,NEP2,0.6924357071544824
2020-08-04,MCD,GPP,-0.014112565176345508
2020-08-04,MCD,R,0.04263298572805482
2020-08-04,MCD,NEP,0.04541529902249798
2020-08-04,MCD,GPP2,0.014112565176345508
2020-08-04,MCD,R2,-0.04263298572805482
2020-08-04,MCD,NEP2,-0.028520420551709315
2020-08-05,MCD,GPP,0.14453768245254728
2020-08-05,MCD,R,-0.13507515762619457
2020-08-05,MCD,NEP,-0.043367868895609125
2020-08-05,MCD,GPP2,0.14453768245254728
2020-08-05,MCD,R2,-0.13507515762619457
2020-08-05,MCD,NEP2,0.009462524826352708
2020-08-06,MCD,GPP,0.1789339668779245
2020-08-06,MCD,R,-0.14129971048736614
2020-08-06,MCD,NEP,-0.017436719350014698
2020-08-06,MCD,GPP2,0.1789339668779245
2020-08-06,MCD,R2,-0.14129971048736614
2020-08-06,MCD,NEP2,0.03763425639055837
2020-08-07,MCD,GPP,0.4215950063422836
2020-08-07,MCD,R,-0.2031714136778383
2020-08-07,MCD,NEP,0.14038739984420404
2020-08-07,MCD,GPP2,0.4215950063422836
2020-08-07,MCD,R2,-0.2031714136778383
2020-08-07,MCD,NEP2,0.21842359266444528
2020-08-08,MCD,GPP,0.06309598451515352
2020-08-08,MCD,R,-0.015202938463899087
2020-08-08,MCD,NEP,0.04227436417763839
2020-08-08,MCD,GPP2,0.06309598451515352
2020-08-08,MCD,R2,-0.015202938463899087
2020-08-08,MCD,NEP2,0.04789304605125444
2020-08-09,MCD,GPP,0.45644688111487586
2020-08-09,MCD,R,-0.2523499689854972
2020-08-09,MCD,NEP,0.10670179778631245
2020-08-09,MCD,GPP2,0.45644688111487586
2020-08-09,MCD,R2,-0.2523499689854972
2020-08-09,MCD,NEP2,0.20409691212937864
2020-08-10,MCD,GPP,0.0881666980563913
2020-08-10,MCD,R,-0.10007024423410331
2020-08-10,MCD,NEP,-0.05117513515175045
2020-08-10,MCD,GPP2,0.0881666980563913
2020-08-10,MCD,R2,-0.10007024423410331
2020-08-10,MCD,NEP2,-0.011903546177712013
2020-08-11,MCD,GPP,0.37439103713659316
2020-08-11,MCD,R,-0.2580486456185374
2020-08-11,MCD,NEP,0.01249288764143258
2020-08-11,MCD,GPP2,0.37439103713659316
2020-08-11,MCD,R2,-0.2580486456185374
2020-08-11,MCD,NEP2,0.11634239151805575
2020-08-12,MCD,GPP,0.10523557723821761
2020-08-12,MCD,R,-0.02616592541182996
2020-08-12,MCD,NEP,0.06900983349030548
2020-08-12,MCD,GPP2,0.10523557723821761
2020-08-12,MCD,R2,-0.02616592541182996
2020-08-12,MCD,NEP2,0.07906965182638764
2020-08-13,MCD,GPP,0.13866526148014616
2020-08-13,MCD,R,-0.07479839120910169
2020-08-13,MCD,NEP,0.033975682719597944
2020-08-13,MCD,GPP2,0.13866526148014616
2020-08-13,MCD,R2,-0.07479839120910169
2020-08-13,MCD,NEP2,0.06386687027104447
2020-08-14,MCD,GPP,0.04506381930166433
2020-08-14,MCD,R,-0.0036169862175623414
2020-08-14,MCD,NEP,0.04026964170274175
2020-08-14,MCD,GPP2,0.04506381930166433
2020-08-14,MCD,R2,-0.0036169862175623414
2020-08-14,MCD,NEP2,0.04144683308410199
2020-08-15,MCD,GPP,0.09167653548650313
2020-08-15,MCD,R,-0.05193015337210779
2020-08-15,MCD,NEP,0.018961749153081662
2020-08-15,MCD,GPP2,0.09167653548650313
2020-08-15,MCD,R2,-0.05193015337210779
2020-08-15,MCD,NEP2,0.039746382114395344
2020-08-16,MCD,GPP,0.12880838386846644
2020-08-16,MCD,R,-0.09077077538689526
2020-08-16,MCD,NEP,0.001487487055288962
2020-08-16,MCD,GPP2,0.12880838386846644
2020-08-16,MCD,R2,-0.09077077538689526
2020-08-16,MCD,NEP2,0.03803760848157117
2020-08-17,MCD,GPP,0.3460316221950204
2020-08-17,MCD,R,-0.28710789218994204
2020-08-17,MCD,NEP,-0.05711357081318428
2020-08-17,MCD,GPP2,0.3460316221950204
2020-08-17,MCD,R2,-0.28710789218994204
2020-08-17,MCD,NEP2,0.05892373000507839
2020-08-18,MCD,GPP,0.631424211034862
2020-08-18,MCD,R,-0.464392799528247
2020-08-18,MCD,NEP,-0.02665066234085501
2020-08-18,MCD,GPP2,0.631424211034862
2020-08-18,MCD,R2,-0.464392799528247
2020-08-18,MCD,NEP2,0.167031411506615
2020-08-19,MCD,GPP,1.9917754842574316
2020-08-19,MCD,R,-1.3099553294699002
2020-08-19,MCD,NEP,0.1369565211273462
2020-08-19,MCD,GPP2,1.9917754842574316
2020-08-19,MCD,R2,-1.3099553294699002
2020-08-19,MCD,NEP2,0.6818201547875313
2020-08-20,MCD,GPP,0.25620000517785174
2020-08-20,MCD,R,-0.10739394558154529
2020-08-20,MCD,NEP,0.10478626466416371
2020-08-20,MCD,GPP2,0.25620000517785174
2020-08-20,MCD,R2,-0.10739394558154529
2020-08-20,MCD,NEP2,0.14880605959630644
2020-08-21,MCD,GPP,0.2692469584091554
2020-08-21,MCD,R,-0.11909714944088177
2020-08-21,MCD,NEP,0.10122897569915033
2020-08-21,MCD,GPP2,0.2692469584091554
2020-08-21,MCD,R2,-0.11909714944088177
2020-08-21,MCD,NEP2,0.15014980896827362
2020-08-22,MCD,GPP,-0.05032263012690244
2020-08-22,MCD,R,0.15601784253024237
2020-08-22,MCD,NEP,0.17189637159367477
