"","datetime","irr_0","irr_10","irr_12","irr_2","irr_3","irr_4","irr_5","irr_6","irr_7","irr_8"
"1",2022-07-08 20:00:00,269.1,21.5,21.5,258.3,150.7,193.8,107.6,118.4,107.6,43.1
"2",2022-07-08 20:30:00,75.3,0,0,118.4,53.8,75.3,43.1,43.1,21.5,10.8
"3",2022-07-08 21:00:00,53.8,0,0,75.3,32.3,43.1,21.5,32.3,10.8,0
"4",2022-07-08 21:30:00,21.5,0,0,21.5,0,0,0,0,0,0
"5",2022-07-08 22:00:00,0,0,0,0,0,0,0,0,0,0
"6",2022-07-08 22:30:00,0,0,0,0,0,0,0,0,0,0
"7",2022-07-08 23:00:00,0,0,0,0,0,0,0,0,0,0
"8",2022-07-08 23:30:00,0,0,0,0,0,0,0,0,0,0
"9",2022-07-09 00:00:00,0,0,0,0,0,0,0,0,0,0
"10",2022-07-09 00:30:00,0,0,0,0,0,0,0,0,0,0
"11",2022-07-09 01:00:00,0,0,0,0,0,0,0,0,0,0
"12",2022-07-09 01:30:00,0,0,0,0,0,0,0,0,0,0
"13",2022-07-09 02:00:00,0,0,0,0,0,0,0,0,0,0
"14",2022-07-09 02:30:00,0,0,0,0,0,0,0,0,0,0
"15",2022-07-09 03:00:00,0,0,0,0,0,0,0,0,0,0
"16",2022-07-09 03:30:00,0,0,0,0,0,0,0,0,0,0
"17",2022-07-09 04:00:00,0,0,0,0,0,0,0,0,0,0
"18",2022-07-09 04:30:00,0,0,0,0,0,0,0,0,0,0
"19",2022-07-09 05:00:00,0,0,0,0,0,0,0,0,0,0
"20",2022-07-09 05:30:00,0,0,0,0,0,0,0,0,0,0
"21",2022-07-09 06:00:00,21.5,0,0,21.5,0,0,0,0,0,0
"22",2022-07-09 06:30:00,129.2,0,0,139.9,43.1,21.5,32.3,64.6,10.8,0
"23",2022-07-09 07:00:00,139.9,0,0,118.4,75.3,75.3,53.8,75.3,43.1,21.5
"24",2022-07-09 07:30:00,96.9,10.8,0,129.2,86.1,129.2,53.8,86.1,86.1,43.1
"25",2022-07-09 08:00:00,3272.2,161.5,75.3,1280.9,204.5,183,398.3,1808.3,129.2,236.8
"26",2022-07-09 08:30:00,2411.1,301.4,322.9,5166.7,861.1,193.8,1722.2,710.4,118.4,75.3
"27",2022-07-09 09:00:00,333.7,96.9,53.8,462.9,602.8,1894.5,215.3,688.9,1550,667.4
"28",2022-07-09 09:30:00,355.2,118.4,75.3,602.8,753.5,1808.3,247.6,882.6,1550,796.5
"29",2022-07-09 10:00:00,1377.8,204.5,118.4,861.1,473.6,1151.7,409,1550,1119.5,947.2
"30",2022-07-09 10:30:00,4477.8,247.6,118.4,1076.4,538.2,1001,516.7,1808.3,1205.6,1011.8
"31",2022-07-09 11:00:00,376.7,161.5,129.2,688.9,2669.5,3444.5,366,893.4,2066.7,839.6
"32",2022-07-09 11:30:00,2152.8,172.2,193.8,785.8,3272.2,3444.5,473.6,656.6,1722.2,602.8
"33",2022-07-09 12:00:00,1636.1,193.8,204.5,861.1,3961.1,3100,505.9,764.2,1894.5,721.2
"34",2022-07-09 12:30:00,2066.7,226,236.8,893.4,2325,2669.5,538.2,936.5,1894.5,753.5
"35",2022-07-09 13:00:00,2325,258.3,301.4,1377.8,4133.4,1980.6,979.5,742.7,947.2,387.5
"36",2022-07-09 13:30:00,1377.8,269.1,355.2,1108.7,1463.9,1463.9,527.4,904.2,871.9,484.4
"37",2022-07-09 14:00:00,4650,549,613.5,3272.2,3788.9,1722.2,2152.8,1313.2,914.9,484.4
"38",2022-07-09 14:30:00,3444.5,484.4,527.4,3272.2,1291.7,958,1550,1377.8,549,355.2
"39",2022-07-09 15:00:00,2755.6,366,398.3,2755.6,1076.4,785.8,1130.2,1302.4,516.7,301.4
"40",2022-07-09 15:30:00,1550,226,118.4,1377.8,613.5,731.9,538.2,979.5,473.6,312.2
"41",2022-07-09 16:00:00,1377.8,624.3,409,3961.1,785.8,796.5,1097.9,3444.5,656.6,818.1
"42",2022-07-09 16:30:00,807.3,161.5,118.4,688.9,688.9,979.5,301.4,818.1,721.2,462.9
"43",2022-07-09 17:00:00,3616.7,462.9,269.1,2669.5,753.5,839.6,796.5,3444.5,1280.9,1033.3
"44",2022-07-09 17:30:00,947.2,172.2,118.4,1259.4,366,333.7,387.5,839.6,215.3,161.5
"45",2022-07-09 18:00:00,602.8,86.1,96.9,968.8,366,322.9,269.1,366,161.5,96.9
"46",2022-07-09 18:30:00,387.5,32.3,43.1,355.2,279.9,183,172.2,150.7,86.1,43.1
"47",2022-07-09 19:00:00,355.2,43.1,64.6,387.5,624.3,312.2,183,150.7,139.9,53.8
"48",2022-07-09 19:30:00,355.2,32.3,32.3,236.8,247.6,269.1,64.6,226,86.1,53.8
"49",2022-07-09 20:00:00,549,21.5,32.3,215.3,258.3,183,64.6,129.2,53.8,32.3
"50",2022-07-09 20:30:00,236.8,0,10.8,236.8,150.7,53.8,32.3,43.1,64.6,21.5
"51",2022-07-09 21:00:00,118.4,0,0,118.4,64.6,32.3,21.5,21.5,21.5,0
"52",2022-07-09 21:30:00,21.5,0,0,10.8,10.8,0,0,0,0,0
"53",2022-07-09 22:00:00,0,0,0,0,0,0,0,0,0,0
"54",2022-07-09 22:30:00,0,0,0,0,0,0,0,0,0,0
"55",2022-07-09 23:00:00,0,0,0,0,0,0,0,0,0,0
"56",2022-07-09 23:30:00,0,0,0,0,0,0,0,0,0,0
"57",2022-07-10 00:00:00,0,0,0,0,0,0,0,0,0,0
"58",2022-07-10 00:30:00,0,0,0,0,0,0,0,0,0,0
"59",2022-07-10 01:00:00,0,0,0,0,0,0,0,0,0,0
"60",2022-07-10 01:30:00,0,0,0,0,0,0,0,0,0,0
"61",2022-07-10 02:00:00,0,0,0,0,0,0,0,0,0,0
"62",2022-07-10 02:30:00,0,0,0,0,0,0,0,0,0,0
"63",2022-07-10 03:00:00,0,0,0,0,0,0,0,0,0,0
"64",2022-07-10 03:30:00,0,0,0,0,0,0,0,0,0,0
"65",2022-07-10 04:00:00,0,0,0,0,0,0,0,0,0,0
"66",2022-07-10 04:30:00,0,0,0,0,0,0,0,0,0,0
"67",2022-07-10 05:00:00,0,0,0,0,0,0,0,0,0,0
"68",2022-07-10 05:30:00,0,0,0,0,0,0,0,0,0,0
"69",2022-07-10 06:00:00,10.8,0,0,0,0,0,0,0,0,0
"70",2022-07-10 06:30:00,64.6,0,0,43.1,53.8,43.1,10.8,21.5,10.8,0
"71",2022-07-10 07:00:00,172.2,10.8,10.8,118.4,150.7,129.2,43.1,64.6,43.1,21.5
"72",2022-07-10 07:30:00,1550,118.4,86.1,215.3,1894.5,861.1,183,96.9,86.1,32.3
"73",2022-07-10 08:00:00,1065.6,139.9,107.6,355.2,1076.4,947.2,183,183,183,64.6
"74",2022-07-10 08:30:00,731.9,107.6,107.6,441.3,731.9,602.8,204.5,236.8,161.5,86.1
"75",2022-07-10 09:00:00,861.1,96.9,53.8,721.2,688.9,236.8,312.2,290.6,107.6,86.1
"76",2022-07-10 09:30:00,2669.5,301.4,398.3,775,4133.4,1808.3,516.7,376.7,366,150.7
"77",2022-07-10 10:00:00,3616.7,398.3,430.6,2669.5,1980.6,656.6,1044.1,441.3,279.9,161.5
"78",2022-07-10 10:30:00,12400.1,904.2,505.9,5511.1,3616.7,1108.7,2411.1,1463.9,430.6,376.7
"79",2022-07-10 11:00:00,20666.8,914.9,914.9,5166.7,4477.8,1237.9,2238.9,1894.5,559.7,484.4
"80",2022-07-10 11:30:00,20666.8,688.9,1334.7,1550,4305.6,2927.8,624.3,624.3,602.8,269.1
"81",2022-07-10 12:00:00,11711.2,710.4,1173.3,2583.4,4133.4,2411.1,1194.8,796.5,656.6,322.9
"82",2022-07-10 12:30:00,1894.5,86.1,139.9,656.6,968.8,419.8,226,301.4,258.3,107.6
"83",2022-07-10 13:00:00,2927.8,430.6,484.4,2927.8,2152.8,947.2,1205.6,2497.2,441.3,796.5
