"","datetime","wnd_10"
"2",2020-06-06 18:00:00,2.14576050031619
"2.1",2020-06-06 18:30:00,2.14576050031619
"2.2",2020-06-06 19:00:00,2.14576050031619
"2.3",2020-06-06 19:30:00,2.14576050031619
"2.4",2020-06-06 20:00:00,2.14576050031619
"2.5",2020-06-06 20:30:00,2.14576050031619
"5",2020-06-06 21:00:00,2.09388176715624
"5.1",2020-06-06 21:30:00,2.09388176715624
"5.2",2020-06-06 22:00:00,2.09388176715624
"5.3",2020-06-06 22:30:00,2.09388176715624
"5.4",2020-06-06 23:00:00,2.09388176715624
"5.5",2020-06-06 23:30:00,2.09388176715624
"8",2020-06-07 00:00:00,1.81108426180996
"8.1",2020-06-07 00:30:00,1.81108426180996
"8.2",2020-06-07 01:00:00,1.81108426180996
"8.3",2020-06-07 01:30:00,1.81108426180996
"8.4",2020-06-07 02:00:00,1.81108426180996
"8.5",2020-06-07 02:30:00,1.81108426180996
"11",2020-06-07 03:00:00,2.22227631350528
"11.1",2020-06-07 03:30:00,2.22227631350528
"11.2",2020-06-07 04:00:00,2.22227631350528
"11.3",2020-06-07 04:30:00,2.22227631350528
"11.4",2020-06-07 05:00:00,2.22227631350528
"11.5",2020-06-07 05:30:00,2.22227631350528
"14",2020-06-07 06:00:00,1.60751549274973
"14.1",2020-06-07 06:30:00,1.60751549274973
"14.2",2020-06-07 07:00:00,1.60751549274973
"14.3",2020-06-07 07:30:00,1.60751549274973
"14.4",2020-06-07 08:00:00,1.60751549274973
"14.5",2020-06-07 08:30:00,1.60751549274973
"17",2020-06-07 09:00:00,2.27299986222851
"17.1",2020-06-07 09:30:00,2.27299986222851
"17.2",2020-06-07 10:00:00,2.27299986222851
"17.3",2020-06-07 10:30:00,2.27299986222851
"17.4",2020-06-07 11:00:00,2.27299986222851
"17.5",2020-06-07 11:30:00,2.27299986222851
"20",2020-06-07 12:00:00,3.03594297510425
"20.1",2020-06-07 12:30:00,3.03594297510425
"20.2",2020-06-07 13:00:00,3.03594297510425
"20.3",2020-06-07 13:30:00,3.03594297510425
"20.4",2020-06-07 14:00:00,3.03594297510425
"20.5",2020-06-07 14:30:00,3.03594297510425
"23",2020-06-07 15:00:00,3.86335012976686
"23.1",2020-06-07 15:30:00,3.86335012976686
"23.2",2020-06-07 16:00:00,3.86335012976686
"23.3",2020-06-07 16:30:00,3.86335012976686
"23.4",2020-06-07 17:00:00,3.86335012976686
"23.5",2020-06-07 17:30:00,3.86335012976686
"26",2020-06-07 18:00:00,3.7419156635296
"26.1",2020-06-07 18:30:00,3.7419156635296
"26.2",2020-06-07 19:00:00,3.7419156635296
"26.3",2020-06-07 19:30:00,3.7419156635296
"26.4",2020-06-07 20:00:00,3.7419156635296
"26.5",2020-06-07 20:30:00,3.7419156635296
"29",2020-06-07 21:00:00,1.67414849228712
"29.1",2020-06-07 21:30:00,1.67414849228712
"29.2",2020-06-07 22:00:00,1.67414849228712
"29.3",2020-06-07 22:30:00,1.67414849228712
"29.4",2020-06-07 23:00:00,1.67414849228712
"29.5",2020-06-07 23:30:00,1.67414849228712
"32",2020-06-08 00:00:00,1.41587070921071
"32.1",2020-06-08 00:30:00,1.41587070921071
"32.2",2020-06-08 01:00:00,1.41587070921071
"32.3",2020-06-08 01:30:00,1.41587070921071
"32.4",2020-06-08 02:00:00,1.41587070921071
"32.5",2020-06-08 02:30:00,1.41587070921071
"35",2020-06-08 03:00:00,1.48322548969123
"35.1",2020-06-08 03:30:00,1.48322548969123
"35.2",2020-06-08 04:00:00,1.48322548969123
"35.3",2020-06-08 04:30:00,1.48322548969123
"35.4",2020-06-08 05:00:00,1.48322548969123
"35.5",2020-06-08 05:30:00,1.48322548969123
"38",2020-06-08 06:00:00,1.50909561090622
"38.1",2020-06-08 06:30:00,1.50909561090622
"38.2",2020-06-08 07:00:00,1.50909561090622
"38.3",2020-06-08 07:30:00,1.50909561090622
"38.4",2020-06-08 08:00:00,1.50909561090622
"38.5",2020-06-08 08:30:00,1.50909561090622
"41",2020-06-08 09:00:00,1.73385278582694
"41.1",2020-06-08 09:30:00,1.73385278582694
"41.2",2020-06-08 10:00:00,1.73385278582694
"41.3",2020-06-08 10:30:00,1.73385278582694
"41.4",2020-06-08 11:00:00,1.73385278582694
"41.5",2020-06-08 11:30:00,1.73385278582694
"44",2020-06-08 12:00:00,2.02202113144344
"44.1",2020-06-08 12:30:00,2.02202113144344
"44.2",2020-06-08 13:00:00,2.02202113144344
"44.3",2020-06-08 13:30:00,2.02202113144344
"44.4",2020-06-08 14:00:00,2.02202113144344
"44.5",2020-06-08 14:30:00,2.02202113144344
"47",2020-06-08 15:00:00,3.21555988287103
"47.1",2020-06-08 15:30:00,3.21555988287103
"47.2",2020-06-08 16:00:00,3.21555988287103
"47.3",2020-06-08 16:30:00,3.21555988287103
"47.4",2020-06-08 17:00:00,3.21555988287103
"47.5",2020-06-08 17:30:00,3.21555988287103
"50",2020-06-08 18:00:00,2.69465933163932
"50.1",2020-06-08 18:30:00,2.69465933163932
"50.2",2020-06-08 19:00:00,2.69465933163932
"50.3",2020-06-08 19:30:00,2.69465933163932
