datetime,wtr_0,wtr_2,wtr_3,wtr_4,wtr_6,wtr_1
2020-07-16T23:00:00Z,16.903,13.365,12.11,10.944,10.846,14.766
2020-07-16T23:30:00Z,15.951,13.365,11.722,10.944,10.651,14.912
2020-07-17T00:00:00Z,15.855,13.076,11.625,10.944,10.651,15.257
2020-07-17T00:30:00Z,16.427,12.69,12.11,11.041,10.748,15.007
2020-07-17T01:00:00Z,16.141,13.558,11.431,10.944,10.651,14.662
2020-07-17T01:30:00Z,16.141,13.461,12.013,11.139,10.651,14.636
2020-07-17T02:00:00Z,15.664,12.883,11.819,11.041,10.651,14.731
2020-07-17T02:30:00Z,15.378,13.365,12.013,11.041,10.651,14.973
2020-07-17T03:00:00Z,15.187,12.98,11.528,10.944,10.651,15.007
2020-07-17T03:30:00Z,15.187,12.98,11.916,10.846,10.651,14.973
2020-07-17T04:00:00Z,15.187,13.269,11.528,10.944,10.651,15.05
2020-07-17T04:30:00Z,15.187,13.269,11.819,10.944,10.651,14.981
2020-07-17T05:00:00Z,15.091,13.076,11.819,10.944,10.651,14.912
2020-07-17T05:30:00Z,14.996,13.076,11.916,11.041,10.651,14.843
2020-07-17T06:00:00Z,14.9,13.365,11.625,10.944,10.651,14.679
2020-07-17T06:30:00Z,14.804,12.98,11.819,10.748,10.651,14.601
2020-07-17T07:00:00Z,14.804,12.883,11.819,10.944,10.651,14.541
2020-07-17T07:30:00Z,14.709,13.365,11.722,11.041,10.651,14.437
2020-07-17T08:00:00Z,14.517,13.75,11.431,10.944,10.651,14.316
2020-07-17T08:30:00Z,14.517,13.173,11.819,10.944,10.553,14.186
2020-07-17T09:00:00Z,14.325,13.461,11.528,10.846,10.553,14.168
2020-07-17T09:30:00Z,14.23,13.558,11.722,10.944,10.553,14.116
2020-07-17T10:00:00Z,14.134,13.558,11.722,10.944,10.553,14.029
2020-07-17T10:30:00Z,14.134,13.558,11.625,10.944,10.651,13.96
2020-07-17T11:00:00Z,14.038,13.365,11.625,10.846,10.553,13.934
2020-07-17T11:30:00Z,14.038,13.173,11.819,10.944,10.553,13.864
2020-07-17T12:00:00Z,13.75,13.269,11.722,10.748,10.553,13.812
2020-07-17T12:30:00Z,14.038,13.269,11.722,10.944,10.651,13.759
2020-07-17T13:00:00Z,14.038,13.269,11.625,10.944,10.553,13.698
2020-07-17T13:30:00Z,14.23,13.365,11.528,11.041,10.553,13.663
2020-07-17T14:00:00Z,14.421,13.461,11.722,10.944,10.553,13.646
2020-07-17T14:30:00Z,14.517,13.558,11.722,11.041,10.553,13.611
2020-07-17T15:00:00Z,15.569,13.654,11.722,11.236,10.651,13.567
