datetime,wtr_0,wtr_2,wtr_3,wtr_4,wtr_6,wtr_1,irr_0,irr_2,irr_3,irr_4,irr_6
2020-07-16T23:00:00Z,16.903,13.365,12.11,10.944,10.846,14.766,7233.4,5511.1,14466.8,5511.1,7577.8
2020-07-16T23:30:00Z,15.951,13.365,11.722,10.944,10.651,14.912,19977.9,4133.4,8266.7,1722.2,2927.8
2020-07-17T00:00:00Z,15.855,13.076,11.625,10.944,10.651,15.257,3961.1,4822.3,2583.4,1227.1,1237.9
2020-07-17T00:30:00Z,16.427,12.69,12.11,11.041,10.748,15.007,3272.2,4477.8,4650,1377.8,1808.3
2020-07-17T01:00:00Z,16.141,13.558,11.431,10.944,10.651,14.662,2755.6,3616.7,2152.8,839.6,925.7
2020-07-17T01:30:00Z,16.141,13.461,12.013,11.139,10.651,14.636,1722.2,3788.9,3272.2,1270.1,1302.4
2020-07-17T02:00:00Z,15.664,12.883,11.819,11.041,10.651,14.731,1808.3,2066.7,2325,936.5,850.4
2020-07-17T02:30:00Z,15.378,13.365,12.013,11.041,10.651,14.973,1130.2,1808.3,1141,656.6,559.7
2020-07-17T03:00:00Z,15.187,12.98,11.528,10.944,10.651,15.007,419.8,301.4,258.3,86.1,86.1
2020-07-17T03:30:00Z,15.187,12.98,11.916,10.846,10.651,14.973,129.2,43.1,32.3,10.8,0
2020-07-17T04:00:00Z,15.187,13.269,11.528,10.944,10.651,15.05,0,0,0,0,0
2020-07-17T04:30:00Z,15.187,13.269,11.819,10.944,10.651,14.981,0,0,0,0,0
2020-07-17T05:00:00Z,15.091,13.076,11.819,10.944,10.651,14.912,0,0,0,0,0
2020-07-17T05:30:00Z,14.996,13.076,11.916,11.041,10.651,14.843,0,0,0,0,0
2020-07-17T06:00:00Z,14.9,13.365,11.625,10.944,10.651,14.679,0,0,0,0,0
2020-07-17T06:30:00Z,14.804,12.98,11.819,10.748,10.651,14.601,0,0,0,0,0
2020-07-17T07:00:00Z,14.804,12.883,11.819,10.944,10.651,14.541,0,0,0,0,0
2020-07-17T07:30:00Z,14.709,13.365,11.722,11.041,10.651,14.437,0,0,0,0,0
2020-07-17T08:00:00Z,14.517,13.75,11.431,10.944,10.651,14.316,0,0,0,0,0
2020-07-17T08:30:00Z,14.517,13.173,11.819,10.944,10.553,14.186,0,0,0,0,0
2020-07-17T09:00:00Z,14.325,13.461,11.528,10.846,10.553,14.168,0,0,0,0,0
2020-07-17T09:30:00Z,14.23,13.558,11.722,10.944,10.553,14.116,0,0,0,0,0
2020-07-17T10:00:00Z,14.134,13.558,11.722,10.944,10.553,14.029,0,0,0,0,0
2020-07-17T10:30:00Z,14.134,13.558,11.625,10.944,10.651,13.96,0,0,0,0,0
2020-07-17T11:00:00Z,14.038,13.365,11.625,10.846,10.553,13.934,0,0,0,0,0
2020-07-17T11:30:00Z,14.038,13.173,11.819,10.944,10.553,13.864,0,0,0,0,0
2020-07-17T12:00:00Z,13.75,13.269,11.722,10.748,10.553,13.812,430.6,96.9,43.1,32.3,21.5
2020-07-17T12:30:00Z,14.038,13.269,11.722,10.944,10.651,13.759,3788.9,990.3,505.9,344.4,247.6
2020-07-17T13:00:00Z,14.038,13.269,11.625,10.944,10.553,13.698,6544.5,1550,871.9,699.7,452.1
2020-07-17T13:30:00Z,14.23,13.365,11.528,11.041,10.553,13.663,21355.7,1636.1,1097.9,1194.8,516.7
2020-07-17T14:00:00Z,14.421,13.461,11.722,10.944,10.553,13.646,10677.8,3444.5,2238.9,2669.5,1141
2020-07-17T14:30:00Z,14.517,13.558,11.722,11.041,10.553,13.611,8611.2,3616.7,1980.6,1722.2,990.3
2020-07-17T15:00:00Z,15.569,13.654,11.722,11.236,10.651,13.567,46844.8,6200,3616.7,7577.8,2238.9
2020-07-17T15:30:00Z,15.951,13.942,11.916,11.236,10.748,13.62,154312.1,12400.1,4822.3,8266.7,3272.2
2020-07-17T16:00:00Z,16.618,14.134,12.013,11.236,10.846,13.672,170845.6,18600.1,9644.5,7577.8,2755.6
2020-07-17T16:30:00Z,17.284,14.325,12.013,11.431,10.944,13.716,176356.7,19977.9,6200,5338.9,3444.5
2020-07-17T17:00:00Z,16.141,14.23,11.916,11.431,10.944,13.707,68889.3,12400.1,5338.9,4822.3,3100
2020-07-17T17:30:00Z,15.473,14.23,11.916,11.236,10.846,13.855,57867,11022.3,5166.7,3961.1,2927.8
2020-07-17T18:00:00Z,15.378,13.654,12.013,11.139,10.846,13.934,34444.7,8266.7,4477.8,3100,2325
2020-07-17T18:30:00Z,15.091,13.846,11.916,11.139,10.846,13.855,46844.8,6544.5,3100,2497.2,1722.2
2020-07-17T19:00:00Z,14.996,13.365,11.916,11.139,10.846,13.925,34444.7,6544.5,3616.7,2411.1,1808.3
2020-07-17T19:30:00Z,14.804,13.558,12.11,11.139,10.846,14.021,22044.6,6544.5,4133.4,2583.4,1980.6
2020-07-17T20:00:00Z,14.804,13.461,11.722,11.431,10.846,13.995,24800.2,6200,3272.2,1980.6,1636.1
2020-07-17T20:30:00Z,15.187,13.558,12.013,11.236,10.846,14.003,33066.9,9300.1,4822.3,2755.6,2325
2020-07-17T21:00:00Z,14.996,13.558,12.11,11.139,10.846,14.012,22044.6,7577.8,3961.1,2238.9,1980.6
2020-07-17T21:30:00Z,14.9,13.654,12.013,11.334,10.846,14.029,24800.2,7233.4,3272.2,1980.6,1722.2
2020-07-17T22:00:00Z,15.664,13.942,12.11,11.334,10.944,14.099,55111.5,16533.4,7577.8,3444.5,3616.7
2020-07-17T22:30:00Z,15.76,14.038,12.11,11.334,10.944,14.108,44089.2,22044.6,11711.2,3272.2,3788.9
2020-07-17T23:00:00Z,15.187,13.75,12.11,11.236,10.944,14.134,19977.9,5511.1,3961.1,1894.5,1722.2
2020-07-17T23:30:00Z,15.76,13.75,12.401,11.334,10.944,14.194,20666.8,18600.1,30311.3,2152.8,5338.9
2020-07-18T00:00:00Z,14.996,13.654,12.207,11.139,10.944,14.246,13089,4994.5,2669.5,1216.3,1162.5
2020-07-18T00:30:00Z,14.804,13.846,11.916,11.334,10.944,14.186,14466.8,5166.7,3100,1345.5,1356.3
2020-07-18T01:00:00Z,14.517,13.75,11.916,11.236,10.846,14.229,9300.1,2669.5,1248.6,807.3,635.1
2020-07-18T01:30:00Z,14.996,13.942,12.207,11.236,10.944,14.238,6200,2927.8,2325,516.7,764.2
2020-07-18T02:00:00Z,14.517,13.558,12.11,11.139,10.944,14.212,9644.5,2755.6,2066.7,828.8,828.8
2020-07-18T02:30:00Z,14.325,13.558,12.013,11.139,10.944,14.177,2066.7,602.8,366,215.3,172.2
2020-07-18T03:00:00Z,14.325,13.558,11.916,11.139,10.846,14.142,2325,419.8,333.7,139.9,129.2
2020-07-18T03:30:00Z,14.134,13.558,12.013,11.139,10.846,14.081,312.2,64.6,43.1,10.8,10.8
2020-07-18T04:00:00Z,14.038,13.654,11.916,11.139,10.846,14.003,0,0,0,0,0
2020-07-18T04:30:00Z,14.038,13.365,12.013,11.236,10.846,13.96,0,0,0,0,0
2020-07-18T05:00:00Z,13.846,13.269,12.013,11.139,10.846,13.907,0,0,0,0,0
2020-07-18T05:30:00Z,13.846,13.558,12.013,11.041,10.748,13.873,0,0,0,0,0
2020-07-18T06:00:00Z,13.654,13.461,11.722,11.236,10.748,13.82,0,0,0,0,0
2020-07-18T06:30:00Z,13.654,13.365,11.916,11.139,10.748,13.751,0,0,0,0,0
2020-07-18T07:00:00Z,13.654,13.461,11.916,11.139,10.748,13.742,0,0,0,0,0
2020-07-18T07:30:00Z,13.654,13.269,12.11,11.236,10.748,13.69,0,0,0,0,0
2020-07-18T08:00:00Z,13.461,13.365,11.916,11.236,10.748,13.637,0,0,0,0,0
2020-07-18T08:30:00Z,13.461,13.269,11.916,11.041,10.748,13.602,0,0,0,0,0
2020-07-18T09:00:00Z,13.365,13.173,11.916,11.139,10.846,13.559,0,0,0,0,0
2020-07-18T09:30:00Z,13.461,13.173,11.819,11.139,10.748,13.559,0,0,0,0,0
2020-07-18T10:00:00Z,13.365,13.173,11.819,11.139,10.748,13.532,0,0,0,0,0
2020-07-18T10:30:00Z,13.269,13.173,11.819,11.139,10.748,13.48,0,0,0,0,0
2020-07-18T11:00:00Z,13.076,13.076,11.819,11.139,10.748,13.445,0,0,0,0,0
2020-07-18T11:30:00Z,13.269,13.076,11.722,11.139,10.651,13.401,0,0,0,0,0
2020-07-18T12:00:00Z,13.173,13.076,11.722,11.139,10.651,13.331,688.9,129.2,64.6,43.1,21.5
2020-07-18T12:30:00Z,13.173,13.076,11.819,11.139,10.651,13.322,2411.1,549,312.2,236.8,139.9
2020-07-18T13:00:00Z,13.365,13.076,11.916,11.139,10.651,13.279,3272.2,796.5,462.9,366,204.5
2020-07-18T13:30:00Z,13.173,13.076,11.819,11.139,10.748,13.252,4994.5,968.8,581.3,538.2,269.1
2020-07-18T14:00:00Z,13.365,12.98,11.916,11.139,10.748,13.2,12400.1,1377.8,828.8,1022.6,398.3
2020-07-18T14:30:00Z,15.473,12.98,11.916,11.334,10.846,13.2,110223,2755.6,1894.5,5511.1,1141
2020-07-18T15:00:00Z,15.282,13.076,11.916,11.334,10.748,13.217,35822.5,3100,1550,3100,796.5
2020-07-18T15:30:00Z,16.427,13.173,11.916,11.431,10.846,13.208,126756.4,6544.5,2755.6,9300.1,1550
2020-07-18T16:00:00Z,16.046,13.173,12.013,11.431,10.944,13.27,176356.7,5511.1,4305.6,12400.1,2238.9
2020-07-18T16:30:00Z,16.618,13.365,12.013,11.528,10.944,13.287,159823.3,11711.2,8266.7,17911.2,3100
2020-07-18T17:00:00Z,17.475,13.365,12.11,11.625,11.041,13.279,55111.5,4477.8,4650,15155.7,2755.6
2020-07-18T17:30:00Z,15.378,13.076,12.304,11.722,11.139,13.366,5511.1,5166.7,4822.3,14466.8,3788.9
2020-07-18T18:00:00Z,17.189,13.654,12.304,11.722,11.139,13.532,126756.4,3961.1,8266.7,11022.3,4822.3
2020-07-18T18:30:00Z,17.094,13.461,12.11,11.625,11.236,13.462,220445.9,9644.5,6200,6200,4305.6
2020-07-18T19:00:00Z,16.713,13.654,12.304,11.819,11.334,13.742,46844.8,4994.5,4650,8611.2,5166.7
2020-07-18T19:30:00Z,17.284,13.654,12.497,11.819,11.236,13.768,115734.1,18600.1,5511.1,6200,5511.1
2020-07-18T20:00:00Z,16.808,13.846,12.594,11.819,11.334,13.777,44089.2,10677.8,6200,3961.1,5166.7
