datetime,wtr_0,wtr_2,wtr_4,wtr_1
2021-06-17T16:00:00Z,23.966,19.758,15.473,21.287
2021-06-17T16:30:00Z,23.677,19.567,15.855,21.353
2021-06-17T17:00:00Z,23.581,19.567,15.569,21.554
2021-06-17T17:30:00Z,22.621,19.567,15.569,21.646
2021-06-17T18:00:00Z,23.677,18.996,15.569,21.512
2021-06-17T18:30:00Z,22.525,19.377,15.664,21.654
2021-06-17T19:00:00Z,22.238,19.282,15.664,21.637
2021-06-17T19:30:00Z,22.046,19.377,15.664,21.596
2021-06-17T20:00:00Z,21.855,19.187,15.664,21.504
2021-06-17T20:30:00Z,21.569,18.996,15.664,21.42
2021-06-17T21:00:00Z,21.569,19.092,15.664,21.312
2021-06-17T21:30:00Z,21.091,19.187,15.569,21.245
2021-06-17T22:00:00Z,20.805,18.996,15.664,21.161
2021-06-17T22:30:00Z,20.71,18.996,15.664,21.078
2021-06-17T23:00:00Z,20.615,18.901,15.664,21.011
2021-06-17T23:30:00Z,20.519,18.996,15.664,20.919
2021-06-18T00:00:00Z,20.519,19.092,15.664,20.819
2021-06-18T00:30:00Z,20.329,19.187,15.569,20.727
2021-06-18T01:00:00Z,20.043,19.092,15.569,20.635
2021-06-18T01:30:00Z,19.948,19.187,15.569,20.552
2021-06-18T02:00:00Z,19.948,19.187,15.569,20.46
2021-06-18T02:30:00Z,20.043,19.092,15.664,20.376
2021-06-18T03:00:00Z,19.758,19.092,15.664,20.259
2021-06-18T03:30:00Z,19.948,18.996,15.569,20.159
2021-06-18T04:00:00Z,19.948,19.092,15.569,20.058
2021-06-18T04:30:00Z,19.758,19.092,15.664,19.925
2021-06-18T05:00:00Z,19.567,18.996,15.664,19.816
2021-06-18T05:30:00Z,19.662,18.901,15.664,19.707
2021-06-18T06:00:00Z,19.377,18.996,15.569,19.598
2021-06-18T06:30:00Z,19.662,18.996,15.569,19.523
2021-06-18T07:00:00Z,19.758,18.996,15.569,19.397
2021-06-18T07:30:00Z,20.71,19.092,15.569,19.297
2021-06-18T08:00:00Z,21.091,19.187,15.569,19.246
2021-06-18T08:30:00Z,21.378,19.377,15.569,19.196
2021-06-18T09:00:00Z,21.664,19.377,15.569,19.205
2021-06-18T09:30:00Z,21.855,19.472,15.664,19.221
2021-06-18T10:00:00Z,22.238,19.472,15.664,19.297
2021-06-18T10:30:00Z,22.621,19.567,15.664,19.347
2021-06-18T11:00:00Z,22.525,19.472,15.664,19.447
2021-06-18T11:30:00Z,22.525,19.472,15.664,19.581
2021-06-18T12:00:00Z,22.908,19.282,15.664,19.674
2021-06-18T12:30:00Z,22.908,18.806,15.664,19.849
2021-06-18T13:00:00Z,23.292,19.377,15.855,19.925
2021-06-18T13:30:00Z,23.773,19.662,15.76,19.891
2021-06-18T14:00:00Z,24.158,19.853,15.76,19.766
2021-06-18T14:30:00Z,24.545,19.853,15.76,20.008
2021-06-18T15:00:00Z,24.351,19.948,15.855,20.184
2021-06-18T15:30:00Z,23.581,20.043,15.855,20.51
2021-06-18T16:00:00Z,24.545,19.853,15.76,20.552
2021-06-18T16:30:00Z,23.966,19.853,15.76,20.702
2021-06-18T17:00:00Z,23.581,19.853,15.855,20.259
2021-06-18T17:30:00Z,23.581,19.948,16.141,20.226
2021-06-18T18:00:00Z,23.869,20.043,16.141,20.702
2021-06-18T18:30:00Z,23.196,20.138,16.141,20.953
2021-06-18T19:00:00Z,23.1,19.567,15.664,20.994
2021-06-18T19:30:00Z,23.1,19.567,15.664,20.811
2021-06-18T20:00:00Z,23.004,19.758,15.951,20.577
2021-06-18T20:30:00Z,22.812,19.758,15.951,20.61
2021-06-18T21:00:00Z,22.525,19.758,15.951,20.911
2021-06-18T21:30:00Z,22.333,19.472,15.951,20.852
2021-06-18T22:00:00Z,22.142,19.567,15.855,20.827
2021-06-18T22:30:00Z,21.855,19.662,15.855,20.677
2021-06-18T23:00:00Z,21.76,19.662,15.855,20.618
2021-06-18T23:30:00Z,21.664,19.567,15.951,20.618
2021-06-19T00:00:00Z,21.473,19.567,15.855,20.543
2021-06-19T00:30:00Z,21.187,19.567,15.951,20.568
2021-06-19T01:00:00Z,21.091,19.567,15.951,20.593
2021-06-19T01:30:00Z,20.996,19.567,15.951,20.585
2021-06-19T02:00:00Z,21.187,19.567,15.951,20.602
2021-06-19T02:30:00Z,20.615,19.472,15.855,20.577
2021-06-19T03:00:00Z,20.615,19.472,15.855,20.727
2021-06-19T03:30:00Z,20.424,19.472,15.951,20.66
2021-06-19T04:00:00Z,20.138,19.472,15.951,20.61
2021-06-19T04:30:00Z,19.948,19.472,15.855,20.501
2021-06-19T05:00:00Z,20.234,19.567,15.855,20.418
2021-06-19T05:30:00Z,19.853,19.472,15.855,20.293
2021-06-19T06:00:00Z,19.948,19.377,15.855,20.167
2021-06-19T06:30:00Z,19.853,19.377,15.855,20.092
2021-06-19T07:00:00Z,20.615,19.377,15.855,19.966
2021-06-19T07:30:00Z,20.615,19.282,15.951,19.925
2021-06-19T08:00:00Z,20.615,19.377,15.855,19.824
2021-06-19T08:30:00Z,21.378,19.282,15.855,19.799
2021-06-19T09:00:00Z,21.473,19.187,15.855,19.807
2021-06-19T09:30:00Z,22.238,19.377,15.855,19.807
2021-06-19T10:00:00Z,21.855,19.377,15.855,19.866
2021-06-19T10:30:00Z,22.621,19.187,15.951,19.891
2021-06-19T11:00:00Z,23.677,19.092,16.046,19.941
2021-06-19T11:30:00Z,21.282,19.472,15.951,19.933
2021-06-19T12:00:00Z,22.812,19.853,16.046,20.226
2021-06-19T12:30:00Z,22.525,20.043,15.951,20.476
2021-06-19T13:00:00Z,21.855,20.043,16.046,20.585
2021-06-19T13:30:00Z,23.1,19.472,15.76,20.71
2021-06-19T14:00:00Z,22.142,19.472,15.855,20.852
2021-06-19T14:30:00Z,22.429,19.377,16.046,20.978
2021-06-19T15:00:00Z,22.333,19.567,15.951,21.095
2021-06-19T15:30:00Z,21.76,19.758,16.046,21.111
2021-06-19T16:00:00Z,22.525,19.948,16.046,21.17
2021-06-19T16:30:00Z,22.142,19.758,16.141,21.262
2021-06-19T17:00:00Z,22.046,19.567,16.046,21.328
2021-06-19T17:30:00Z,21.951,19.758,16.046,21.404
2021-06-19T18:00:00Z,21.76,19.662,16.046,21.37
2021-06-19T18:30:00Z,21.76,19.853,15.951,21.379
2021-06-19T19:00:00Z,21.76,19.662,16.046,21.337
2021-06-19T19:30:00Z,21.664,19.567,15.951,21.312
2021-06-19T20:00:00Z,21.282,19.472,16.141,21.228
2021-06-19T20:30:00Z,21.282,19.567,15.951,21.178
2021-06-19T21:00:00Z,21.091,19.758,16.046,21.111
2021-06-19T21:30:00Z,21.187,19.758,16.046,21.036
2021-06-19T22:00:00Z,20.805,19.662,16.141,20.986
2021-06-19T22:30:00Z,20.805,19.472,16.046,20.911
2021-06-19T23:00:00Z,20.615,19.472,15.951,20.886
2021-06-19T23:30:00Z,20.519,19.377,15.951,20.811
2021-06-20T00:00:00Z,20.519,19.472,16.046,20.727
2021-06-20T00:30:00Z,20.424,19.472,16.046,20.652
2021-06-20T01:00:00Z,20.329,19.472,16.046,20.627
2021-06-20T01:30:00Z,20.234,19.472,16.046,20.552
2021-06-20T02:00:00Z,20.329,19.567,16.046,20.501
2021-06-20T02:30:00Z,20.615,19.472,16.046,20.435
2021-06-20T03:00:00Z,20.138,19.377,16.046,20.368
2021-06-20T03:30:00Z,20.424,19.377,16.046,20.334
2021-06-20T04:00:00Z,20.043,19.377,15.951,20.267
2021-06-20T04:30:00Z,20.043,19.472,16.046,20.184
2021-06-20T05:00:00Z,19.948,19.472,16.046,20.15
2021-06-20T05:30:00Z,19.948,19.472,16.046,20.092
2021-06-20T06:00:00Z,19.853,19.567,15.951,20.067
2021-06-20T06:30:00Z,19.948,19.472,15.951,20.008
2021-06-20T07:00:00Z,19.662,19.567,16.046,19.941
2021-06-20T07:30:00Z,20.043,19.567,16.046,19.899
2021-06-20T08:00:00Z,20.043,19.948,16.141,19.858
2021-06-20T08:30:00Z,20.043,20.043,16.046,19.791
2021-06-20T09:00:00Z,20.138,19.948,16.046,19.74
2021-06-20T09:30:00Z,20.234,19.948,15.951,19.715
2021-06-20T10:00:00Z,20.329,19.948,15.951,19.682
2021-06-20T10:30:00Z,20.234,19.948,16.046,19.69
2021-06-20T11:00:00Z,20.138,19.948,15.951,19.674
2021-06-20T11:30:00Z,20.329,19.948,16.046,19.665
2021-06-20T12:00:00Z,20.234,19.948,16.046,19.657
2021-06-20T12:30:00Z,20.329,19.853,16.046,19.665
2021-06-20T13:00:00Z,21.187,19.948,16.046,19.707
2021-06-20T13:30:00Z,22.046,19.948,16.046,19.766
2021-06-20T14:00:00Z,21.187,19.853,16.141,19.791
2021-06-20T14:30:00Z,22.142,19.472,16.237,19.849
2021-06-20T15:00:00Z,21.378,19.662,16.046,19.883
2021-06-20T15:30:00Z,20.805,19.758,16.046,19.916
2021-06-20T16:00:00Z,21.091,19.853,16.141,19.983
2021-06-20T16:30:00Z,20.996,19.758,16.141,20.017
2021-06-20T17:00:00Z,21.187,19.853,16.046,20.117
2021-06-20T17:30:00Z,20.996,19.567,16.046,20.251
2021-06-20T18:00:00Z,20.996,19.187,16.046,20.267
2021-06-20T18:30:00Z,20.805,19.377,16.141,20.318
2021-06-20T19:00:00Z,20.996,19.472,16.141,20.393
2021-06-20T19:30:00Z,20.901,19.567,16.141,20.451
2021-06-20T20:00:00Z,20.71,19.472,16.141,20.426
2021-06-20T20:30:00Z,20.424,19.282,16.046,20.293
2021-06-20T21:00:00Z,20.519,19.282,16.046,20.284
2021-06-20T21:30:00Z,20.138,19.187,16.141,20.326
2021-06-20T22:00:00Z,19.948,18.996,16.141,20.276
2021-06-20T22:30:00Z,20.138,19.092,16.046,20.192
2021-06-20T23:00:00Z,20.138,19.187,16.046,20.075
2021-06-20T23:30:00Z,19.948,19.282,16.046,19.991
2021-06-21T00:00:00Z,20.043,19.187,16.046,19.866
2021-06-21T00:30:00Z,19.758,19.187,16.046,19.782
2021-06-21T01:00:00Z,19.662,19.187,16.046,19.64
2021-06-21T01:30:00Z,19.567,19.282,16.046,19.54
2021-06-21T02:00:00Z,19.567,19.472,16.141,19.439
2021-06-21T02:30:00Z,19.282,19.472,16.141,19.322
2021-06-21T03:00:00Z,19.187,19.377,16.141,19.221
2021-06-21T03:30:00Z,19.092,19.282,16.046,19.112
2021-06-21T04:00:00Z,19.092,19.187,16.046,19.012
2021-06-21T04:30:00Z,18.996,19.187,16.046,18.953
2021-06-21T05:00:00Z,18.901,19.092,16.046,18.869
2021-06-21T05:30:00Z,18.806,18.996,15.951,18.785
2021-06-21T06:00:00Z,18.806,18.901,16.046,18.701
2021-06-21T06:30:00Z,18.711,18.901,16.046,18.642
2021-06-21T07:00:00Z,19.187,18.806,16.046,18.567
2021-06-21T07:30:00Z,19.567,18.711,16.046,18.516
2021-06-21T08:00:00Z,20.329,18.711,16.046,18.474
2021-06-21T08:30:00Z,20.71,18.711,16.046,18.474
2021-06-21T09:00:00Z,20.996,18.711,16.046,18.483
2021-06-21T09:30:00Z,20.996,18.711,16.046,18.483
2021-06-21T10:00:00Z,21.091,18.806,16.046,18.525
2021-06-21T10:30:00Z,21.282,18.806,16.046,18.584
