datetime,wtr_0,wtr_2,wtr_4,wtr_8,wtr_1
2020-06-24T23:00:00Z,12.304,7.582,5.244,3.998,9.472
2020-06-24T23:30:00Z,12.207,7.983,5.244,3.998,8.999
2020-06-25T00:00:00Z,10.846,7.179,5.141,3.893,9.407
2020-06-25T00:30:00Z,11.236,7.28,5.244,3.893,9.444
2020-06-25T01:00:00Z,11.916,7.179,5.244,3.998,9.582
2020-06-25T01:30:00Z,11.041,7.079,5.244,3.893,8.402
2020-06-25T02:00:00Z,10.161,6.775,5.347,3.893,8.757
2020-06-25T02:30:00Z,10.161,7.882,5.757,4.207,8.823
2020-06-25T03:00:00Z,10.259,6.674,5.141,3.893,8.655
2020-06-25T03:30:00Z,10.161,6.573,5.552,3.788,8.99
2020-06-25T04:00:00Z,10.553,6.573,5.552,4.102,7.997
2020-06-25T04:30:00Z,10.455,6.471,5.244,4.102,7.751
2020-06-25T05:00:00Z,10.259,6.573,5.45,3.893,7.217
2020-06-25T05:30:00Z,10.161,6.573,5.141,4.102,7.57
2020-06-25T06:00:00Z,10.063,6.674,5.037,3.893,6.987
2020-06-25T06:30:00Z,9.866,6.674,5.552,3.893,6.775
2020-06-25T07:00:00Z,9.768,6.674,5.141,3.998,6.862
2020-06-25T07:30:00Z,9.669,6.573,5.244,3.893,6.948
2020-06-25T08:00:00Z,9.669,6.37,5.244,3.893,6.871
2020-06-25T08:30:00Z,9.472,6.573,5.347,3.893,6.891
2020-06-25T09:00:00Z,9.373,6.471,5.45,3.893,7.016
2020-06-25T09:30:00Z,9.176,6.674,5.347,3.893,7.284
2020-06-25T10:00:00Z,9.077,6.471,5.347,3.893,7.179
2020-06-25T10:30:00Z,8.978,6.268,5.347,3.893,7.14
2020-06-25T11:00:00Z,8.779,6.268,5.347,3.998,7.073
2020-06-25T11:30:00Z,8.879,6.471,5.347,3.998,7.035
2020-06-25T12:00:00Z,8.68,6.471,5.45,3.998,6.987
2020-06-25T12:30:00Z,8.581,6.471,5.45,3.998,7.016
2020-06-25T13:00:00Z,8.481,6.471,5.45,3.998,6.881
2020-06-25T13:30:00Z,8.382,6.37,5.45,3.998,6.804
2020-06-25T14:00:00Z,9.472,6.674,5.552,3.998,6.852
2020-06-25T14:30:00Z,9.768,6.674,5.45,3.998,6.813
2020-06-25T15:00:00Z,11.431,6.674,5.45,3.998,6.891
2020-06-25T15:30:00Z,9.176,6.674,5.45,3.998,7.14
2020-06-25T16:00:00Z,9.077,6.877,5.552,3.893,7.265
2020-06-25T16:30:00Z,9.077,6.877,5.552,3.893,7.15
2020-06-25T17:00:00Z,9.275,7.582,6.064,3.893,7.016
2020-06-25T17:30:00Z,8.779,8.282,5.655,3.893,8.383
2020-06-25T18:00:00Z,9.077,9.176,5.86,3.893,8.402
2020-06-25T18:30:00Z,9.176,9.373,5.655,3.998,8.486
2020-06-25T19:00:00Z,9.472,8.481,5.552,4.102,8.599
2020-06-25T19:30:00Z,9.768,8.68,5.552,4.102,9.009
2020-06-25T20:00:00Z,10.063,7.682,5.757,4.102,9.129
2020-06-25T20:30:00Z,10.748,7.682,5.757,4.102,9.222
2020-06-25T21:00:00Z,10.553,7.582,5.757,3.998,8.953
2020-06-25T21:30:00Z,11.139,8.879,6.064,3.998,9.453
2020-06-25T22:00:00Z,12.11,7.882,5.45,3.893,9.573
2020-06-25T22:30:00Z,11.819,8.581,5.347,3.998,9.499
2020-06-25T23:00:00Z,11.139,9.077,5.347,3.998,9.812
2020-06-25T23:30:00Z,11.916,8.481,5.45,3.998,9.867
2020-06-26T00:00:00Z,11.819,9.077,5.552,3.893,9.839
2020-06-26T00:30:00Z,11.722,8.082,5.86,4.207,9.849
2020-06-26T01:00:00Z,11.431,8.282,5.552,4.207,9.849
2020-06-26T01:30:00Z,11.431,7.782,5.655,3.998,9.748
2020-06-26T02:00:00Z,10.553,6.978,5.655,3.998,9.748
2020-06-26T02:30:00Z,11.916,6.877,5.757,4.207,9.379
