"Plot Title: 6_m_ASH"
"#","Date Time, GMT-06:00","Temp, °C (LGR S/N: 20658237, SEN S/N: 20658237, LBL: 6 m)","Intensity, Lux (LGR S/N: 20658237, SEN S/N: 20658237, LBL: 6 m)"
1,07/09/21 02:00:00 PM,13.558,2669.5
2,07/09/21 02:30:00 PM,13.558,1636.1
3,07/09/21 03:00:00 PM,13.365,1722.2
4,07/09/21 03:30:00 PM,13.365,1463.9
5,07/09/21 04:00:00 PM,13.365,1248.6
6,07/09/21 04:30:00 PM,13.750,882.6
7,07/09/21 05:00:00 PM,13.558,3272.2
8,07/09/21 05:30:00 PM,13.461,721.2
9,07/09/21 06:00:00 PM,13.461,581.3
10,07/09/21 06:30:00 PM,13.269,549.0
11,07/09/21 07:00:00 PM,13.365,602.8
12,07/09/21 07:30:00 PM,13.269,1808.3
13,07/09/21 08:00:00 PM,13.269,139.9
14,07/09/21 08:30:00 PM,13.365,96.9
15,07/09/21 09:00:00 PM,13.558,53.8
16,07/09/21 09:30:00 PM,13.558,0.0
17,07/09/21 10:00:00 PM,13.269,0.0
18,07/09/21 10:30:00 PM,13.269,0.0
19,07/09/21 11:00:00 PM,13.269,0.0
20,07/09/21 11:30:00 PM,13.076,0.0
21,07/10/21 12:00:00 AM,13.269,0.0
22,07/10/21 12:30:00 AM,13.365,0.0
23,07/10/21 01:00:00 AM,13.269,0.0
24,07/10/21 01:30:00 AM,13.076,0.0
25,07/10/21 02:00:00 AM,13.173,0.0
26,07/10/21 02:30:00 AM,13.173,0.0
27,07/10/21 03:00:00 AM,13.173,0.0
28,07/10/21 03:30:00 AM,13.269,0.0
29,07/10/21 04:00:00 AM,13.365,0.0
30,07/10/21 04:30:00 AM,13.365,0.0
31,07/10/21 05:00:00 AM,13.365,0.0
32,07/10/21 05:30:00 AM,13.173,0.0
33,07/10/21 06:00:00 AM,13.076,10.8
34,07/10/21 06:30:00 AM,13.076,53.8
35,07/10/21 07:00:00 AM,13.269,96.9
36,07/10/21 07:30:00 AM,13.269,161.5
37,07/10/21 08:00:00 AM,13.365,183.0
38,07/10/21 08:30:00 AM,13.461,236.8
39,07/10/21 09:00:00 AM,13.461,2755.6
40,07/10/21 09:30:00 AM,13.269,1636.1
41,07/10/21 10:00:00 AM,13.269,979.5
42,07/10/21 10:30:00 AM,13.269,775.0
43,07/10/21 11:00:00 AM,13.365,861.1
44,07/10/21 11:30:00 AM,13.558,1054.9
45,07/10/21 12:00:00 PM,13.558,1022.6
46,07/10/21 12:30:00 PM,13.654,1248.6
47,07/10/21 01:00:00 PM,13.558,1356.3
48,07/10/21 01:30:00 PM,13.461,2066.7
49,07/10/21 02:00:00 PM,13.558,1808.3
50,07/10/21 02:30:00 PM,13.558,1636.1
51,07/10/21 03:00:00 PM,13.654,1463.9
52,07/10/21 03:30:00 PM,13.558,1065.6
53,07/10/21 04:00:00 PM,13.654,3788.9
54,07/10/21 04:30:00 PM,13.750,1550.0
55,07/10/21 05:00:00 PM,13.558,1722.2
56,07/10/21 05:30:00 PM,13.461,1894.5
57,07/10/21 06:00:00 PM,13.461,1280.9
58,07/10/21 06:30:00 PM,13.365,2927.8
59,07/10/21 07:00:00 PM,13.461,1044.1
60,07/10/21 07:30:00 PM,13.461,1377.8
61,07/10/21 08:00:00 PM,13.461,290.6
62,07/10/21 08:30:00 PM,13.461,129.2
63,07/10/21 09:00:00 PM,13.461,53.8
64,07/10/21 09:30:00 PM,13.461,0.0
65,07/10/21 10:00:00 PM,13.269,0.0
66,07/10/21 10:30:00 PM,13.365,0.0
67,07/10/21 11:00:00 PM,13.461,0.0
68,07/10/21 11:30:00 PM,13.365,0.0
69,07/11/21 12:00:00 AM,13.461,0.0
70,07/11/21 12:30:00 AM,13.365,0.0
71,07/11/21 01:00:00 AM,13.269,0.0
72,07/11/21 01:30:00 AM,13.173,0.0
73,07/11/21 02:00:00 AM,13.173,0.0
74,07/11/21 02:30:00 AM,13.269,0.0
75,07/11/21 03:00:00 AM,13.365,0.0
76,07/11/21 03:30:00 AM,13.365,0.0
77,07/11/21 04:00:00 AM,13.365,0.0
78,07/11/21 04:30:00 AM,13.365,0.0
79,07/11/21 05:00:00 AM,13.269,0.0
80,07/11/21 05:30:00 AM,13.269,0.0
81,07/11/21 06:00:00 AM,13.173,0.0
82,07/11/21 06:30:00 AM,13.365,32.3
83,07/11/21 07:00:00 AM,13.365,64.6
84,07/11/21 07:30:00 AM,13.365,107.6
85,07/11/21 08:00:00 AM,13.365,204.5
86,07/11/21 08:30:00 AM,13.365,269.1
87,07/11/21 09:00:00 AM,13.461,1808.3
88,07/11/21 09:30:00 AM,13.461,3616.7
89,07/11/21 10:00:00 AM,13.558,1808.3
90,07/11/21 10:30:00 AM,13.654,3616.7
91,07/11/21 11:00:00 AM,13.654,3961.1
92,07/11/21 11:30:00 AM,13.654,4133.4
93,07/11/21 12:00:00 PM,13.654,4477.8
94,07/11/21 12:30:00 PM,13.750,3272.2
95,07/11/21 01:00:00 PM,13.654,2755.6
96,07/11/21 01:30:00 PM,13.846,1463.9
97,07/11/21 02:00:00 PM,13.750,2066.7
98,07/11/21 02:30:00 PM,13.750,2755.6
99,07/11/21 03:00:00 PM,13.654,2583.4
100,07/11/21 03:30:00 PM,13.750,1636.1
101,07/11/21 04:00:00 PM,13.654,1463.9
102,07/11/21 04:30:00 PM,13.558,1377.8
103,07/11/21 05:00:00 PM,13.654,1065.6
104,07/11/21 05:30:00 PM,13.846,710.4
105,07/11/21 06:00:00 PM,13.750,656.6
106,07/11/21 06:30:00 PM,13.558,602.8
107,07/11/21 07:00:00 PM,13.558,495.1
108,07/11/21 07:30:00 PM,13.654,656.6
109,07/11/21 08:00:00 PM,13.558,150.7
110,07/11/21 08:30:00 PM,13.365,107.6
111,07/11/21 09:00:00 PM,13.461,53.8
112,07/11/21 09:30:00 PM,13.558,0.0
113,07/11/21 10:00:00 PM,13.558,0.0
114,07/11/21 10:30:00 PM,13.461,0.0
115,07/11/21 11:00:00 PM,13.461,0.0
116,07/11/21 11:30:00 PM,13.461,0.0
117,07/12/21 12:00:00 AM,13.365,0.0
118,07/12/21 12:30:00 AM,13.173,0.0
119,07/12/21 01:00:00 AM,13.365,0.0
120,07/12/21 01:30:00 AM,13.558,0.0
121,07/12/21 02:00:00 AM,13.654,0.0
122,07/12/21 02:30:00 AM,13.461,0.0
123,07/12/21 03:00:00 AM,13.461,0.0
124,07/12/21 03:30:00 AM,13.461,0.0
125,07/12/21 04:00:00 AM,13.365,0.0
126,07/12/21 04:30:00 AM,13.365,0.0
127,07/12/21 05:00:00 AM,13.461,0.0
128,07/12/21 05:30:00 AM,13.558,0.0
129,07/12/21 06:00:00 AM,13.365,10.8
130,07/12/21 06:30:00 AM,13.461,64.6
131,07/12/21 07:00:00 AM,13.365,118.4
132,07/12/21 07:30:00 AM,13.461,183.0
133,07/12/21 08:00:00 AM,13.461,215.3
134,07/12/21 08:30:00 AM,13.558,290.6
135,07/12/21 09:00:00 AM,13.558,1550.0
136,07/12/21 09:30:00 AM,13.750,602.8
137,07/12/21 10:00:00 AM,13.750,678.1
