datetime,irr_0,irr_10,irr_2,irr_3,irr_4,irr_5,irr_6,irr_8
2021-07-09T15:00:00Z,430.6,1550,4650,6544.5,20666.8,818.1,1722.2,1248.6
2021-07-09T15:30:00Z,721.2,527.4,1033.3,2669.5,2152.8,3961.1,1463.9,904.2
2021-07-09T16:00:00Z,688.9,452.1,936.5,2238.9,1808.3,3961.1,1248.6,742.7
2021-07-09T16:30:00Z,667.4,796.5,1550,2152.8,4650,1550,882.6,559.7
2021-07-09T17:00:00Z,635.1,398.3,1377.8,3444.5,1194.8,2755.6,3272.2,1808.3
2021-07-09T17:30:00Z,645.8,322.9,688.9,1722.2,1463.9,4477.8,721.2,452.1
2021-07-09T18:00:00Z,602.8,312.2,678.1,1550,1248.6,3788.9,581.3,355.2
2021-07-09T18:30:00Z,538.2,226,516.7,1141,936.5,3961.1,549,322.9
2021-07-09T19:00:00Z,484.4,150.7,430.6,828.8,602.8,3961.1,602.8,312.2
2021-07-09T19:30:00Z,452.1,129.2,1151.7,1894.5,559.7,818.1,1808.3,742.7
2021-07-09T20:00:00Z,21.5,43.1,139.9,344.4,279.9,215.3,139.9,75.3
2021-07-09T20:30:00Z,10.8,32.3,96.9,247.6,204.5,161.5,96.9,53.8
2021-07-09T21:00:00Z,0,10.8,53.8,150.7,118.4,75.3,53.8,32.3
2021-07-09T21:30:00Z,0,0,10.8,21.5,21.5,10.8,0,0
2021-07-09T22:00:00Z,0,0,0,0,0,0,0,0
2021-07-09T22:30:00Z,0,0,0,0,0,0,0,0
2021-07-09T23:00:00Z,0,0,0,0,0,0,0,0
2021-07-09T23:30:00Z,0,0,0,0,0,0,0,0
2021-07-10T00:00:00Z,0,0,0,0,0,0,0,0
2021-07-10T00:30:00Z,0,0,0,0,0,0,0,0
2021-07-10T01:00:00Z,0,0,0,0,0,0,0,0
2021-07-10T01:30:00Z,0,0,0,0,0,0,0,0
2021-07-10T02:00:00Z,0,0,0,0,0,0,0,0
2021-07-10T02:30:00Z,0,0,0,0,0,0,0,0
2021-07-10T03:00:00Z,0,0,0,0,0,0,0,0
2021-07-10T03:30:00Z,0,0,0,0,0,0,0,0
2021-07-10T04:00:00Z,0,0,0,0,0,0,0,0
2021-07-10T04:30:00Z,0,0,0,0,0,0,0,0
2021-07-10T05:00:00Z,0,0,0,0,0,0,0,0
2021-07-10T05:30:00Z,0,0,0,0,0,0,0,0
2021-07-10T06:00:00Z,0,0,21.5,53.8,53.8,10.8,10.8,0
2021-07-10T06:30:00Z,0,21.5,75.3,183,193.8,53.8,53.8,32.3
