"Plot Title: 7_m_BON"
"#","Date Time, GMT-06:00","Temp, °C (LGR S/N: 20889832, SEN S/N: 20889832, LBL: 7 m)","Intensity, Lux (LGR S/N: 20889832, SEN S/N: 20889832, LBL: 7 m)"
1,07/19/22 08:00:00 PM,6.471,53.8
2,07/19/22 08:30:00 PM,6.370,43.1
3,07/19/22 09:00:00 PM,6.166,21.5
4,07/19/22 09:30:00 PM,6.370,0.0
5,07/19/22 10:00:00 PM,6.370,0.0
6,07/19/22 10:30:00 PM,6.268,0.0
7,07/19/22 11:00:00 PM,6.268,0.0
8,07/19/22 11:30:00 PM,6.166,0.0
9,07/20/22 12:00:00 AM,6.268,0.0
10,07/20/22 12:30:00 AM,6.064,0.0
11,07/20/22 01:00:00 AM,6.268,0.0
12,07/20/22 01:30:00 AM,6.268,0.0
13,07/20/22 02:00:00 AM,6.268,0.0
14,07/20/22 02:30:00 AM,6.268,0.0
15,07/20/22 03:00:00 AM,6.166,0.0
16,07/20/22 03:30:00 AM,6.370,0.0
17,07/20/22 04:00:00 AM,6.268,0.0
18,07/20/22 04:30:00 AM,6.268,0.0
19,07/20/22 05:00:00 AM,6.370,0.0
20,07/20/22 05:30:00 AM,6.166,0.0
21,07/20/22 06:00:00 AM,6.268,0.0
22,07/20/22 06:30:00 AM,6.370,21.5
23,07/20/22 07:00:00 AM,6.166,161.5
24,07/20/22 07:30:00 AM,6.268,279.9
25,07/20/22 08:00:00 AM,6.370,452.1
26,07/20/22 08:30:00 AM,6.268,990.3
27,07/20/22 09:00:00 AM,6.370,279.9
28,07/20/22 09:30:00 AM,6.370,882.6
29,07/20/22 10:00:00 AM,6.370,721.2
30,07/20/22 10:30:00 AM,6.471,2411.1
31,07/20/22 11:00:00 AM,6.573,656.6
32,07/20/22 11:30:00 AM,6.471,2927.8
33,07/20/22 12:00:00 PM,6.471,2669.5
34,07/20/22 12:30:00 PM,6.573,1980.6
35,07/20/22 01:00:00 PM,6.674,1980.6
36,07/20/22 01:30:00 PM,6.573,2238.9
37,07/20/22 02:00:00 PM,6.471,2583.4
38,07/20/22 02:30:00 PM,6.471,2583.4
39,07/20/22 03:00:00 PM,6.674,1227.1
40,07/20/22 03:30:00 PM,6.471,785.8
41,07/20/22 04:00:00 PM,6.674,1377.8
42,07/20/22 04:30:00 PM,6.471,602.8
43,07/20/22 05:00:00 PM,6.978,1194.8
44,07/20/22 05:30:00 PM,7.079,495.1
45,07/20/22 06:00:00 PM,5.962,398.3
46,07/20/22 06:30:00 PM,6.573,258.3
47,07/20/22 07:00:00 PM,6.166,64.6
