"Plot Title: 2_m_CLW"
"#","Date Time, GMT-06:00","Temp, °C (LGR S/N: 20889810, SEN S/N: 20889810, LBL: 2 m)","Intensity, Lux (LGR S/N: 20889810, SEN S/N: 20889810, LBL: 2 m)"
1,06/17/21 04:00:00 PM,18.331,2755.6
2,06/17/21 04:30:00 PM,18.331,1463.9
3,06/17/21 05:00:00 PM,18.331,1463.9
4,06/17/21 05:30:00 PM,18.426,850.4
5,06/17/21 06:00:00 PM,18.426,979.5
6,06/17/21 06:30:00 PM,18.236,3616.7
7,06/17/21 07:00:00 PM,18.236,1894.5
8,06/17/21 07:30:00 PM,18.045,2066.7
9,06/17/21 08:00:00 PM,18.045,1463.9
10,06/17/21 08:30:00 PM,17.950,1151.7
11,06/17/21 09:00:00 PM,17.855,193.8
12,06/17/21 09:30:00 PM,17.855,53.8
13,06/17/21 10:00:00 PM,17.760,0.0
14,06/17/21 10:30:00 PM,17.665,0.0
15,06/17/21 11:00:00 PM,17.665,0.0
16,06/17/21 11:30:00 PM,17.665,0.0
17,06/18/21 12:00:00 AM,17.665,0.0
18,06/18/21 12:30:00 AM,17.665,0.0
19,06/18/21 01:00:00 AM,17.665,0.0
20,06/18/21 01:30:00 AM,17.855,0.0
21,06/18/21 02:00:00 AM,17.760,0.0
22,06/18/21 02:30:00 AM,17.665,0.0
23,06/18/21 03:00:00 AM,17.570,0.0
24,06/18/21 03:30:00 AM,17.570,0.0
25,06/18/21 04:00:00 AM,17.475,0.0
26,06/18/21 04:30:00 AM,17.379,0.0
27,06/18/21 05:00:00 AM,17.379,0.0
28,06/18/21 05:30:00 AM,17.284,10.8
29,06/18/21 06:00:00 AM,17.284,96.9
30,06/18/21 06:30:00 AM,17.189,161.5
31,06/18/21 07:00:00 AM,17.189,193.8
32,06/18/21 07:30:00 AM,17.094,236.8
33,06/18/21 08:00:00 AM,17.189,2325.0
34,06/18/21 08:30:00 AM,17.284,1463.9
35,06/18/21 09:00:00 AM,17.284,3100.0
36,06/18/21 09:30:00 AM,17.570,1065.6
37,06/18/21 10:00:00 AM,17.475,7233.4
38,06/18/21 10:30:00 AM,17.665,1022.6
39,06/18/21 11:00:00 AM,17.760,1097.9
40,06/18/21 11:30:00 AM,17.760,4477.8
41,06/18/21 12:00:00 PM,17.855,1280.9
42,06/18/21 12:30:00 PM,17.855,3616.7
43,06/18/21 01:00:00 PM,17.855,3272.2
44,06/18/21 01:30:00 PM,17.950,2927.8
45,06/18/21 02:00:00 PM,18.045,2238.9
46,06/18/21 02:30:00 PM,18.140,2411.1
47,06/18/21 03:00:00 PM,18.331,3788.9
48,06/18/21 03:30:00 PM,18.426,2927.8
49,06/18/21 04:00:00 PM,18.236,3961.1
50,06/18/21 04:30:00 PM,18.140,5166.7
51,06/18/21 05:00:00 PM,18.236,1722.2
52,06/18/21 05:30:00 PM,18.236,1894.5
53,06/18/21 06:00:00 PM,18.140,24800.2
54,06/18/21 06:30:00 PM,18.236,764.2
55,06/18/21 07:00:00 PM,18.236,710.4
56,06/18/21 07:30:00 PM,18.045,484.4
57,06/18/21 08:00:00 PM,18.045,430.6
58,06/18/21 08:30:00 PM,17.855,247.6
59,06/18/21 09:00:00 PM,17.760,107.6
60,06/18/21 09:30:00 PM,17.665,21.5
61,06/18/21 10:00:00 PM,17.760,0.0
62,06/18/21 10:30:00 PM,17.570,0.0
63,06/18/21 11:00:00 PM,17.570,0.0
64,06/18/21 11:30:00 PM,17.665,0.0
65,06/19/21 12:00:00 AM,17.760,0.0
66,06/19/21 12:30:00 AM,17.760,0.0
67,06/19/21 01:00:00 AM,17.665,0.0
68,06/19/21 01:30:00 AM,17.570,0.0
69,06/19/21 02:00:00 AM,17.570,0.0
70,06/19/21 02:30:00 AM,17.570,0.0
71,06/19/21 03:00:00 AM,17.665,0.0
72,06/19/21 03:30:00 AM,17.760,0.0
73,06/19/21 04:00:00 AM,17.570,0.0
74,06/19/21 04:30:00 AM,17.665,0.0
75,06/19/21 05:00:00 AM,17.950,0.0
76,06/19/21 05:30:00 AM,17.855,0.0
77,06/19/21 06:00:00 AM,17.665,86.1
78,06/19/21 06:30:00 AM,17.760,236.8
79,06/19/21 07:00:00 AM,17.665,430.6
80,06/19/21 07:30:00 AM,17.665,710.4
81,06/19/21 08:00:00 AM,17.760,2583.4
82,06/19/21 08:30:00 AM,17.760,2583.4
83,06/19/21 09:00:00 AM,17.760,2755.6
84,06/19/21 09:30:00 AM,17.950,18600.1
85,06/19/21 10:00:00 AM,17.950,7233.4
86,06/19/21 10:30:00 AM,17.855,4822.3
87,06/19/21 11:00:00 AM,18.140,9300.1
88,06/19/21 11:30:00 AM,17.855,2583.4
89,06/19/21 12:00:00 PM,18.236,1636.1
90,06/19/21 12:30:00 PM,18.521,1808.3
91,06/19/21 01:00:00 PM,18.140,1377.8
92,06/19/21 01:30:00 PM,18.236,2238.9
93,06/19/21 02:00:00 PM,18.331,2325.0
94,06/19/21 02:30:00 PM,18.426,2066.7
95,06/19/21 03:00:00 PM,18.616,2411.1
96,06/19/21 03:30:00 PM,18.806,1550.0
97,06/19/21 04:00:00 PM,19.092,2411.1
98,06/19/21 04:30:00 PM,18.806,2497.2
99,06/19/21 05:00:00 PM,18.901,1345.5
100,06/19/21 05:30:00 PM,18.331,1377.8
101,06/19/21 06:00:00 PM,18.711,452.1
102,06/19/21 06:30:00 PM,18.616,635.1
103,06/19/21 07:00:00 PM,18.711,613.5
104,06/19/21 07:30:00 PM,18.616,699.7
105,06/19/21 08:00:00 PM,18.331,462.9
106,06/19/21 08:30:00 PM,18.140,86.1
107,06/19/21 09:00:00 PM,18.236,43.1
108,06/19/21 09:30:00 PM,18.140,10.8
109,06/19/21 10:00:00 PM,18.331,0.0
110,06/19/21 10:30:00 PM,18.331,0.0
111,06/19/21 11:00:00 PM,18.331,0.0
112,06/19/21 11:30:00 PM,18.426,0.0
113,06/20/21 12:00:00 AM,18.426,0.0
114,06/20/21 12:30:00 AM,18.331,0.0
115,06/20/21 01:00:00 AM,18.331,0.0
116,06/20/21 01:30:00 AM,18.331,0.0
117,06/20/21 02:00:00 AM,18.331,0.0
118,06/20/21 02:30:00 AM,18.236,0.0
119,06/20/21 03:00:00 AM,18.140,0.0
120,06/20/21 03:30:00 AM,18.140,0.0
121,06/20/21 04:00:00 AM,18.140,0.0
122,06/20/21 04:30:00 AM,18.140,0.0
123,06/20/21 05:00:00 AM,18.140,0.0
124,06/20/21 05:30:00 AM,18.045,0.0
125,06/20/21 06:00:00 AM,18.045,10.8
126,06/20/21 06:30:00 AM,18.045,43.1
127,06/20/21 07:00:00 AM,17.950,75.3
128,06/20/21 07:30:00 AM,17.950,86.1
129,06/20/21 08:00:00 AM,17.950,936.5
130,06/20/21 08:30:00 AM,17.855,581.3
131,06/20/21 09:00:00 AM,17.760,828.8
132,06/20/21 09:30:00 AM,17.855,1463.9
133,06/20/21 10:00:00 AM,17.855,1377.8
134,06/20/21 10:30:00 AM,17.760,1065.6
135,06/20/21 11:00:00 AM,17.760,1259.4
136,06/20/21 11:30:00 AM,17.855,1463.9
137,06/20/21 12:00:00 PM,17.855,1808.3
138,06/20/21 12:30:00 PM,17.855,1377.8
139,06/20/21 01:00:00 PM,17.950,2755.6
140,06/20/21 01:30:00 PM,17.855,2238.9
141,06/20/21 02:00:00 PM,18.140,3444.5
142,06/20/21 02:30:00 PM,18.331,1894.5
143,06/20/21 03:00:00 PM,17.760,828.8
144,06/20/21 03:30:00 PM,17.855,1151.7
145,06/20/21 04:00:00 PM,17.950,1377.8
146,06/20/21 04:30:00 PM,17.950,1377.8
147,06/20/21 05:00:00 PM,17.950,1377.8
148,06/20/21 05:30:00 PM,17.950,1108.7
149,06/20/21 06:00:00 PM,17.855,667.4
150,06/20/21 06:30:00 PM,17.950,807.3
151,06/20/21 07:00:00 PM,18.045,861.1
152,06/20/21 07:30:00 PM,18.236,678.1
153,06/20/21 08:00:00 PM,18.140,527.4
154,06/20/21 08:30:00 PM,18.045,355.2
155,06/20/21 09:00:00 PM,17.855,161.5
156,06/20/21 09:30:00 PM,17.855,32.3
157,06/20/21 10:00:00 PM,17.760,0.0
158,06/20/21 10:30:00 PM,17.760,0.0
159,06/20/21 11:00:00 PM,17.665,0.0
160,06/20/21 11:30:00 PM,17.665,0.0
161,06/21/21 12:00:00 AM,17.665,0.0
162,06/21/21 12:30:00 AM,17.570,0.0
163,06/21/21 01:00:00 AM,17.570,0.0
164,06/21/21 01:30:00 AM,17.475,0.0
165,06/21/21 02:00:00 AM,17.475,0.0
166,06/21/21 02:30:00 AM,17.379,0.0
167,06/21/21 03:00:00 AM,17.379,0.0
168,06/21/21 03:30:00 AM,17.284,0.0
169,06/21/21 04:00:00 AM,17.284,0.0
170,06/21/21 04:30:00 AM,17.284,0.0
171,06/21/21 05:00:00 AM,17.189,0.0
172,06/21/21 05:30:00 AM,17.189,0.0
173,06/21/21 06:00:00 AM,17.094,64.6
174,06/21/21 06:30:00 AM,17.094,183.0
175,06/21/21 07:00:00 AM,16.999,247.6
176,06/21/21 07:30:00 AM,16.999,312.2
177,06/21/21 08:00:00 AM,17.189,5511.1
178,06/21/21 08:30:00 AM,17.284,10677.8
179,06/21/21 09:00:00 AM,17.379,818.1
180,06/21/21 09:30:00 AM,17.475,850.4
