"Plot Title: 2 m HOL"
"#","Date Time, GMT-06:00","Temp, °C (LGR S/N: 20658237, SEN S/N: 20658237, LBL: 2 m)","Intensity, Lux (LGR S/N: 20658237, SEN S/N: 20658237, LBL: 2 m)"
1,06/18/20 05:00:00 PM,15.760,4650.0
2,06/18/20 05:30:00 PM,15.187,3100.0
3,06/18/20 06:00:00 PM,15.664,3100.0
4,06/18/20 06:30:00 PM,15.473,28933.5
5,06/18/20 07:00:00 PM,14.421,215.3
6,06/18/20 07:30:00 PM,14.230,1194.8
7,06/18/20 08:00:00 PM,14.134,1270.1
8,06/18/20 08:30:00 PM,14.134,366.0
9,06/18/20 09:00:00 PM,14.230,172.2
10,06/18/20 09:30:00 PM,14.325,21.5
11,06/18/20 10:00:00 PM,14.709,0.0
12,06/18/20 10:30:00 PM,14.900,0.0
13,06/18/20 11:00:00 PM,14.613,0.0
14,06/18/20 11:30:00 PM,14.613,0.0
15,06/19/20 12:00:00 AM,14.517,0.0
16,06/19/20 12:30:00 AM,14.421,0.0
17,06/19/20 01:00:00 AM,14.421,0.0
18,06/19/20 01:30:00 AM,14.421,0.0
19,06/19/20 02:00:00 AM,14.421,0.0
20,06/19/20 02:30:00 AM,14.517,0.0
21,06/19/20 03:00:00 AM,14.421,0.0
22,06/19/20 03:30:00 AM,14.325,0.0
23,06/19/20 04:00:00 AM,14.230,0.0
24,06/19/20 04:30:00 AM,14.134,0.0
25,06/19/20 05:00:00 AM,14.134,0.0
26,06/19/20 05:30:00 AM,14.038,0.0
27,06/19/20 06:00:00 AM,13.942,161.5
28,06/19/20 06:30:00 AM,13.846,355.2
29,06/19/20 07:00:00 AM,13.750,678.1
30,06/19/20 07:30:00 AM,13.750,1463.9
31,06/19/20 08:00:00 AM,13.750,731.9
32,06/19/20 08:30:00 AM,13.750,1377.8
33,06/19/20 09:00:00 AM,13.942,3272.2
34,06/19/20 09:30:00 AM,13.942,2411.1
35,06/19/20 10:00:00 AM,14.134,4133.4
36,06/19/20 10:30:00 AM,14.230,2411.1
37,06/19/20 11:00:00 AM,14.421,549.0
38,06/19/20 11:30:00 AM,14.613,871.9
39,06/19/20 12:00:00 PM,14.900,1044.1
40,06/19/20 12:30:00 PM,14.996,1097.9
41,06/19/20 01:00:00 PM,15.855,2066.7
42,06/19/20 01:30:00 PM,15.378,258.3
43,06/19/20 02:00:00 PM,16.713,1108.7
44,06/19/20 02:30:00 PM,16.618,247.6
45,06/19/20 03:00:00 PM,16.046,570.5
46,06/19/20 03:30:00 PM,16.046,161.5
47,06/19/20 04:00:00 PM,15.282,290.6
48,06/19/20 04:30:00 PM,15.664,344.4
49,06/19/20 05:00:00 PM,16.237,721.2
50,06/19/20 05:30:00 PM,16.808,1237.9
51,06/19/20 06:00:00 PM,16.618,1270.1
52,06/19/20 06:30:00 PM,16.808,236.8
53,06/19/20 07:00:00 PM,16.427,785.8
54,06/19/20 07:30:00 PM,16.523,1291.7
55,06/19/20 08:00:00 PM,15.664,1270.1
56,06/19/20 08:30:00 PM,14.996,96.9
57,06/19/20 09:00:00 PM,14.900,43.1
58,06/19/20 09:30:00 PM,14.804,43.1
59,06/19/20 10:00:00 PM,14.613,0.0
60,06/19/20 10:30:00 PM,14.517,0.0
61,06/19/20 11:00:00 PM,14.517,0.0
62,06/19/20 11:30:00 PM,14.613,0.0
63,06/20/20 12:00:00 AM,14.709,0.0
64,06/20/20 12:30:00 AM,14.709,0.0
65,06/20/20 01:00:00 AM,14.709,0.0
66,06/20/20 01:30:00 AM,14.709,0.0
67,06/20/20 02:00:00 AM,14.613,0.0
68,06/20/20 02:30:00 AM,14.613,0.0
69,06/20/20 03:00:00 AM,14.613,0.0
70,06/20/20 03:30:00 AM,14.613,0.0
71,06/20/20 04:00:00 AM,14.517,0.0
72,06/20/20 04:30:00 AM,14.517,0.0
73,06/20/20 05:00:00 AM,14.421,0.0
74,06/20/20 05:30:00 AM,14.421,10.8
75,06/20/20 06:00:00 AM,14.421,161.5
76,06/20/20 06:30:00 AM,14.421,322.9
77,06/20/20 07:00:00 AM,14.421,505.9
78,06/20/20 07:30:00 AM,14.421,785.8
79,06/20/20 08:00:00 AM,14.421,1808.3
80,06/20/20 08:30:00 AM,15.091,38578.0
81,06/20/20 09:00:00 AM,15.187,11022.3
82,06/20/20 09:30:00 AM,15.569,33066.9
83,06/20/20 10:00:00 AM,15.473,5166.7
84,06/20/20 10:30:00 AM,15.664,7233.4
85,06/20/20 11:00:00 AM,15.569,6544.5
86,06/20/20 11:30:00 AM,15.473,3961.1
87,06/20/20 12:00:00 PM,15.855,3272.2
88,06/20/20 12:30:00 PM,15.951,5338.9
89,06/20/20 01:00:00 PM,16.903,14466.8
90,06/20/20 01:30:00 PM,15.664,1259.4
91,06/20/20 02:00:00 PM,15.473,1722.2
92,06/20/20 02:30:00 PM,15.378,1636.1
93,06/20/20 03:00:00 PM,15.187,86.1
94,06/20/20 03:30:00 PM,15.187,75.3
95,06/20/20 04:00:00 PM,15.091,721.2
96,06/20/20 04:30:00 PM,15.187,75.3
97,06/20/20 05:00:00 PM,15.378,2152.8
98,06/20/20 05:30:00 PM,15.473,4477.8
99,06/20/20 06:00:00 PM,15.951,5166.7
100,06/20/20 06:30:00 PM,15.855,247.6
