"Plot Title: 9"
"#","Date Time, GMT-06:00","Temp, °C (LGR S/N: 20641367, SEN S/N: 20641367, LBL: 8 m)","Intensity, Lux (LGR S/N: 20641367, SEN S/N: 20641367, LBL: 8 m)"
1,07/21/20 09:30:00 AM,20.424,24800.2
2,07/21/20 10:00:00 AM,13.173,366.0
3,07/21/20 10:30:00 AM,13.173,312.2
4,07/21/20 11:00:00 AM,12.980,818.1
5,07/21/20 11:30:00 AM,12.980,452.1
6,07/21/20 12:00:00 PM,12.883,1141.0
7,07/21/20 12:30:00 PM,12.980,3444.5
8,07/21/20 01:00:00 PM,12.883,1011.8
9,07/21/20 01:30:00 PM,12.980,279.9
10,07/21/20 02:00:00 PM,12.883,1722.2
11,07/21/20 02:30:00 PM,13.076,602.8
12,07/21/20 03:00:00 PM,12.980,4650.0
13,07/21/20 03:30:00 PM,12.883,4822.3
14,07/21/20 04:00:00 PM,12.980,4994.5
15,07/21/20 04:30:00 PM,13.076,4650.0
16,07/21/20 05:00:00 PM,12.787,2927.8
17,07/21/20 05:30:00 PM,12.690,139.9
18,07/21/20 06:00:00 PM,12.304,322.9
19,07/21/20 06:30:00 PM,12.304,312.2
20,07/21/20 07:00:00 PM,12.401,366.0
21,07/21/20 07:30:00 PM,12.304,43.1
22,07/21/20 08:00:00 PM,12.207,53.8
23,07/21/20 08:30:00 PM,12.207,75.3
24,07/21/20 09:00:00 PM,12.401,21.5
25,07/21/20 09:30:00 PM,12.207,0.0
26,07/21/20 10:00:00 PM,12.497,0.0
27,07/21/20 10:30:00 PM,12.594,0.0
28,07/21/20 11:00:00 PM,12.883,0.0
29,07/21/20 11:30:00 PM,12.980,0.0
30,07/22/20 12:00:00 AM,12.980,0.0
31,07/22/20 12:30:00 AM,12.787,0.0
32,07/22/20 01:00:00 AM,12.787,0.0
33,07/22/20 01:30:00 AM,12.883,0.0
34,07/22/20 02:00:00 AM,12.980,0.0
35,07/22/20 02:30:00 AM,12.883,0.0
36,07/22/20 03:00:00 AM,12.594,0.0
37,07/22/20 03:30:00 AM,12.883,0.0
38,07/22/20 04:00:00 AM,12.690,0.0
39,07/22/20 04:30:00 AM,12.787,0.0
40,07/22/20 05:00:00 AM,12.690,0.0
41,07/22/20 05:30:00 AM,12.883,0.0
42,07/22/20 06:00:00 AM,12.980,0.0
43,07/22/20 06:30:00 AM,12.883,0.0
44,07/22/20 07:00:00 AM,12.980,10.8
45,07/22/20 07:30:00 AM,12.787,21.5
46,07/22/20 08:00:00 AM,12.980,43.1
47,07/22/20 08:30:00 AM,13.173,635.1
48,07/22/20 09:00:00 AM,12.980,688.9
49,07/22/20 09:30:00 AM,12.787,968.8
50,07/22/20 10:00:00 AM,12.980,731.9
51,07/22/20 10:30:00 AM,12.690,742.7
52,07/22/20 11:00:00 AM,12.497,1194.8
53,07/22/20 11:30:00 AM,12.690,1345.5
54,07/22/20 12:00:00 PM,12.787,1808.3
55,07/22/20 12:30:00 PM,12.980,2927.8
56,07/22/20 01:00:00 PM,13.076,1722.2
57,07/22/20 01:30:00 PM,12.980,1334.7
58,07/22/20 02:00:00 PM,13.076,1980.6
59,07/22/20 02:30:00 PM,13.365,1463.9
60,07/22/20 03:00:00 PM,12.980,301.4
61,07/22/20 03:30:00 PM,13.173,32.3
62,07/22/20 04:00:00 PM,12.980,161.5
63,07/22/20 04:30:00 PM,12.883,818.1
64,07/22/20 05:00:00 PM,12.690,43.1
65,07/22/20 05:30:00 PM,12.594,53.8
66,07/22/20 06:00:00 PM,12.401,32.3
67,07/22/20 06:30:00 PM,12.207,43.1
68,07/22/20 07:00:00 PM,12.110,107.6
