datetime,irr_0,irr_10,irr_2,irr_4,irr_6,irr_8
2020-06-24T02:30:00Z,247.6,32.3,1636.1,86.1,NA,75.3
2020-06-24T03:00:00Z,118.4,10.8,828.8,32.3,NA,43.1
2020-06-24T03:30:00Z,10.8,0,96.9,0,NA,0
2020-06-24T04:00:00Z,0,0,0,0,NA,0
2020-06-24T04:30:00Z,0,0,0,0,NA,0
2020-06-24T05:00:00Z,0,0,0,0,NA,0
2020-06-24T05:30:00Z,0,0,0,0,NA,0
2020-06-24T06:00:00Z,0,0,0,0,NA,0
2020-06-24T06:30:00Z,0,0,0,0,NA,0
2020-06-24T07:00:00Z,0,0,0,0,NA,0
2020-06-24T07:30:00Z,0,0,0,0,NA,0
2020-06-24T08:00:00Z,0,0,0,0,NA,0
2020-06-24T08:30:00Z,0,0,0,0,NA,0
2020-06-24T09:00:00Z,0,0,0,0,NA,0
2020-06-24T09:30:00Z,0,0,0,0,NA,0
2020-06-24T10:00:00Z,0,0,0,0,NA,0
2020-06-24T10:30:00Z,0,0,0,0,NA,0
2020-06-24T11:00:00Z,0,0,0,0,NA,0
2020-06-24T11:30:00Z,0,0,21.5,0,NA,0
2020-06-24T12:00:00Z,21.5,0,236.8,10.8,NA,0
2020-06-24T12:30:00Z,75.3,10.8,495.1,32.3,NA,21.5
2020-06-24T13:00:00Z,96.9,21.5,656.6,43.1,NA,32.3
2020-06-24T13:30:00Z,150.7,21.5,839.6,53.8,NA,43.1
2020-06-24T14:00:00Z,172.2,43.1,1011.8,75.3,NA,53.8
2020-06-24T14:30:00Z,1345.5,193.8,7233.4,247.6,NA,753.5
2020-06-24T15:00:00Z,3961.1,333.7,4305.6,269.1,NA,516.7
2020-06-24T15:30:00Z,5166.7,473.6,5511.1,355.2,NA,742.7
2020-06-24T16:00:00Z,2066.7,387.5,17911.2,441.3,NA,1463.9
2020-06-24T16:30:00Z,2411.1,419.8,27555.7,592,NA,1980.6
2020-06-24T17:00:00Z,3100,570.5,33066.9,796.5,NA,2238.9
2020-06-24T17:30:00Z,3616.7,699.7,37200.2,1001,NA,2325
2020-06-24T18:00:00Z,1808.3,430.6,10677.8,667.4,NA,1550
2020-06-24T18:30:00Z,1108.7,333.7,9300.1,538.2,NA,1270.1
2020-06-24T19:00:00Z,968.8,333.7,10677.8,559.7,NA,1463.9
2020-06-24T19:30:00Z,2411.1,602.8,5511.1,656.6,NA,2152.8
2020-06-24T20:00:00Z,3788.9,742.7,20666.8,818.1,NA,2755.6
2020-06-24T20:30:00Z,1033.3,958,3444.5,624.3,NA,473.6
2020-06-24T21:00:00Z,1463.9,1162.5,7233.4,1205.6,NA,1194.8
2020-06-24T21:30:00Z,2583.4,1227.1,9644.5,1054.9,NA,2669.5
2020-06-24T22:00:00Z,1087.2,484.4,5511.1,893.4,NA,484.4
2020-06-24T22:30:00Z,1377.8,613.5,17911.2,2669.5,NA,958
2020-06-24T23:00:00Z,5166.7,753.5,10333.4,1636.1,NA,527.4
2020-06-24T23:30:00Z,5338.9,559.7,5511.1,1636.1,NA,430.6
2020-06-25T00:00:00Z,581.3,107.6,1636.1,247.6,NA,183
2020-06-25T00:30:00Z,409,75.3,1054.9,226,NA,86.1
2020-06-25T01:00:00Z,441.3,64.6,785.8,129.2,NA,86.1
