datetime,wtr_0,wtr_10,wtr_2,wtr_4,wtr_6,wtr_8,wtr_1
2020-07-08T17:30:00Z,18.14,10.455,17.57,14.325,12.883,11.819,17.171
2020-07-08T18:00:00Z,17.855,10.455,17.475,14.325,12.883,11.722,17.23
2020-07-08T18:30:00Z,18.14,10.357,17.379,14.613,13.173,11.819,17.272
2020-07-08T19:00:00Z,18.616,10.357,16.999,14.709,13.558,12.11,17.222
2020-07-08T19:30:00Z,18.236,10.259,16.808,14.709,13.461,12.11,17.281
2020-07-08T20:00:00Z,18.426,10.161,16.523,14.325,13.269,12.11,17.247
2020-07-08T20:30:00Z,18.331,10.063,16.808,14.421,13.076,11.916,17.281
2020-07-08T21:00:00Z,18.14,10.161,16.808,14.517,13.173,11.819,17.467
2020-07-08T21:30:00Z,18.14,10.357,17.189,14.517,13.076,11.819,17.196
2020-07-08T22:00:00Z,18.045,10.651,17.189,14.421,13.076,11.819,17.145
2020-07-08T22:30:00Z,18.045,10.553,17.284,14.517,12.98,11.916,17.256
2020-07-08T23:00:00Z,18.711,10.455,17.855,14.421,12.98,11.819,17.188
2020-07-08T23:30:00Z,17.95,10.357,17.189,14.613,13.076,11.625,17.323
2020-07-09T00:00:00Z,18.14,10.357,17.379,14.804,13.076,11.625,17.289
2020-07-09T00:30:00Z,19.092,10.357,17.855,14.9,13.076,11.528,17.357
2020-07-09T01:00:00Z,17.57,10.259,17.57,14.709,12.883,11.334,17.264
2020-07-09T01:30:00Z,17.57,10.357,17.475,14.517,12.883,11.334,17.239
2020-07-09T02:00:00Z,17.475,10.357,17.475,14.709,12.883,11.528,17.222
2020-07-09T02:30:00Z,17.379,10.357,17.475,14.709,12.69,11.431,17.222
2020-07-09T03:00:00Z,17.475,10.455,17.475,14.709,12.594,11.431,17.256
2020-07-09T03:30:00Z,17.379,10.161,17.379,14.709,12.69,11.334,17.256
2020-07-09T04:00:00Z,17.379,10.259,17.379,14.517,12.304,11.334,17.256
2020-07-09T04:30:00Z,17.379,10.161,17.379,14.325,12.207,11.431,17.247
2020-07-09T05:00:00Z,17.379,10.063,17.379,14.325,12.304,11.431,17.213
