"Plot Title: 6_m_LNG"
"#","Date Time, GMT-06:00","Temp, °C (LGR S/N: 20889828, SEN S/N: 20889828, LBL: 6 m)","Intensity, Lux (LGR S/N: 20889828, SEN S/N: 20889828, LBL: 6 m)"
1,07/24/20 05:00:00 PM,8.779,656.6
2,07/24/20 05:30:00 PM,8.481,279.9
3,07/24/20 06:00:00 PM,8.680,86.1
4,07/24/20 06:30:00 PM,8.282,64.6
5,07/24/20 07:00:00 PM,7.882,21.5
6,07/24/20 07:30:00 PM,7.782,10.8
7,07/24/20 08:00:00 PM,7.882,10.8
8,07/24/20 08:30:00 PM,8.481,0.0
9,07/24/20 09:00:00 PM,8.382,0.0
10,07/24/20 09:30:00 PM,8.481,0.0
11,07/24/20 10:00:00 PM,8.680,0.0
12,07/24/20 10:30:00 PM,8.879,0.0
13,07/24/20 11:00:00 PM,8.182,0.0
14,07/24/20 11:30:00 PM,7.782,0.0
15,07/25/20 12:00:00 AM,7.882,0.0
16,07/25/20 12:30:00 AM,7.983,0.0
17,07/25/20 01:00:00 AM,8.082,0.0
18,07/25/20 01:30:00 AM,8.282,0.0
19,07/25/20 02:00:00 AM,8.680,0.0
20,07/25/20 02:30:00 AM,8.382,0.0
21,07/25/20 03:00:00 AM,8.382,0.0
22,07/25/20 03:30:00 AM,8.481,0.0
23,07/25/20 04:00:00 AM,8.581,0.0
24,07/25/20 04:30:00 AM,8.382,0.0
25,07/25/20 05:00:00 AM,8.581,0.0
26,07/25/20 05:30:00 AM,8.879,0.0
27,07/25/20 06:00:00 AM,8.680,0.0
28,07/25/20 06:30:00 AM,8.382,10.8
29,07/25/20 07:00:00 AM,8.481,21.5
30,07/25/20 07:30:00 AM,8.779,32.3
31,07/25/20 08:00:00 AM,8.879,43.1
32,07/25/20 08:30:00 AM,8.779,43.1
33,07/25/20 09:00:00 AM,8.382,53.8
34,07/25/20 09:30:00 AM,8.382,785.8
35,07/25/20 10:00:00 AM,8.481,1011.8
36,07/25/20 10:30:00 AM,8.481,1194.8
37,07/25/20 11:00:00 AM,8.282,1054.9
38,07/25/20 11:30:00 AM,8.481,1044.1
39,07/25/20 12:00:00 PM,8.182,764.2
40,07/25/20 12:30:00 PM,8.282,807.3
41,07/25/20 01:00:00 PM,8.481,592.0
42,07/25/20 01:30:00 PM,8.581,505.9
43,07/25/20 02:00:00 PM,8.680,419.8
44,07/25/20 02:30:00 PM,8.680,430.6
45,07/25/20 03:00:00 PM,8.779,366.0
46,07/25/20 03:30:00 PM,8.879,344.4
47,07/25/20 04:00:00 PM,8.978,312.2
48,07/25/20 04:30:00 PM,8.680,279.9
49,07/25/20 05:00:00 PM,8.779,236.8
50,07/25/20 05:30:00 PM,8.879,236.8
51,07/25/20 06:00:00 PM,8.978,183.0
52,07/25/20 06:30:00 PM,8.978,139.9
53,07/25/20 07:00:00 PM,8.779,43.1
54,07/25/20 07:30:00 PM,8.481,43.1
55,07/25/20 08:00:00 PM,8.481,32.3
56,07/25/20 08:30:00 PM,8.481,21.5
57,07/25/20 09:00:00 PM,8.282,0.0
58,07/25/20 09:30:00 PM,8.282,0.0
59,07/25/20 10:00:00 PM,8.082,0.0
60,07/25/20 10:30:00 PM,8.182,0.0
61,07/25/20 11:00:00 PM,8.182,0.0
62,07/25/20 11:30:00 PM,8.182,0.0
63,07/26/20 12:00:00 AM,8.481,0.0
64,07/26/20 12:30:00 AM,8.182,0.0
65,07/26/20 01:00:00 AM,8.481,0.0
66,07/26/20 01:30:00 AM,8.481,0.0
67,07/26/20 02:00:00 AM,8.481,0.0
68,07/26/20 02:30:00 AM,8.680,0.0
69,07/26/20 03:00:00 AM,8.581,0.0
70,07/26/20 03:30:00 AM,8.581,0.0
71,07/26/20 04:00:00 AM,8.581,0.0
72,07/26/20 04:30:00 AM,8.779,0.0
73,07/26/20 05:00:00 AM,8.680,0.0
74,07/26/20 05:30:00 AM,8.581,0.0
75,07/26/20 06:00:00 AM,8.581,0.0
76,07/26/20 06:30:00 AM,8.581,10.8
77,07/26/20 07:00:00 AM,8.481,21.5
78,07/26/20 07:30:00 AM,8.581,32.3
79,07/26/20 08:00:00 AM,8.581,43.1
80,07/26/20 08:30:00 AM,8.481,43.1
81,07/26/20 09:00:00 AM,8.382,43.1
82,07/26/20 09:30:00 AM,8.382,581.3
83,07/26/20 10:00:00 AM,8.481,656.6
84,07/26/20 10:30:00 AM,8.481,1377.8
85,07/26/20 11:00:00 AM,8.382,1463.9
86,07/26/20 11:30:00 AM,8.481,1205.6
87,07/26/20 12:00:00 PM,8.481,1022.6
88,07/26/20 12:30:00 PM,8.481,785.8
89,07/26/20 01:00:00 PM,8.581,678.1
90,07/26/20 01:30:00 PM,8.680,570.5
91,07/26/20 02:00:00 PM,8.779,549.0
92,07/26/20 02:30:00 PM,8.680,516.7
93,07/26/20 03:00:00 PM,8.779,484.4
94,07/26/20 03:30:00 PM,8.978,441.3
95,07/26/20 04:00:00 PM,8.978,398.3
96,07/26/20 04:30:00 PM,8.978,366.0
97,07/26/20 05:00:00 PM,8.879,333.7
98,07/26/20 05:30:00 PM,9.077,290.6
99,07/26/20 06:00:00 PM,8.779,258.3
100,07/26/20 06:30:00 PM,8.680,193.8
101,07/26/20 07:00:00 PM,8.382,75.3
102,07/26/20 07:30:00 PM,8.680,64.6
103,07/26/20 08:00:00 PM,8.680,53.8
104,07/26/20 08:30:00 PM,8.680,43.1
105,07/26/20 09:00:00 PM,8.581,10.8
106,07/26/20 09:30:00 PM,8.282,0.0
107,07/26/20 10:00:00 PM,8.382,0.0
108,07/26/20 10:30:00 PM,8.282,0.0
109,07/26/20 11:00:00 PM,8.382,0.0
110,07/26/20 11:30:00 PM,8.382,0.0
111,07/27/20 12:00:00 AM,8.481,0.0
112,07/27/20 12:30:00 AM,8.779,0.0
113,07/27/20 01:00:00 AM,8.779,0.0
114,07/27/20 01:30:00 AM,8.978,0.0
115,07/27/20 02:00:00 AM,8.978,0.0
116,07/27/20 02:30:00 AM,8.779,0.0
117,07/27/20 03:00:00 AM,8.779,0.0
118,07/27/20 03:30:00 AM,8.779,0.0
119,07/27/20 04:00:00 AM,8.879,0.0
120,07/27/20 04:30:00 AM,8.779,0.0
121,07/27/20 05:00:00 AM,8.481,0.0
122,07/27/20 05:30:00 AM,8.581,0.0
123,07/27/20 06:00:00 AM,8.779,0.0
124,07/27/20 06:30:00 AM,8.879,21.5
125,07/27/20 07:00:00 AM,8.779,43.1
126,07/27/20 07:30:00 AM,8.680,64.6
127,07/27/20 08:00:00 AM,8.680,64.6
128,07/27/20 08:30:00 AM,8.382,64.6
129,07/27/20 09:00:00 AM,8.382,75.3
130,07/27/20 09:30:00 AM,8.382,721.2
131,07/27/20 10:00:00 AM,8.581,807.3
132,07/27/20 10:30:00 AM,8.481,1377.8
133,07/27/20 11:00:00 AM,8.581,1808.3
134,07/27/20 11:30:00 AM,8.581,1636.1
135,07/27/20 12:00:00 PM,8.481,1377.8
136,07/27/20 12:30:00 PM,8.481,1162.5
137,07/27/20 01:00:00 PM,8.581,914.9
138,07/27/20 01:30:00 PM,8.779,667.4
139,07/27/20 02:00:00 PM,8.779,592.0
140,07/27/20 02:30:00 PM,8.978,538.2
141,07/27/20 03:00:00 PM,8.978,462.9
142,07/27/20 03:30:00 PM,9.077,398.3
143,07/27/20 04:00:00 PM,8.978,376.7
144,07/27/20 04:30:00 PM,8.978,333.7
145,07/27/20 05:00:00 PM,8.879,290.6
146,07/27/20 05:30:00 PM,8.978,269.1
147,07/27/20 06:00:00 PM,8.978,226.0
148,07/27/20 06:30:00 PM,9.077,172.2
149,07/27/20 07:00:00 PM,8.779,75.3
150,07/27/20 07:30:00 PM,8.680,64.6
151,07/27/20 08:00:00 PM,8.581,64.6
152,07/27/20 08:30:00 PM,8.382,43.1
153,07/27/20 09:00:00 PM,8.182,10.8
154,07/27/20 09:30:00 PM,8.282,0.0
155,07/27/20 10:00:00 PM,8.282,0.0
156,07/27/20 10:30:00 PM,8.481,0.0
157,07/27/20 11:00:00 PM,8.481,0.0
158,07/27/20 11:30:00 PM,8.680,0.0
159,07/28/20 12:00:00 AM,8.879,0.0
160,07/28/20 12:30:00 AM,8.879,0.0
161,07/28/20 01:00:00 AM,8.978,0.0
162,07/28/20 01:30:00 AM,8.879,0.0
163,07/28/20 02:00:00 AM,8.879,0.0
164,07/28/20 02:30:00 AM,8.779,0.0
165,07/28/20 03:00:00 AM,9.077,0.0
166,07/28/20 03:30:00 AM,8.879,0.0
167,07/28/20 04:00:00 AM,8.680,0.0
168,07/28/20 04:30:00 AM,8.779,0.0
169,07/28/20 05:00:00 AM,8.779,0.0
170,07/28/20 05:30:00 AM,8.680,0.0
171,07/28/20 06:00:00 AM,8.680,0.0
172,07/28/20 06:30:00 AM,8.680,21.5
173,07/28/20 07:00:00 AM,8.680,53.8
174,07/28/20 07:30:00 AM,8.680,64.6
175,07/28/20 08:00:00 AM,8.581,172.2
176,07/28/20 08:30:00 AM,8.382,215.3
177,07/28/20 09:00:00 AM,8.382,258.3
178,07/28/20 09:30:00 AM,8.382,667.4
179,07/28/20 10:00:00 AM,8.581,1722.2
180,07/28/20 10:30:00 AM,8.581,1722.2
181,07/28/20 11:00:00 AM,8.680,1463.9
182,07/28/20 11:30:00 AM,8.680,1463.9
183,07/28/20 12:00:00 PM,8.779,807.3
184,07/28/20 12:30:00 PM,8.779,1097.9
185,07/28/20 01:00:00 PM,8.879,1119.5
186,07/28/20 01:30:00 PM,8.879,839.6
187,07/28/20 02:00:00 PM,9.077,721.2
188,07/28/20 02:30:00 PM,8.978,516.7
189,07/28/20 03:00:00 PM,8.978,452.1
190,07/28/20 03:30:00 PM,9.176,452.1
191,07/28/20 04:00:00 PM,9.176,355.2
192,07/28/20 04:30:00 PM,9.176,419.8
193,07/28/20 05:00:00 PM,9.077,366.0
194,07/28/20 05:30:00 PM,9.077,322.9
195,07/28/20 06:00:00 PM,8.779,107.6
196,07/28/20 06:30:00 PM,8.879,107.6
197,07/28/20 07:00:00 PM,8.978,193.8
198,07/28/20 07:30:00 PM,8.879,118.4
199,07/28/20 08:00:00 PM,8.879,64.6
200,07/28/20 08:30:00 PM,8.879,32.3
201,07/28/20 09:00:00 PM,8.382,10.8
202,07/28/20 09:30:00 PM,8.282,0.0
203,07/28/20 10:00:00 PM,8.182,0.0
204,07/28/20 10:30:00 PM,8.481,0.0
205,07/28/20 11:00:00 PM,8.680,0.0
206,07/28/20 11:30:00 PM,8.779,0.0
207,07/29/20 12:00:00 AM,8.581,0.0
208,07/29/20 12:30:00 AM,8.581,0.0
209,07/29/20 01:00:00 AM,8.879,0.0
210,07/29/20 01:30:00 AM,8.879,0.0
211,07/29/20 02:00:00 AM,8.978,0.0
212,07/29/20 02:30:00 AM,9.077,0.0
