datetime,wtr_0,wtr_2,wtr_4,wtr_6,wtr_8,wtr_9,wtr_1
2020-07-24T23:00:00Z,15.664,15.569,12.69,8.779,7.682,7.28,15.236
2020-07-24T23:30:00Z,15.473,14.996,11.916,8.481,7.582,7.179,15.339
2020-07-25T00:00:00Z,15.378,15.378,11.236,8.68,7.481,7.28,15.236
2020-07-25T00:30:00Z,15.282,14.421,10.259,8.282,7.381,7.179,15.133
2020-07-25T01:00:00Z,14.996,14.709,10.161,7.882,7.381,7.179,14.952
2020-07-25T01:30:00Z,14.517,14.613,9.965,7.782,7.28,7.179,14.408
2020-07-25T02:00:00Z,14.613,14.421,10.063,7.882,7.381,7.28,14.391
2020-07-25T02:30:00Z,14.996,14.613,10.944,8.481,7.381,7.28,14.426
2020-07-25T03:00:00Z,14.804,14.709,11.819,8.382,7.782,7.381,14.616
2020-07-25T03:30:00Z,14.804,14.804,12.883,8.481,7.782,7.381,14.685
2020-07-25T04:00:00Z,14.709,14.804,12.401,8.68,7.381,7.28,14.616
2020-07-25T04:30:00Z,14.613,14.709,10.944,8.879,7.682,7.179,14.555
2020-07-25T05:00:00Z,14.613,14.709,10.553,8.182,7.28,6.978,14.495
2020-07-25T05:30:00Z,14.517,14.613,10.259,7.782,7.28,6.978,14.486
2020-07-25T06:00:00Z,14.517,14.613,10.357,7.882,7.179,6.978,14.408
2020-07-25T06:30:00Z,14.421,14.613,10.259,7.983,7.179,6.877,14.4
2020-07-25T07:00:00Z,14.421,14.517,10.455,8.082,7.28,7.079,14.348
2020-07-25T07:30:00Z,14.421,14.517,10.944,8.282,7.582,7.179,14.339
2020-07-25T08:00:00Z,14.517,14.517,10.748,8.68,7.481,7.079,14.33
2020-07-25T08:30:00Z,14.421,14.517,10.748,8.382,7.28,7.079,14.339
2020-07-25T09:00:00Z,14.325,14.517,10.846,8.382,7.381,6.978,14.296
2020-07-25T09:30:00Z,14.23,14.421,10.455,8.481,7.381,6.978,14.261
2020-07-25T10:00:00Z,14.23,14.421,10.259,8.581,7.28,6.978,14.192
2020-07-25T10:30:00Z,14.134,14.325,10.259,8.382,7.179,6.978,14.148
2020-07-25T11:00:00Z,14.134,14.325,10.161,8.581,7.28,7.079,14.096
2020-07-25T11:30:00Z,14.134,14.325,10.553,8.879,7.481,7.079,14.096
2020-07-25T12:00:00Z,14.038,14.23,10.846,8.68,7.381,7.179,14.053
2020-07-25T12:30:00Z,14.038,14.23,11.041,8.382,7.481,7.179,14.053
2020-07-25T13:00:00Z,13.942,14.23,10.846,8.481,7.381,6.978,13.984
2020-07-25T13:30:00Z,14.038,14.134,10.748,8.779,7.481,6.877,13.94
2020-07-25T14:00:00Z,13.942,14.134,10.553,8.879,7.481,6.978,13.879
2020-07-25T14:30:00Z,14.038,14.134,10.651,8.779,7.582,7.179,13.853
2020-07-25T15:00:00Z,13.942,14.038,10.651,8.382,7.381,6.978,13.836
2020-07-25T15:30:00Z,14.038,14.23,10.553,8.382,7.381,7.079,13.827
2020-07-25T16:00:00Z,14.517,14.325,10.357,8.481,7.682,7.179,13.888
2020-07-25T16:30:00Z,14.613,14.325,10.748,8.481,7.682,7.179,13.949
2020-07-25T17:00:00Z,14.325,14.421,10.846,8.282,7.682,7.179,14.018
2020-07-25T17:30:00Z,14.325,14.613,10.748,8.481,7.782,7.179,14.105
2020-07-25T18:00:00Z,14.421,14.709,10.651,8.182,7.782,7.179,14.166
2020-07-25T18:30:00Z,14.517,14.421,10.748,8.282,7.782,7.28,14.253
2020-07-25T19:00:00Z,14.613,14.517,10.553,8.481,7.782,7.28,14.33
2020-07-25T19:30:00Z,14.804,14.23,10.846,8.581,7.782,7.28,14.304
2020-07-25T20:00:00Z,14.9,14.613,11.236,8.68,7.782,7.28,14.279
2020-07-25T20:30:00Z,14.9,14.804,11.528,8.68,7.582,7.28,14.313
2020-07-25T21:00:00Z,14.709,14.996,11.528,8.779,7.481,7.28,14.452
2020-07-25T21:30:00Z,14.804,14.996,11.139,8.879,7.682,7.28,14.417
2020-07-25T22:00:00Z,14.709,14.996,11.334,8.978,7.682,7.381,14.443
2020-07-25T22:30:00Z,14.804,15.091,10.944,8.68,7.682,7.381,14.529
2020-07-25T23:00:00Z,14.996,14.996,11.041,8.779,7.682,7.381,14.659
2020-07-25T23:30:00Z,14.996,14.613,11.528,8.879,7.782,7.481,14.797
2020-07-26T00:00:00Z,14.996,14.804,11.528,8.978,7.682,7.381,14.806
2020-07-26T00:30:00Z,15.187,14.613,11.916,8.978,7.682,7.28,14.797
2020-07-26T01:00:00Z,14.996,14.613,11.528,8.779,7.582,7.28,14.754
2020-07-26T01:30:00Z,14.9,14.613,11.334,8.481,7.481,7.28,14.788
2020-07-26T02:00:00Z,14.9,14.517,11.334,8.481,7.481,7.179,14.745
2020-07-26T02:30:00Z,14.9,14.421,10.944,8.481,7.381,7.179,14.754
2020-07-26T03:00:00Z,14.804,14.709,11.041,8.282,7.381,7.179,14.745
2020-07-26T03:30:00Z,14.804,14.709,11.139,8.282,7.481,7.28,14.668
2020-07-26T04:00:00Z,14.709,14.709,11.431,8.082,7.381,7.28,14.659
2020-07-26T04:30:00Z,14.709,14.804,11.722,8.182,7.481,7.28,14.616
2020-07-26T05:00:00Z,14.613,14.709,11.431,8.182,7.481,7.28,14.564
2020-07-26T05:30:00Z,14.613,14.709,10.944,8.182,7.481,7.28,14.521
2020-07-26T06:00:00Z,14.613,14.709,10.846,8.481,7.582,7.28,14.547
2020-07-26T06:30:00Z,14.613,14.709,10.651,8.182,7.582,7.28,14.521
2020-07-26T07:00:00Z,14.613,14.613,10.651,8.481,7.582,7.381,14.469
2020-07-26T07:30:00Z,14.517,14.613,10.455,8.481,7.582,7.381,14.434
2020-07-26T08:00:00Z,14.517,14.517,10.357,8.481,7.481,7.381,14.4
2020-07-26T08:30:00Z,14.421,14.517,10.455,8.68,7.582,7.28,14.339
2020-07-26T09:00:00Z,14.421,14.517,10.651,8.581,7.582,7.28,14.304
2020-07-26T09:30:00Z,14.325,14.421,10.944,8.581,7.481,7.179,14.235
2020-07-26T10:00:00Z,14.325,14.421,10.944,8.581,7.582,7.079,14.227
2020-07-26T10:30:00Z,14.325,14.421,10.651,8.779,7.481,7.179,14.183
2020-07-26T11:00:00Z,14.23,14.325,10.553,8.68,7.582,7.179,14.166
2020-07-26T11:30:00Z,14.134,14.23,10.651,8.581,7.582,7.179,14.079
2020-07-26T12:00:00Z,14.134,14.23,10.651,8.581,7.582,7.28,14.053
2020-07-26T12:30:00Z,14.134,14.23,10.748,8.581,7.582,7.28,13.992
