"Plot Title: 4_m_UOR"
"#","Date Time, GMT-06:00","Temp, °C (LGR S/N: 20889829, SEN S/N: 20889829, LBL: 4 m)","Intensity, Lux (LGR S/N: 20889829, SEN S/N: 20889829, LBL: 4 m)"
1,07/08/22 08:00:00 PM,9.077,107.6
2,07/08/22 08:30:00 PM,8.879,32.3
3,07/08/22 09:00:00 PM,8.978,10.8
4,07/08/22 09:30:00 PM,8.779,0.0
5,07/08/22 10:00:00 PM,8.879,0.0
6,07/08/22 10:30:00 PM,8.779,0.0
7,07/08/22 11:00:00 PM,8.879,0.0
8,07/08/22 11:30:00 PM,8.978,0.0
9,07/09/22 12:00:00 AM,8.879,0.0
10,07/09/22 12:30:00 AM,8.779,0.0
11,07/09/22 01:00:00 AM,8.978,0.0
12,07/09/22 01:30:00 AM,8.779,0.0
13,07/09/22 02:00:00 AM,8.879,0.0
14,07/09/22 02:30:00 AM,8.879,0.0
15,07/09/22 03:00:00 AM,8.680,0.0
16,07/09/22 03:30:00 AM,8.879,0.0
17,07/09/22 04:00:00 AM,8.978,0.0
18,07/09/22 04:30:00 AM,8.978,0.0
19,07/09/22 05:00:00 AM,8.879,0.0
20,07/09/22 05:30:00 AM,8.779,0.0
21,07/09/22 06:00:00 AM,8.879,0.0
22,07/09/22 06:30:00 AM,8.879,10.8
23,07/09/22 07:00:00 AM,8.779,32.3
24,07/09/22 07:30:00 AM,8.779,32.3
25,07/09/22 08:00:00 AM,8.879,53.8
26,07/09/22 08:30:00 AM,8.879,64.6
27,07/09/22 09:00:00 AM,8.879,107.6
28,07/09/22 09:30:00 AM,9.077,1550.0
29,07/09/22 10:00:00 AM,9.077,1894.5
30,07/09/22 10:30:00 AM,9.176,699.7
31,07/09/22 11:00:00 AM,9.275,505.9
32,07/09/22 11:30:00 AM,9.275,1356.3
33,07/09/22 12:00:00 PM,9.176,635.1
34,07/09/22 12:30:00 PM,9.176,688.9
35,07/09/22 01:00:00 PM,9.176,667.4
36,07/09/22 01:30:00 PM,9.275,2152.8
37,07/09/22 02:00:00 PM,9.077,2325.0
38,07/09/22 02:30:00 PM,9.275,1108.7
39,07/09/22 03:00:00 PM,9.176,1377.8
40,07/09/22 03:30:00 PM,9.176,968.8
41,07/09/22 04:00:00 PM,9.275,1894.5
42,07/09/22 04:30:00 PM,9.077,473.6
43,07/09/22 05:00:00 PM,9.373,2927.8
44,07/09/22 05:30:00 PM,9.077,667.4
45,07/09/22 06:00:00 PM,9.077,376.7
46,07/09/22 06:30:00 PM,8.978,139.9
47,07/09/22 07:00:00 PM,9.176,107.6
48,07/09/22 07:30:00 PM,9.176,96.9
49,07/09/22 08:00:00 PM,9.275,86.1
50,07/09/22 08:30:00 PM,9.077,53.8
51,07/09/22 09:00:00 PM,9.077,21.5
52,07/09/22 09:30:00 PM,9.077,0.0
53,07/09/22 10:00:00 PM,8.978,0.0
54,07/09/22 10:30:00 PM,9.176,0.0
55,07/09/22 11:00:00 PM,9.176,0.0
56,07/09/22 11:30:00 PM,8.978,0.0
57,07/10/22 12:00:00 AM,9.077,0.0
58,07/10/22 12:30:00 AM,9.077,0.0
59,07/10/22 01:00:00 AM,8.879,0.0
60,07/10/22 01:30:00 AM,8.978,0.0
61,07/10/22 02:00:00 AM,9.077,0.0
62,07/10/22 02:30:00 AM,9.176,0.0
63,07/10/22 03:00:00 AM,9.176,0.0
64,07/10/22 03:30:00 AM,9.176,0.0
65,07/10/22 04:00:00 AM,8.978,0.0
66,07/10/22 04:30:00 AM,8.879,0.0
67,07/10/22 05:00:00 AM,9.077,0.0
68,07/10/22 05:30:00 AM,9.077,0.0
69,07/10/22 06:00:00 AM,9.176,0.0
70,07/10/22 06:30:00 AM,8.978,21.5
