"","datetime","wtr_0","wtr_2","wtr_3","wtr_4","wtr_5","wtr_1"
"1",2022-07-08 20:00:00,7.582,12.207,10.846,9.077,7.882,12.87
"2",2022-07-08 20:30:00,7.582,12.207,10.944,8.879,7.983,12.896
"3",2022-07-08 21:00:00,7.582,12.304,10.846,8.978,7.983,12.94
"4",2022-07-08 21:30:00,7.481,12.304,10.846,8.779,7.882,12.958
"5",2022-07-08 22:00:00,7.481,12.207,10.846,8.879,7.983,12.94
"6",2022-07-08 22:30:00,7.582,12.207,11.041,8.779,7.882,12.958
"7",2022-07-08 23:00:00,7.582,12.207,10.748,8.879,7.882,13.134
"8",2022-07-08 23:30:00,7.582,12.304,10.748,8.978,7.882,13.046
"9",2022-07-09 00:00:00,7.582,12.304,10.748,8.879,7.882,12.958
"10",2022-07-09 00:30:00,7.582,12.304,10.944,8.779,7.983,12.958
"11",2022-07-09 01:00:00,7.582,12.207,10.651,8.978,7.882,13.063
"12",2022-07-09 01:30:00,7.582,12.207,10.748,8.779,7.983,13.09
"13",2022-07-09 02:00:00,7.582,12.304,10.846,8.879,7.882,13.09
"14",2022-07-09 02:30:00,7.582,12.207,10.846,8.879,7.782,12.949
"15",2022-07-09 03:00:00,7.582,12.207,10.748,8.68,7.983,13.037
"16",2022-07-09 03:30:00,7.582,12.207,10.846,8.879,7.983,12.949
"17",2022-07-09 04:00:00,7.481,12.207,10.748,8.978,7.983,13.046
"18",2022-07-09 04:30:00,7.481,12.207,10.846,8.978,7.882,13.011
"19",2022-07-09 05:00:00,7.582,12.207,10.748,8.879,7.882,12.976
"20",2022-07-09 05:30:00,7.582,12.207,10.846,8.779,7.882,12.993
"21",2022-07-09 06:00:00,7.582,12.207,10.846,8.879,7.983,12.94
"22",2022-07-09 06:30:00,7.582,12.207,10.846,8.879,7.983,13.002
"23",2022-07-09 07:00:00,7.582,12.207,10.846,8.779,7.983,12.879
"24",2022-07-09 07:30:00,7.582,12.304,10.748,8.779,7.882,12.888
"25",2022-07-09 08:00:00,7.582,12.304,10.748,8.879,7.882,12.905
"26",2022-07-09 08:30:00,7.582,12.304,10.846,8.879,7.882,12.914
"27",2022-07-09 09:00:00,7.582,12.304,10.846,8.879,7.882,12.87
"28",2022-07-09 09:30:00,7.782,12.497,11.139,9.077,7.983,12.967
"29",2022-07-09 10:00:00,7.782,12.594,11.236,9.077,7.983,12.984
"30",2022-07-09 10:30:00,7.782,12.883,11.722,9.176,8.082,12.923
"31",2022-07-09 11:00:00,7.782,12.883,11.722,9.275,8.082,12.932
"32",2022-07-09 11:30:00,7.882,12.98,11.528,9.275,8.082,12.967
"33",2022-07-09 12:00:00,7.782,12.883,12.013,9.176,8.182,12.958
"34",2022-07-09 12:30:00,7.882,12.98,12.11,9.176,8.282,13.063
"35",2022-07-09 13:00:00,7.882,12.787,11.625,9.176,8.282,13.177
"36",2022-07-09 13:30:00,7.882,12.883,11.334,9.275,8.082,13.23
"37",2022-07-09 14:00:00,7.983,12.98,11.916,9.077,8.182,13.142
"38",2022-07-09 14:30:00,7.782,12.787,11.722,9.275,8.182,13.212
"39",2022-07-09 15:00:00,7.882,12.883,11.528,9.176,8.382,13.326
"40",2022-07-09 15:30:00,7.882,13.173,11.625,9.176,8.282,13.318
"41",2022-07-09 16:00:00,7.882,12.883,11.916,9.275,8.182,13.309
"42",2022-07-09 16:30:00,7.782,12.98,11.334,9.077,8.182,13.37
"43",2022-07-09 17:00:00,7.983,13.076,11.236,9.373,8.382,13.466
"44",2022-07-09 17:30:00,7.782,12.883,11.431,9.077,8.182,13.51
