"Plot Title: 8_m_MCD"
"#","Date Time, GMT-06:00","Temp, °C (LGR S/N: 20889825, SEN S/N: 20889825, LBL: 8 m)","Intensity, Lux (LGR S/N: 20889825, SEN S/N: 20889825, LBL: 8 m)"
1,07/27/20 05:00:00 PM,13.173,1463.9
2,07/27/20 05:30:00 PM,13.173,1550.0
3,07/27/20 06:00:00 PM,13.365,387.5
4,07/27/20 06:30:00 PM,13.269,301.4
5,07/27/20 07:00:00 PM,13.173,215.3
6,07/27/20 07:30:00 PM,13.173,462.9
7,07/27/20 08:00:00 PM,13.076,129.2
8,07/27/20 08:30:00 PM,13.269,43.1
9,07/27/20 09:00:00 PM,13.076,10.8
10,07/27/20 09:30:00 PM,13.076,0.0
11,07/27/20 10:00:00 PM,13.076,0.0
12,07/27/20 10:30:00 PM,13.076,0.0
13,07/27/20 11:00:00 PM,13.076,0.0
14,07/27/20 11:30:00 PM,12.980,0.0
15,07/28/20 12:00:00 AM,12.883,0.0
16,07/28/20 12:30:00 AM,12.883,0.0
17,07/28/20 01:00:00 AM,12.690,0.0
18,07/28/20 01:30:00 AM,12.690,0.0
19,07/28/20 02:00:00 AM,12.690,0.0
20,07/28/20 02:30:00 AM,12.690,0.0
21,07/28/20 03:00:00 AM,12.690,0.0
22,07/28/20 03:30:00 AM,12.787,0.0
23,07/28/20 04:00:00 AM,12.690,0.0
24,07/28/20 04:30:00 AM,12.594,0.0
25,07/28/20 05:00:00 AM,12.594,0.0
26,07/28/20 05:30:00 AM,12.594,0.0
27,07/28/20 06:00:00 AM,12.497,0.0
28,07/28/20 06:30:00 AM,12.497,21.5
29,07/28/20 07:00:00 AM,12.401,53.8
30,07/28/20 07:30:00 AM,12.207,107.6
31,07/28/20 08:00:00 AM,12.207,193.8
32,07/28/20 08:30:00 AM,12.497,699.7
33,07/28/20 09:00:00 AM,12.497,688.9
34,07/28/20 09:30:00 AM,12.594,688.9
35,07/28/20 10:00:00 AM,12.787,882.6
36,07/28/20 10:30:00 AM,12.883,635.1
37,07/28/20 11:00:00 AM,12.787,1302.4
38,07/28/20 11:30:00 AM,12.980,1722.2
39,07/28/20 12:00:00 PM,13.076,1377.8
40,07/28/20 12:30:00 PM,13.076,2411.1
41,07/28/20 01:00:00 PM,13.173,2669.5
42,07/28/20 01:30:00 PM,13.173,2583.4
43,07/28/20 02:00:00 PM,13.076,1722.2
44,07/28/20 02:30:00 PM,13.173,2411.1
45,07/28/20 03:00:00 PM,13.269,1550.0
46,07/28/20 03:30:00 PM,13.365,936.5
47,07/28/20 04:00:00 PM,13.269,2497.2
48,07/28/20 04:30:00 PM,13.269,2755.6
49,07/28/20 05:00:00 PM,13.269,2927.8
50,07/28/20 05:30:00 PM,13.269,1550.0
51,07/28/20 06:00:00 PM,13.173,193.8
52,07/28/20 06:30:00 PM,13.269,258.3
53,07/28/20 07:00:00 PM,13.365,387.5
54,07/28/20 07:30:00 PM,13.173,236.8
55,07/28/20 08:00:00 PM,13.173,452.1
56,07/28/20 08:30:00 PM,13.173,269.1
57,07/28/20 09:00:00 PM,13.173,32.3
58,07/28/20 09:30:00 PM,13.269,0.0
59,07/28/20 10:00:00 PM,13.269,0.0
60,07/28/20 10:30:00 PM,12.883,0.0
61,07/28/20 11:00:00 PM,12.883,0.0
62,07/28/20 11:30:00 PM,12.787,0.0
63,07/29/20 12:00:00 AM,12.787,0.0
64,07/29/20 12:30:00 AM,12.690,0.0
65,07/29/20 01:00:00 AM,12.883,0.0
66,07/29/20 01:30:00 AM,12.980,0.0
67,07/29/20 02:00:00 AM,13.173,0.0
68,07/29/20 02:30:00 AM,13.173,0.0
69,07/29/20 03:00:00 AM,12.980,0.0
70,07/29/20 03:30:00 AM,12.690,0.0
71,07/29/20 04:00:00 AM,12.787,0.0
72,07/29/20 04:30:00 AM,12.787,0.0
73,07/29/20 05:00:00 AM,12.787,0.0
74,07/29/20 05:30:00 AM,12.690,0.0
75,07/29/20 06:00:00 AM,12.594,0.0
76,07/29/20 06:30:00 AM,12.594,10.8
77,07/29/20 07:00:00 AM,12.690,64.6
78,07/29/20 07:30:00 AM,12.690,107.6
79,07/29/20 08:00:00 AM,12.690,172.2
80,07/29/20 08:30:00 AM,12.787,667.4
81,07/29/20 09:00:00 AM,12.883,785.8
82,07/29/20 09:30:00 AM,12.787,1044.1
83,07/29/20 10:00:00 AM,12.787,1076.4
84,07/29/20 10:30:00 AM,12.980,667.4
85,07/29/20 11:00:00 AM,12.980,850.4
86,07/29/20 11:30:00 AM,12.980,968.8
87,07/29/20 12:00:00 PM,12.883,1216.3
88,07/29/20 12:30:00 PM,13.076,1722.2
89,07/29/20 01:00:00 PM,13.173,1334.7
90,07/29/20 01:30:00 PM,13.173,1227.1
91,07/29/20 02:00:00 PM,13.173,1377.8
92,07/29/20 02:30:00 PM,13.269,1313.2
