datetime,wtr_10,wtr_12,wtr_2,wtr_4,wtr_6,wtr_8,wtr_1
2020-07-27T23:00:00Z,11.722,8.68,18.236,15.091,14.134,13.173,18.306
2020-07-27T23:30:00Z,11.528,8.382,18.236,14.9,14.038,13.173,18.323
2020-07-28T00:00:00Z,11.139,8.282,18.045,15.091,14.038,13.365,18.39
2020-07-28T00:30:00Z,11.139,8.182,18.045,14.9,14.134,13.269,18.18
2020-07-28T01:00:00Z,10.748,8.182,18.14,14.9,14.134,13.173,17.928
2020-07-28T01:30:00Z,11.041,8.182,17.76,14.804,14.134,13.173,17.961
2020-07-28T02:00:00Z,11.041,8.182,17.57,14.804,14.038,13.076,17.995
2020-07-28T02:30:00Z,11.139,8.182,17.76,14.9,13.942,13.269,18.079
2020-07-28T03:00:00Z,11.139,8.182,17.57,14.996,14.038,13.076,18.424
2020-07-28T03:30:00Z,11.334,8.282,17.379,14.996,14.134,13.076,18.214
2020-07-28T04:00:00Z,11.625,8.082,17.189,14.996,14.23,13.076,18.29
2020-07-28T04:30:00Z,11.236,8.082,17.284,15.282,14.325,13.076,18.323
2020-07-28T05:00:00Z,11.334,8.082,17.475,15.473,14.421,13.076,18.323
2020-07-28T05:30:00Z,10.455,8.082,17.57,15.378,14.325,12.98,18.332
2020-07-28T06:00:00Z,10.259,7.983,17.76,15.473,14.23,12.883,18.298
2020-07-28T06:30:00Z,9.768,8.182,18.14,15.473,14.134,12.883,18.449
2020-07-28T07:00:00Z,9.669,8.282,18.426,15.378,13.846,12.69,18.483
2020-07-28T07:30:00Z,9.965,8.382,18.426,15.378,13.558,12.69,18.483
2020-07-28T08:00:00Z,9.965,8.382,18.331,15.282,13.558,12.69,18.348
2020-07-28T08:30:00Z,10.357,8.481,18.331,15.187,13.654,12.69,18.281
2020-07-28T09:00:00Z,10.651,8.68,18.426,15.091,13.75,12.69,18.239
2020-07-28T09:30:00Z,11.236,8.68,18.331,14.996,13.846,12.787,18.231
2020-07-28T10:00:00Z,11.236,8.879,18.426,14.996,13.846,12.69,18.197
2020-07-28T10:30:00Z,10.651,8.978,18.426,14.804,13.846,12.594,18.189
2020-07-28T11:00:00Z,11.139,8.978,18.331,14.804,13.75,12.594,18.147
2020-07-28T11:30:00Z,10.944,8.978,18.331,14.804,13.558,12.594,18.096
2020-07-28T12:00:00Z,10.944,8.978,18.236,14.709,13.558,12.497,18.054
2020-07-28T12:30:00Z,10.748,8.879,18.236,14.613,13.365,12.497,18.012
2020-07-28T13:00:00Z,11.041,8.581,18.236,14.613,13.461,12.401,17.953
2020-07-28T13:30:00Z,10.846,8.581,18.14,14.709,13.558,12.207,17.902
2020-07-28T14:00:00Z,11.139,8.779,18.236,14.804,13.461,12.207,17.86
2020-07-28T14:30:00Z,11.431,8.879,18.236,14.996,13.558,12.497,17.835
2020-07-28T15:00:00Z,11.431,8.879,18.331,14.996,13.75,12.497,17.852
2020-07-28T15:30:00Z,11.041,8.779,18.426,15.187,13.846,12.594,17.928
2020-07-28T16:00:00Z,11.139,8.581,18.521,15.282,13.846,12.787,17.953
2020-07-28T16:30:00Z,11.236,8.581,18.616,14.996,13.75,12.883,17.97
2020-07-28T17:00:00Z,11.139,8.581,18.806,15.091,13.846,12.787,18.037
2020-07-28T17:30:00Z,11.139,8.481,18.996,14.996,13.75,12.98,18.088
2020-07-28T18:00:00Z,11.139,8.481,18.711,14.9,13.846,13.076,18.104
2020-07-28T18:30:00Z,10.748,8.481,18.711,14.996,13.846,13.076,18.121
2020-07-28T19:00:00Z,10.651,8.282,18.711,15.091,13.942,13.173,18.172
2020-07-28T19:30:00Z,10.651,8.282,18.806,15.091,13.942,13.173,18.197
2020-07-28T20:00:00Z,10.944,8.382,19.092,14.996,14.038,13.076,18.256
2020-07-28T20:30:00Z,11.431,8.282,18.996,14.9,13.942,13.173,18.323
2020-07-28T21:00:00Z,11.625,8.382,19.092,14.9,13.942,13.269,18.239
2020-07-28T21:30:00Z,11.819,8.481,18.616,14.996,14.038,13.365,18.222
2020-07-28T22:00:00Z,11.819,8.68,18.616,14.996,13.942,13.269,18.306
2020-07-28T22:30:00Z,11.722,8.481,18.616,15.091,13.942,13.269,18.323
2020-07-28T23:00:00Z,11.431,8.182,18.711,15.091,13.942,13.269,18.332
2020-07-28T23:30:00Z,11.334,8.282,18.331,14.996,13.942,13.269,18.374
2020-07-29T00:00:00Z,11.334,8.182,18.045,14.9,13.942,13.173,18.348
2020-07-29T00:30:00Z,11.139,8.182,18.045,14.9,13.942,13.269,18.802
2020-07-29T01:00:00Z,10.651,8.182,17.665,14.996,14.038,13.365,18.323
2020-07-29T01:30:00Z,10.944,8.182,18.045,15.091,14.23,13.173,18.172
2020-07-29T02:00:00Z,11.625,8.182,17.95,15.091,14.23,13.173,18.222
2020-07-29T02:30:00Z,10.748,8.182,18.14,15.091,14.134,13.173,18.726
2020-07-29T03:00:00Z,10.748,8.182,18.331,14.996,14.134,13.173,18.869
2020-07-29T03:30:00Z,10.651,8.282,17.665,14.996,14.134,13.269,18.945
2020-07-29T04:00:00Z,10.455,8.282,18.045,15.091,14.325,13.269,18.961
2020-07-29T04:30:00Z,10.455,8.082,18.14,15.187,14.325,12.883,18.34
2020-07-29T05:00:00Z,10.455,8.082,18.14,15.282,14.23,12.883,18.281
2020-07-29T05:30:00Z,10.553,8.082,18.331,15.378,14.23,12.787,18.609
2020-07-29T06:00:00Z,10.357,8.082,18.521,15.569,14.134,12.787,19.054
2020-07-29T06:30:00Z,9.472,8.082,18.236,15.187,14.23,12.69,18.39
2020-07-29T07:00:00Z,9.965,8.082,18.331,15.378,14.23,12.883,18.609
2020-07-29T07:30:00Z,9.965,8.082,18.14,15.378,14.038,12.98,18.903
2020-07-29T08:00:00Z,10.063,8.182,18.14,15.569,13.846,13.173,18.928
2020-07-29T08:30:00Z,9.965,8.182,18.616,15.378,14.038,13.173,18.911
2020-07-29T09:00:00Z,10.455,8.382,18.616,15.187,13.75,12.98,18.794
2020-07-29T09:30:00Z,10.748,8.481,18.806,15.378,13.75,12.69,18.794
2020-07-29T10:00:00Z,10.651,8.581,18.806,15.091,13.846,12.787,18.743
2020-07-29T10:30:00Z,10.357,8.779,18.806,14.996,13.942,12.787,18.626
2020-07-29T11:00:00Z,10.553,8.581,18.806,15.187,13.846,12.787,18.718
2020-07-29T11:30:00Z,10.944,8.581,18.806,15.091,13.75,12.69,18.768
2020-07-29T12:00:00Z,11.041,8.779,18.806,14.9,13.654,12.594,18.768
2020-07-29T12:30:00Z,10.748,8.879,18.901,14.613,13.75,12.594,18.693
2020-07-29T13:00:00Z,11.041,8.481,18.806,14.709,13.654,12.69,18.659
2020-07-29T13:30:00Z,11.139,8.581,18.806,14.804,13.654,12.69,18.626
2020-07-29T14:00:00Z,11.041,8.581,18.711,14.804,13.75,12.69,18.567
2020-07-29T14:30:00Z,11.334,8.481,18.901,14.996,13.846,12.787,18.584
2020-07-29T15:00:00Z,11.625,8.581,18.996,15.091,13.75,12.883,18.516
2020-07-29T15:30:00Z,11.139,8.481,19.187,15.187,13.846,12.787,18.5
2020-07-29T16:00:00Z,10.846,8.581,19.377,15.187,13.846,12.787,18.575
2020-07-29T16:30:00Z,11.041,8.481,19.187,15.378,13.942,12.98,18.659
2020-07-29T17:00:00Z,10.748,8.481,19.092,15.091,13.846,12.98,18.642
2020-07-29T17:30:00Z,10.748,8.382,19.187,15.091,13.846,12.98,18.693
2020-07-29T18:00:00Z,10.553,8.382,19.282,15.091,13.846,12.883,18.743
2020-07-29T18:30:00Z,10.748,8.382,19.377,15.091,13.846,13.076,18.693
2020-07-29T19:00:00Z,10.748,8.282,19.282,15.091,13.942,13.173,18.726
2020-07-29T19:30:00Z,10.161,8.182,19.282,15.091,14.038,13.173,18.726
2020-07-29T20:00:00Z,10.651,8.182,19.282,15.091,14.038,13.173,18.743
2020-07-29T20:30:00Z,11.139,8.282,19.282,15.187,14.134,13.269,18.76
2020-07-29T21:00:00Z,11.431,8.382,19.187,15.091,14.134,13.173,18.81
2020-07-29T21:30:00Z,11.431,8.481,18.901,15.187,14.134,13.269,18.903
2020-07-29T22:00:00Z,11.334,8.382,18.521,15.091,14.134,13.365,18.894
2020-07-29T22:30:00Z,12.883,9.472,19.853,16.046,14.517,13.654,18.844
2020-07-29T23:00:00Z,12.883,9.275,19.853,15.951,14.517,13.75,18.861
2020-07-29T23:30:00Z,10.651,8.082,18.236,14.996,14.134,13.269,19.364
2020-07-30T00:00:00Z,10.161,8.082,18.045,14.996,14.134,13.269,19.255
2020-07-30T00:30:00Z,10.161,7.983,17.094,14.9,14.23,13.269,19.246
2020-07-30T01:00:00Z,10.259,8.082,17.379,14.9,14.134,13.269,19.272
2020-07-30T01:30:00Z,10.357,8.082,17.95,14.804,14.23,13.365,19.238
2020-07-30T02:00:00Z,10.748,8.182,18.045,14.996,14.421,13.365,19.112
2020-07-30T02:30:00Z,11.139,8.182,17.379,14.996,14.23,13.269,18.869
2020-07-30T03:00:00Z,11.334,8.282,17.094,15.187,14.23,13.173,18.936
2020-07-30T03:30:00Z,10.846,8.182,17.475,15.378,14.421,13.269,18.919
2020-07-30T04:00:00Z,10.553,8.082,18.426,15.664,14.421,13.269,19.305
2020-07-30T04:30:00Z,9.571,7.882,18.045,15.76,14.709,13.173,19.322
2020-07-30T05:00:00Z,9.965,7.983,18.616,15.664,14.517,12.787,19.297
2020-07-30T05:30:00Z,9.965,7.983,18.521,15.664,14.23,12.69,19.238
2020-07-30T06:00:00Z,9.275,7.983,18.14,15.569,14.325,12.883,19.171
2020-07-30T06:30:00Z,9.472,7.983,18.616,15.664,14.038,12.883,19.137
2020-07-30T07:00:00Z,9.571,7.983,19.187,15.76,13.942,12.787,19.171
2020-07-30T07:30:00Z,9.669,8.082,19.092,15.473,13.942,12.98,19.188
2020-07-30T08:00:00Z,9.669,8.182,19.282,15.473,14.134,12.98,19.179
2020-07-30T08:30:00Z,9.965,8.282,19.187,15.473,14.134,12.787,19.137
2020-07-30T09:00:00Z,10.651,8.282,19.282,15.187,14.23,12.98,19.163
2020-07-30T09:30:00Z,11.041,8.282,19.282,14.996,13.942,12.883,19.179
