"Plot Title: 8_m_ORE"
"#","Date Time, GMT-06:00","Temp, °C (LGR S/N: 20889822, SEN S/N: 20889822, LBL: 8 m)","Intensity, Lux (LGR S/N: 20889822, SEN S/N: 20889822, LBL: 8 m)"
1,07/08/22 08:00:00 PM,5.244,43.1
2,07/08/22 08:30:00 PM,5.244,10.8
3,07/08/22 09:00:00 PM,5.141,0.0
4,07/08/22 09:30:00 PM,5.141,0.0
5,07/08/22 10:00:00 PM,5.037,0.0
6,07/08/22 10:30:00 PM,5.141,0.0
7,07/08/22 11:00:00 PM,5.141,0.0
8,07/08/22 11:30:00 PM,5.244,0.0
9,07/09/22 12:00:00 AM,5.037,0.0
10,07/09/22 12:30:00 AM,5.141,0.0
11,07/09/22 01:00:00 AM,5.141,0.0
12,07/09/22 01:30:00 AM,5.244,0.0
13,07/09/22 02:00:00 AM,5.244,0.0
14,07/09/22 02:30:00 AM,4.934,0.0
15,07/09/22 03:00:00 AM,5.244,0.0
16,07/09/22 03:30:00 AM,5.347,0.0
17,07/09/22 04:00:00 AM,5.141,0.0
18,07/09/22 04:30:00 AM,5.141,0.0
19,07/09/22 05:00:00 AM,5.037,0.0
20,07/09/22 05:30:00 AM,5.037,0.0
21,07/09/22 06:00:00 AM,5.141,0.0
22,07/09/22 06:30:00 AM,5.037,0.0
23,07/09/22 07:00:00 AM,5.037,21.5
24,07/09/22 07:30:00 AM,5.244,43.1
25,07/09/22 08:00:00 AM,5.141,236.8
26,07/09/22 08:30:00 AM,5.037,75.3
27,07/09/22 09:00:00 AM,5.244,667.4
28,07/09/22 09:30:00 AM,5.244,796.5
29,07/09/22 10:00:00 AM,5.037,947.2
30,07/09/22 10:30:00 AM,5.141,1011.8
31,07/09/22 11:00:00 AM,5.244,839.6
32,07/09/22 11:30:00 AM,5.552,602.8
33,07/09/22 12:00:00 PM,5.347,721.2
34,07/09/22 12:30:00 PM,5.141,753.5
35,07/09/22 01:00:00 PM,5.037,387.5
36,07/09/22 01:30:00 PM,5.347,484.4
37,07/09/22 02:00:00 PM,5.450,484.4
38,07/09/22 02:30:00 PM,5.347,355.2
39,07/09/22 03:00:00 PM,5.244,301.4
40,07/09/22 03:30:00 PM,5.141,312.2
41,07/09/22 04:00:00 PM,5.347,818.1
42,07/09/22 04:30:00 PM,5.347,462.9
43,07/09/22 05:00:00 PM,5.141,1033.3
44,07/09/22 05:30:00 PM,5.552,161.5
45,07/09/22 06:00:00 PM,5.655,96.9
46,07/09/22 06:30:00 PM,5.347,43.1
47,07/09/22 07:00:00 PM,5.141,53.8
48,07/09/22 07:30:00 PM,5.244,53.8
49,07/09/22 08:00:00 PM,5.037,32.3
50,07/09/22 08:30:00 PM,4.934,21.5
51,07/09/22 09:00:00 PM,5.037,0.0
52,07/09/22 09:30:00 PM,5.655,0.0
53,07/09/22 10:00:00 PM,5.141,0.0
54,07/09/22 10:30:00 PM,4.934,0.0
55,07/09/22 11:00:00 PM,4.727,0.0
56,07/09/22 11:30:00 PM,5.244,0.0
57,07/10/22 12:00:00 AM,5.552,0.0
58,07/10/22 12:30:00 AM,5.244,0.0
59,07/10/22 01:00:00 AM,5.347,0.0
60,07/10/22 01:30:00 AM,5.347,0.0
61,07/10/22 02:00:00 AM,5.655,0.0
62,07/10/22 02:30:00 AM,5.450,0.0
63,07/10/22 03:00:00 AM,5.141,0.0
64,07/10/22 03:30:00 AM,5.037,0.0
65,07/10/22 04:00:00 AM,5.141,0.0
66,07/10/22 04:30:00 AM,4.934,0.0
67,07/10/22 05:00:00 AM,5.037,0.0
68,07/10/22 05:30:00 AM,5.141,0.0
69,07/10/22 06:00:00 AM,5.244,0.0
70,07/10/22 06:30:00 AM,5.450,0.0
71,07/10/22 07:00:00 AM,5.244,21.5
72,07/10/22 07:30:00 AM,5.141,32.3
73,07/10/22 08:00:00 AM,5.141,64.6
74,07/10/22 08:30:00 AM,5.037,86.1
75,07/10/22 09:00:00 AM,5.141,86.1
76,07/10/22 09:30:00 AM,5.347,150.7
77,07/10/22 10:00:00 AM,5.552,161.5
78,07/10/22 10:30:00 AM,5.450,376.7
