"Plot Title: 3_m_MIS"
"#","Date Time, GMT-06:00","Temp, °C (LGR S/N: 20889816, SEN S/N: 20889816, LBL: 3 m)","Intensity, lum/ft² (LGR S/N: 20889816, SEN S/N: 20889816, LBL: 3 m)"
1,07/08/22 08:00:00 PM,10.259,10.0
2,07/08/22 08:30:00 PM,9.965,6.0
3,07/08/22 09:00:00 PM,10.161,4.0
4,07/08/22 09:30:00 PM,10.259,1.0
5,07/08/22 10:00:00 PM,9.669,0.0
6,07/08/22 10:30:00 PM,9.866,0.0
7,07/08/22 11:00:00 PM,10.063,0.0
8,07/08/22 11:30:00 PM,9.669,0.0
9,07/09/22 12:00:00 AM,10.063,0.0
10,07/09/22 12:30:00 AM,9.866,0.0
11,07/09/22 01:00:00 AM,9.768,0.0
12,07/09/22 01:30:00 AM,9.866,0.0
13,07/09/22 02:00:00 AM,10.259,0.0
14,07/09/22 02:30:00 AM,9.965,0.0
15,07/09/22 03:00:00 AM,9.965,0.0
16,07/09/22 03:30:00 AM,9.866,0.0
17,07/09/22 04:00:00 AM,10.063,0.0
18,07/09/22 04:30:00 AM,9.866,0.0
19,07/09/22 05:00:00 AM,9.866,0.0
20,07/09/22 05:30:00 AM,10.063,0.0
21,07/09/22 06:00:00 AM,10.063,0.0
22,07/09/22 06:30:00 AM,10.063,6.0
23,07/09/22 07:00:00 AM,9.866,23.0
24,07/09/22 07:30:00 AM,10.063,59.0
25,07/09/22 08:00:00 AM,10.161,152.0
26,07/09/22 08:30:00 AM,10.357,47.0
27,07/09/22 09:00:00 AM,10.357,86.0
28,07/09/22 09:30:00 AM,10.553,94.0
29,07/09/22 10:00:00 AM,10.748,67.0
30,07/09/22 10:30:00 AM,10.748,48.0
31,07/09/22 11:00:00 AM,10.651,72.0
32,07/09/22 11:30:00 AM,10.846,64.0
33,07/09/22 12:00:00 PM,10.944,71.0
34,07/09/22 12:30:00 PM,10.846,168.0
35,07/09/22 01:00:00 PM,10.651,176.0
36,07/09/22 01:30:00 PM,10.455,97.0
37,07/09/22 02:00:00 PM,10.748,152.0
38,07/09/22 02:30:00 PM,10.748,103.0
39,07/09/22 03:00:00 PM,10.553,76.0
40,07/09/22 03:30:00 PM,10.846,63.0
41,07/09/22 04:00:00 PM,11.041,70.0
42,07/09/22 04:30:00 PM,10.553,30.0
43,07/09/22 05:00:00 PM,10.748,31.0
44,07/09/22 05:30:00 PM,10.748,27.0
45,07/09/22 06:00:00 PM,10.259,25.0
46,07/09/22 06:30:00 PM,10.259,16.0
47,07/09/22 07:00:00 PM,10.553,22.0
48,07/09/22 07:30:00 PM,10.357,18.0
49,07/09/22 08:00:00 PM,10.651,7.0
50,07/09/22 08:30:00 PM,10.357,5.0
51,07/09/22 09:00:00 PM,10.455,3.0
52,07/09/22 09:30:00 PM,10.357,0.0
53,07/09/22 10:00:00 PM,10.455,0.0
54,07/09/22 10:30:00 PM,10.063,0.0
55,07/09/22 11:00:00 PM,10.455,0.0
56,07/09/22 11:30:00 PM,10.553,0.0
57,07/10/22 12:00:00 AM,10.357,0.0
58,07/10/22 12:30:00 AM,10.455,0.0
59,07/10/22 01:00:00 AM,10.357,0.0
60,07/10/22 01:30:00 AM,10.553,0.0
61,07/10/22 02:00:00 AM,10.357,0.0
62,07/10/22 02:30:00 AM,10.259,0.0
63,07/10/22 03:00:00 AM,10.357,0.0
64,07/10/22 03:30:00 AM,10.455,0.0
65,07/10/22 04:00:00 AM,10.651,0.0
66,07/10/22 04:30:00 AM,10.455,0.0
67,07/10/22 05:00:00 AM,10.357,0.0
68,07/10/22 05:30:00 AM,10.259,0.0
69,07/10/22 06:00:00 AM,10.259,0.0
70,07/10/22 06:30:00 AM,10.357,3.0
71,07/10/22 07:00:00 AM,10.357,11.0
72,07/10/22 07:30:00 AM,10.651,17.0
73,07/10/22 08:00:00 AM,10.651,27.0
74,07/10/22 08:30:00 AM,10.553,20.0
75,07/10/22 09:00:00 AM,10.651,62.0
76,07/10/22 09:30:00 AM,10.846,19.0
77,07/10/22 10:00:00 AM,11.334,53.0
78,07/10/22 10:30:00 AM,11.625,92.0
79,07/10/22 11:00:00 AM,11.041,23.0
80,07/10/22 11:30:00 AM,11.625,77.0
81,07/10/22 12:00:00 PM,11.431,82.0
82,07/10/22 12:30:00 PM,10.748,33.0
83,07/10/22 01:00:00 PM,11.528,82.0
84,07/10/22 01:30:00 PM,11.041,22.0
85,07/10/22 02:00:00 PM,11.431,85.0
86,07/10/22 02:30:00 PM,10.846,184.0
87,07/10/22 03:00:00 PM,11.334,106.0
88,07/10/22 03:30:00 PM,11.431,121.0
89,07/10/22 04:00:00 PM,11.236,136.0
90,07/10/22 04:30:00 PM,10.846,36.0
91,07/10/22 05:00:00 PM,10.651,42.0
92,07/10/22 05:30:00 PM,11.041,28.0
93,07/10/22 06:00:00 PM,10.748,232.0
