"Plot Title: 0_m_CLT"
"#","Date Time, GMT-06:00","Temp, °C (LGR S/N: 20889841, SEN S/N: 20889841, LBL: 0 m)","Intensity, Lux (LGR S/N: 20889841, SEN S/N: 20889841, LBL: 0 m)"
1,06/17/21 04:00:00 PM,16.523,9300.1
2,06/17/21 04:30:00 PM,16.523,11711.2
3,06/17/21 05:00:00 PM,16.427,11711.2
4,06/17/21 05:30:00 PM,16.046,4994.5
5,06/17/21 06:00:00 PM,16.046,24800.2
6,06/17/21 06:30:00 PM,16.141,2755.6
7,06/17/21 07:00:00 PM,16.713,2927.8
8,06/17/21 07:30:00 PM,16.618,3100.0
9,06/17/21 08:00:00 PM,16.618,2927.8
10,06/17/21 08:30:00 PM,16.618,2927.8
11,06/17/21 09:00:00 PM,16.427,312.2
12,06/17/21 09:30:00 PM,16.237,118.4
13,06/17/21 10:00:00 PM,16.141,10.8
14,06/17/21 10:30:00 PM,16.141,0.0
15,06/17/21 11:00:00 PM,16.237,0.0
16,06/17/21 11:30:00 PM,15.951,0.0
17,06/18/21 12:00:00 AM,15.951,0.0
18,06/18/21 12:30:00 AM,15.760,0.0
19,06/18/21 01:00:00 AM,15.760,0.0
20,06/18/21 01:30:00 AM,15.664,0.0
21,06/18/21 02:00:00 AM,15.473,0.0
22,06/18/21 02:30:00 AM,15.091,0.0
23,06/18/21 03:00:00 AM,15.282,0.0
24,06/18/21 03:30:00 AM,15.187,0.0
25,06/18/21 04:00:00 AM,14.996,0.0
26,06/18/21 04:30:00 AM,14.709,0.0
27,06/18/21 05:00:00 AM,14.804,0.0
28,06/18/21 05:30:00 AM,14.804,64.6
29,06/18/21 06:00:00 AM,14.804,215.3
30,06/18/21 06:30:00 AM,14.517,344.4
31,06/18/21 07:00:00 AM,15.091,5166.7
32,06/18/21 07:30:00 AM,15.187,7233.4
33,06/18/21 08:00:00 AM,15.473,8611.2
34,06/18/21 08:30:00 AM,15.760,8611.2
35,06/18/21 09:00:00 AM,16.046,9644.5
36,06/18/21 09:30:00 AM,16.427,8266.7
37,06/18/21 10:00:00 AM,16.713,11022.3
38,06/18/21 10:30:00 AM,16.808,12400.1
39,06/18/21 11:00:00 AM,16.713,8266.7
40,06/18/21 11:30:00 AM,16.903,18600.1
41,06/18/21 12:00:00 PM,17.189,22044.6
42,06/18/21 12:30:00 PM,17.379,24800.2
43,06/18/21 01:00:00 PM,17.950,26178.0
44,06/18/21 01:30:00 PM,19.092,14466.8
45,06/18/21 02:00:00 PM,18.616,4650.0
46,06/18/21 02:30:00 PM,18.711,3444.5
47,06/18/21 03:00:00 PM,17.760,3444.5
48,06/18/21 03:30:00 PM,18.521,3616.7
49,06/18/21 04:00:00 PM,19.377,3444.5
50,06/18/21 04:30:00 PM,19.567,3444.5
51,06/18/21 05:00:00 PM,19.567,3444.5
52,06/18/21 05:30:00 PM,19.377,13777.9
53,06/18/21 06:00:00 PM,18.521,3100.0
54,06/18/21 06:30:00 PM,18.236,3444.5
55,06/18/21 07:00:00 PM,18.140,3616.7
56,06/18/21 07:30:00 PM,17.950,3100.0
57,06/18/21 08:00:00 PM,17.665,2927.8
58,06/18/21 08:30:00 PM,18.140,2755.6
59,06/18/21 09:00:00 PM,17.950,301.4
60,06/18/21 09:30:00 PM,18.140,96.9
61,06/18/21 10:00:00 PM,18.616,0.0
62,06/18/21 10:30:00 PM,18.236,0.0
63,06/18/21 11:00:00 PM,18.045,0.0
64,06/18/21 11:30:00 PM,17.665,0.0
65,06/19/21 12:00:00 AM,17.475,0.0
66,06/19/21 12:30:00 AM,17.189,0.0
67,06/19/21 01:00:00 AM,16.903,0.0
68,06/19/21 01:30:00 AM,16.713,0.0
69,06/19/21 02:00:00 AM,16.713,0.0
70,06/19/21 02:30:00 AM,16.427,0.0
71,06/19/21 03:00:00 AM,16.332,0.0
72,06/19/21 03:30:00 AM,16.237,0.0
73,06/19/21 04:00:00 AM,15.855,0.0
74,06/19/21 04:30:00 AM,15.951,0.0
75,06/19/21 05:00:00 AM,15.664,0.0
76,06/19/21 05:30:00 AM,15.569,21.5
77,06/19/21 06:00:00 AM,15.378,312.2
78,06/19/21 06:30:00 AM,15.569,570.5
79,06/19/21 07:00:00 AM,16.141,5511.1
80,06/19/21 07:30:00 AM,16.427,7233.4
81,06/19/21 08:00:00 AM,15.951,4477.8
82,06/19/21 08:30:00 AM,16.427,9644.5
83,06/19/21 09:00:00 AM,16.713,9300.1
84,06/19/21 09:30:00 AM,17.189,14466.8
85,06/19/21 10:00:00 AM,17.094,11711.2
86,06/19/21 10:30:00 AM,17.570,15844.5
87,06/19/21 11:00:00 AM,18.996,18600.1
