"Plot Title: 0_m_RNY2"
"#","Date Time, GMT-06:00","Temp, °C (LGR S/N: 20889825, SEN S/N: 20889825, LBL: 0 m)","Intensity, Lux (LGR S/N: 20889825, SEN S/N: 20889825, LBL: 0 m)"
1,06/17/21 04:00:00 PM,15.473,1076.4
2,06/17/21 04:30:00 PM,15.473,914.9
3,06/17/21 05:00:00 PM,14.709,796.5
4,06/17/21 05:30:00 PM,15.569,775.0
5,06/17/21 06:00:00 PM,15.951,613.5
6,06/17/21 06:30:00 PM,16.046,495.1
7,06/17/21 07:00:00 PM,13.750,430.6
8,06/17/21 07:30:00 PM,13.365,333.7
9,06/17/21 08:00:00 PM,13.461,236.8
10,06/17/21 08:30:00 PM,13.173,150.7
11,06/17/21 09:00:00 PM,13.461,64.6
12,06/17/21 09:30:00 PM,13.076,10.8
13,06/17/21 10:00:00 PM,13.269,0.0
14,06/17/21 10:30:00 PM,13.750,0.0
15,06/17/21 11:00:00 PM,13.750,0.0
16,06/17/21 11:30:00 PM,13.750,0.0
17,06/18/21 12:00:00 AM,13.750,0.0
18,06/18/21 12:30:00 AM,14.038,0.0
19,06/18/21 01:00:00 AM,13.846,0.0
20,06/18/21 01:30:00 AM,13.654,0.0
21,06/18/21 02:00:00 AM,13.558,0.0
22,06/18/21 02:30:00 AM,13.654,0.0
23,06/18/21 03:00:00 AM,13.365,0.0
24,06/18/21 03:30:00 AM,13.558,0.0
25,06/18/21 04:00:00 AM,13.654,0.0
26,06/18/21 04:30:00 AM,13.654,0.0
27,06/18/21 05:00:00 AM,13.558,0.0
28,06/18/21 05:30:00 AM,13.269,0.0
29,06/18/21 06:00:00 AM,13.365,64.6
30,06/18/21 06:30:00 AM,13.558,118.4
31,06/18/21 07:00:00 AM,13.269,1722.2
32,06/18/21 07:30:00 AM,13.269,3444.5
33,06/18/21 08:00:00 AM,13.654,5166.7
34,06/18/21 08:30:00 AM,13.461,6200.0
35,06/18/21 09:00:00 AM,13.269,5511.1
36,06/18/21 09:30:00 AM,13.173,5338.9
37,06/18/21 10:00:00 AM,13.269,5166.7
38,06/18/21 10:30:00 AM,13.269,4133.4
39,06/18/21 11:00:00 AM,13.173,6544.5
40,06/18/21 11:30:00 AM,13.269,4133.4
41,06/18/21 12:00:00 PM,13.558,3444.5
42,06/18/21 12:30:00 PM,13.558,2927.8
43,06/18/21 01:00:00 PM,13.269,2238.9
44,06/18/21 01:30:00 PM,13.558,2238.9
45,06/18/21 02:00:00 PM,13.654,1808.3
46,06/18/21 02:30:00 PM,14.038,1463.9
47,06/18/21 03:00:00 PM,14.038,1324.0
48,06/18/21 03:30:00 PM,13.846,1270.1
49,06/18/21 04:00:00 PM,13.846,1087.2
50,06/18/21 04:30:00 PM,14.038,968.8
51,06/18/21 05:00:00 PM,14.038,936.5
52,06/18/21 05:30:00 PM,14.134,764.2
53,06/18/21 06:00:00 PM,14.038,667.4
54,06/18/21 06:30:00 PM,14.038,559.7
55,06/18/21 07:00:00 PM,14.325,441.3
56,06/18/21 07:30:00 PM,14.134,344.4
57,06/18/21 08:00:00 PM,13.846,258.3
58,06/18/21 08:30:00 PM,13.942,161.5
59,06/18/21 09:00:00 PM,13.654,64.6
60,06/18/21 09:30:00 PM,13.269,10.8
61,06/18/21 10:00:00 PM,13.558,0.0
62,06/18/21 10:30:00 PM,13.750,0.0
63,06/18/21 11:00:00 PM,13.750,0.0
64,06/18/21 11:30:00 PM,13.654,0.0
65,06/19/21 12:00:00 AM,13.654,0.0
66,06/19/21 12:30:00 AM,13.461,0.0
67,06/19/21 01:00:00 AM,13.365,0.0
68,06/19/21 01:30:00 AM,13.269,0.0
69,06/19/21 02:00:00 AM,13.654,0.0
70,06/19/21 02:30:00 AM,13.654,0.0
71,06/19/21 03:00:00 AM,13.942,0.0
72,06/19/21 03:30:00 AM,13.558,0.0
73,06/19/21 04:00:00 AM,13.461,0.0
74,06/19/21 04:30:00 AM,13.654,0.0
75,06/19/21 05:00:00 AM,13.365,0.0
76,06/19/21 05:30:00 AM,13.365,0.0
77,06/19/21 06:00:00 AM,13.365,64.6
78,06/19/21 06:30:00 AM,13.365,172.2
79,06/19/21 07:00:00 AM,13.365,1722.2
80,06/19/21 07:30:00 AM,13.365,3272.2
81,06/19/21 08:00:00 AM,13.365,2325.0
82,06/19/21 08:30:00 AM,13.365,5166.7
83,06/19/21 09:00:00 AM,13.461,4477.8
84,06/19/21 09:30:00 AM,13.461,5511.1
85,06/19/21 10:00:00 AM,13.558,4133.4
86,06/19/21 10:30:00 AM,13.558,4994.5
87,06/19/21 11:00:00 AM,13.750,5338.9
88,06/19/21 11:30:00 AM,13.654,1808.3
89,06/19/21 12:00:00 PM,13.750,5166.7
90,06/19/21 12:30:00 PM,13.846,4305.6
91,06/19/21 01:00:00 PM,13.654,2152.8
