"Plot Title: 8_m_CLT"
"#","Date Time, GMT-06:00","Temp, °C (LGR S/N: 20641370, SEN S/N: 20641370, LBL: 8 m)","Intensity, Lux (LGR S/N: 20641370, SEN S/N: 20641370, LBL: 8 m)","End Of File (LGR S/N: 20641370)"
1,06/17/21 04:00:00 PM,6.166,21.5,
2,06/17/21 04:30:00 PM,6.166,21.5,
3,06/17/21 05:00:00 PM,6.064,21.5,
4,06/17/21 05:30:00 PM,6.064,32.3,
5,06/17/21 06:00:00 PM,6.064,10.8,
6,06/17/21 06:30:00 PM,6.166,0.0,
7,06/17/21 07:00:00 PM,6.064,0.0,
8,06/17/21 07:30:00 PM,6.064,0.0,
9,06/17/21 08:00:00 PM,5.962,0.0,
10,06/17/21 08:30:00 PM,6.064,0.0,
11,06/17/21 09:00:00 PM,6.064,0.0,
12,06/17/21 09:30:00 PM,6.064,0.0,
13,06/17/21 10:00:00 PM,6.064,0.0,
14,06/17/21 10:30:00 PM,6.064,0.0,
15,06/17/21 11:00:00 PM,6.064,0.0,
16,06/17/21 11:30:00 PM,6.064,0.0,
17,06/18/21 12:00:00 AM,6.166,0.0,
18,06/18/21 12:30:00 AM,6.166,0.0,
19,06/18/21 01:00:00 AM,6.166,0.0,
20,06/18/21 01:30:00 AM,6.370,0.0,
21,06/18/21 02:00:00 AM,6.370,0.0,
22,06/18/21 02:30:00 AM,6.370,0.0,
23,06/18/21 03:00:00 AM,6.268,0.0,
24,06/18/21 03:30:00 AM,6.166,0.0,
25,06/18/21 04:00:00 AM,6.064,0.0,
26,06/18/21 04:30:00 AM,6.268,0.0,
27,06/18/21 05:00:00 AM,6.268,0.0,
28,06/18/21 05:30:00 AM,6.166,0.0,
29,06/18/21 06:00:00 AM,6.064,0.0,
30,06/18/21 06:30:00 AM,6.064,0.0,
31,06/18/21 07:00:00 AM,6.064,0.0,
32,06/18/21 07:30:00 AM,6.064,0.0,
33,06/18/21 08:00:00 AM,6.166,0.0,
34,06/18/21 08:30:00 AM,6.166,10.8,
35,06/18/21 09:00:00 AM,6.166,10.8,
36,06/18/21 09:30:00 AM,6.268,10.8,
37,06/18/21 10:00:00 AM,6.166,21.5,
38,06/18/21 10:30:00 AM,6.166,21.5,
39,06/18/21 11:00:00 AM,6.166,21.5,
40,06/18/21 11:30:00 AM,6.166,43.1,
41,06/18/21 12:00:00 PM,6.268,64.6,
42,06/18/21 12:30:00 PM,6.268,75.3,
43,06/18/21 01:00:00 PM,6.370,107.6,
44,06/18/21 01:30:00 PM,6.370,96.9,
45,06/18/21 02:00:00 PM,6.166,86.1,
46,06/18/21 02:30:00 PM,6.064,107.6,
47,06/18/21 03:00:00 PM,6.064,86.1,
48,06/18/21 03:30:00 PM,6.064,86.1,
49,06/18/21 04:00:00 PM,6.064,75.3,
50,06/18/21 04:30:00 PM,6.064,53.8,
51,06/18/21 05:00:00 PM,6.166,43.1,
52,06/18/21 05:30:00 PM,6.166,32.3,
53,06/18/21 06:00:00 PM,6.166,21.5,
54,06/18/21 06:30:00 PM,6.166,21.5,
55,06/18/21 07:00:00 PM,6.064,10.8,
56,06/18/21 07:30:00 PM,6.064,0.0,
57,06/18/21 08:00:00 PM,6.166,0.0,
58,06/18/21 08:30:00 PM,6.166,0.0,
59,06/18/21 09:00:00 PM,6.064,0.0,
60,06/18/21 09:30:00 PM,6.064,0.0,
61,06/18/21 10:00:00 PM,6.064,0.0,
62,06/18/21 10:30:00 PM,6.064,0.0,
63,06/18/21 11:00:00 PM,6.064,0.0,
64,06/18/21 11:30:00 PM,6.064,0.0,
65,06/19/21 12:00:00 AM,6.064,0.0,
66,06/19/21 12:30:00 AM,6.166,0.0,
67,06/19/21 01:00:00 AM,6.166,0.0,
68,06/19/21 01:30:00 AM,6.166,0.0,
69,06/19/21 02:00:00 AM,6.268,0.0,
70,06/19/21 02:30:00 AM,6.268,0.0,
71,06/19/21 03:00:00 AM,6.166,0.0,
72,06/19/21 03:30:00 AM,6.268,0.0,
73,06/19/21 04:00:00 AM,6.268,0.0,
74,06/19/21 04:30:00 AM,6.268,0.0,
75,06/19/21 05:00:00 AM,6.268,0.0,
76,06/19/21 05:30:00 AM,6.268,0.0,
77,06/19/21 06:00:00 AM,6.166,0.0,
78,06/19/21 06:30:00 AM,6.166,0.0,
79,06/19/21 07:00:00 AM,6.166,0.0,
80,06/19/21 07:30:00 AM,6.166,0.0,
81,06/19/21 08:00:00 AM,6.166,0.0,
82,06/19/21 08:30:00 AM,6.166,10.8,
83,06/19/21 09:00:00 AM,6.166,21.5,
84,06/19/21 09:30:00 AM,6.166,32.3,
85,06/19/21 10:00:00 AM,6.166,32.3,
86,06/19/21 10:30:00 AM,6.166,64.6,
87,06/19/21 11:00:00 AM,6.268,64.6,
88,06/19/21 11:30:00 AM,6.268,32.3,
89,06/19/21 12:00:00 PM,6.268,107.6,
90,06/19/21 12:30:00 PM,6.268,139.9,
91,06/19/21 01:00:00 PM,6.268,64.6,
92,06/19/21 01:30:00 PM,6.166,118.4,
93,06/19/21 02:00:00 PM,6.166,86.1,
94,06/19/21 02:30:00 PM,6.064,75.3,
95,06/19/21 03:00:00 PM,6.064,75.3,
96,06/19/21 03:30:00 PM,6.064,21.5,
97,06/19/21 04:00:00 PM,6.166,86.1,
98,06/19/21 04:30:00 PM,6.268,21.5,
99,06/19/21 05:00:00 PM,6.166,21.5,
100,06/19/21 05:30:00 PM,6.064,32.3,
101,06/19/21 06:00:00 PM,6.166,10.8,
102,06/19/21 06:30:00 PM,6.166,21.5,
103,06/19/21 07:00:00 PM,6.166,10.8,
104,06/19/21 07:30:00 PM,6.166,0.0,
105,06/19/21 08:00:00 PM,6.166,0.0,
106,06/19/21 08:30:00 PM,6.166,0.0,
107,06/19/21 09:00:00 PM,6.166,0.0,
108,06/19/21 09:30:00 PM,6.166,0.0,
109,06/19/21 10:00:00 PM,6.166,0.0,
110,06/19/21 10:30:00 PM,6.268,0.0,
111,06/19/21 11:00:00 PM,6.370,0.0,
112,06/19/21 11:30:00 PM,6.370,0.0,
113,06/20/21 12:00:00 AM,6.471,0.0,
114,06/20/21 12:30:00 AM,6.370,0.0,
115,06/20/21 01:00:00 AM,6.471,0.0,
116,06/20/21 01:30:00 AM,6.370,0.0,
117,06/20/21 02:00:00 AM,6.268,0.0,
118,06/20/21 02:30:00 AM,6.268,0.0,
119,06/20/21 03:00:00 AM,6.268,0.0,
120,06/20/21 03:30:00 AM,6.268,0.0,
121,06/20/21 04:00:00 AM,6.268,0.0,
122,06/20/21 04:30:00 AM,6.268,0.0,
123,06/20/21 05:00:00 AM,6.166,0.0,
124,06/20/21 05:30:00 AM,6.166,0.0,
125,06/20/21 06:00:00 AM,6.064,0.0,
126,06/20/21 06:30:00 AM,6.064,0.0,
127,06/20/21 07:00:00 AM,6.166,0.0,
128,06/20/21 07:30:00 AM,6.268,0.0,
129,06/20/21 08:00:00 AM,6.166,0.0,
130,06/20/21 08:30:00 AM,6.166,10.8,
131,06/20/21 09:00:00 AM,6.268,10.8,
132,06/20/21 09:30:00 AM,6.370,21.5,
133,06/20/21 10:00:00 AM,6.370,21.5,
134,06/20/21 10:30:00 AM,6.268,10.8,
135,06/20/21 11:00:00 AM,6.268,10.8,
136,06/20/21 11:30:00 AM,6.166,32.3,
137,06/20/21 12:00:00 PM,6.166,32.3,
138,06/20/21 12:30:00 PM,6.166,32.3,
139,06/20/21 01:00:00 PM,6.166,86.1,
140,06/20/21 01:30:00 PM,6.166,226.0,
141,06/20/21 02:00:00 PM,6.268,64.6,
142,06/20/21 02:30:00 PM,6.166,64.6,
143,06/20/21 03:00:00 PM,6.166,43.1,
144,06/20/21 03:30:00 PM,6.268,32.3,
145,06/20/21 04:00:00 PM,6.268,53.8,
146,06/20/21 04:30:00 PM,6.166,21.5,
147,06/20/21 05:00:00 PM,6.166,32.3,
148,06/20/21 05:30:00 PM,6.268,32.3,
149,06/20/21 06:00:00 PM,6.268,10.8,
150,06/20/21 06:30:00 PM,6.268,32.3,
151,06/20/21 07:00:00 PM,6.268,32.3,
152,06/20/21 07:30:00 PM,6.166,21.5,
153,06/20/21 08:00:00 PM,6.471,10.8,
154,06/20/21 08:30:00 PM,6.370,0.0,
155,06/20/21 09:00:00 PM,6.370,0.0,
156,06/20/21 09:30:00 PM,6.471,0.0,
157,06/20/21 10:00:00 PM,6.370,0.0,
158,06/20/21 10:30:00 PM,6.370,0.0,
159,06/20/21 11:00:00 PM,6.370,0.0,
160,06/20/21 11:30:00 PM,6.370,0.0,
161,06/21/21 12:00:00 AM,6.370,0.0,
162,06/21/21 12:30:00 AM,6.166,0.0,
163,06/21/21 01:00:00 AM,6.166,0.0,
164,06/21/21 01:30:00 AM,6.166,0.0,
165,06/21/21 02:00:00 AM,6.166,0.0,
166,06/21/21 02:30:00 AM,6.166,0.0,
167,06/21/21 03:00:00 AM,6.166,0.0,
168,06/21/21 03:30:00 AM,6.166,0.0,
169,06/21/21 04:00:00 AM,6.166,0.0,
170,06/21/21 04:30:00 AM,6.064,0.0,
171,06/21/21 05:00:00 AM,6.166,0.0,
172,06/21/21 05:30:00 AM,6.166,0.0,
173,06/21/21 06:00:00 AM,6.166,0.0,
174,06/21/21 06:30:00 AM,6.268,0.0,
175,06/21/21 07:00:00 AM,6.268,0.0,
176,06/21/21 07:30:00 AM,6.370,10.8,
177,06/21/21 08:00:00 AM,6.370,10.8,
178,06/21/21 08:30:00 AM,6.370,21.5,
179,06/21/21 09:00:00 AM,6.370,21.5,
180,06/21/21 09:30:00 AM,6.471,32.3,
181,06/21/21 10:00:00 AM,6.471,64.6,
182,06/21/21 10:30:00 AM,6.471,86.1,
183,06/21/21 11:00:00 AM,6.370,107.6,
184,06/21/21 11:30:00 AM,6.370,139.9,
185,06/21/21 12:00:00 PM,6.370,96.9,
186,06/21/21 12:30:00 PM,6.471,172.2,
187,06/21/21 01:00:00 PM,6.370,204.5,
188,06/21/21 01:30:00 PM,6.268,86.1,
189,06/21/21 02:00:00 PM,6.268,226.0,
190,06/21/21 02:30:00 PM,6.268,258.3,
191,06/21/21 03:00:00 PM,6.268,279.9,
192,06/21/21 03:30:00 PM,6.268,258.3,
193,06/21/21 04:00:00 PM,6.268,204.5,
194,06/21/21 04:30:00 PM,6.268,193.8,
195,06/21/21 05:00:00 PM,6.166,118.4,
196,06/21/21 05:30:00 PM,6.268,96.9,
197,06/21/21 06:00:00 PM,6.471,75.3,
198,06/21/21 06:30:00 PM,6.471,43.1,
199,06/21/21 07:00:00 PM,6.471,21.5,
200,06/21/21 07:30:00 PM,6.268,10.8,
201,06/21/21 08:00:00 PM,6.268,0.0,
202,06/21/21 08:30:00 PM,6.166,0.0,
203,06/21/21 09:00:00 PM,6.268,0.0,
204,06/21/21 09:30:00 PM,6.268,0.0,
205,06/21/21 10:00:00 PM,6.268,0.0,
206,06/21/21 10:30:00 PM,6.268,0.0,
207,06/21/21 11:00:00 PM,6.268,0.0,
208,06/21/21 11:30:00 PM,6.268,0.0,
209,06/22/21 12:00:00 AM,6.268,0.0,
210,06/22/21 12:30:00 AM,6.370,0.0,
211,06/22/21 01:00:00 AM,6.370,0.0,
212,06/22/21 01:30:00 AM,6.471,0.0,
213,06/22/21 02:00:00 AM,6.471,0.0,
214,06/22/21 02:30:00 AM,6.471,0.0,
215,06/22/21 03:00:00 AM,6.471,0.0,
216,06/22/21 03:30:00 AM,6.674,0.0,
217,06/22/21 04:00:00 AM,6.775,0.0,
218,06/22/21 04:30:00 AM,6.268,0.0,
219,06/22/21 05:00:00 AM,6.268,0.0,
220,06/22/21 05:30:00 AM,6.166,0.0,
221,06/22/21 06:00:00 AM,6.166,0.0,
222,06/22/21 06:30:00 AM,6.064,0.0,
223,06/22/21 07:00:00 AM,6.166,0.0,
224,06/22/21 07:30:00 AM,6.166,0.0,
225,06/22/21 08:00:00 AM,6.166,10.8,
226,06/22/21 08:30:00 AM,6.166,21.5,
227,06/22/21 09:00:00 AM,6.166,43.1,
228,06/22/21 09:30:00 AM,6.268,53.8,
229,06/22/21 10:00:00 AM,6.268,75.3,
230,06/22/21 10:30:00 AM,6.268,86.1,
231,06/22/21 11:00:00 AM,6.370,107.6,
232,06/22/21 11:30:00 AM,6.471,150.7,
233,06/22/21 12:00:00 PM,6.573,215.3,
234,06/22/21 12:30:00 PM,6.573,236.8,
235,06/22/21 01:00:00 PM,6.573,226.0,
236,06/22/21 01:30:00 PM,6.674,236.8,
237,06/22/21 02:00:00 PM,6.573,193.8,
238,06/22/21 02:30:00 PM,6.370,161.5,
239,06/22/21 03:00:00 PM,6.268,172.2,
240,06/22/21 03:30:00 PM,6.370,161.5,
241,06/22/21 04:00:00 PM,6.268,172.2,
242,06/22/21 04:30:00 PM,6.268,183.0,
243,06/22/21 05:00:00 PM,6.370,150.7,
244,06/22/21 05:30:00 PM,6.370,118.4,
245,06/22/21 06:00:00 PM,6.268,75.3,
246,06/22/21 06:30:00 PM,6.370,32.3,
247,06/22/21 07:00:00 PM,6.471,21.5,
248,06/22/21 07:30:00 PM,6.370,21.5,
249,06/22/21 08:00:00 PM,6.370,0.0,
250,06/22/21 08:30:00 PM,6.370,0.0,
251,06/22/21 09:00:00 PM,6.370,0.0,
252,06/22/21 09:30:00 PM,6.471,0.0,
253,06/22/21 10:00:00 PM,6.471,0.0,
254,06/22/21 10:30:00 PM,6.471,0.0,
255,06/22/21 11:00:00 PM,6.471,0.0,
256,06/22/21 11:30:00 PM,6.573,0.0,
257,06/23/21 12:00:00 AM,6.573,0.0,
258,06/23/21 12:30:00 AM,6.573,0.0,
259,06/23/21 01:00:00 AM,6.370,0.0,
260,06/23/21 01:30:00 AM,6.471,0.0,
261,06/23/21 02:00:00 AM,6.471,0.0,
262,06/23/21 02:30:00 AM,6.573,0.0,
263,06/23/21 03:00:00 AM,6.573,0.0,
264,06/23/21 03:30:00 AM,6.471,0.0,
265,06/23/21 04:00:00 AM,6.471,0.0,
266,06/23/21 04:30:00 AM,6.370,0.0,
267,06/23/21 05:00:00 AM,6.471,0.0,
268,06/23/21 05:30:00 AM,6.573,0.0,
269,06/23/21 06:00:00 AM,6.573,0.0,
270,06/23/21 06:30:00 AM,6.674,0.0,
271,06/23/21 07:00:00 AM,6.674,0.0,
272,06/23/21 07:30:00 AM,6.573,0.0,
273,06/23/21 08:00:00 AM,6.471,0.0,
274,06/23/21 08:30:00 AM,6.471,0.0,
275,06/23/21 09:00:00 AM,6.471,0.0,
276,06/23/21 09:30:00 AM,6.471,10.8,
277,06/23/21 10:00:00 AM,6.370,0.0,
278,06/23/21 10:30:00 AM,6.370,43.1,
279,06/23/21 11:00:00 AM,6.370,32.3,
280,06/23/21 11:30:00 AM,6.370,0.0,
281,06/23/21 12:00:00 PM,6.370,0.0,
282,06/23/21 12:30:00 PM,6.268,0.0,
283,06/23/21 01:00:00 PM,6.268,0.0,
284,06/23/21 01:30:00 PM,6.370,43.1,
285,06/23/21 02:00:00 PM,6.370,86.1,
286,06/23/21 02:30:00 PM,6.268,32.3,
287,06/23/21 03:00:00 PM,6.370,10.8,
288,06/23/21 03:30:00 PM,6.370,0.0,
289,06/23/21 04:00:00 PM,6.471,0.0,
290,06/23/21 04:30:00 PM,6.268,10.8,
291,06/23/21 05:00:00 PM,6.471,21.5,
292,06/23/21 05:30:00 PM,6.573,32.3,
293,06/23/21 06:00:00 PM,6.471,10.8,
294,06/23/21 06:30:00 PM,6.471,0.0,
295,06/23/21 07:00:00 PM,6.573,0.0,
296,06/23/21 07:30:00 PM,6.573,0.0,
297,06/23/21 08:00:00 PM,6.471,0.0,
298,06/23/21 08:30:00 PM,6.573,0.0,
299,06/23/21 09:00:00 PM,6.674,0.0,
300,06/23/21 09:30:00 PM,6.674,0.0,
301,06/23/21 10:00:00 PM,6.674,0.0,
302,06/23/21 10:30:00 PM,6.471,0.0,
303,06/23/21 11:00:00 PM,6.471,0.0,
304,06/23/21 11:30:00 PM,6.370,0.0,
305,06/24/21 12:00:00 AM,6.471,0.0,
306,06/24/21 12:30:00 AM,6.471,0.0,
307,06/24/21 01:00:00 AM,6.471,0.0,
308,06/24/21 01:30:00 AM,6.471,0.0,
309,06/24/21 02:00:00 AM,6.573,0.0,
310,06/24/21 02:30:00 AM,6.471,0.0,
311,06/24/21 03:00:00 AM,6.471,0.0,
312,06/24/21 03:30:00 AM,6.268,0.0,
313,06/24/21 04:00:00 AM,6.370,0.0,
314,06/24/21 04:30:00 AM,6.471,0.0,
315,06/24/21 05:00:00 AM,6.370,0.0,
316,06/24/21 05:30:00 AM,6.370,0.0,
317,06/24/21 06:00:00 AM,6.370,0.0,
318,06/24/21 06:30:00 AM,6.471,0.0,
319,06/24/21 07:00:00 AM,6.471,0.0,
320,06/24/21 07:30:00 AM,6.471,0.0,
321,06/24/21 08:00:00 AM,6.471,10.8,
322,06/24/21 08:30:00 AM,6.268,0.0,
323,06/24/21 09:00:00 AM,6.268,21.5,
324,06/24/21 09:30:00 AM,6.268,43.1,
325,06/24/21 10:00:00 AM,6.268,21.5,
326,06/24/21 10:30:00 AM,6.268,43.1,
327,06/24/21 11:00:00 AM,6.370,43.1,
328,06/24/21 11:30:00 AM,6.471,139.9,
329,06/24/21 12:00:00 PM,6.471,172.2,
330,06/24/21 12:30:00 PM,6.573,10.8,
331,06/24/21 01:00:00 PM,6.573,150.7,
332,06/24/21 01:30:00 PM,6.471,118.4,
333,06/24/21 02:00:00 PM,6.573,161.5,
334,06/24/21 02:30:00 PM,6.573,139.9,
335,06/24/21 03:00:00 PM,6.471,129.2,
336,06/24/21 03:30:00 PM,6.471,43.1,
337,06/24/21 04:00:00 PM,6.471,193.8,
338,06/24/21 04:30:00 PM,6.471,21.5,
339,06/24/21 05:00:00 PM,6.573,21.5,
340,06/24/21 05:30:00 PM,6.674,21.5,
341,06/24/21 06:00:00 PM,6.573,86.1,
342,06/24/21 06:30:00 PM,6.573,43.1,
343,06/24/21 07:00:00 PM,6.674,21.5,
344,06/24/21 07:30:00 PM,6.674,10.8,
345,06/24/21 08:00:00 PM,6.573,0.0,
346,06/24/21 08:30:00 PM,6.573,0.0,
347,06/24/21 09:00:00 PM,6.573,0.0,
348,06/24/21 09:30:00 PM,6.573,0.0,
349,06/24/21 10:00:00 PM,6.674,0.0,
350,06/24/21 10:30:00 PM,6.573,0.0,
351,06/24/21 11:00:00 PM,6.573,0.0,
352,06/24/21 11:30:00 PM,6.573,0.0,
353,06/25/21 12:00:00 AM,6.573,0.0,
354,06/25/21 12:30:00 AM,6.471,0.0,
355,06/25/21 01:00:00 AM,6.370,0.0,
356,06/25/21 01:30:00 AM,6.370,0.0,
357,06/25/21 02:00:00 AM,6.471,0.0,
358,06/25/21 02:30:00 AM,6.370,0.0,
359,06/25/21 03:00:00 AM,6.471,0.0,
360,06/25/21 03:30:00 AM,6.471,0.0,
361,06/25/21 04:00:00 AM,6.471,0.0,
362,06/25/21 04:30:00 AM,6.573,0.0,
363,06/25/21 05:00:00 AM,6.674,0.0,
364,06/25/21 05:30:00 AM,6.674,0.0,
365,06/25/21 06:00:00 AM,6.674,0.0,
366,06/25/21 06:30:00 AM,6.573,0.0,
367,06/25/21 07:00:00 AM,6.573,0.0,
368,06/25/21 07:30:00 AM,6.471,0.0,
369,06/25/21 08:00:00 AM,6.471,0.0,
370,06/25/21 08:30:00 AM,6.471,0.0,
371,06/25/21 09:00:00 AM,6.471,0.0,
372,06/25/21 09:30:00 AM,6.573,10.8,
373,06/25/21 10:00:00 AM,6.573,10.8,
374,06/25/21 10:30:00 AM,6.573,10.8,
375,06/25/21 11:00:00 AM,6.573,32.3,
376,06/25/21 11:30:00 AM,6.573,43.1,
377,06/25/21 12:00:00 PM,6.573,118.4,
378,06/25/21 12:30:00 PM,6.573,150.7,
379,06/25/21 01:00:00 PM,6.674,75.3,
380,06/25/21 01:30:00 PM,6.775,236.8,
381,06/25/21 02:00:00 PM,6.775,204.5,
382,06/25/21 02:30:00 PM,6.573,118.4,
383,06/25/21 03:00:00 PM,6.370,172.2,
384,06/25/21 03:30:00 PM,6.471,53.8,
385,06/25/21 04:00:00 PM,6.674,215.3,
386,06/25/21 04:30:00 PM,6.573,129.2,
387,06/25/21 05:00:00 PM,6.471,118.4,
388,06/25/21 05:30:00 PM,6.471,32.3,
389,06/25/21 06:00:00 PM,6.573,64.6,
390,06/25/21 06:30:00 PM,6.573,75.3,
391,06/25/21 07:00:00 PM,6.674,10.8,
392,06/25/21 07:30:00 PM,6.674,0.0,
393,06/25/21 08:00:00 PM,6.573,0.0,
394,06/25/21 08:30:00 PM,6.573,0.0,
395,06/25/21 09:00:00 PM,6.573,0.0,
396,06/25/21 09:30:00 PM,6.674,0.0,
397,06/25/21 10:00:00 PM,6.674,0.0,
398,06/25/21 10:30:00 PM,6.775,0.0,
399,06/25/21 11:00:00 PM,6.775,0.0,
400,06/25/21 11:30:00 PM,6.775,0.0,
401,06/26/21 12:00:00 AM,6.674,0.0,
402,06/26/21 12:30:00 AM,6.573,0.0,
403,06/26/21 01:00:00 AM,6.471,0.0,
404,06/26/21 01:30:00 AM,6.573,0.0,
405,06/26/21 02:00:00 AM,6.674,0.0,
406,06/26/21 02:30:00 AM,6.674,0.0,
407,06/26/21 03:00:00 AM,6.775,0.0,
408,06/26/21 03:30:00 AM,6.775,0.0,
409,06/26/21 04:00:00 AM,6.674,0.0,
410,06/26/21 04:30:00 AM,6.775,0.0,
411,06/26/21 05:00:00 AM,6.775,0.0,
412,06/26/21 05:30:00 AM,6.775,0.0,
413,06/26/21 06:00:00 AM,6.674,0.0,
414,06/26/21 06:30:00 AM,6.573,0.0,
415,06/26/21 07:00:00 AM,6.674,0.0,
416,06/26/21 07:30:00 AM,6.471,0.0,
417,06/26/21 08:00:00 AM,6.471,10.8,
418,06/26/21 08:30:00 AM,6.471,10.8,
419,06/26/21 09:00:00 AM,6.471,10.8,
420,06/26/21 09:30:00 AM,6.471,0.0,
421,06/26/21 10:00:00 AM,6.573,53.8,
