datetime,wtr_0,wtr_2,wtr_4,wtr_6,wtr_8,wtr_1
2021-06-17T16:00:00Z,16.523,15.473,9.768,6.978,6.166,15.728
2021-06-17T16:30:00Z,16.523,15.473,10.063,6.978,6.166,15.711
2021-06-17T17:00:00Z,16.427,14.709,10.455,7.079,6.064,15.651
2021-06-17T17:30:00Z,16.046,15.569,9.571,7.28,6.064,15.291
2021-06-17T18:00:00Z,16.046,15.951,10.161,6.978,6.064,15.437
2021-06-17T18:30:00Z,16.141,16.046,9.866,6.978,6.166,15.608
2021-06-17T19:00:00Z,16.713,13.75,9.866,7.079,6.064,15.84
2021-06-17T19:30:00Z,16.618,13.365,10.161,7.079,6.064,16.301
2021-06-17T20:00:00Z,16.618,13.461,10.063,6.978,5.962,16.198
2021-06-17T20:30:00Z,16.618,13.173,9.866,7.682,6.064,16.13
2021-06-17T21:00:00Z,16.427,13.461,10.161,7.381,6.064,16.019
2021-06-17T21:30:00Z,16.237,13.076,10.161,7.28,6.064,15.899
2021-06-17T22:00:00Z,16.141,13.269,10.161,6.978,6.064,16.019
2021-06-17T22:30:00Z,16.141,13.75,10.357,7.079,6.064,15.951
2021-06-17T23:00:00Z,16.237,13.75,10.553,6.978,6.064,15.831
2021-06-17T23:30:00Z,15.951,13.75,10.553,6.978,6.064,14.697
2021-06-18T00:00:00Z,15.951,13.75,10.357,7.079,6.166,15.162
2021-06-18T00:30:00Z,15.76,14.038,10.259,6.978,6.166,15.531
2021-06-18T01:00:00Z,15.76,13.846,10.357,7.079,6.166,15.342
2021-06-18T01:30:00Z,15.664,13.654,10.651,7.079,6.37,15.497
2021-06-18T02:00:00Z,15.473,13.558,10.357,7.179,6.37,15.446
2021-06-18T02:30:00Z,15.091,13.654,9.768,7.28,6.37,15.351
2021-06-18T03:00:00Z,15.282,13.365,10.161,6.775,6.268,15.265
2021-06-18T03:30:00Z,15.187,13.558,9.866,6.775,6.166,15.196
2021-06-18T04:00:00Z,14.996,13.654,9.768,6.674,6.064,15.136
2021-06-18T04:30:00Z,14.709,13.654,9.866,6.775,6.268,15.024
2021-06-18T05:00:00Z,14.804,13.558,10.455,6.775,6.268,14.93
2021-06-18T05:30:00Z,14.804,13.269,10.553,6.877,6.166,14.757
2021-06-18T06:00:00Z,14.804,13.365,10.553,6.775,6.064,14.714
2021-06-18T06:30:00Z,14.517,13.558,9.669,6.877,6.064,14.671
2021-06-18T07:00:00Z,15.091,13.269,10.161,6.877,6.064,14.446
2021-06-18T07:30:00Z,15.187,13.269,9.866,7.28,6.064,14.541
2021-06-18T08:00:00Z,15.473,13.654,10.161,7.381,6.166,14.472
2021-06-18T08:30:00Z,15.76,13.461,10.063,7.28,6.166,14.212
2021-06-18T09:00:00Z,16.046,13.269,9.768,7.381,6.166,13.934
2021-06-18T09:30:00Z,16.427,13.173,10.063,7.381,6.268,13.864
2021-06-18T10:00:00Z,16.713,13.269,10.259,7.28,6.166,14.073
2021-06-18T10:30:00Z,16.808,13.269,10.259,7.28,6.166,13.663
2021-06-18T11:00:00Z,16.713,13.173,10.063,6.978,6.166,13.62
2021-06-18T11:30:00Z,16.903,13.269,10.259,7.079,6.166,13.707
2021-06-18T12:00:00Z,17.189,13.558,10.161,7.179,6.268,13.759
2021-06-18T12:30:00Z,17.379,13.558,10.063,7.179,6.268,14.29
2021-06-18T13:00:00Z,17.95,13.269,10.161,7.179,6.37,14.55
2021-06-18T13:30:00Z,19.092,13.558,10.259,6.978,6.37,14.576
2021-06-18T14:00:00Z,18.616,13.654,10.455,6.877,6.166,14.636
2021-06-18T14:30:00Z,18.711,14.038,10.553,7.079,6.064,15.042
2021-06-18T15:00:00Z,17.76,14.038,10.357,7.079,6.064,14.947
2021-06-18T15:30:00Z,18.521,13.846,10.357,7.079,6.064,15.214
2021-06-18T16:00:00Z,19.377,13.846,10.651,6.978,6.064,15.325
2021-06-18T16:30:00Z,19.567,14.038,10.651,6.978,6.064,14.55
2021-06-18T17:00:00Z,19.567,14.038,10.651,7.179,6.166,14.324
2021-06-18T17:30:00Z,19.377,14.134,10.553,7.179,6.166,14.368
2021-06-18T18:00:00Z,18.521,14.038,10.748,6.978,6.166,14.792
2021-06-18T18:30:00Z,18.236,14.038,10.259,7.179,6.166,15.36
2021-06-18T19:00:00Z,18.14,14.325,10.063,7.179,6.064,16.181
2021-06-18T19:30:00Z,17.95,14.134,9.571,7.179,6.064,15.214
2021-06-18T20:00:00Z,17.665,13.846,10.161,7.179,6.166,15.188
2021-06-18T20:30:00Z,18.14,13.942,10.259,7.481,6.166,15.557
2021-06-18T21:00:00Z,17.95,13.654,10.455,7.381,6.064,15.257
2021-06-18T21:30:00Z,18.14,13.269,10.651,6.978,6.064,14.921
2021-06-18T22:00:00Z,18.616,13.558,10.161,6.978,6.064,15.05
2021-06-18T22:30:00Z,18.236,13.75,10.357,6.978,6.064,14.886
2021-06-18T23:00:00Z,18.045,13.75,10.357,7.079,6.064,14.679
2021-06-18T23:30:00Z,17.665,13.654,10.553,6.978,6.064,14.567
2021-06-19T00:00:00Z,17.475,13.654,10.651,6.978,6.064,14.506
2021-06-19T00:30:00Z,17.189,13.461,10.748,7.28,6.166,14.307
2021-06-19T01:00:00Z,16.903,13.365,10.161,7.381,6.166,14.212
2021-06-19T01:30:00Z,16.713,13.269,10.063,7.582,6.166,15.497
2021-06-19T02:00:00Z,16.713,13.654,9.866,7.28,6.268,15.831
2021-06-19T02:30:00Z,16.427,13.654,10.063,6.978,6.268,15.016
2021-06-19T03:00:00Z,16.332,13.942,9.768,6.978,6.166,15.033
2021-06-19T03:30:00Z,16.237,13.558,9.965,6.978,6.268,14.489
2021-06-19T04:00:00Z,15.855,13.461,10.161,7.179,6.268,14.576
2021-06-19T04:30:00Z,15.951,13.654,10.161,7.079,6.268,14.8
2021-06-19T05:00:00Z,15.664,13.365,10.357,7.079,6.268,14.998
2021-06-19T05:30:00Z,15.569,13.365,10.357,6.978,6.268,14.998
2021-06-19T06:00:00Z,15.378,13.365,10.455,6.978,6.166,15.282
2021-06-19T06:30:00Z,15.569,13.365,10.748,6.978,6.166,15.196
2021-06-19T07:00:00Z,16.141,13.365,10.357,7.179,6.166,14.8
2021-06-19T07:30:00Z,16.427,13.365,10.455,7.179,6.166,14.766
2021-06-19T08:00:00Z,15.951,13.365,10.651,6.978,6.166,14.558
2021-06-19T08:30:00Z,16.427,13.365,10.357,7.28,6.166,14.116
2021-06-19T09:00:00Z,16.713,13.461,10.259,7.28,6.166,14.125
2021-06-19T09:30:00Z,17.189,13.461,10.357,7.381,6.166,14.29
2021-06-19T10:00:00Z,17.094,13.558,10.357,7.179,6.166,14.35
2021-06-19T10:30:00Z,17.57,13.558,10.357,7.28,6.166,14.281
2021-06-19T11:00:00Z,18.996,13.75,10.357,7.179,6.268,14.316
2021-06-19T11:30:00Z,16.808,13.654,10.161,7.179,6.268,14.498
2021-06-19T12:00:00Z,17.284,13.75,10.651,7.28,6.268,14.835
2021-06-19T12:30:00Z,17.665,13.846,10.748,7.28,6.268,15.076
2021-06-19T13:00:00Z,17.284,13.654,10.455,7.079,6.268,15.024
2021-06-19T13:30:00Z,18.521,13.846,10.651,7.079,6.166,14.671
2021-06-19T14:00:00Z,17.379,13.558,10.846,7.179,6.166,14.324
2021-06-19T14:30:00Z,17.379,13.654,11.236,7.28,6.064,14.368
2021-06-19T15:00:00Z,17.284,13.75,10.944,6.978,6.064,14.619
2021-06-19T15:30:00Z,16.999,13.846,10.455,6.978,6.064,14.843
2021-06-19T16:00:00Z,17.189,14.709,10.553,7.079,6.166,16.352
2021-06-19T16:30:00Z,16.999,14.134,9.965,7.28,6.268,16.411
2021-06-19T17:00:00Z,17.094,13.654,10.259,7.179,6.166,16.275
2021-06-19T17:30:00Z,16.999,13.461,10.455,7.28,6.064,14.774
2021-06-19T18:00:00Z,17.284,13.654,10.455,7.481,6.166,16.036
2021-06-19T18:30:00Z,16.999,13.654,10.161,7.582,6.166,15.643
2021-06-19T19:00:00Z,17.284,13.654,10.259,7.079,6.166,15.274
2021-06-19T19:30:00Z,17.379,13.269,10.063,7.079,6.166,14.498
2021-06-19T20:00:00Z,17.379,13.365,10.846,7.381,6.166,14.567
2021-06-19T20:30:00Z,16.999,13.654,10.748,7.28,6.166,14.324
2021-06-19T21:00:00Z,16.808,13.461,10.553,7.381,6.166,14.151
2021-06-19T21:30:00Z,16.713,13.846,10.944,7.179,6.166,14.359
2021-06-19T22:00:00Z,16.427,13.461,11.041,7.28,6.166,14.446
2021-06-19T22:30:00Z,16.427,13.558,10.651,7.179,6.268,14.645
2021-06-19T23:00:00Z,16.427,13.654,10.455,7.381,6.37,14.852
2021-06-19T23:30:00Z,16.141,13.75,10.161,7.381,6.37,15.882
2021-06-20T00:00:00Z,15.951,13.654,9.571,7.079,6.471,15.848
2021-06-20T00:30:00Z,15.951,13.846,9.866,6.877,6.37,15.3
2021-06-20T01:00:00Z,16.046,13.846,10.357,7.079,6.471,15.162
2021-06-20T01:30:00Z,15.951,13.942,10.651,7.179,6.37,14.428
2021-06-20T02:00:00Z,15.951,13.75,10.846,7.28,6.268,14.402
2021-06-20T02:30:00Z,15.76,13.558,10.748,7.381,6.268,14.359
2021-06-20T03:00:00Z,15.664,13.461,10.357,7.079,6.268,15.506
2021-06-20T03:30:00Z,15.76,13.461,10.553,6.978,6.268,15.634
2021-06-20T04:00:00Z,15.76,13.461,10.651,7.079,6.268,14.394
2021-06-20T04:30:00Z,15.76,13.75,10.455,6.978,6.268,14.229
2021-06-20T05:00:00Z,15.76,13.365,10.259,7.179,6.166,14.316
2021-06-20T05:30:00Z,15.664,13.365,10.651,7.481,6.166,14.368
2021-06-20T06:00:00Z,15.76,13.365,10.748,7.481,6.064,14.307
2021-06-20T06:30:00Z,15.569,13.558,10.553,7.381,6.064,14.168
2021-06-20T07:00:00Z,15.569,13.558,10.455,7.682,6.166,14.524
2021-06-20T07:30:00Z,15.473,13.461,10.259,7.381,6.268,14.428
2021-06-20T08:00:00Z,15.569,13.558,10.357,7.179,6.166,14.593
2021-06-20T08:30:00Z,15.282,13.654,10.357,7.481,6.166,14.835
2021-06-20T09:00:00Z,15.187,13.654,10.455,7.381,6.268,14.722
2021-06-20T09:30:00Z,15.091,14.038,10.357,7.179,6.37,14.722
2021-06-20T10:00:00Z,15.664,14.613,10.455,7.179,6.37,14.679
2021-06-20T10:30:00Z,15.091,14.804,10.651,6.978,6.268,14.576
2021-06-20T11:00:00Z,14.804,14.517,10.748,7.179,6.268,14.446
2021-06-20T11:30:00Z,15.091,14.517,11.334,7.079,6.166,14.264
2021-06-20T12:00:00Z,14.804,14.517,11.236,7.079,6.166,14.264
2021-06-20T12:30:00Z,14.996,14.517,10.357,7.179,6.166,14.298
2021-06-20T13:00:00Z,15.473,14.709,10.455,7.179,6.166,14.454
2021-06-20T13:30:00Z,16.141,14.996,10.651,7.28,6.166,14.601
2021-06-20T14:00:00Z,16.141,14.038,10.161,7.179,6.268,14.843
2021-06-20T14:30:00Z,16.332,13.558,10.455,7.381,6.166,14.774
2021-06-20T15:00:00Z,16.427,13.75,10.357,7.381,6.166,14.653
2021-06-20T15:30:00Z,16.141,13.846,10.357,7.381,6.268,14.74
2021-06-20T16:00:00Z,16.141,14.038,10.259,7.381,6.268,15.033
2021-06-20T16:30:00Z,16.427,13.654,10.651,7.179,6.166,15.076
2021-06-20T17:00:00Z,16.523,13.75,10.748,7.079,6.166,15.033
2021-06-20T17:30:00Z,16.523,14.134,10.553,7.481,6.268,15.033
2021-06-20T18:00:00Z,16.523,13.942,10.748,7.481,6.268,14.168
