"Plot Title: 4_m_SAP"
"#","Date Time, GMT-06:00","Temp, °C (LGR S/N: 20889831, SEN S/N: 20889831, LBL: 4 m)","Intensity, Lux (LGR S/N: 20889831, SEN S/N: 20889831, LBL: 4 m)"
1,08/26/20 10:00:00 AM,16.046,1550.0
2,08/26/20 10:30:00 AM,16.046,2411.1
3,08/26/20 11:00:00 AM,16.141,5166.7
4,08/26/20 11:30:00 AM,16.237,2066.7
5,08/26/20 12:00:00 PM,16.332,1722.2
6,08/26/20 12:30:00 PM,16.332,6200.0
7,08/26/20 01:00:00 PM,16.427,11022.3
8,08/26/20 01:30:00 PM,16.523,3961.1
9,08/26/20 02:00:00 PM,16.523,5511.1
10,08/26/20 02:30:00 PM,16.713,3100.0
11,08/26/20 03:00:00 PM,16.427,3961.1
12,08/26/20 03:30:00 PM,16.523,5511.1
13,08/26/20 04:00:00 PM,16.523,12400.1
14,08/26/20 04:30:00 PM,16.427,6544.5
15,08/26/20 05:00:00 PM,16.427,4650.0
16,08/26/20 05:30:00 PM,16.427,8266.7
17,08/26/20 06:00:00 PM,16.427,5166.7
18,08/26/20 06:30:00 PM,16.427,4822.3
19,08/26/20 07:00:00 PM,16.332,2411.1
20,08/26/20 07:30:00 PM,16.237,592.0
21,08/26/20 08:00:00 PM,16.332,247.6
22,08/26/20 08:30:00 PM,16.237,21.5
23,08/26/20 09:00:00 PM,16.237,0.0
24,08/26/20 09:30:00 PM,16.237,0.0
25,08/26/20 10:00:00 PM,16.237,0.0
26,08/26/20 10:30:00 PM,16.237,0.0
27,08/26/20 11:00:00 PM,16.237,0.0
28,08/26/20 11:30:00 PM,16.332,0.0
29,08/27/20 12:00:00 AM,16.237,0.0
30,08/27/20 12:30:00 AM,16.237,0.0
31,08/27/20 01:00:00 AM,16.237,0.0
32,08/27/20 01:30:00 AM,16.237,0.0
33,08/27/20 02:00:00 AM,16.237,0.0
34,08/27/20 02:30:00 AM,16.237,0.0
35,08/27/20 03:00:00 AM,16.237,0.0
36,08/27/20 03:30:00 AM,16.237,0.0
37,08/27/20 04:00:00 AM,16.237,0.0
38,08/27/20 04:30:00 AM,16.237,0.0
39,08/27/20 05:00:00 AM,16.237,0.0
40,08/27/20 05:30:00 AM,16.237,0.0
41,08/27/20 06:00:00 AM,16.237,0.0
42,08/27/20 06:30:00 AM,16.237,0.0
43,08/27/20 07:00:00 AM,16.237,75.3
44,08/27/20 07:30:00 AM,16.237,344.4
45,08/27/20 08:00:00 AM,16.332,538.2
46,08/27/20 08:30:00 AM,16.237,828.8
47,08/27/20 09:00:00 AM,16.237,1130.2
48,08/27/20 09:30:00 AM,16.237,1173.3
49,08/27/20 10:00:00 AM,16.237,818.1
50,08/27/20 10:30:00 AM,16.523,1463.9
51,08/27/20 11:00:00 AM,16.523,1550.0
52,08/27/20 11:30:00 AM,16.713,1313.2
53,08/27/20 12:00:00 PM,16.713,1980.6
54,08/27/20 12:30:00 PM,16.713,2669.5
55,08/27/20 01:00:00 PM,16.618,4133.4
56,08/27/20 01:30:00 PM,16.618,7233.4
57,08/27/20 02:00:00 PM,16.618,7233.4
58,08/27/20 02:30:00 PM,16.713,2927.8
59,08/27/20 03:00:00 PM,16.713,10333.4
60,08/27/20 03:30:00 PM,16.713,8611.2
61,08/27/20 04:00:00 PM,16.713,12400.1
62,08/27/20 04:30:00 PM,16.713,15155.7
63,08/27/20 05:00:00 PM,16.713,10333.4
64,08/27/20 05:30:00 PM,16.713,6544.5
65,08/27/20 06:00:00 PM,16.713,5511.1
66,08/27/20 06:30:00 PM,16.618,5511.1
67,08/27/20 07:00:00 PM,16.523,3616.7
68,08/27/20 07:30:00 PM,16.523,355.2
69,08/27/20 08:00:00 PM,16.523,193.8
70,08/27/20 08:30:00 PM,16.523,21.5
71,08/27/20 09:00:00 PM,16.523,0.0
72,08/27/20 09:30:00 PM,16.427,0.0
73,08/27/20 10:00:00 PM,16.523,0.0
74,08/27/20 10:30:00 PM,16.427,0.0
75,08/27/20 11:00:00 PM,16.427,0.0
76,08/27/20 11:30:00 PM,16.427,0.0
77,08/28/20 12:00:00 AM,16.523,0.0
78,08/28/20 12:30:00 AM,16.523,0.0
79,08/28/20 01:00:00 AM,16.427,0.0
80,08/28/20 01:30:00 AM,16.427,0.0
81,08/28/20 02:00:00 AM,16.427,0.0
82,08/28/20 02:30:00 AM,16.427,0.0
83,08/28/20 03:00:00 AM,16.427,0.0
84,08/28/20 03:30:00 AM,16.427,0.0
85,08/28/20 04:00:00 AM,16.427,0.0
86,08/28/20 04:30:00 AM,16.427,0.0
87,08/28/20 05:00:00 AM,16.427,0.0
88,08/28/20 05:30:00 AM,16.427,0.0
89,08/28/20 06:00:00 AM,16.427,0.0
90,08/28/20 06:30:00 AM,16.332,0.0
91,08/28/20 07:00:00 AM,16.237,86.1
92,08/28/20 07:30:00 AM,16.237,204.5
93,08/28/20 08:00:00 AM,16.332,269.1
94,08/28/20 08:30:00 AM,16.332,398.3
95,08/28/20 09:00:00 AM,16.332,527.4
96,08/28/20 09:30:00 AM,16.427,731.9
97,08/28/20 10:00:00 AM,16.427,1119.5
98,08/28/20 10:30:00 AM,16.523,1550.0
99,08/28/20 11:00:00 AM,16.618,1324.0
100,08/28/20 11:30:00 AM,16.618,1722.2
101,08/28/20 12:00:00 PM,16.713,2238.9
102,08/28/20 12:30:00 PM,16.713,4133.4
103,08/28/20 01:00:00 PM,16.808,2066.7
104,08/28/20 01:30:00 PM,16.618,4477.8
105,08/28/20 02:00:00 PM,16.618,7233.4
106,08/28/20 02:30:00 PM,16.713,17222.3
107,08/28/20 03:00:00 PM,16.808,17222.3
108,08/28/20 03:30:00 PM,16.713,3788.9
109,08/28/20 04:00:00 PM,16.808,10333.4
110,08/28/20 04:30:00 PM,16.808,7233.4
111,08/28/20 05:00:00 PM,16.808,10677.8
112,08/28/20 05:30:00 PM,16.713,8611.2
113,08/28/20 06:00:00 PM,16.618,5166.7
114,08/28/20 06:30:00 PM,16.618,4305.6
115,08/28/20 07:00:00 PM,16.618,3272.2
116,08/28/20 07:30:00 PM,16.523,398.3
117,08/28/20 08:00:00 PM,16.523,183.0
118,08/28/20 08:30:00 PM,16.523,10.8
119,08/28/20 09:00:00 PM,16.523,0.0
120,08/28/20 09:30:00 PM,16.523,0.0
121,08/28/20 10:00:00 PM,16.427,0.0
122,08/28/20 10:30:00 PM,16.523,0.0
123,08/28/20 11:00:00 PM,16.427,0.0
124,08/28/20 11:30:00 PM,16.523,0.0
125,08/29/20 12:00:00 AM,16.523,0.0
126,08/29/20 12:30:00 AM,16.523,0.0
127,08/29/20 01:00:00 AM,16.523,0.0
128,08/29/20 01:30:00 AM,16.523,0.0
129,08/29/20 02:00:00 AM,16.523,0.0
130,08/29/20 02:30:00 AM,16.523,0.0
131,08/29/20 03:00:00 AM,16.427,0.0
132,08/29/20 03:30:00 AM,16.427,0.0
133,08/29/20 04:00:00 AM,16.523,0.0
134,08/29/20 04:30:00 AM,16.427,0.0
135,08/29/20 05:00:00 AM,16.427,0.0
136,08/29/20 05:30:00 AM,16.427,0.0
137,08/29/20 06:00:00 AM,16.427,0.0
138,08/29/20 06:30:00 AM,16.332,0.0
139,08/29/20 07:00:00 AM,16.427,86.1
140,08/29/20 07:30:00 AM,16.427,247.6
141,08/29/20 08:00:00 AM,16.332,366.0
142,08/29/20 08:30:00 AM,16.332,527.4
143,08/29/20 09:00:00 AM,16.523,570.5
144,08/29/20 09:30:00 AM,16.523,753.5
145,08/29/20 10:00:00 AM,16.523,882.6
146,08/29/20 10:30:00 AM,16.618,1313.2
147,08/29/20 11:00:00 AM,16.713,1550.0
148,08/29/20 11:30:00 AM,16.713,1636.1
149,08/29/20 12:00:00 PM,16.713,2411.1
150,08/29/20 12:30:00 PM,16.713,4822.3
151,08/29/20 01:00:00 PM,16.713,18600.1
152,08/29/20 01:30:00 PM,16.808,18600.1
153,08/29/20 02:00:00 PM,16.808,4650.0
154,08/29/20 02:30:00 PM,16.713,3961.1
155,08/29/20 03:00:00 PM,16.808,9300.1
156,08/29/20 03:30:00 PM,16.713,3272.2
157,08/29/20 04:00:00 PM,16.808,12400.1
158,08/29/20 04:30:00 PM,16.713,14466.8
159,08/29/20 05:00:00 PM,16.523,1377.8
160,08/29/20 05:30:00 PM,16.618,1270.1
161,08/29/20 06:00:00 PM,16.618,1463.9
162,08/29/20 06:30:00 PM,16.523,1119.5
163,08/29/20 07:00:00 PM,16.523,322.9
164,08/29/20 07:30:00 PM,16.523,96.9
165,08/29/20 08:00:00 PM,16.523,21.5
166,08/29/20 08:30:00 PM,16.523,0.0
167,08/29/20 09:00:00 PM,16.618,0.0
168,08/29/20 09:30:00 PM,16.523,0.0
169,08/29/20 10:00:00 PM,16.523,0.0
170,08/29/20 10:30:00 PM,16.523,0.0
171,08/29/20 11:00:00 PM,16.523,0.0
172,08/29/20 11:30:00 PM,16.427,0.0
173,08/30/20 12:00:00 AM,16.427,0.0
174,08/30/20 12:30:00 AM,16.332,0.0
175,08/30/20 01:00:00 AM,16.427,0.0
176,08/30/20 01:30:00 AM,16.332,0.0
177,08/30/20 02:00:00 AM,16.237,0.0
178,08/30/20 02:30:00 AM,16.237,0.0
179,08/30/20 03:00:00 AM,16.237,0.0
180,08/30/20 03:30:00 AM,16.141,0.0
181,08/30/20 04:00:00 AM,16.141,0.0
182,08/30/20 04:30:00 AM,16.046,0.0
183,08/30/20 05:00:00 AM,15.951,0.0
184,08/30/20 05:30:00 AM,15.951,0.0
185,08/30/20 06:00:00 AM,15.951,0.0
186,08/30/20 06:30:00 AM,15.855,0.0
187,08/30/20 07:00:00 AM,15.855,43.1
188,08/30/20 07:30:00 AM,15.760,161.5
189,08/30/20 08:00:00 AM,15.760,258.3
190,08/30/20 08:30:00 AM,15.664,312.2
191,08/30/20 09:00:00 AM,15.760,1184.0
192,08/30/20 09:30:00 AM,15.760,1377.8
193,08/30/20 10:00:00 AM,15.760,1463.9
194,08/30/20 10:30:00 AM,15.760,2238.9
195,08/30/20 11:00:00 AM,15.760,850.4
196,08/30/20 11:30:00 AM,15.855,2669.5
197,08/30/20 12:00:00 PM,16.046,2755.6
198,08/30/20 12:30:00 PM,16.046,4133.4
199,08/30/20 01:00:00 PM,16.046,3100.0
200,08/30/20 01:30:00 PM,16.046,1227.1
201,08/30/20 02:00:00 PM,16.332,2325.0
202,08/30/20 02:30:00 PM,16.141,5511.1
203,08/30/20 03:00:00 PM,16.141,8266.7
204,08/30/20 03:30:00 PM,16.046,3444.5
205,08/30/20 04:00:00 PM,16.141,2411.1
206,08/30/20 04:30:00 PM,16.046,4305.6
207,08/30/20 05:00:00 PM,16.046,2066.7
208,08/30/20 05:30:00 PM,16.046,1151.7
209,08/30/20 06:00:00 PM,16.046,1377.8
210,08/30/20 06:30:00 PM,16.046,505.9
211,08/30/20 07:00:00 PM,15.951,290.6
212,08/30/20 07:30:00 PM,16.141,193.8
213,08/30/20 08:00:00 PM,15.951,96.9
214,08/30/20 08:30:00 PM,15.951,0.0
215,08/30/20 09:00:00 PM,15.951,0.0
216,08/30/20 09:30:00 PM,15.951,0.0
217,08/30/20 10:00:00 PM,15.951,0.0
218,08/30/20 10:30:00 PM,15.855,0.0
219,08/30/20 11:00:00 PM,15.760,0.0
220,08/30/20 11:30:00 PM,15.760,0.0
221,08/31/20 12:00:00 AM,15.664,0.0
222,08/31/20 12:30:00 AM,15.664,0.0
223,08/31/20 01:00:00 AM,15.569,0.0
224,08/31/20 01:30:00 AM,15.473,0.0
225,08/31/20 02:00:00 AM,15.473,0.0
226,08/31/20 02:30:00 AM,15.473,0.0
227,08/31/20 03:00:00 AM,15.378,0.0
228,08/31/20 03:30:00 AM,15.378,0.0
229,08/31/20 04:00:00 AM,15.282,0.0
230,08/31/20 04:30:00 AM,15.187,0.0
231,08/31/20 05:00:00 AM,15.187,0.0
232,08/31/20 05:30:00 AM,15.091,0.0
233,08/31/20 06:00:00 AM,15.091,0.0
234,08/31/20 06:30:00 AM,15.091,0.0
