datetime,irr_0,irr_2,irr_3,irr_4,irr_6
2020-07-16T23:00:00Z,7233.4,5511.1,14466.8,5511.1,7577.8
2020-07-16T23:30:00Z,19977.9,4133.4,8266.7,1722.2,2927.8
2020-07-17T00:00:00Z,3961.1,4822.3,2583.4,1227.1,1237.9
2020-07-17T00:30:00Z,3272.2,4477.8,4650,1377.8,1808.3
2020-07-17T01:00:00Z,2755.6,3616.7,2152.8,839.6,925.7
2020-07-17T01:30:00Z,1722.2,3788.9,3272.2,1270.1,1302.4
2020-07-17T02:00:00Z,1808.3,2066.7,2325,936.5,850.4
2020-07-17T02:30:00Z,1130.2,1808.3,1141,656.6,559.7
2020-07-17T03:00:00Z,419.8,301.4,258.3,86.1,86.1
2020-07-17T03:30:00Z,129.2,43.1,32.3,10.8,0
2020-07-17T04:00:00Z,0,0,0,0,0
2020-07-17T04:30:00Z,0,0,0,0,0
2020-07-17T05:00:00Z,0,0,0,0,0
2020-07-17T05:30:00Z,0,0,0,0,0
2020-07-17T06:00:00Z,0,0,0,0,0
2020-07-17T06:30:00Z,0,0,0,0,0
2020-07-17T07:00:00Z,0,0,0,0,0
2020-07-17T07:30:00Z,0,0,0,0,0
2020-07-17T08:00:00Z,0,0,0,0,0
2020-07-17T08:30:00Z,0,0,0,0,0
2020-07-17T09:00:00Z,0,0,0,0,0
2020-07-17T09:30:00Z,0,0,0,0,0
2020-07-17T10:00:00Z,0,0,0,0,0
2020-07-17T10:30:00Z,0,0,0,0,0
2020-07-17T11:00:00Z,0,0,0,0,0
2020-07-17T11:30:00Z,0,0,0,0,0
2020-07-17T12:00:00Z,430.6,96.9,43.1,32.3,21.5
2020-07-17T12:30:00Z,3788.9,990.3,505.9,344.4,247.6
2020-07-17T13:00:00Z,6544.5,1550,871.9,699.7,452.1
2020-07-17T13:30:00Z,21355.7,1636.1,1097.9,1194.8,516.7
2020-07-17T14:00:00Z,10677.8,3444.5,2238.9,2669.5,1141
2020-07-17T14:30:00Z,8611.2,3616.7,1980.6,1722.2,990.3
2020-07-17T15:00:00Z,46844.8,6200,3616.7,7577.8,2238.9
2020-07-17T15:30:00Z,154312.1,12400.1,4822.3,8266.7,3272.2
2020-07-17T16:00:00Z,170845.6,18600.1,9644.5,7577.8,2755.6
2020-07-17T16:30:00Z,176356.7,19977.9,6200,5338.9,3444.5
2020-07-17T17:00:00Z,68889.3,12400.1,5338.9,4822.3,3100
2020-07-17T17:30:00Z,57867,11022.3,5166.7,3961.1,2927.8
2020-07-17T18:00:00Z,34444.7,8266.7,4477.8,3100,2325
2020-07-17T18:30:00Z,46844.8,6544.5,3100,2497.2,1722.2
2020-07-17T19:00:00Z,34444.7,6544.5,3616.7,2411.1,1808.3
2020-07-17T19:30:00Z,22044.6,6544.5,4133.4,2583.4,1980.6
2020-07-17T20:00:00Z,24800.2,6200,3272.2,1980.6,1636.1
2020-07-17T20:30:00Z,33066.9,9300.1,4822.3,2755.6,2325
2020-07-17T21:00:00Z,22044.6,7577.8,3961.1,2238.9,1980.6
2020-07-17T21:30:00Z,24800.2,7233.4,3272.2,1980.6,1722.2
2020-07-17T22:00:00Z,55111.5,16533.4,7577.8,3444.5,3616.7
2020-07-17T22:30:00Z,44089.2,22044.6,11711.2,3272.2,3788.9
2020-07-17T23:00:00Z,19977.9,5511.1,3961.1,1894.5,1722.2
2020-07-17T23:30:00Z,20666.8,18600.1,30311.3,2152.8,5338.9
2020-07-18T00:00:00Z,13089,4994.5,2669.5,1216.3,1162.5
2020-07-18T00:30:00Z,14466.8,5166.7,3100,1345.5,1356.3
2020-07-18T01:00:00Z,9300.1,2669.5,1248.6,807.3,635.1
2020-07-18T01:30:00Z,6200,2927.8,2325,516.7,764.2
2020-07-18T02:00:00Z,9644.5,2755.6,2066.7,828.8,828.8
2020-07-18T02:30:00Z,2066.7,602.8,366,215.3,172.2
2020-07-18T03:00:00Z,2325,419.8,333.7,139.9,129.2
2020-07-18T03:30:00Z,312.2,64.6,43.1,10.8,10.8
2020-07-18T04:00:00Z,0,0,0,0,0
2020-07-18T04:30:00Z,0,0,0,0,0
2020-07-18T05:00:00Z,0,0,0,0,0
2020-07-18T05:30:00Z,0,0,0,0,0
2020-07-18T06:00:00Z,0,0,0,0,0
2020-07-18T06:30:00Z,0,0,0,0,0
2020-07-18T07:00:00Z,0,0,0,0,0
2020-07-18T07:30:00Z,0,0,0,0,0
2020-07-18T08:00:00Z,0,0,0,0,0
2020-07-18T08:30:00Z,0,0,0,0,0
2020-07-18T09:00:00Z,0,0,0,0,0
2020-07-18T09:30:00Z,0,0,0,0,0
2020-07-18T10:00:00Z,0,0,0,0,0
2020-07-18T10:30:00Z,0,0,0,0,0
2020-07-18T11:00:00Z,0,0,0,0,0
2020-07-18T11:30:00Z,0,0,0,0,0
2020-07-18T12:00:00Z,688.9,129.2,64.6,43.1,21.5
2020-07-18T12:30:00Z,2411.1,549,312.2,236.8,139.9
2020-07-18T13:00:00Z,3272.2,796.5,462.9,366,204.5
2020-07-18T13:30:00Z,4994.5,968.8,581.3,538.2,269.1
2020-07-18T14:00:00Z,12400.1,1377.8,828.8,1022.6,398.3
2020-07-18T14:30:00Z,110223,2755.6,1894.5,5511.1,1141
2020-07-18T15:00:00Z,35822.5,3100,1550,3100,796.5
2020-07-18T15:30:00Z,126756.4,6544.5,2755.6,9300.1,1550
2020-07-18T16:00:00Z,176356.7,5511.1,4305.6,12400.1,2238.9
