datetime,wtr_0,wtr_2,wtr_3,wtr_4,wtr_6,wtr_1
2020-08-26T16:00:00Z,17.76,15.187,15.951,16.046,15.951,15.651
2020-08-26T16:30:00Z,18.236,16.141,16.046,16.046,15.951,15.72
2020-08-26T17:00:00Z,18.426,16.237,16.141,16.141,16.046,15.788
2020-08-26T17:30:00Z,18.331,16.427,16.427,16.237,16.046,15.805
2020-08-26T18:00:00Z,18.806,16.523,16.523,16.332,16.141,15.891
2020-08-26T18:30:00Z,19.472,16.427,16.427,16.332,16.237,15.993
2020-08-26T19:00:00Z,18.996,16.427,16.332,16.427,16.237,16.079
2020-08-26T19:30:00Z,19.377,16.523,16.427,16.523,16.332,16.096
2020-08-26T20:00:00Z,19.472,16.808,16.618,16.523,16.332,16.284
2020-08-26T20:30:00Z,20.329,16.903,16.618,16.713,16.427,16.369
2020-08-26T21:00:00Z,19.567,16.903,16.523,16.427,16.332,16.573
2020-08-26T21:30:00Z,20.329,16.903,16.523,16.523,16.332,16.675
2020-08-26T22:00:00Z,19.092,17.189,16.618,16.523,16.332,16.905
2020-08-26T22:30:00Z,19.853,16.903,16.618,16.427,16.332,16.871
2020-08-26T23:00:00Z,17.855,16.903,16.713,16.427,16.332,17.023
2020-08-26T23:30:00Z,18.806,16.808,16.618,16.427,16.237,17.074
2020-08-27T00:00:00Z,19.092,16.999,16.618,16.427,16.237,17.108
2020-08-27T00:30:00Z,18.426,16.903,16.618,16.427,16.237,16.964
2020-08-27T01:00:00Z,17.95,16.808,16.618,16.332,16.237,16.854
2020-08-27T01:30:00Z,17.665,16.903,16.427,16.237,16.237,17.023
2020-08-27T02:00:00Z,16.999,16.903,16.427,16.332,16.237,17.006
2020-08-27T02:30:00Z,16.808,16.808,16.523,16.237,16.237,17.1
2020-08-27T03:00:00Z,16.618,16.713,16.427,16.237,16.237,16.981
2020-08-27T03:30:00Z,16.618,17.094,16.427,16.237,16.237,17.04
2020-08-27T04:00:00Z,16.523,16.999,16.523,16.237,16.237,16.981
2020-08-27T04:30:00Z,16.523,16.808,16.523,16.237,16.237,16.913
2020-08-27T05:00:00Z,16.141,16.808,16.523,16.237,16.237,16.854
2020-08-27T05:30:00Z,16.237,16.903,16.523,16.332,16.237,16.794
2020-08-27T06:00:00Z,16.141,16.808,16.427,16.237,16.237,16.718
2020-08-27T06:30:00Z,16.046,16.808,16.427,16.237,16.237,16.675
2020-08-27T07:00:00Z,16.046,16.713,16.427,16.237,16.237,16.616
2020-08-27T07:30:00Z,16.141,16.713,16.427,16.237,16.141,16.548
2020-08-27T08:00:00Z,15.951,16.618,16.427,16.237,16.141,16.48
2020-08-27T08:30:00Z,15.951,16.618,16.427,16.237,16.237,16.48
2020-08-27T09:00:00Z,15.855,16.618,16.427,16.237,16.237,16.403
2020-08-27T09:30:00Z,15.951,16.523,16.427,16.237,16.141,16.394
2020-08-27T10:00:00Z,15.951,16.523,16.427,16.237,16.237,16.326
2020-08-27T10:30:00Z,15.951,16.427,16.427,16.237,16.141,16.309
2020-08-27T11:00:00Z,15.951,16.427,16.427,16.237,16.141,16.267
2020-08-27T11:30:00Z,15.664,16.332,16.332,16.237,16.141,16.198
2020-08-27T12:00:00Z,15.664,16.332,16.332,16.237,16.141,16.147
2020-08-27T12:30:00Z,15.76,16.237,16.332,16.237,16.141,16.139
2020-08-27T13:00:00Z,15.569,16.237,16.332,16.237,16.141,16.087
2020-08-27T13:30:00Z,15.664,16.237,16.332,16.237,16.141,16.062
2020-08-27T14:00:00Z,15.951,16.237,16.237,16.332,16.046,16.036
2020-08-27T14:30:00Z,16.141,16.237,16.237,16.237,16.046,16.053
2020-08-27T15:00:00Z,16.237,16.237,16.237,16.237,16.046,16.028
2020-08-27T15:30:00Z,16.523,16.237,16.237,16.237,16.046,15.993
2020-08-27T16:00:00Z,16.332,16.237,16.237,16.237,16.046,16.011
2020-08-27T16:30:00Z,18.236,16.523,16.523,16.523,16.141,16.019
2020-08-27T17:00:00Z,18.331,16.618,16.618,16.523,16.237,16.062
2020-08-27T17:30:00Z,18.236,16.618,16.713,16.713,16.332,16.087
2020-08-27T18:00:00Z,18.711,16.523,16.618,16.713,16.332,16.156
2020-08-27T18:30:00Z,19.472,16.713,16.618,16.713,16.427,16.258
2020-08-27T19:00:00Z,20.805,16.713,16.618,16.618,16.523,16.394
2020-08-27T19:30:00Z,17.665,16.713,16.618,16.618,16.523,16.692
2020-08-27T20:00:00Z,19.567,16.808,16.618,16.618,16.523,16.76
2020-08-27T20:30:00Z,20.615,16.903,16.713,16.713,16.618,16.828
2020-08-27T21:00:00Z,20.234,16.999,16.713,16.713,16.523,16.735
2020-08-27T21:30:00Z,17.76,16.999,16.713,16.713,16.523,17.04
2020-08-27T22:00:00Z,19.662,17.094,16.808,16.713,16.523,17.193
2020-08-27T22:30:00Z,20.043,17.189,16.808,16.713,16.523,17.337
2020-08-27T23:00:00Z,18.521,17.094,16.713,16.713,16.523,17.43
2020-08-27T23:30:00Z,18.711,17.475,16.808,16.713,16.523,17.481
2020-08-28T00:00:00Z,18.616,17.284,16.808,16.713,16.523,17.498
2020-08-28T00:30:00Z,18.901,17.189,16.808,16.618,16.523,17.481
2020-08-28T01:00:00Z,18.236,16.999,16.713,16.523,16.427,17.447
2020-08-28T01:30:00Z,17.094,17.379,16.713,16.523,16.427,17.371
2020-08-28T02:00:00Z,16.808,17.094,16.713,16.523,16.427,17.295
2020-08-28T02:30:00Z,16.523,17.284,16.713,16.523,16.427,17.244
2020-08-28T03:00:00Z,16.427,17.284,16.713,16.523,16.427,17.176
2020-08-28T03:30:00Z,16.523,17.284,16.713,16.427,16.427,17.134
2020-08-28T04:00:00Z,16.237,17.189,16.713,16.523,16.427,17.074
2020-08-28T04:30:00Z,16.237,17.189,16.713,16.427,16.427,16.99
2020-08-28T05:00:00Z,16.141,17.094,16.713,16.427,16.427,16.913
2020-08-28T05:30:00Z,16.427,16.999,16.713,16.427,16.427,16.854
2020-08-28T06:00:00Z,16.332,16.903,16.618,16.523,16.427,16.82
2020-08-28T06:30:00Z,16.523,16.903,16.713,16.523,16.427,16.726
2020-08-28T07:00:00Z,16.427,16.808,16.713,16.427,16.427,16.675
2020-08-28T07:30:00Z,16.618,16.808,16.713,16.427,16.427,16.633
2020-08-28T08:00:00Z,16.141,16.713,16.808,16.427,16.332,16.556
2020-08-28T08:30:00Z,15.76,16.618,16.713,16.427,16.332,16.505
2020-08-28T09:00:00Z,15.76,16.618,16.618,16.427,16.332,16.48
2020-08-28T09:30:00Z,15.951,16.618,16.523,16.427,16.332,16.454
2020-08-28T10:00:00Z,15.664,16.523,16.523,16.427,16.332,16.394
2020-08-28T10:30:00Z,15.569,16.523,16.523,16.427,16.332,16.352
2020-08-28T11:00:00Z,15.473,16.427,16.523,16.427,16.332,16.335
2020-08-28T11:30:00Z,15.855,16.427,16.523,16.427,16.237,16.284
2020-08-28T12:00:00Z,16.141,16.332,16.427,16.427,16.237,16.232
2020-08-28T12:30:00Z,16.141,16.332,16.427,16.332,16.237,16.181
2020-08-28T13:00:00Z,15.473,16.332,16.332,16.237,16.141,16.122
2020-08-28T13:30:00Z,15.664,16.237,16.332,16.237,16.141,16.104
2020-08-28T14:00:00Z,15.664,16.237,16.332,16.332,16.046,16.045
2020-08-28T14:30:00Z,16.903,16.332,16.427,16.332,16.046,16.053
2020-08-28T15:00:00Z,17.189,16.332,16.427,16.332,16.046,16.07
