"Plot Title: surf_SUM"
"#","Date Time, GMT-06:00","Temp, °C (LGR S/N: 20889814, SEN S/N: 20889814, LBL: 0 m)","Intensity, Lux (LGR S/N: 20889814, SEN S/N: 20889814, LBL: 0 m)"
1,07/24/20 05:00:00 PM,15.473,5166.7
2,07/24/20 05:30:00 PM,15.187,936.5
3,07/24/20 06:00:00 PM,14.996,688.9
4,07/24/20 06:30:00 PM,14.900,215.3
5,07/24/20 07:00:00 PM,14.709,96.9
6,07/24/20 07:30:00 PM,14.804,204.5
7,07/24/20 08:00:00 PM,14.804,107.6
8,07/24/20 08:30:00 PM,14.804,75.3
9,07/24/20 09:00:00 PM,14.709,32.3
10,07/24/20 09:30:00 PM,14.613,0.0
11,07/24/20 10:00:00 PM,14.613,0.0
12,07/24/20 10:30:00 PM,14.613,0.0
13,07/24/20 11:00:00 PM,14.517,0.0
14,07/24/20 11:30:00 PM,14.517,0.0
15,07/25/20 12:00:00 AM,14.421,0.0
16,07/25/20 12:30:00 AM,14.325,0.0
17,07/25/20 01:00:00 AM,14.325,0.0
18,07/25/20 01:30:00 AM,14.325,0.0
19,07/25/20 02:00:00 AM,14.325,0.0
20,07/25/20 02:30:00 AM,14.230,0.0
21,07/25/20 03:00:00 AM,14.230,0.0
22,07/25/20 03:30:00 AM,14.230,0.0
23,07/25/20 04:00:00 AM,14.134,0.0
24,07/25/20 04:30:00 AM,14.134,0.0
25,07/25/20 05:00:00 AM,14.038,0.0
26,07/25/20 05:30:00 AM,14.038,0.0
27,07/25/20 06:00:00 AM,14.038,0.0
28,07/25/20 06:30:00 AM,14.038,107.6
29,07/25/20 07:00:00 AM,14.038,193.8
30,07/25/20 07:30:00 AM,14.038,290.6
31,07/25/20 08:00:00 AM,14.325,462.9
32,07/25/20 08:30:00 AM,14.134,462.9
33,07/25/20 09:00:00 AM,14.325,559.7
34,07/25/20 09:30:00 AM,15.091,721.2
35,07/25/20 10:00:00 AM,16.618,2152.8
36,07/25/20 10:30:00 AM,16.046,1377.8
37,07/25/20 11:00:00 AM,17.379,1636.1
38,07/25/20 11:30:00 AM,17.189,1291.7
39,07/25/20 12:00:00 PM,14.613,602.8
40,07/25/20 12:30:00 PM,14.900,2411.1
41,07/25/20 01:00:00 PM,17.760,10333.4
42,07/25/20 01:30:00 PM,17.094,4994.5
43,07/25/20 02:00:00 PM,16.046,1550.0
44,07/25/20 02:30:00 PM,17.760,1463.9
45,07/25/20 03:00:00 PM,15.187,2066.7
46,07/25/20 03:30:00 PM,17.094,8266.7
47,07/25/20 04:00:00 PM,16.046,12400.1
48,07/25/20 04:30:00 PM,16.903,7577.8
49,07/25/20 05:00:00 PM,16.523,6544.5
50,07/25/20 05:30:00 PM,16.713,12400.1
51,07/25/20 06:00:00 PM,15.951,4305.6
52,07/25/20 06:30:00 PM,15.664,8611.2
53,07/25/20 07:00:00 PM,14.996,215.3
54,07/25/20 07:30:00 PM,14.996,215.3
55,07/25/20 08:00:00 PM,14.996,193.8
56,07/25/20 08:30:00 PM,14.900,172.2
57,07/25/20 09:00:00 PM,14.900,75.3
58,07/25/20 09:30:00 PM,14.900,0.0
59,07/25/20 10:00:00 PM,14.804,0.0
60,07/25/20 10:30:00 PM,14.804,0.0
61,07/25/20 11:00:00 PM,14.804,0.0
62,07/25/20 11:30:00 PM,14.804,0.0
63,07/26/20 12:00:00 AM,14.709,0.0
64,07/26/20 12:30:00 AM,14.709,0.0
65,07/26/20 01:00:00 AM,14.613,0.0
66,07/26/20 01:30:00 AM,14.613,0.0
67,07/26/20 02:00:00 AM,14.613,0.0
68,07/26/20 02:30:00 AM,14.517,0.0
69,07/26/20 03:00:00 AM,14.517,0.0
70,07/26/20 03:30:00 AM,14.421,0.0
71,07/26/20 04:00:00 AM,14.421,0.0
72,07/26/20 04:30:00 AM,14.421,0.0
73,07/26/20 05:00:00 AM,14.421,0.0
74,07/26/20 05:30:00 AM,14.325,0.0
75,07/26/20 06:00:00 AM,14.325,0.0
76,07/26/20 06:30:00 AM,14.325,96.9
77,07/26/20 07:00:00 AM,14.325,193.8
78,07/26/20 07:30:00 AM,14.325,258.3
79,07/26/20 08:00:00 AM,14.325,409.0
80,07/26/20 08:30:00 AM,14.517,484.4
81,07/26/20 09:00:00 AM,14.517,495.1
82,07/26/20 09:30:00 AM,14.517,538.2
83,07/26/20 10:00:00 AM,16.808,1463.9
84,07/26/20 10:30:00 AM,16.903,1270.1
85,07/26/20 11:00:00 AM,16.713,1162.5
86,07/26/20 11:30:00 AM,16.713,1636.1
87,07/26/20 12:00:00 PM,16.523,1550.0
88,07/26/20 12:30:00 PM,15.282,775.0
89,07/26/20 01:00:00 PM,15.187,775.0
90,07/26/20 01:30:00 PM,15.282,828.8
91,07/26/20 02:00:00 PM,16.523,1636.1
92,07/26/20 02:30:00 PM,15.569,1216.3
93,07/26/20 03:00:00 PM,17.475,1205.6
94,07/26/20 03:30:00 PM,17.284,1270.1
95,07/26/20 04:00:00 PM,18.140,1463.9
96,07/26/20 04:30:00 PM,16.618,818.1
97,07/26/20 05:00:00 PM,16.523,592.0
98,07/26/20 05:30:00 PM,16.237,570.5
99,07/26/20 06:00:00 PM,17.570,1313.2
100,07/26/20 06:30:00 PM,17.760,818.1
101,07/26/20 07:00:00 PM,16.332,279.9
102,07/26/20 07:30:00 PM,16.427,236.8
103,07/26/20 08:00:00 PM,16.903,204.5
104,07/26/20 08:30:00 PM,16.713,139.9
105,07/26/20 09:00:00 PM,16.618,64.6
106,07/26/20 09:30:00 PM,16.523,0.0
107,07/26/20 10:00:00 PM,16.427,0.0
108,07/26/20 10:30:00 PM,16.141,0.0
109,07/26/20 11:00:00 PM,15.951,0.0
110,07/26/20 11:30:00 PM,15.951,0.0
111,07/27/20 12:00:00 AM,15.855,0.0
112,07/27/20 12:30:00 AM,15.855,0.0
113,07/27/20 01:00:00 AM,15.760,0.0
114,07/27/20 01:30:00 AM,15.664,0.0
115,07/27/20 02:00:00 AM,15.664,0.0
116,07/27/20 02:30:00 AM,15.569,0.0
117,07/27/20 03:00:00 AM,15.569,0.0
118,07/27/20 03:30:00 AM,15.473,0.0
119,07/27/20 04:00:00 AM,15.378,0.0
120,07/27/20 04:30:00 AM,15.378,0.0
121,07/27/20 05:00:00 AM,15.282,0.0
122,07/27/20 05:30:00 AM,15.282,0.0
123,07/27/20 06:00:00 AM,15.282,10.8
124,07/27/20 06:30:00 AM,15.187,139.9
125,07/27/20 07:00:00 AM,15.282,258.3
126,07/27/20 07:30:00 AM,15.187,258.3
127,07/27/20 08:00:00 AM,15.187,376.7
128,07/27/20 08:30:00 AM,15.282,527.4
129,07/27/20 09:00:00 AM,15.282,538.2
130,07/27/20 09:30:00 AM,15.378,624.3
131,07/27/20 10:00:00 AM,15.664,1377.8
132,07/27/20 10:30:00 AM,15.855,17222.3
133,07/27/20 11:00:00 AM,15.760,5338.9
134,07/27/20 11:30:00 AM,15.664,2583.4
135,07/27/20 12:00:00 PM,15.664,1463.9
136,07/27/20 12:30:00 PM,15.951,775.0
137,07/27/20 01:00:00 PM,16.141,807.3
138,07/27/20 01:30:00 PM,16.141,850.4
139,07/27/20 02:00:00 PM,16.332,807.3
140,07/27/20 02:30:00 PM,16.618,1345.5
141,07/27/20 03:00:00 PM,16.427,3100.0
142,07/27/20 03:30:00 PM,18.521,1636.1
143,07/27/20 04:00:00 PM,18.236,1345.5
144,07/27/20 04:30:00 PM,18.521,1151.7
145,07/27/20 05:00:00 PM,17.950,742.7
146,07/27/20 05:30:00 PM,18.616,6544.5
147,07/27/20 06:00:00 PM,20.234,1334.7
148,07/27/20 06:30:00 PM,19.948,979.5
149,07/27/20 07:00:00 PM,18.331,322.9
150,07/27/20 07:30:00 PM,17.950,279.9
151,07/27/20 08:00:00 PM,17.950,236.8
152,07/27/20 08:30:00 PM,17.950,172.2
153,07/27/20 09:00:00 PM,17.760,86.1
154,07/27/20 09:30:00 PM,17.570,0.0
155,07/27/20 10:00:00 PM,17.379,0.0
156,07/27/20 10:30:00 PM,17.284,0.0
157,07/27/20 11:00:00 PM,17.094,0.0
158,07/27/20 11:30:00 PM,16.999,0.0
159,07/28/20 12:00:00 AM,16.903,0.0
160,07/28/20 12:30:00 AM,16.808,0.0
161,07/28/20 01:00:00 AM,16.713,0.0
162,07/28/20 01:30:00 AM,16.713,0.0
163,07/28/20 02:00:00 AM,16.618,0.0
164,07/28/20 02:30:00 AM,16.523,0.0
165,07/28/20 03:00:00 AM,16.427,0.0
166,07/28/20 03:30:00 AM,16.332,0.0
167,07/28/20 04:00:00 AM,16.237,0.0
168,07/28/20 04:30:00 AM,16.237,0.0
169,07/28/20 05:00:00 AM,16.141,0.0
170,07/28/20 05:30:00 AM,16.141,0.0
171,07/28/20 06:00:00 AM,16.046,0.0
172,07/28/20 06:30:00 AM,16.046,172.2
173,07/28/20 07:00:00 AM,16.046,247.6
