"Plot Title: 2_m_SUM"
"#","Date Time, GMT-06:00","Temp, °C (LGR S/N: 20889810, SEN S/N: 20889810, LBL: 2 m)","Intensity, Lux (LGR S/N: 20889810, SEN S/N: 20889810, LBL: 2 m)"
1,07/24/20 05:00:00 PM,15.664,355.2
2,07/24/20 05:30:00 PM,15.187,247.6
3,07/24/20 06:00:00 PM,14.900,139.9
4,07/24/20 06:30:00 PM,14.804,107.6
5,07/24/20 07:00:00 PM,14.804,21.5
6,07/24/20 07:30:00 PM,14.709,32.3
7,07/24/20 08:00:00 PM,14.804,21.5
8,07/24/20 08:30:00 PM,14.804,10.8
9,07/24/20 09:00:00 PM,14.709,0.0
10,07/24/20 09:30:00 PM,14.709,0.0
11,07/24/20 10:00:00 PM,14.613,0.0
12,07/24/20 10:30:00 PM,14.613,0.0
13,07/24/20 11:00:00 PM,14.517,0.0
14,07/24/20 11:30:00 PM,14.517,0.0
15,07/25/20 12:00:00 AM,14.421,0.0
16,07/25/20 12:30:00 AM,14.421,0.0
17,07/25/20 01:00:00 AM,14.325,0.0
18,07/25/20 01:30:00 AM,14.325,0.0
19,07/25/20 02:00:00 AM,14.325,0.0
20,07/25/20 02:30:00 AM,14.325,0.0
21,07/25/20 03:00:00 AM,14.325,0.0
22,07/25/20 03:30:00 AM,14.230,0.0
23,07/25/20 04:00:00 AM,14.134,0.0
24,07/25/20 04:30:00 AM,14.134,0.0
25,07/25/20 05:00:00 AM,14.134,0.0
26,07/25/20 05:30:00 AM,14.038,0.0
27,07/25/20 06:00:00 AM,14.038,0.0
28,07/25/20 06:30:00 AM,14.134,10.8
29,07/25/20 07:00:00 AM,14.038,21.5
30,07/25/20 07:30:00 AM,14.038,43.1
31,07/25/20 08:00:00 AM,14.134,139.9
32,07/25/20 08:30:00 AM,14.517,172.2
33,07/25/20 09:00:00 AM,14.421,258.3
34,07/25/20 09:30:00 AM,14.325,344.4
35,07/25/20 10:00:00 AM,14.325,1636.1
36,07/25/20 10:30:00 AM,14.421,376.7
37,07/25/20 11:00:00 AM,14.421,1636.1
38,07/25/20 11:30:00 AM,14.421,893.4
39,07/25/20 12:00:00 PM,15.569,635.1
40,07/25/20 12:30:00 PM,16.046,742.7
41,07/25/20 01:00:00 PM,14.996,1980.6
42,07/25/20 01:30:00 PM,15.282,904.2
43,07/25/20 02:00:00 PM,15.569,764.2
44,07/25/20 02:30:00 PM,14.996,1313.2
45,07/25/20 03:00:00 PM,16.237,645.8
46,07/25/20 03:30:00 PM,15.282,1722.2
47,07/25/20 04:00:00 PM,15.855,871.9
48,07/25/20 04:30:00 PM,15.187,1636.1
49,07/25/20 05:00:00 PM,15.282,1097.9
50,07/25/20 05:30:00 PM,14.709,1722.2
51,07/25/20 06:00:00 PM,15.282,398.3
52,07/25/20 06:30:00 PM,14.996,441.3
53,07/25/20 07:00:00 PM,14.517,43.1
54,07/25/20 07:30:00 PM,14.709,32.3
55,07/25/20 08:00:00 PM,14.900,32.3
56,07/25/20 08:30:00 PM,14.900,21.5
57,07/25/20 09:00:00 PM,14.804,10.8
58,07/25/20 09:30:00 PM,14.900,0.0
59,07/25/20 10:00:00 PM,14.804,0.0
60,07/25/20 10:30:00 PM,14.709,0.0
61,07/25/20 11:00:00 PM,14.709,0.0
