"Plot Title: 4_m_SMT"
"#","Date Time, GMT-06:00","Temp, °C (LGR S/N: 20889839, SEN S/N: 20889839, LBL: 4 m)","Intensity, Lux (LGR S/N: 20889839, SEN S/N: 20889839, LBL: 4 m)"
1,06/17/21 04:00:00 PM,15.473,183.0
2,06/17/21 04:30:00 PM,15.855,204.5
3,06/17/21 05:00:00 PM,15.569,129.2
4,06/17/21 05:30:00 PM,15.569,96.9
5,06/17/21 06:00:00 PM,15.569,86.1
6,06/17/21 06:30:00 PM,15.664,75.3
7,06/17/21 07:00:00 PM,15.664,53.8
8,06/17/21 07:30:00 PM,15.664,32.3
9,06/17/21 08:00:00 PM,15.664,21.5
10,06/17/21 08:30:00 PM,15.664,0.0
11,06/17/21 09:00:00 PM,15.664,0.0
12,06/17/21 09:30:00 PM,15.569,0.0
13,06/17/21 10:00:00 PM,15.664,0.0
14,06/17/21 10:30:00 PM,15.664,0.0
15,06/17/21 11:00:00 PM,15.664,0.0
16,06/17/21 11:30:00 PM,15.664,0.0
17,06/18/21 12:00:00 AM,15.664,0.0
18,06/18/21 12:30:00 AM,15.569,0.0
19,06/18/21 01:00:00 AM,15.569,0.0
20,06/18/21 01:30:00 AM,15.569,0.0
21,06/18/21 02:00:00 AM,15.569,0.0
22,06/18/21 02:30:00 AM,15.664,0.0
23,06/18/21 03:00:00 AM,15.664,0.0
24,06/18/21 03:30:00 AM,15.569,0.0
25,06/18/21 04:00:00 AM,15.569,0.0
26,06/18/21 04:30:00 AM,15.664,0.0
27,06/18/21 05:00:00 AM,15.664,0.0
28,06/18/21 05:30:00 AM,15.664,0.0
29,06/18/21 06:00:00 AM,15.569,0.0
30,06/18/21 06:30:00 AM,15.569,10.8
31,06/18/21 07:00:00 AM,15.569,64.6
32,06/18/21 07:30:00 AM,15.569,355.2
33,06/18/21 08:00:00 AM,15.569,430.6
34,06/18/21 08:30:00 AM,15.569,495.1
35,06/18/21 09:00:00 AM,15.569,559.7
36,06/18/21 09:30:00 AM,15.664,656.6
37,06/18/21 10:00:00 AM,15.664,699.7
38,06/18/21 10:30:00 AM,15.664,667.4
39,06/18/21 11:00:00 AM,15.664,699.7
40,06/18/21 11:30:00 AM,15.664,559.7
41,06/18/21 12:00:00 PM,15.664,559.7
42,06/18/21 12:30:00 PM,15.664,538.2
43,06/18/21 01:00:00 PM,15.855,409.0
44,06/18/21 01:30:00 PM,15.760,355.2
45,06/18/21 02:00:00 PM,15.760,301.4
46,06/18/21 02:30:00 PM,15.760,269.1
47,06/18/21 03:00:00 PM,15.855,236.8
48,06/18/21 03:30:00 PM,15.855,193.8
49,06/18/21 04:00:00 PM,15.760,172.2
50,06/18/21 04:30:00 PM,15.760,150.7
51,06/18/21 05:00:00 PM,15.855,129.2
52,06/18/21 05:30:00 PM,16.141,107.6
53,06/18/21 06:00:00 PM,16.141,86.1
54,06/18/21 06:30:00 PM,16.141,64.6
55,06/18/21 07:00:00 PM,15.664,43.1
56,06/18/21 07:30:00 PM,15.664,32.3
57,06/18/21 08:00:00 PM,15.951,21.5
58,06/18/21 08:30:00 PM,15.951,0.0
59,06/18/21 09:00:00 PM,15.951,0.0
60,06/18/21 09:30:00 PM,15.951,0.0
61,06/18/21 10:00:00 PM,15.855,0.0
62,06/18/21 10:30:00 PM,15.855,0.0
63,06/18/21 11:00:00 PM,15.855,0.0
64,06/18/21 11:30:00 PM,15.951,0.0
65,06/19/21 12:00:00 AM,15.855,0.0
66,06/19/21 12:30:00 AM,15.951,0.0
67,06/19/21 01:00:00 AM,15.951,0.0
68,06/19/21 01:30:00 AM,15.951,0.0
69,06/19/21 02:00:00 AM,15.951,0.0
70,06/19/21 02:30:00 AM,15.855,0.0
71,06/19/21 03:00:00 AM,15.855,0.0
72,06/19/21 03:30:00 AM,15.951,0.0
73,06/19/21 04:00:00 AM,15.951,0.0
74,06/19/21 04:30:00 AM,15.855,0.0
75,06/19/21 05:00:00 AM,15.855,0.0
76,06/19/21 05:30:00 AM,15.855,0.0
77,06/19/21 06:00:00 AM,15.855,0.0
78,06/19/21 06:30:00 AM,15.855,10.8
79,06/19/21 07:00:00 AM,15.855,139.9
80,06/19/21 07:30:00 AM,15.951,258.3
81,06/19/21 08:00:00 AM,15.855,204.5
82,06/19/21 08:30:00 AM,15.855,516.7
83,06/19/21 09:00:00 AM,15.855,484.4
84,06/19/21 09:30:00 AM,15.855,624.3
85,06/19/21 10:00:00 AM,15.855,570.5
86,06/19/21 10:30:00 AM,15.951,538.2
87,06/19/21 11:00:00 AM,16.046,721.2
88,06/19/21 11:30:00 AM,15.951,172.2
89,06/19/21 12:00:00 PM,16.046,419.8
90,06/19/21 12:30:00 PM,15.951,247.6
91,06/19/21 01:00:00 PM,16.046,258.3
92,06/19/21 01:30:00 PM,15.760,484.4
93,06/19/21 02:00:00 PM,15.855,226.0
94,06/19/21 02:30:00 PM,16.046,247.6
95,06/19/21 03:00:00 PM,15.951,247.6
96,06/19/21 03:30:00 PM,16.046,172.2
97,06/19/21 04:00:00 PM,16.046,226.0
98,06/19/21 04:30:00 PM,16.141,172.2
99,06/19/21 05:00:00 PM,16.046,150.7
100,06/19/21 05:30:00 PM,16.046,139.9
101,06/19/21 06:00:00 PM,16.046,129.2
102,06/19/21 06:30:00 PM,15.951,75.3
103,06/19/21 07:00:00 PM,16.046,86.1
